gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Gm13998,,,,,,,,,,,,
Gm15198,0.0,-0.273,-0.501,0.0,-0.254,-0.461,0.273,0.254,-0.202,0.501,0.461,0.202
Kctd18,1.188,1.702,0.015,-1.188,0.467,-1.074,-1.702,-0.467,-1.544,-0.015,1.074,1.544
Gm11227,,,,,,,,,,,,
Gm11237,,,,,,,,,,,,
Gm18139,-0.025,0.082,-0.252,0.025,0.098,-0.207,-0.082,-0.098,-0.307,0.252,0.207,0.307
Dennd1b,0.268,0.382,0.573,-0.268,0.104,0.278,-0.382,-0.104,0.175,-0.573,-0.278,-0.175
Gm18911,-1.321,0.28,-1.04,1.321,1.456,0.267,-0.28,-1.456,-1.203,1.04,-0.267,1.203
Gm37392,-0.553,0.0,0.0,0.553,0.533,0.554,0.0,-0.533,0.0,0.0,-0.554,0.0
Olfr923,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Vmn1r107,,,,,,,,,,,,
Gm20615,,,,,,,,,,,,
E2f5,0.084,-0.162,-0.137,-0.084,-0.225,-0.202,0.162,0.225,0.024,0.137,0.202,-0.024
Mettl23,0.733,0.002,0.848,-0.733,-0.669,0.103,-0.002,0.669,0.773,-0.848,-0.103,-0.773
Pmm2,0.034,-0.071,0.395,-0.034,-0.096,0.329,0.071,0.096,0.426,-0.395,-0.329,-0.426
Pex19,0.26,0.898,0.104,-0.26,0.582,-0.144,-0.898,-0.582,-0.728,-0.104,0.144,0.728
Gm42402,,,,,,,,,,,,
Sntn,,,,,,,,,,,,
Gm49828,,,,,,,,,,,,
Ccdc18,1.416,0.689,-0.123,-1.416,-0.668,-1.406,-0.689,0.668,-0.741,0.123,1.406,0.741
Gm14459,,,,,,,,,,,,
Fabp9,,,,,,,,,,,,
Sectm1a,0.0,0.0,-0.295,0.0,0.0,-0.275,0.0,0.0,-0.299,0.295,0.275,0.299
Carmil3,0.247,0.839,0.182,-0.247,0.54,-0.063,-0.839,-0.54,-0.608,-0.182,0.063,0.608
Gm12985,0.656,0.593,-0.456,-0.656,-0.067,-1.013,-0.593,0.067,-0.959,0.456,1.013,0.959
Apob,,,,,,,,,,,,
Plod3,-0.1,-0.137,-0.639,0.1,-0.034,-0.491,0.137,0.034,-0.46,0.639,0.491,0.46
Vmn1r-ps132,,,,,,,,,,,,
Rps6,0.526,-0.504,0.186,-0.526,-0.94,-0.311,0.504,0.94,0.63,-0.186,0.311,-0.63
Olfr1462,,,,,,,,,,,,
Fgd3,-0.242,0.862,0.086,0.242,1.007,0.299,-0.862,-1.007,-0.709,-0.086,-0.299,0.709
Gm12653,,,,,,,,,,,,
Olfr886-ps1,,,,,,,,,,,,
Gm47478,,,,,,,,,,,,
Pigw,0.049,-0.545,0.199,-0.049,-0.543,0.137,0.545,0.543,0.68,-0.199,-0.137,-0.68
1700017N19Rik,0.0,0.0,-0.536,0.0,0.0,-0.493,0.0,0.0,-0.518,0.536,0.493,0.518
Gm21805,,,,,,,,,,,,
Igkv12-49,,,,,,,,,,,,
Gm49036,,,,,,,,,,,,
Rpl13,0.902,-0.544,0.129,-0.902,-1.32,-0.705,0.544,1.32,0.615,-0.129,0.705,-0.615
Gm5835,0.155,-0.705,-0.27,-0.155,-0.782,-0.389,0.705,0.782,0.4,0.27,0.389,-0.4
Urm1,0.861,0.681,0.411,-0.861,-0.165,-0.412,-0.681,0.165,-0.248,-0.411,0.412,0.248
Wrb,1.099,1.192,1.337,-1.099,0.08,0.217,-1.192,-0.08,0.139,-1.337,-0.217,-0.139
2310009B15Rik,1.3,0.528,0.601,-1.3,-0.711,-0.652,-0.528,0.711,0.063,-0.601,0.652,-0.063
Nxph1,,,,,,,,,,,,
Gm8609,0.0,0.0,-0.25,0.0,0.0,-0.233,0.0,0.0,-0.258,0.25,0.233,0.258
Fndc1,-0.187,-0.069,-0.381,0.187,0.111,-0.174,0.069,-0.111,-0.289,0.381,0.174,0.289
Nkain3,0.6,0.453,0.428,-0.6,-0.138,-0.163,-0.453,0.138,-0.025,-0.428,0.163,0.025
Eif1,-0.213,0.382,-0.584,0.213,0.543,-0.339,-0.382,-0.543,-0.882,0.584,0.339,0.882
Gm49578,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Gm12134,,,,,,,,,,,,
Gm17332,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Gm15538,0.296,0.385,-0.592,-0.296,0.079,-0.81,-0.385,-0.079,-0.896,0.592,0.81,0.896
Wdr41,0.01,-0.025,-0.516,-0.01,-0.032,-0.481,0.025,0.032,-0.45,0.516,0.481,0.45
Pitrm1,0.342,-0.172,0.096,-0.342,-0.47,-0.225,0.172,0.47,0.245,-0.096,0.225,-0.245
Gm19125,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Elovl2,0.26,-0.535,-0.287,-0.26,-0.731,-0.504,0.535,0.731,0.226,0.287,0.504,-0.226
Pilra,-0.75,-0.257,0.467,0.75,0.449,1.124,0.257,-0.449,0.664,-0.467,-1.124,-0.664
March5,-0.473,-0.533,0.306,0.473,-0.053,0.713,0.533,0.053,0.768,-0.306,-0.713,-0.768
Anapc15,-0.26,-1.422,0.317,0.26,-1.059,0.528,1.422,1.059,1.592,-0.317,-0.528,-1.592
Klhl38,,,,,,,,,,,,
Tmem234,-0.199,2.266,0.287,0.199,2.251,0.444,-2.266,-2.251,-1.81,-0.287,-0.444,1.81
Pla2g2f,,,,,,,,,,,,
Togaram2,-0.301,0.772,0.801,0.301,0.959,0.985,-0.772,-0.959,0.0,-0.801,-0.985,0.0
Gm20281,,,,,,,,,,,,
A430033K04Rik,0.689,-0.13,-0.425,-0.689,-0.75,-1.019,0.13,0.75,-0.271,0.425,1.019,0.271
Steap1,,,,,,,,,,,,
Lipo4,-0.553,0.0,0.0,0.553,0.533,0.554,0.0,-0.533,0.0,0.0,-0.554,0.0
Zfp869,-0.595,-0.04,-1.484,0.595,0.507,-0.811,0.04,-0.507,-1.32,1.484,0.811,1.32
Gm26585,-0.462,0.243,0.265,0.462,0.647,0.668,-0.243,-0.647,0.0,-0.265,-0.668,0.0
Gm10157,,,,,,,,,,,,
Rps8-ps1,0.202,-0.341,-1.137,-0.202,-0.495,-1.208,0.341,0.495,-0.727,1.137,1.208,0.727
Nat9,0.14,0.918,-0.181,-0.14,0.705,-0.293,-0.918,-0.705,-1.007,0.181,0.293,1.007
Tbc1d21,,,,,,,,,,,,
Wdr89,-0.073,-1.496,-1.08,0.073,-1.297,-0.917,1.496,1.297,0.384,1.08,0.917,-0.384
Hgh1,0.184,-1.261,-0.518,-0.184,-1.32,-0.642,1.261,1.32,0.685,0.518,0.642,-0.685
Gsr,-0.014,-0.792,-0.078,0.014,-0.709,-0.058,0.792,0.709,0.652,0.078,0.058,-0.652
Tlx1,0.0,-0.296,-0.25,0.0,-0.275,-0.234,0.296,0.275,0.042,0.25,0.234,-0.042
Crb2,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Gm5638,-0.196,0.162,0.154,0.196,0.327,0.32,-0.162,-0.327,-0.009,-0.154,-0.32,0.009
Angptl4,0.096,-1.189,0.453,-0.096,-1.171,0.325,1.189,1.171,1.503,-0.453,-0.325,-1.503
Gm21451,,,,,,,,,,,,
Vmn2r-ps104,-0.346,-0.557,-0.053,0.346,-0.19,0.27,0.557,0.19,0.462,0.053,-0.27,-0.462
Slc38a2,0.443,0.383,0.217,-0.443,-0.055,-0.206,-0.383,0.055,-0.151,-0.217,0.206,0.151
Use1,0.543,1.957,1.073,-0.543,1.291,0.482,-1.957,-1.291,-0.811,-1.073,-0.482,0.811
Sln,0.0,0.0,-0.25,0.0,0.0,-0.233,0.0,0.0,-0.258,0.25,0.233,0.258
Micu3,-0.98,1.386,0.549,0.98,2.166,1.403,-1.386,-2.166,-0.776,-0.549,-1.403,0.776
Ubxn6,0.832,1.587,0.158,-0.832,0.69,-0.617,-1.587,-0.69,-1.308,-0.158,0.617,1.308
Il4,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Nucks1,0.669,-0.95,0.718,-0.669,-1.478,0.044,0.95,1.478,1.522,-0.718,-0.044,-1.522
Npdc1,-0.771,-1.015,-1.579,0.771,-0.21,-0.737,1.015,0.21,-0.538,1.579,0.737,0.538
Slc9a3r2,0.626,-0.391,0.179,-0.626,-0.918,-0.419,0.391,0.918,0.517,-0.179,0.419,-0.517
Mup-ps10,,,,,,,,,,,,
Nudt17,0.836,0.176,0.115,-0.836,-0.605,-0.666,-0.176,0.605,-0.057,-0.115,0.666,0.057
Usp28,-0.982,-1.093,-1.223,0.982,-0.097,-0.214,1.093,0.097,-0.117,1.223,0.214,0.117
Olfr102,-0.804,0.413,-1.063,0.804,1.113,-0.23,-0.413,-1.113,-1.351,1.063,0.23,1.351
Gm9231,0.268,1.142,0.167,-0.268,0.81,-0.095,-1.142,-0.81,-0.911,-0.167,0.095,0.911
Cryab,0.65,0.678,0.7,-0.65,0.0,0.0,-0.678,0.0,0.0,-0.7,0.0,0.0
Olfr137,0.067,0.735,-0.157,-0.067,0.612,-0.205,-0.735,-0.612,-0.823,0.157,0.205,0.823
Mthfd2l,-0.1,1.29,0.649,0.1,1.271,0.685,-1.29,-1.271,-0.591,-0.649,-0.685,0.591
Slc22a29,,,,,,,,,,,,
Dnajc27,-0.099,0.03,-0.322,0.099,0.118,-0.203,-0.03,-0.118,-0.322,0.322,0.203,0.322
Gm17076,,,,,,,,,,,,
Gm45623,,,,,,,,,,,,
Llcfc1,,,,,,,,,,,,
Gm3690,,,,,,,,,,,,
Gm6177,0.111,-0.324,0.149,-0.111,-0.396,0.033,0.324,0.396,0.434,-0.149,-0.033,-0.434
Cebpe,-0.308,-0.531,-0.25,0.308,-0.195,0.054,0.531,0.195,0.25,0.25,-0.054,-0.25
Leng8,0.958,1.68,-0.786,-0.958,0.66,-1.593,-1.68,-0.66,-2.253,0.786,1.593,2.253
B3galt1,0.0,0.0,-0.25,0.0,0.0,-0.233,0.0,0.0,-0.258,0.25,0.233,0.258
Vps26b,-0.13,0.146,0.291,0.13,0.251,0.384,-0.146,-0.251,0.133,-0.291,-0.384,-0.133
Gm12173,,,,,,,,,,,,
Lrrc46,,,,,,,,,,,,
Tpgs2,-0.077,-0.179,1.251,0.077,-0.092,1.214,0.179,0.092,1.311,-1.251,-1.214,-1.311
Smarca1,0.0,0.0,-0.25,0.0,0.0,-0.233,0.0,0.0,-0.258,0.25,0.233,0.258
Gm4819,-0.579,-0.393,0.327,0.579,0.171,0.836,0.393,-0.171,0.665,-0.327,-0.836,-0.665
Gm43191,0.196,0.886,2.339,-0.196,0.633,2.008,-0.886,-0.633,1.412,-2.339,-2.008,-1.412
Olfr105-ps,0.527,0.02,0.711,-0.527,-0.467,0.164,-0.02,0.467,0.636,-0.711,-0.164,-0.636
Dusp11,-0.252,0.691,-0.166,0.252,0.861,0.078,-0.691,-0.861,-0.783,0.166,-0.078,0.783
Hist1h3c,0.179,-0.335,0.104,-0.179,-0.469,-0.068,0.335,0.469,0.401,-0.104,0.068,-0.401
Timm23,0.1,-0.592,-0.201,-0.1,-0.632,-0.275,0.592,0.632,0.358,0.201,0.275,-0.358
Alox5ap,-2.209,-0.25,-1.688,2.209,1.906,0.527,0.25,-1.906,-1.397,1.688,-0.527,1.397
Tal2,0.587,-0.374,0.354,-0.587,-0.865,-0.237,0.374,0.865,0.663,-0.354,0.237,-0.663
Gm36973,,,,,,,,,,,,
Gm16250,,,,,,,,,,,,
Gm14303,0.293,0.25,-1.159,-0.293,-0.04,-1.325,-0.25,0.04,-1.288,1.159,1.325,1.288
Csgalnact2,0.056,1.879,0.077,-0.056,1.662,0.019,-1.879,-1.662,-1.648,-0.077,-0.019,1.648
Gm11386,,,,,,,,,,,,
Ms4a6c,-1.768,-0.481,-1.355,1.768,1.179,0.383,0.481,-1.179,-0.799,1.355,-0.383,0.799
Gm44134,,,,,,,,,,,,
Apobec1,0.04,0.756,0.945,-0.04,0.654,0.826,-0.756,-0.654,0.169,-0.945,-0.826,-0.169
Ascl1,-0.307,0.0,0.0,0.307,0.311,0.331,0.0,-0.311,0.0,0.0,-0.331,0.0
Gm21135,,,,,,,,,,,,
Lcn5,,,,,,,,,,,,
Gm28114,,,,,,,,,,,,
Herc2,-0.536,0.624,0.122,0.536,1.059,0.601,-0.624,-1.059,-0.459,-0.122,-0.601,0.459
Cebpa,-0.109,0.482,-0.813,0.109,0.538,-0.631,-0.482,-0.538,-1.178,0.813,0.631,1.178
Sptbn1,0.613,-0.015,0.371,-0.613,-0.574,-0.222,0.015,0.574,0.353,-0.371,0.222,-0.353
Il23r,-0.922,1.464,-0.458,0.922,2.045,0.431,-1.464,-2.045,-1.729,0.458,-0.431,1.729
Gm2345,,,,,,,,,,,,
AC126035.1,,,,,,,,,,,,
Gm11471,,,,,,,,,,,,
Gm44295,,,,,,,,,,,,
Gm6198,-1.452,-0.302,-0.553,1.452,1.059,0.845,0.302,-1.059,-0.228,0.553,-0.845,0.228
Crnn,,,,,,,,,,,,
Gm6546,-0.307,0.0,0.0,0.307,0.311,0.331,0.0,-0.311,0.0,0.0,-0.331,0.0
Pcdh15,0.31,0.497,0.525,-0.31,0.176,0.198,-0.497,-0.176,0.02,-0.525,-0.198,-0.02
Zfp607b,0.033,0.833,2.019,-0.033,0.733,1.822,-0.833,-0.733,1.094,-2.019,-1.822,-1.094
Zfp35,-0.793,0.017,-0.208,0.793,0.742,0.539,-0.017,-0.742,-0.206,0.208,-0.539,0.206
Nradd,-1.056,-0.862,-0.695,1.056,0.179,0.334,0.862,-0.179,0.155,0.695,-0.334,-0.155
Gm2316,-0.356,0.666,-0.09,0.356,0.935,0.245,-0.666,-0.935,-0.698,0.09,-0.245,0.698
Gm13537,-0.088,0.619,0.035,0.088,0.651,0.113,-0.619,-0.651,-0.548,-0.035,-0.113,0.548
Mtor,-0.966,-0.031,-1.122,0.966,0.855,-0.141,0.031,-0.855,-0.997,1.122,0.141,0.997
Kcnk18,,,,,,,,,,,,
Gm28929,-0.308,0.0,-0.249,0.308,0.311,0.054,0.0,-0.311,-0.258,0.249,-0.054,0.258
Adam1b,-0.726,0.095,0.817,0.726,0.746,1.37,-0.095,-0.746,0.681,-0.817,-1.37,-0.681
Gm6333,0.107,0.154,0.19,-0.107,0.043,0.075,-0.154,-0.043,0.032,-0.19,-0.075,-0.032
Trav11d,0.179,0.022,0.316,-0.179,-0.145,0.124,-0.022,0.145,0.271,-0.316,-0.124,-0.271
Cited1,0.51,-0.204,0.244,-0.51,-0.644,-0.257,0.204,0.644,0.407,-0.244,0.257,-0.407
Dennd5b,-0.757,-0.432,-0.309,0.757,0.297,0.41,0.432,-0.297,0.112,0.309,-0.41,-0.112
Amy1,0.839,1.489,0.641,-0.839,0.639,-0.218,-1.489,-0.639,-0.869,-0.641,0.218,0.869
Ripk3,0.397,-0.413,0.875,-0.397,-0.74,0.434,0.413,0.74,1.177,-0.875,-0.434,-1.177
Cybrd1,-0.561,-0.414,-1.264,0.561,0.137,-0.634,0.414,-0.137,-0.775,1.264,0.634,0.775
Gm7295,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
H3f3a-ps2,-0.158,-0.094,-0.666,0.158,0.059,-0.463,0.094,-0.059,-0.523,0.666,0.463,0.523
Gm12411,0.22,-0.065,0.212,-0.22,-0.26,-0.008,0.065,0.26,0.253,-0.212,0.008,-0.253
Zfp868,-0.619,0.734,-0.631,0.619,1.234,-0.008,-0.734,-1.234,-1.248,0.631,0.008,1.248
Syvn1,0.087,-0.014,-0.145,-0.087,-0.092,-0.212,0.014,0.092,-0.12,0.145,0.212,0.12
Kmt5c,-0.951,-1.078,-0.545,0.951,-0.115,0.373,1.078,0.115,0.489,0.545,-0.373,-0.489
Gm19353,-0.94,-0.224,-0.243,0.94,0.658,0.643,0.224,-0.658,-0.017,0.243,-0.643,0.017
Gm11890,,,,,,,,,,,,
Rfesd,-0.566,2.238,-0.186,0.566,2.57,0.349,-2.238,-2.57,-2.226,0.186,-0.349,2.226
Gm16139,0.218,-0.064,0.267,-0.218,-0.258,0.0,0.064,0.258,0.303,-0.267,0.0,-0.303
Ash2l,-0.592,0.527,-0.284,0.592,1.022,0.282,-0.527,-1.022,-0.742,0.284,-0.282,0.742
Rapgef6,-0.033,0.521,0.181,0.033,0.507,0.196,-0.521,-0.507,-0.311,-0.181,-0.196,0.311
2610024D14Rik,-0.917,-0.003,-1.351,0.917,0.837,-0.391,0.003,-0.837,-1.233,1.351,0.391,1.233
Heph,,,,,,,,,,,,
Gm18757,,,,,,,,,,,,
Tmem87a,-0.306,-0.499,-0.074,0.306,-0.176,0.212,0.499,0.176,0.388,0.074,-0.212,-0.388
Slc2a13,,,,,,,,,,,,
Ssxb3,,,,,,,,,,,,
Olfr343-ps1,,,,,,,,,,,,
Gm18812,,,,,,,,,,,,
Lypla1,0.545,2.442,1.79,-0.545,1.732,1.135,-2.442,-1.732,-0.6,-1.79,-1.135,0.6
Skint8,-0.456,-0.323,-0.469,0.456,0.123,-0.01,0.323,-0.123,-0.133,0.469,0.01,0.133
Ttyh2,-0.593,1.136,0.275,0.593,1.585,0.797,-1.136,-1.585,-0.794,-0.275,-0.797,0.794
Gm49062,,,,,,,,,,,,
Il10,-0.731,-0.756,-0.924,0.731,-0.019,-0.171,0.756,0.019,-0.153,0.924,0.171,0.153
Cstdc7,,,,,,,,,,,,
Gm47412,,,,,,,,,,,,
Gm8233,0.014,0.475,-0.281,-0.014,0.422,-0.269,-0.475,-0.422,-0.695,0.281,0.269,0.695
Slc4a9,-0.158,-0.019,-0.174,0.158,0.125,-0.013,0.019,-0.125,-0.139,0.174,0.013,0.139
Uckl1,0.54,-0.416,-0.295,-0.54,-0.872,-0.762,0.416,0.872,0.111,0.295,0.762,-0.111
Paqr8,0.708,-0.541,0.492,-0.708,-1.149,-0.204,0.541,1.149,0.952,-0.492,0.204,-0.952
Gm9864,0.569,0.012,0.576,-0.569,-0.509,0.005,-0.012,0.509,0.515,-0.576,-0.005,-0.515
Dgkk,,,,,,,,,,,,
Amd-ps3,0.0,-1.607,-1.209,0.0,-1.452,-1.096,1.607,1.452,0.376,1.209,1.096,-0.376
Pomc,-0.793,-1.133,-0.641,0.793,-0.306,0.144,1.133,0.306,0.453,0.641,-0.144,-0.453
Zmynd11,0.12,1.978,-0.054,-0.12,1.696,-0.159,-1.978,-1.696,-1.858,0.054,0.159,1.858
Cd52,0.458,1.143,0.647,-0.458,0.625,0.172,-1.143,-0.625,-0.454,-0.647,-0.172,0.454
AC117248.1,0.126,0.173,0.209,-0.126,0.043,0.075,-0.173,-0.043,0.032,-0.209,-0.075,-0.032
Jmjd6,0.067,-0.225,0.173,-0.067,-0.267,0.096,0.225,0.267,0.364,-0.173,-0.096,-0.364
Olfr211,-0.503,-0.102,-0.666,0.503,0.358,-0.144,0.102,-0.358,-0.5,0.666,0.144,0.5
Gm45562,,,,,,,,,,,,
Gm11824,0.475,0.41,0.848,-0.475,-0.064,0.345,-0.41,0.064,0.412,-0.848,-0.345,-0.412
Ltb4r2,-0.229,-0.908,-1.609,0.229,-0.616,-1.252,0.908,0.616,-0.639,1.609,1.252,0.639
Gm10039,-0.516,0.935,0.958,0.516,1.318,1.339,-0.935,-1.318,0.0,-0.958,-1.339,0.0
Gm29586,,,,,,,,,,,,
Vmn2r-ps121,,,,,,,,,,,,
Snx2,-1.447,-0.25,0.121,1.447,1.095,1.434,0.25,-1.095,0.339,-0.121,-1.434,-0.339
Gm7543,,,,,,,,,,,,
Dusp2,0.82,-0.17,-0.981,-0.82,-0.904,-1.644,0.17,0.904,-0.74,0.981,1.644,0.74
4930448K20Rik,-0.336,0.244,-0.083,0.336,0.533,0.229,-0.244,-0.533,-0.299,0.083,-0.229,0.299
Wwc1,-0.068,1.001,0.071,0.068,0.988,0.127,-1.001,-0.988,-0.866,-0.071,-0.127,0.866
Vgll3,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Polr3e,0.809,0.899,0.521,-0.809,0.08,-0.267,-0.899,-0.08,-0.348,-0.521,0.267,0.348
Acss2,2.271,1.775,0.89,-2.271,-0.457,-1.266,-1.775,0.457,-0.809,-0.89,1.266,0.809
Gm6823,-0.318,0.0,0.0,0.318,0.32,0.34,0.0,-0.32,0.0,0.0,-0.34,0.0
Gm49339,-0.638,-0.95,1.313,0.638,-0.281,1.783,0.95,0.281,2.074,-1.313,-1.783,-2.074
Rps15a,0.805,-0.721,0.683,-0.805,-1.393,-0.112,0.721,1.393,1.282,-0.683,0.112,-1.282
Psmc2,-0.803,-0.431,-0.486,0.803,0.341,0.29,0.431,-0.341,-0.051,0.486,-0.29,0.051
Reep5,1.18,1.376,1.237,-1.18,0.18,0.051,-1.376,-0.18,-0.128,-1.237,-0.051,0.128
Gm48300,-0.102,0.245,0.267,0.102,0.317,0.337,-0.245,-0.317,0.0,-0.267,-0.337,0.0
Pkdrej,0.401,0.428,0.45,-0.401,0.0,0.0,-0.428,0.0,0.0,-0.45,0.0,0.0
Gm14380,0.019,0.063,0.451,-0.019,0.04,0.398,-0.063,-0.04,0.361,-0.451,-0.398,-0.361
Olfr527,0.204,1.18,-0.819,-0.204,0.909,-0.917,-1.18,-0.909,-1.792,0.819,0.917,1.792
Iglv2,0.007,0.477,1.364,-0.007,0.432,1.261,-0.477,-0.432,0.832,-1.364,-1.261,-0.832
Asb12,,,,,,,,,,,,
Gm10020,0.09,1.202,-1.865,-0.09,1.02,-1.776,-1.202,-1.02,-2.794,1.865,1.776,2.794
Asb1,0.973,0.779,-0.433,-0.973,-0.179,-1.285,-0.779,0.179,-1.108,0.433,1.285,1.108
Sult2a2,,,,,,,,,,,,
Stum,0.089,0.115,0.166,-0.089,0.024,0.07,-0.115,-0.024,0.046,-0.166,-0.07,-0.046
Gm48407,-0.22,0.234,1.36,0.22,0.415,1.455,-0.234,-0.415,1.07,-1.36,-1.455,-1.07
Zfp616,,,,,,,,,,,,
Gm8116,0.668,-2.426,-1.395,-0.668,-2.815,-1.883,2.426,2.815,0.949,1.395,1.883,-0.949
Gm16265,-0.218,0.471,0.493,0.218,0.633,0.654,-0.471,-0.633,0.0,-0.493,-0.654,0.0
Gm29299,,,,,,,,,,,,
Gm8161,,,,,,,,,,,,
Gm9431,0.0,0.0,-0.618,0.0,0.0,-0.567,0.0,0.0,-0.592,0.618,0.567,0.592
Arglu1,1.012,1.783,2.04,-1.012,0.702,0.936,-1.783,-0.702,0.233,-2.04,-0.936,-0.233
Gm5200,,,,,,,,,,,,
Gm15455,-0.657,-1.048,0.812,0.657,-0.366,1.365,1.048,0.366,1.712,-0.812,-1.365,-1.712
Olfr359-ps1,,,,,,,,,,,,
Barx1,,,,,,,,,,,,
Clrn3,,,,,,,,,,,,
1500009L16Rik,1.616,0.228,2.225,-1.616,-1.27,0.553,-0.228,1.27,1.826,-2.225,-0.553,-1.826
Ankrd33,,,,,,,,,,,,
Gm9143,-0.085,-0.003,-0.149,0.085,0.076,-0.057,0.003,-0.076,-0.134,0.149,0.057,0.134
Ttc25,0.271,0.992,-0.57,-0.271,0.661,-0.768,-0.992,-0.661,-1.432,0.57,0.768,1.432
Cops9,1.003,0.179,0.278,-1.003,-0.756,-0.667,-0.179,0.756,0.091,-0.278,0.667,-0.091
Trav13d-2,-0.009,-0.017,0.536,0.009,-0.007,0.502,0.017,0.007,0.514,-0.536,-0.502,-0.514
Prodh2,-0.486,0.414,-1.126,0.486,0.825,-0.58,-0.414,-0.825,-1.414,1.126,0.58,1.414
Mapk12,0.023,0.356,0.726,-0.023,0.303,0.64,-0.356,-0.303,0.336,-0.726,-0.64,-0.336
Ighv1-62,,,,,,,,,,,,
Usp37,-0.312,0.138,-0.895,0.312,0.411,-0.532,-0.138,-0.411,-0.944,0.895,0.532,0.944
Tmem184c,1.661,-0.344,2.193,-1.661,-1.835,0.479,0.344,1.835,2.322,-2.193,-0.479,-2.322
Gm815,,,,,,,,,,,,
Gm49273,-1.485,0.145,-0.886,1.485,1.489,0.548,-0.145,-1.489,-0.942,0.886,-0.548,0.942
Gm43925,,,,,,,,,,,,
Nrg4,0.087,0.193,0.656,-0.087,0.095,0.517,-0.193,-0.095,0.428,-0.656,-0.517,-0.428
Ldha-ps2,0.59,-0.538,0.315,-0.59,-1.005,-0.273,0.538,1.005,0.774,-0.315,0.273,-0.774
Adra2c,,,,,,,,,,,,
Pcdh12,,,,,,,,,,,,
Tfg,-0.163,1.219,-0.613,0.163,1.262,-0.41,-1.219,-1.262,-1.676,0.613,0.41,1.676
Rnf111,-0.603,0.593,0.317,0.603,1.092,0.841,-0.593,-1.092,-0.252,-0.317,-0.841,0.252
Nelfb,0.084,-0.038,0.51,-0.084,-0.112,0.388,0.038,0.112,0.501,-0.51,-0.388,-0.501
Zfp787,0.194,0.545,0.19,-0.194,0.321,-0.004,-0.545,-0.321,-0.325,-0.19,0.004,0.325
Wnt10b,1.313,0.218,0.579,-1.313,-1.02,-0.695,-0.218,1.02,0.332,-0.579,0.695,-0.332
Syt9,,,,,,,,,,,,
Nup62,0.373,-0.754,-0.12,-0.373,-1.029,-0.45,0.754,1.029,0.58,0.12,0.45,-0.58
Mmd2,-0.157,-0.42,-0.172,0.157,-0.239,-0.012,0.42,0.239,0.229,0.172,0.012,-0.229
Hbegf,-2.108,-1.572,-1.925,2.108,0.519,0.186,1.572,-0.519,-0.335,1.925,-0.186,0.335
Tes3-ps,-0.756,-0.809,-0.618,0.756,-0.047,0.131,0.809,0.047,0.179,0.618,-0.131,-0.179
Gm17113,-0.318,0.0,0.0,0.318,0.32,0.34,0.0,-0.32,0.0,0.0,-0.34,0.0
Tmem267,0.666,-0.036,-0.459,-0.666,-0.642,-1.03,0.036,0.642,-0.385,0.459,1.03,0.385
Galnt2,0.835,1.451,0.755,-0.835,0.562,-0.074,-1.451,-0.562,-0.636,-0.755,0.074,0.636
Ddrgk1,0.822,-0.238,-0.5,-0.822,-0.969,-1.209,0.238,0.969,-0.239,0.5,1.209,0.239
Gm5552,-0.307,0.0,0.0,0.307,0.311,0.331,0.0,-0.311,0.0,0.0,-0.331,0.0
Gm43097,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Gm5936,,,,,,,,,,,,
Gm8785,,,,,,,,,,,,
Gm5617,0.268,-0.049,0.424,-0.268,-0.292,0.14,0.049,0.292,0.435,-0.424,-0.14,-0.435
Gm5231,,,,,,,,,,,,
Gm18116,0.55,-0.326,0.155,-0.55,-0.811,-0.36,0.326,0.811,0.439,-0.155,0.36,-0.439
Gm8749,,,,,,,,,,,,
Pde12,0.202,-0.864,-0.054,-0.202,-0.973,-0.235,0.864,0.973,0.741,0.054,0.235,-0.741
Ngly1,-0.094,-0.489,-0.342,0.094,-0.361,-0.226,0.489,0.361,0.134,0.342,0.226,-0.134
Rgr,0.576,0.265,-0.121,-0.576,-0.302,-0.643,-0.265,0.302,-0.355,0.121,0.643,0.355
Gm49962,,,,,,,,,,,,
Gm6348,,,,,,,,,,,,
