gene_name,P2_Arm,P3_Arm,P4_Arm,P5_Arm,P6_Arm,P7_Arm,P8_Arm,P9_Arm,P10_Arm,P2_Cl13,P3_Cl13,P4_Cl13,P5_Cl13,P6_Cl13,P7_Cl13,P8_Cl13,P9_Cl13,P10_Cl13
Lta4h,0.13009456,0.14237401,0.1219445,0.16792274,0.13020183,0.111974664,0.21405362,0.15452698,0.20091017,0.18953373,0.101500556,0.106009655,0.13399091,0.10710791,0.11383163,0.15540563,0.088860884,0.11235706
Fgd6,0.059121575,0.046530448,0.03970492,0.05090138,0.037180398,0.06473722,0.022135373,0.060551543,0.050644353,0.07990679,0.06208267,0.0879135,0.061048526,0.07077616,0.04676173,0.071765125,0.05790178,0.048793953
Nr2c1,0.04885812,0.015143899,0.036160573,0.030723749,0.02298128,0.022886861,0.0,0.030055612,0.02455095,0.05664661,0.020187762,0.028284088,0.04948037,0.026963217,0.04485472,0.02793286,0.029189762,0.04999733
Ndufa12,0.065672055,0.043123852,0.05715031,0.041047677,0.056337163,0.035725687,0.0206397,0.020991465,0.018724287,0.07110287,0.03541414,0.04682774,0.047945034,0.058522277,0.041795798,0.029113218,0.026325287,0.05401632
Tmcc3,0.051482935,0.044503726,0.048613943,0.03829115,0.034929596,0.011694902,0.06642254,0.020690968,0.002825997,0.06882666,0.076956354,0.10189649,0.069941774,0.060144223,0.057861917,0.09503992,0.14561008,0.50686723
Cep83,0.6872414,0.44711956,0.5040002,0.62255615,0.5073323,0.36140648,0.43908334,0.29283652,0.37887755,0.83989847,0.49550888,0.61372995,0.526284,0.49580228,0.39923003,0.30963036,0.34286898,0.46482337
Ube2n,0.81829405,0.7262572,0.735238,0.7666209,0.7816796,0.68718827,0.58984834,0.5317711,0.45006505,0.7276482,0.7406496,0.8631304,0.7735429,0.873637,0.6868295,0.49729243,0.77217007,0.8993471
Eea1,0.811176,0.4873065,0.5983865,0.5966192,0.48369157,0.88420266,0.64209855,0.36795437,0.4286782,2.1102834,1.2660666,1.2526168,1.4029399,1.0024508,2.4843066,1.3068924,1.0599949,0.6758436
Btg1,0.036347736,0.04718787,0.04230446,0.032306496,0.049437772,0.071258694,0.117305845,0.1154722,0.07509258,0.016970554,0.03935433,0.023088302,0.018994683,0.037673965,0.025689857,0.08480254,0.035640325,0.0
Atp2b1,2.0178204,2.358044,2.2580538,2.3326118,2.4676917,3.3553236,2.9212725,4.138023,5.2112546,1.906707,2.5234,2.4225485,2.3475578,2.603034,2.2951505,2.046678,2.5951433,3.6335413
Poc1b,0.13502528,0.13948359,0.11771388,0.113221824,0.14412871,0.0759043,0.09523624,0.12230831,0.13163781,0.19412926,0.15638873,0.10010213,0.1194932,0.09912852,0.098556,0.20425501,0.078789905,0.14726672
Dusp6,0.018810153,0.023672063,0.018741481,0.02131583,0.017515207,0.0059145996,0.006981504,0.0068488605,0.0050725196,0.015166536,0.010733126,0.011972053,0.01163188,0.0046886536,0.0067117144,0.0040976806,0.01737668,0.0
Cep290,0.04200241,0.0076075704,0.017186783,0.014025949,0.0064885765,0.028024055,0.0011130245,0.0031878043,0.00076920155,0.024984458,0.009727016,0.012196553,0.01626358,0.0037919043,0.017371593,0.038504556,0.022825373,0.026765477
Ccdc59,0.25584412,0.17522612,0.21270531,0.24302198,0.28582507,0.20362185,0.28854242,0.12684056,0.11001899,0.23610744,0.13847917,0.19632001,0.22973712,0.24458858,0.17533244,0.13548717,0.15004644,0.20255952
Ppp1r12a,4.7211347,6.0105824,5.194127,5.073608,5.982549,6.7962728,7.971709,10.255049,10.27406,3.6738138,4.963484,4.585883,4.524059,5.5963507,5.262378,6.601972,7.107267,7.396905
Pawr,0.09648108,0.020903321,0.042115774,0.078432664,0.07976131,0.073881,0.07229468,0.030947559,0.022620074,0.15575036,0.0683048,0.07963127,0.09094404,0.07479718,0.10158532,0.08047002,0.051845204,0.020507682
E2f7,0.5044115,0.3194122,0.28926992,0.49366355,0.2513319,0.084923744,0.041723397,0.015034663,0.013564094,0.48916456,0.36612344,0.23444381,0.52830714,0.14063744,0.04757709,0.13322285,0.061002932,0.030383397
Csrp2,0.020448394,0.011000647,0.019110598,0.020061867,0.011837972,0.00083377794,0.0018143492,0.0010773329,0.0030642375,0.034916222,0.01665322,0.010660358,0.024454376,0.027838007,0.006541289,0.009387545,0.0,0.0
Osbpl8,3.166643,3.4166322,3.6238964,3.4143202,3.4521403,3.003898,3.1136832,3.3773825,3.9032552,3.4971368,3.6446047,3.811431,3.3903778,3.6141584,3.1457274,3.2438602,2.9134262,2.6925242
Nap1l1,2.2487655,0.82800007,1.3044453,1.3785917,1.1010813,0.6853744,0.4558253,0.33553594,0.35676116,2.121098,0.9292253,1.2215542,1.2281048,0.88737696,0.65954274,0.7417746,0.5428637,0.6555968
Phlda1,0.02929439,0.048128393,0.034749158,0.01969442,0.042498797,0.00840336,0.07347714,0.017468305,0.023859017,0.025068,0.028496023,0.026778512,0.025852231,0.02706266,0.009197041,0.018042138,0.0037924808,0.017549543
Krr1,0.10482846,0.080877945,0.08196869,0.08613324,0.10059168,0.06379435,0.092443116,0.045845922,0.06070936,0.10966377,0.068068795,0.07584015,0.08041973,0.09625697,0.06869705,0.06135715,0.097326085,0.13535564
Zfc3h1,1.3938104,1.2998396,1.3568501,1.1563934,1.3724558,1.4467432,1.3456838,1.3370968,1.3094995,1.3732723,1.4614996,1.5845325,1.5354943,1.6029887,1.8174167,1.146914,1.4223766,1.5065418
Cpm,0.59594625,0.44050333,0.51834226,0.5049367,0.4736395,0.7406729,0.26890987,0.5531893,0.3199119,0.30654985,0.2549058,0.19473793,0.19733773,0.24733311,0.34057465,0.11709585,0.09438371,0.19239965
Mdm1,0.10983579,0.120585926,0.11100057,0.100893155,0.08500154,0.030485349,0.041863557,0.023297213,0.05141927,0.09413649,0.112120785,0.11574947,0.086474486,0.07934211,0.036759835,0.027923185,0.029050665,0.09439308
Ifng,0.6343998,0.7462339,0.69257385,0.72739846,0.7379539,0.42553267,0.7930325,0.6676518,0.47346872,0.46195742,0.54801106,0.4414488,0.4701016,0.6245191,0.28187063,1.0779525,0.7182323,0.8957996
Tmbim4,0.4164417,0.23265183,0.36667547,0.300809,0.40861675,0.2967711,0.43623775,0.22075363,0.15485452,0.5198119,0.42599037,0.5883807,0.4984833,0.5946321,0.32609546,0.39863846,0.39663175,0.7417027
Llph,0.16965948,0.091525994,0.11043097,0.10024274,0.11600891,0.0973681,0.06457806,0.06236244,0.030750329,0.17655984,0.087078676,0.13979195,0.08512085,0.11939334,0.09630065,0.052301057,0.05225456,0.0077244365
Gns,0.08465452,0.10123398,0.11591889,0.122362085,0.17607531,0.1036503,0.3253205,0.16056824,0.43648982,0.059789825,0.10034077,0.12089472,0.12940212,0.13808641,0.08763005,0.15338528,0.19886883,0.27261338
BC048403,0.050509553,0.0336206,0.047547497,0.03825019,0.044352382,0.03274855,0.045062177,0.03422952,0.018506264,0.059684433,0.024026996,0.042679023,0.049813427,0.025286596,0.036809377,0.041256327,0.030902391,0.016801665
Ppm1h,2.1594687,3.0412037,2.5229754,2.6499333,2.6366434,4.5137515,5.2603173,5.155837,4.4185634,3.1556118,4.2843866,3.3106003,3.583971,3.2637632,4.192397,9.020937,5.4110947,5.4242735
Ctdsp2,0.004396498,0.0050925,0.0070333644,0.0044851867,0.0064099557,0.0019249379,0.0,0.0019127608,0.0002929004,0.0085659055,0.006220759,0.0024644486,0.003504543,0.023225436,0.0136652505,0.007601277,0.008904401,0.039715394
Mettl1,0.048834592,0.015581929,0.029219458,0.03840081,0.03354654,0.017012123,0.01168078,0.0085482355,0.00086278707,0.05931103,0.012790015,0.030905047,0.044964008,0.051030442,0.035576366,0.02592853,0.0115123205,0.0
Cdk4,0.026844475,0.018570332,0.015955696,0.020417001,0.008628458,0.008843348,0.0,0.007269287,0.009636513,0.017901383,0.01293346,0.019119412,0.020875283,0.014565661,0.0090380255,0.005773701,0.014521225,0.0
Agap2,0.27726728,0.4351445,0.3487139,0.33405963,0.38916245,0.3358755,0.50683045,0.39350727,0.42127702,0.34564555,0.40376836,0.38186762,0.3304712,0.39344928,0.35227448,0.66587895,0.5228254,0.4062828
B4galnt1,0.09815235,0.12231151,0.142375,0.11823803,0.10237848,0.13798696,0.14540997,0.13892315,0.0794333,0.13961215,0.16112006,0.13874395,0.1078174,0.122152895,0.11527922,0.13495603,0.087066524,0.04140494
Dctn2,0.049363263,0.041288894,0.051219866,0.041726947,0.058027018,0.056891665,0.031392176,0.048041116,0.045514736,0.037735194,0.040298693,0.043839,0.042126335,0.04264646,0.0262162,0.038205493,0.043255568,0.03282734
Ddit3,0.010856598,0.015788496,0.015018436,0.009754162,0.012582058,0.016151868,0.012461911,0.014387977,0.0063890605,0.009473771,0.013275392,0.011734419,0.008904559,0.004868232,0.023895564,0.011214557,0.0073861033,0.015680332
Arhgap9,0.035188925,0.043387905,0.045363568,0.031513833,0.053479303,0.060210243,0.06505085,0.04734906,0.032136407,0.055383608,0.044088367,0.040811915,0.018108351,0.029149031,0.046010878,0.0775752,0.015000546,0.0
R3hdm2,0.42724103,0.52470267,0.43748778,0.45253533,0.3421927,0.5927835,0.57135797,0.680196,0.7186628,0.53928715,0.62877566,0.45524955,0.48340508,0.49100444,0.5570709,0.89486825,0.60155714,0.61941886
Stat6,0.07976854,0.08636545,0.08016993,0.07740526,0.053862285,0.109708,0.11775688,0.11366522,0.13599092,0.039478008,0.10983872,0.09309333,0.07954638,0.102407105,0.113935806,0.117873915,0.10757879,0.10493233
Nemp1,0.11458551,0.114404194,0.08961895,0.10656851,0.07577502,0.043430574,0.011548081,0.04541965,0.039124914,0.1511548,0.16149315,0.09872929,0.09427651,0.08160256,0.050461814,0.063576244,0.019552032,0.0
Zbtb39,0.030452631,0.029331231,0.033606835,0.029052198,0.033821177,0.01890768,0.0068056607,0.013182984,0.024283782,0.02855497,0.030496625,0.046931252,0.035588905,0.031234786,0.037682194,0.008021205,0.04834803,0.0
Prim1,0.7685773,0.26408428,0.4649033,0.74279916,0.52794343,0.1499692,0.07881564,0.03628702,0.029212402,0.5926532,0.31624252,0.386679,0.7079542,0.3816086,0.14364475,0.22885776,0.08632763,0.09218845
Naca,0.3107438,0.25297627,0.29073027,0.2725248,0.3295044,0.2225422,0.33011493,0.1951751,0.16495024,0.26903746,0.24292919,0.28229547,0.27446893,0.23863739,0.23048179,0.20636642,0.21713032,0.20956552
Ptges3,0.6846913,0.40004396,0.5213166,0.59739447,0.5516052,0.4640994,0.19793068,0.30709496,0.23341405,0.6352672,0.4415003,0.49184775,0.5220062,0.46668744,0.50641626,0.274706,0.36739382,0.31510592
Atp5b,0.15821622,0.1432232,0.1531222,0.15544258,0.14379036,0.124097005,0.1345911,0.09455357,0.08424157,0.19915931,0.102778606,0.1358942,0.1416975,0.15890044,0.11940813,0.0977072,0.12133386,0.052435696
Baz2a,0.3839618,0.50129133,0.47631976,0.46191838,0.6179961,0.52902025,0.72616696,0.60057044,0.67000175,0.37549323,0.5844648,0.57902735,0.5195861,0.6928007,0.6587897,0.73717517,0.9054744,0.8360405
Timeless,0.3044622,0.21668464,0.28638422,0.33722603,0.28229648,0.12073269,0.051911563,0.036719874,0.041352082,0.33178148,0.16649911,0.22685447,0.3391099,0.18152241,0.084394716,0.1456217,0.07573361,0.08959826
Stat2,0.13291745,0.2259347,0.17540501,0.15253127,0.18251845,0.2925509,0.21964338,0.26969296,0.19563018,0.13058265,0.2946292,0.2444363,0.26453415,0.28982762,0.3397989,0.42109826,0.36952317,0.3268416
Pan2,0.090692304,0.082545854,0.088936076,0.070806906,0.04867252,0.060750645,0.04740167,0.05923963,0.064406276,0.059995662,0.08229135,0.07984587,0.06765034,0.06342329,0.060564682,0.07371833,0.033392735,0.09141084
Cnpy2,0.024892054,0.015140991,0.0260031,0.021686677,0.027141564,0.018991444,0.0,0.024909858,0.00806511,0.03835062,0.026983032,0.02947815,0.021557463,0.024869034,0.015453001,0.02370436,0.013765898,0.0
Cs,0.5959404,0.4061083,0.45317015,0.5630262,0.49256107,0.29676503,0.35904163,0.28274918,0.30180293,0.59673154,0.4391296,0.5385724,0.4933824,0.41172963,0.31232893,0.33379707,0.3702513,0.4429187
Ankrd52,0.3499683,0.2120355,0.2684056,0.2648419,0.27689615,0.1594348,0.16252044,0.15477565,0.15631527,0.38870078,0.20486157,0.26526272,0.20627211,0.21037656,0.18875033,0.24978405,0.1806038,0.13104266
Rnf41,0.0541259,0.07584652,0.072041295,0.054506943,0.07440823,0.054739468,0.055129107,0.091412745,0.047417454,0.09275563,0.07559102,0.06480733,0.06389702,0.05698225,0.10620272,0.08342392,0.047454666,0.0
Smarcc2,0.5418348,0.43256912,0.48885342,0.57074493,0.4587209,0.4210011,0.3426777,0.4067041,0.49313465,0.72051066,0.5782521,0.59836763,0.68053997,0.5379642,0.3989989,0.59522533,0.4732237,0.5245342
Pym1,0.41692308,0.27606001,0.38102508,0.40988043,0.44674683,0.25095424,0.32098898,0.13786912,0.11536036,0.44675222,0.40366408,0.54099774,0.5885647,0.5575536,0.45467743,0.21350412,0.44236013,0.29837632
Dnajc14,0.038652472,0.032586813,0.03670793,0.034359843,0.039522197,0.030598842,0.055371623,0.023455705,0.017127601,0.032846916,0.03846976,0.03652692,0.04676633,0.033199083,0.033965554,0.028156092,0.024349341,0.020778343
Sarnp,0.930636,0.8690324,0.90476185,0.9470938,0.99770445,0.84001297,0.7639107,0.6065518,0.58647805,1.1601032,0.9015066,0.96555096,0.9967243,1.0249473,0.88214535,0.7268289,0.87694526,0.76021385
Tespa1,0.11749024,0.13622835,0.10996054,0.086813994,0.10277479,0.5213721,0.15166643,0.4065046,0.32516986,0.19759946,0.1540317,0.090810046,0.100082,0.07015304,0.5667447,0.08598558,0.13054764,0.08221713
Sfi1,0.15822732,0.16561908,0.1557044,0.13090089,0.15036662,0.27932584,0.22438367,0.38830614,0.40915436,0.19395763,0.18176052,0.14463356,0.1442445,0.13949095,0.26412752,0.5178181,0.27494714,0.3009322
Drg1,0.9757199,0.5959795,0.6923287,0.7752956,0.7078915,0.55606043,0.42343634,0.4405138,0.43102825,0.958742,0.6983828,0.7680116,0.84272254,0.7599677,0.5995496,0.6545961,0.6366193,0.5264814
Limk2,0.434241,0.526661,0.52671194,0.47356233,0.5215186,0.50892276,0.38521972,0.4861739,0.5106121,0.56738234,0.5734778,0.404792,0.5158886,0.5902643,0.4945565,0.85352457,0.5388641,0.6981615
Rnf185,0.26508415,0.36843985,0.28801048,0.31195492,0.36063772,0.26768878,0.36200756,0.2749244,0.23755254,0.15836282,0.32224664,0.31507826,0.24307014,0.32054394,0.33222672,0.17838915,0.28218943,0.39842382
Smtn,0.007355857,0.026729677,0.015831223,0.0056854114,0.009609246,0.0017672081,0.0,0.0044941814,0.0072303927,0.0023142935,0.017908596,0.016100017,0.0063151107,0.006752182,0.0004635171,0.0032975853,0.003939121,0.0
Tcn2,0.004066905,0.0063207704,0.010897137,0.0056106215,0.0077981963,0.032407146,0.019449942,0.021064095,0.043964732,0.011267138,0.013886909,0.010814116,0.010139258,0.017388647,0.022429015,0.024822619,0.063272685,0.102731444
Ccdc157,0.029048637,0.016378513,0.023289705,0.02099281,0.039304093,0.053872935,0.013466978,0.009231507,0.0063693863,0.020443244,0.012938981,0.017113922,0.01883384,0.026076846,0.039881133,0.0140384305,0.014369885,0.03526709
Mtmr3,1.0959742,1.1635282,1.0503116,1.0311704,1.0596485,1.5850979,1.7357574,1.6845648,1.5956148,1.4176819,1.5068687,1.1851816,1.1065743,1.2904452,1.7147701,1.5939637,1.5007899,0.807853
Uqcr10,0.023720043,0.016940014,0.016342863,0.013372555,0.009358564,0.008394163,0.016002074,0.014555168,0.010532786,0.025839742,0.010414465,0.013357714,0.011584567,0.010510594,0.01334428,0.008379159,0.02457197,0.034389716
Nf2,0.3141451,0.2232429,0.25786346,0.24379954,0.2855767,0.28192657,0.25682458,0.27537355,0.33271605,0.42518386,0.28505978,0.29932296,0.3077752,0.2791713,0.34103882,0.3543424,0.24453832,0.18218778
Nefh,0.0038055794,0.0,0.0,0.0010352943,0.0006124601,0.00090843,0.03364926,0.004055676,0.002754988,0.0022069628,0.0001838308,0.002981968,0.00057876104,0.0,2.3142296e-05,0.0,0.0,0.0
Ewsr1,1.0278575,0.7778242,0.84436095,0.9664183,0.8534524,0.83009666,0.7760756,0.6890138,0.674436,0.916779,0.72329205,0.78064245,0.92820776,0.7676695,0.78507507,0.6171772,0.7400583,0.7559134
Kremen1,0.17558259,0.17604561,0.16857256,0.13485628,0.14802277,0.118397646,0.18113978,0.16549261,0.14531276,0.15683539,0.14437506,0.15809233,0.112907246,0.16579118,0.13887075,0.13756756,0.16869451,0.17034078
Znrf3,0.8835412,0.5831563,0.6584918,0.79138213,0.79355747,0.9201563,1.1620032,1.6908144,2.2343466,0.68435425,0.3233337,0.30403507,0.5677759,0.44324684,0.3870799,0.57169694,0.62086165,0.45840544
Ccdc117,0.6336947,0.5005125,0.49288207,0.61890924,0.52181804,0.50900537,0.23967393,0.29127112,0.17581543,0.31057534,0.33184358,0.333297,0.3549459,0.3064514,0.26881376,0.21403159,0.23320928,0.17390701
Mrps24,0.017592916,0.015762676,0.019065736,0.011236691,0.014361175,0.0057066227,0.045617085,0.009429049,0.010694595,0.004697296,0.01627524,0.01722169,0.011875845,0.023239672,0.01652936,0.0018353441,0.025035586,0.0
Urgcp,0.19001284,0.1536871,0.16895674,0.18692574,0.19960935,0.12469064,0.25116023,0.14893319,0.20770225,0.28434974,0.18013057,0.15317257,0.21005544,0.18350647,0.18681665,0.24164364,0.1808428,0.20613152
Polm,0.11131416,0.11603879,0.115887515,0.12211862,0.11082727,0.09002572,0.08368398,0.09463423,0.15530309,0.098512515,0.100883,0.12119591,0.10821759,0.117070295,0.07334579,0.09708471,0.07989974,0.05920427
Pold2,0.10916033,0.049873292,0.063681416,0.08636002,0.052677803,0.024768606,0.0,0.017548356,0.012361415,0.12052387,0.03097033,0.05274951,0.08994807,0.035597343,0.022511361,0.0132125495,0.007793949,0.039715394
Camk2b,0.06204867,0.13687119,0.08357443,0.07174434,0.086191535,0.10114551,0.014322195,0.100053884,0.08847668,0.045224767,0.10505063,0.07630905,0.06856038,0.08703699,0.035633348,0.040566053,0.04973421,0.019699693
Nudcd3,1.1297668,0.8252016,0.8694693,0.8884585,0.93121934,0.868126,0.919249,0.8867593,0.90653586,1.0477375,0.8859182,0.83778906,0.84896666,0.9458163,1.0511047,1.0154065,0.8828238,0.9123566
Ddx56,0.06393569,0.026496172,0.03697356,0.036418445,0.032606833,0.03422987,0.018321496,0.01390278,0.006387215,0.05669026,0.030448781,0.04984661,0.037768897,0.031884845,0.022039928,0.02031684,0.033296727,0.0
H2az2,0.45125222,0.62268764,0.41876093,0.6687354,0.3565848,0.2240656,0.1678136,0.1451384,0.18222317,0.45399463,0.7006708,0.48404247,0.8006938,0.35032418,0.27133697,0.22124015,0.22901493,0.183035
Myo1g,0.8421975,0.6773163,0.9710609,0.89998037,0.9542865,0.77586776,0.5672979,0.63992137,0.54036486,0.9645425,1.0295621,1.1597669,1.2328355,1.3127815,1.412236,0.91819143,1.6790713,1.8018892
Tbrg4,0.4894982,0.17665067,0.25417438,0.24450353,0.28937957,0.20022675,0.25386035,0.12563406,0.09047936,0.5044353,0.1384589,0.2505296,0.23106231,0.22221358,0.1590828,0.13603343,0.16115119,0.15764928
Tns3,0.017308723,0.0027881628,0.02065713,0.00459298,0.00784675,0.011988017,0.0,0.006317579,0.001980273,0.00058016897,0.0026894563,0.00031461366,0.0,0.0,0.0007563823,0.003659792,0.0,0.0
Hus1,0.090337515,0.03829088,0.057284694,0.059165888,0.046569526,0.048532315,0.06345684,0.012779528,0.006982141,0.10960804,0.036744926,0.063467465,0.052509177,0.060395647,0.022408376,0.012590558,0.019786363,0.0
Zpbp,0.1481679,0.13687943,0.14234854,0.16092348,0.15343949,0.18878292,0.17200685,0.13233638,0.10178238,0.30591786,0.19150378,0.1544569,0.16862658,0.13421248,0.15136418,0.22979422,0.07043718,0.06823402
Fignl1,0.362632,0.18677936,0.23993379,0.2645808,0.18082175,0.094060905,0.03679536,0.055870023,0.048327167,0.31631124,0.15356092,0.1813091,0.22893606,0.11849199,0.057187565,0.060548726,0.06376041,0.0386438
Ddc,0.013607793,0.010230495,0.012456582,0.0108259255,0.0073452326,0.004422164,0.00560943,0.004895282,0.0022352939,0.011332824,0.0037782132,0.01197365,0.017270366,0.0088241855,0.009109568,0.0016128399,0.029399222,0.0
Sec61g,0.059417795,0.04867428,0.061458535,0.05380132,0.08522476,0.041251324,0.041439254,0.036156576,0.031501736,0.03499174,0.041530136,0.045393,0.04740534,0.06535311,0.036537953,0.050568998,0.0439401,0.038354233
Plek,3.4964972,4.1118493,4.357109,4.361734,4.8578672,3.0053558,4.380372,4.3858247,5.8684464,3.2366176,3.6073716,4.045064,4.1819515,4.755639,2.9355774,4.51364,4.270398,5.312175
Pno1,0.06874556,0.039850574,0.06133905,0.055878893,0.07935859,0.043828234,0.057915196,0.034082174,0.022308007,0.07630194,0.036839418,0.049874388,0.060916066,0.050569426,0.049668413,0.017260257,0.019138627,0.059911802
Etaa1,0.3457572,0.2885086,0.32010958,0.36321127,0.3852804,0.1593823,0.14818731,0.14594617,0.11522755,0.35825855,0.25725013,0.3264351,0.38053823,0.26728904,0.13420641,0.10096895,0.13589048,0.065646425
Actr2,1.2847133,1.6125864,1.5329075,1.4219236,1.655028,1.1933918,1.4666609,1.404241,1.4358437,1.2904924,1.5934263,1.6309228,1.4553921,1.5036083,1.5122647,1.3479322,1.5107712,1.5382491
Cep68,0.2676963,0.1720903,0.19641218,0.2428678,0.2534196,0.20424892,0.19584475,0.14956479,0.13108566,0.2078171,0.16149351,0.17186867,0.19601148,0.20435318,0.16125163,0.1340071,0.18924403,0.28160328
Aftph,0.982679,1.0214669,0.96818054,0.8611928,1.0436549,1.09074,0.9626425,0.908763,0.85144484,1.0768837,1.2640141,1.2318047,1.1403002,1.3548986,1.3102205,0.93497545,1.3406471,1.4569335
Lgalsl,0.01488367,0.007959452,0.007060232,0.006349143,0.0076350276,0.007829306,0.0,0.0034393792,0.005765407,0.017998578,0.0049197525,0.005273281,0.006334989,0.0025984235,0.00498311,0.0011459241,0.012387129,0.0
Ugp2,0.19325218,0.17886974,0.21975473,0.18154867,0.19698933,0.105512425,0.09850246,0.13078041,0.13489063,0.18317087,0.21887654,0.19840376,0.18506236,0.17926024,0.17065589,0.23360534,0.16600809,0.19913328
Mdh1,0.5617378,0.45177865,0.50494957,0.5816877,0.55831414,0.39550376,0.50581425,0.33444932,0.27145588,0.37856936,0.3901419,0.41602626,0.53204787,0.46891028,0.47325835,0.20363742,0.3738476,0.22707388
B3gnt2,0.3027353,0.27743044,0.26396564,0.2505287,0.26560134,0.42475572,0.251478,0.36655015,0.44956768,0.30932713,0.33911502,0.318194,0.32101256,0.317861,0.37016553,0.2878584,0.3084825,0.192283
Ahsa2,0.19954722,0.10467618,0.15704572,0.13732545,0.13459124,0.0912862,0.098362304,0.075842924,0.06903958,0.1571582,0.09738425,0.13359514,0.12330265,0.14486957,0.08597019,0.08213873,0.0987235,0.08635615
0610010F05Rik,0.18004136,0.11698845,0.109439254,0.14523153,0.122615464,0.17787239,0.12474774,0.1272953,0.1505918,0.19114013,0.10109706,0.10585189,0.15253899,0.1417194,0.13292383,0.21746153,0.10599683,0.14292982
Pex13,0.2693439,0.2733799,0.253938,0.24382894,0.26294464,0.26247928,0.20245296,0.2538427,0.32854855,0.14484213,0.24378252,0.22589096,0.2136479,0.2844247,0.25247297,0.1933048,0.19498643,0.24774413
Rel,4.0716987,3.0405517,3.7838693,3.7178044,3.654738,4.1349287,3.0608795,2.6183312,2.115596,3.9975107,3.4561934,3.7726758,3.872989,4.304293,5.0338078,2.4763367,4.0600157,4.265496
Papolg,0.18972266,0.24926245,0.25970626,0.23357658,0.20654452,0.20200863,0.20407714,0.2167248,0.20057157,0.30253324,0.29260638,0.29283082,0.26976484,0.3109756,0.2895706,0.26901343,0.2709286,0.2983837
Vrk2,0.6205605,0.8360878,0.71439636,0.8232456,0.7868369,0.82232094,1.1737266,0.9438251,1.0845493,0.5363454,0.8239122,0.66929835,0.6921812,0.6272849,0.7709881,0.9317002,0.78919053,1.2110369
Cfap36,0.2134265,0.09659469,0.1432316,0.123075046,0.12662992,0.10118736,0.0956264,0.062635,0.07051645,0.13347837,0.13682896,0.19318156,0.13296977,0.115255564,0.15314227,0.081444986,0.13191214,0.118024565
Prorsd1,0.010360846,0.014774728,0.013977871,0.010616204,0.015793256,0.0015183592,0.0020016625,0.012793313,0.001781942,0.03942593,0.00635571,0.017385839,0.0199437,0.014900675,0.011971086,0.025056215,0.019496722,0.0
Rps27a,0.13080019,0.092288256,0.11552592,0.098434776,0.10378178,0.104465954,0.09672207,0.08334034,0.07460328,0.1146235,0.07561594,0.08671426,0.07644512,0.07889868,0.08482174,0.057996552,0.06859819,0.022427501
Sptbn1,0.6571388,0.63121307,0.6624299,0.5994306,0.62015814,0.4091025,0.35271233,0.35736826,0.4634207,0.61363864,0.5264365,0.53935766,0.4606149,0.46332684,0.35507378,0.39489347,0.23497148,0.507832
Acyp2,0.3398757,0.24637024,0.275955,0.27446678,0.3397773,0.19445771,0.34597418,0.28973722,0.3857357,0.29064068,0.26012683,0.27621043,0.24476245,0.2835596,0.21231759,0.28402796,0.19708875,0.41974193
Erlec1,0.14697203,0.15706556,0.15223108,0.14050649,0.15582061,0.14057633,0.0695586,0.08675856,0.082099214,0.17420715,0.1635049,0.1862288,0.14194071,0.2148823,0.10306034,0.17433463,0.13100362,0.10392777
Chac2,0.08760408,0.070787095,0.076828994,0.06769744,0.073228076,0.06465669,0.01889395,0.02752888,0.044861726,0.1179989,0.12025147,0.13214006,0.11296372,0.14254603,0.08714849,0.09265316,0.11891363,0.03360333
Bod1,0.016010676,0.007972446,0.015428349,0.01297476,0.019764053,0.014565603,0.013948286,0.010899821,0.007318363,0.0049329894,0.01776607,0.017120097,0.0071217697,0.016926741,0.008332523,0.005976806,0.0030862591,0.0
Nprl3,0.1321969,0.080816165,0.097009204,0.106095046,0.09498422,0.12507482,0.13271782,0.1235243,0.12258839,0.12531641,0.07640829,0.09147779,0.0883804,0.074769825,0.12089707,0.13172765,0.07967397,0.058420774
Npm1,0.45258164,0.241126,0.30768895,0.3235096,0.34951192,0.36942354,0.3484095,0.2609905,0.25973526,0.30652073,0.18325958,0.20784399,0.22491309,0.25383595,0.26211116,0.15667728,0.23537469,0.18078873
Dock2,11.7174225,18.987427,17.22389,18.018345,13.784336,21.45981,22.461031,27.298147,26.022532,9.427643,16.33823,16.048223,16.583834,14.36111,16.786165,22.653297,24.25891,24.249374
Spdl1,0.3352993,0.261085,0.30060416,0.27313703,0.079116605,0.10299288,0.026408792,0.013459626,0.0065222047,0.32192028,0.34720534,0.32437542,0.28275773,0.06608513,0.07313053,0.03212742,0.04476996,0.0
Rars,0.40215877,0.44766772,0.45454603,0.41389793,0.5424851,0.34401047,0.57653356,0.372531,0.28998893,0.36187756,0.3790937,0.4434589,0.4141191,0.4948212,0.44131863,0.26199993,0.4265743,0.38723075
Mat2b,0.1265524,0.11578038,0.14183636,0.13128552,0.14413747,0.08784052,0.07798643,0.10119308,0.09271207,0.13971013,0.09973949,0.127722,0.11103125,0.12090825,0.13235208,0.10943084,0.13697752,0.16554114
Hmmr,0.13628644,0.27163836,0.14773779,0.15540853,0.046038233,0.040932253,0.004840876,0.0029521266,0.004447901,0.20590052,0.37680772,0.24410336,0.18484534,0.018828627,0.02728693,0.023662698,0.027349174,0.02718017
