,ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
34,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,8010,0.2144,0.2054,0.4012,0.0640,0.0079,0.2266,0.0839,0.1217,0.0163,0.1057,0.2677,0.2247,0.1052,0.1423,0.2459,0.0151,0.1507,0.3681,0.3778,0.2828,0.3208,0.3571,0.2979,0.3427,0.2857,0.1659,0.1934,0.1931,0.3081,0.3572,0.3933,0.3291,0.3606,0.4202,1.0000,0.7224,0.2660,0.1932,0.2884,0.2693,0.2212,0.3616,0.3753,0.2971,0.6312,0.5502,0.2220,0.2406,0.2043,0.0134,0.2319,0.0177,0.1171,0.2026,0.0143,0.2457,0.2961,0.2181,0.0386,0.3890,0.2956,0.2227,0.0307,0.1843,0.0099,0.0331,0.0114,0.2458,0.0050,0.3651,0.3594,0.2323,0.5717,0.3348,0.1168,0.1915,0.1375,0.1775,0.3850,0.1995,0.1269,0.0825
35,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,8024,0.1967,0.1899,0.3882,0.0633,0.0088,0.2144,0.0800,0.1217,0.0198,0.1047,0.2541,0.2129,0.1039,0.1479,0.2420,0.0161,0.1486,0.3513,0.3607,0.2650,0.3028,0.3407,0.2804,0.3259,0.2680,0.1536,0.1756,0.1785,0.2877,0.3441,0.3772,0.3127,0.3438,0.4608,0.7224,1.0000,0.2708,0.1748,0.2701,0.2519,0.2042,0.3443,0.3570,0.2891,0.6271,0.5602,0.2033,0.2221,0.2010,0.0172,0.2207,0.0192,0.1169,0.1940,0.0140,0.2400,0.2845,0.2021,0.0366,0.3862,0.2920,0.2185,0.0284,0.1810,0.0090,0.0360,0.0132,0.2404,0.0063,0.3470,0.3453,0.2159,0.5714,0.3183,0.1100,0.1913,0.1336,0.1735,0.3728,0.1951,0.1176,0.0757
36,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2344,0.0342,0.0312,0.1241,0.0494,0.0047,0.0659,0.0209,0.0730,0.0137,0.0547,0.0753,0.0682,0.0541,0.0741,0.0865,0.0138,0.0575,0.1042,0.1099,0.0529,0.0801,0.1016,0.0608,0.0926,0.0562,0.0265,0.0305,0.0338,0.0801,0.1070,0.1140,0.0860,0.1214,0.4361,0.2660,0.2708,1.0000,0.0265,0.0570,0.0466,0.0337,0.1036,0.1136,0.1329,0.3411,0.3841,0.0323,0.0389,0.0574,0.0122,0.0511,0.0154,0.0634,0.0504,0.0093,0.0746,0.0855,0.0521,0.0224,0.1112,0.1041,0.0910,0.0167,0.0742,0.0057,0.0326,0.0095,0.0939,0.0062,0.1090,0.0973,0.0454,0.2897,0.0794,0.0329,0.0844,0.0664,0.0884,0.1089,0.0708,0.0405,0.0319
37,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,6290,0.5604,0.5500,0.4479,0.0555,0.0039,0.3867,0.1735,0.1020,0.0095,0.1217,0.4639,0.4018,0.1200,0.1498,0.2730,0.0165,0.1963,0.4745,0.4685,0.5452,0.5169,0.4805,0.5224,0.4965,0.5405,0.5627,0.5423,0.5086,0.5328,0.4661,0.4436,0.4998,0.4602,0.0506,0.1932,0.1748,0.0265,1.0000,0.5546,0.5803,0.6720,0.4627,0.4625,0.2863,0.1166,0.0916,0.6004,0.5738,0.4079,0.0094,0.4468,0.0157,0.1254,0.4126,0.0157,0.3495,0.3867,0.4243,0.0433,0.3693,0.2906,0.2212,0.0591,0.1949,0.0214,0.0266,0.0096,0.2473,0.0027,0.4845,0.4613,0.5122,0.1316,0.4791,0.2655,0.1840,0.1720,0.1813,0.4366,0.2211,0.2213,0.1444
38,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,11362,0.6421,0.5954,0.7432,0.0566,0.0038,0.3888,0.1381,0.1141,0.0095,0.1220,0.5523,0.4195,0.1177,0.1589,0.3190,0.0150,0.2038,0.7796,0.7717,0.8480,0.8167,0.7783,0.8345,0.7927,0.8447,0.4910,0.6235,0.5492,0.8081,0.7112,0.7626,0.7718,0.6859,0.1043,0.2884,0.2701,0.0570,0.5546,1.0000,0.8825,0.6746,0.7543,0.7459,0.3778,0.1849,0.1475,0.7887,0.8101,0.3805,0.0095,0.4862,0.0142,0.1195,0.3979,0.0149,0.4033,0.4913,0.4650,0.0388,0.6125,0.3783,0.2653,0.0471,0.2245,0.0155,0.0277,0.0092,0.3045,0.0032,0.7825,0.7356,0.6623,0.2141,0.8015,0.2534,0.2143,0.1604,0.1948,0.7372,0.2439,0.1783,0.1090
39,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,10683,0.6580,0.6132,0.7246,0.0563,0.0042,0.4032,0.1447,0.1113,0.0089,0.1217,0.5636,0.4306,0.1175,0.1579,0.3134,0.0150,0.2049,0.7635,0.7551,0.8473,0.8118,0.7670,0.8285,0.7841,0.8427,0.5122,0.6359,0.5763,0.8158,0.6915,0.7268,0.7494,0.6647,0.0901,0.2693,0.2519,0.0466,0.5803,0.8825,1.0000,0.7063,0.7402,0.7328,0.3737,0.1672,0.1324,0.8180,0.8238,0.3907,0.0092,0.4944,0.0138,0.1201,0.4115,0.0139,0.4008,0.4829,0.4756,0.0394,0.5897,0.3689,0.2591,0.0498,0.2204,0.0164,0.0275,0.0089,0.2959,0.0028,0.7677,0.7106,0.6693,0.1969,0.7744,0.2628,0.2100,0.1612,0.1920,0.7059,0.2425,0.1858,0.1148
40,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,7810,0.6142,0.5960,0.5406,0.0612,0.0043,0.4099,0.1649,0.1161,0.0101,0.1313,0.5162,0.4302,0.1276,0.1648,0.3043,0.0169,0.2122,0.5734,0.5655,0.6582,0.6238,0.5775,0.6306,0.5955,0.6532,0.5166,0.5869,0.5391,0.6374,0.5508,0.5436,0.5991,0.5559,0.0662,0.2212,0.2042,0.0337,0.6720,0.6746,0.7063,1.0000,0.5569,0.5543,0.3324,0.1353,0.1069,0.6990,0.6752,0.4122,0.0096,0.4880,0.0158,0.1307,0.4246,0.0155,0.3875,0.4421,0.4666,0.0468,0.4459,0.3380,0.2520,0.0564,0.2159,0.0199,0.0288,0.0095,0.2831,0.0029,0.5811,0.5567,0.5849,0.1546,0.5838,0.2600,0.2104,0.1769,0.2003,0.5324,0.2476,0.2120,0.1330
41,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,12441,0.5752,0.5342,0.8526,0.0512,0.0052,0.3802,0.1265,0.1026,0.0114,0.1141,0.5398,0.4017,0.1102,0.1546,0.3072,0.0141,0.1871,0.8484,0.8524,0.7555,0.7939,0.8343,0.7760,0.8241,0.7634,0.4206,0.5294,0.4795,0.8013,0.6941,0.7764,0.7053,0.6568,0.1692,0.3616,0.3443,0.1036,0.4627,0.7543,0.7402,0.5569,1.0000,0.9291,0.3799,0.2555,0.2145,0.6800,0.7269,0.3570,0.0100,0.4405,0.0146,0.1120,0.3603,0.0135,0.3740,0.4651,0.4143,0.0338,0.6795,0.3664,0.2547,0.0439,0.2106,0.0140,0.0262,0.0087,0.2874,0.0036,0.8477,0.7115,0.5933,0.2844,0.7648,0.2380,0.2021,0.1436,0.1766,0.7548,0.2170,0.1619,0.0985
42,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,12244,0.5674,0.5267,0.8619,0.0512,0.0051,0.3820,0.1271,0.1028,0.0107,0.1143,0.5411,0.4030,0.1106,0.1520,0.3080,0.0140,0.1879,0.8500,0.8563,0.7498,0.7925,0.8379,0.7705,0.8268,0.7564,0.4189,0.5262,0.4788,0.8051,0.6936,0.7773,0.7000,0.6586,0.1813,0.3753,0.3570,0.1136,0.4625,0.7459,0.7328,0.5543,0.9291,1.0000,0.3856,0.2693,0.2282,0.6751,0.7257,0.3573,0.0097,0.4391,0.0139,0.1129,0.3596,0.0135,0.3726,0.4631,0.4124,0.0335,0.6756,0.3664,0.2544,0.0440,0.2115,0.0138,0.0264,0.0087,0.2863,0.0033,0.8604,0.7120,0.5923,0.2969,0.7594,0.2379,0.2014,0.1434,0.1769,0.7547,0.2167,0.1620,0.0986
43,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,5794,0.3279,0.3252,0.3730,0.0948,0.0025,0.2732,0.1181,0.1776,0.0097,0.1704,0.3443,0.3001,0.1620,0.1984,0.3002,0.0169,0.2448,0.3741,0.3743,0.3801,0.3811,0.3846,0.3756,0.3853,0.3815,0.2590,0.3012,0.2915,0.3633,0.4323,0.3778,0.4232,0.4355,0.1750,0.2971,0.2891,0.1329,0.2863,0.3778,0.3737,0.3324,0.3799,0.3856,1.0000,0.2415,0.2128,0.3526,0.3732,0.2929,0.0100,0.3455,0.0211,0.1607,0.3215,0.0212,0.3590,0.3746,0.3599,0.0639,0.3165,0.3733,0.3002,0.0586,0.2660,0.0176,0.0430,0.0124,0.3194,0.0036,0.3716,0.3930,0.3343,0.2206,0.3774,0.1728,0.2660,0.2266,0.2749,0.3718,0.3553,0.1946,0.1382
44,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,5983,0.1297,0.1232,0.2931,0.0598,0.0107,0.1669,0.0579,0.1162,0.0169,0.0913,0.1914,0.1604,0.0923,0.1234,0.1940,0.0153,0.1215,0.2635,0.2724,0.1789,0.2164,0.2517,0.1923,0.2378,0.1819,0.1031,0.1201,0.1235,0.2096,0.2513,0.2759,0.2226,0.2544,0.5140,0.6312,0.6271,0.3411,0.1166,0.1849,0.1672,0.1353,0.2555,0.2693,0.2415,1.0000,0.7119,0.1277,0.1429,0.1492,0.0144,0.1549,0.0182,0.1081,0.1365,0.0123,0.1810,0.2163,0.1411,0.0324,0.2899,0.2319,0.1824,0.0226,0.1513,0.0081,0.0329,0.0124,0.2019,0.0059,0.2627,0.2509,0.1447,0.5840,0.2251,0.0821,0.1660,0.1095,0.1524,0.2752,0.1486,0.0919,0.0639
45,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,5135,0.1025,0.0985,0.2507,0.0540,0.0125,0.1442,0.0519,0.1003,0.0175,0.0809,0.1589,0.1354,0.0795,0.1151,0.1710,0.0148,0.1063,0.2233,0.2314,0.1412,0.1782,0.2105,0.1533,0.1966,0.1438,0.0812,0.0949,0.1000,0.1744,0.2102,0.2311,0.1822,0.2151,0.5430,0.5502,0.5602,0.3841,0.0916,0.1475,0.1324,0.1069,0.2145,0.2282,0.2128,0.7119,1.0000,0.0994,0.1105,0.1246,0.0135,0.1255,0.0185,0.0981,0.1136,0.0108,0.1544,0.1824,0.1140,0.0309,0.2489,0.1985,0.1556,0.0207,0.1322,0.0064,0.0349,0.0148,0.1740,0.0072,0.2231,0.2088,0.1164,0.5617,0.1833,0.0702,0.1469,0.0972,0.1321,0.2316,0.1283,0.0817,0.0547
46,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,9399,0.6661,0.6281,0.6566,0.0552,0.0036,0.4004,0.1541,0.1078,0.0090,0.1242,0.5607,0.4342,0.1203,0.1574,0.3018,0.0150,0.2023,0.6903,0.6849,0.7863,0.7448,0.7023,0.7620,0.7205,0.7867,0.5272,0.6544,0.5822,0.7551,0.6269,0.6483,0.6862,0.6095,0.0678,0.2220,0.2033,0.0323,0.6004,0.7887,0.8180,0.6990,0.6800,0.6751,0.3526,0.1277,0.0994,1.0000,0.8459,0.4018,0.0088,0.5033,0.0139,0.1161,0.4220,0.0144,0.3955,0.4637,0.4862,0.0418,0.5317,0.3469,0.2494,0.0532,0.2150,0.0180,0.0275,0.0086,0.2842,0.0028,0.7004,0.6468,0.6706,0.1606,0.6966,0.2792,0.2025,0.1602,0.1888,0.6331,0.2374,0.1899,0.1181
47,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,9882,0.6627,0.6183,0.6946,0.0578,0.0036,0.3969,0.1483,0.1141,0.0096,0.1284,0.5554,0.4318,0.1246,0.1625,0.3179,0.0144,0.2126,0.7168,0.7107,0.7997,0.7660,0.7244,0.7839,0.7421,0.8004,0.5050,0.6247,0.5572,0.7591,0.6483,0.6723,0.7061,0.6292,0.0750,0.2406,0.2221,0.0389,0.5738,0.8101,0.8238,0.6752,0.7269,0.7257,0.3732,0.1429,0.1105,0.8459,1.0000,0.3991,0.0098,0.5038,0.0151,0.1246,0.4181,0.0157,0.4131,0.4843,0.4831,0.0413,0.5562,0.3698,0.2647,0.0516,0.2301,0.0170,0.0294,0.0094,0.3038,0.0031,0.7177,0.6705,0.6677,0.1752,0.7220,0.2709,0.2179,0.1641,0.1952,0.6565,0.2462,0.1892,0.1182
48,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,5180,0.3867,0.3887,0.3518,0.0842,0.0087,0.3772,0.2063,0.1388,0.0313,0.1405,0.3943,0.3708,0.1328,0.1822,0.2671,0.0267,0.2174,0.3464,0.3455,0.3758,0.3684,0.3570,0.3704,0.3613,0.3757,0.3265,0.3569,0.3362,0.3688,0.3502,0.3263,0.3668,0.3527,0.0974,0.2043,0.2010,0.0574,0.4079,0.3805,0.3907,0.4122,0.3570,0.3573,0.2929,0.1492,0.1246,0.4018,0.3991,1.0000,0.0315,0.5020,0.0338,0.1595,0.3947,0.0185,0.3398,0.3468,0.4068,0.0654,0.3045,0.2994,0.2478,0.0665,0.2249,0.0251,0.0448,0.0179,0.2744,0.0112,0.3495,0.3442,0.3598,0.1473,0.3449,0.2263,0.2179,0.2444,0.2522,0.3257,0.2548,0.2239,0.1632
49,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,227,0.0168,0.0190,0.0134,0.0162,0.0098,0.0145,0.0289,0.0179,0.4875,0.0187,0.0118,0.0098,0.0158,0.0624,0.0146,0.1090,0.0201,0.0091,0.0094,0.0086,0.0085,0.0093,0.0089,0.0089,0.0090,0.0088,0.0091,0.0091,0.0084,0.0091,0.0089,0.0088,0.0089,0.0178,0.0134,0.0172,0.0122,0.0094,0.0095,0.0092,0.0096,0.0100,0.0097,0.0100,0.0144,0.0135,0.0088,0.0098,0.0315,1.0000,0.0306,0.3154,0.0716,0.0136,0.0155,0.0320,0.0246,0.0108,0.0460,0.0114,0.0130,0.0152,0.0042,0.0199,0.0000,0.1166,0.1822,0.0179,0.2924,0.0106,0.0099,0.0105,0.0144,0.0093,0.0196,0.0208,0.0150,0.0123,0.0093,0.0103,0.0273,0.0234
50,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,6201,0.4577,0.4489,0.4301,0.0970,0.0056,0.4015,0.2004,0.1656,0.0306,0.1475,0.4597,0.4014,0.1400,0.2015,0.3003,0.0233,0.2324,0.4265,0.4252,0.4722,0.4524,0.4399,0.4585,0.4462,0.4713,0.3688,0.4276,0.3983,0.4528,0.4389,0.4112,0.4706,0.4453,0.0885,0.2319,0.2207,0.0511,0.4468,0.4862,0.4944,0.4880,0.4405,0.4391,0.3455,0.1549,0.1255,0.5033,0.5038,0.5020,0.0306,1.0000,0.0312,0.1592,0.4531,0.0205,0.4038,0.4226,0.5817,0.0721,0.3645,0.3503,0.2732,0.0597,0.2448,0.0191,0.0447,0.0178,0.3103,0.0101,0.4282,0.4330,0.4430,0.1635,0.4319,0.2752,0.2396,0.2488,0.2875,0.4035,0.2897,0.2277,0.1602
51,2016_SCIENCE_Mackay___Hobit_invitro-CD8,270,0.0226,0.0242,0.0167,0.0609,0.0205,0.0205,0.0315,0.0454,0.3244,0.0426,0.0185,0.0209,0.0373,0.0736,0.0257,0.0876,0.0369,0.0131,0.0136,0.0137,0.0134,0.0136,0.0137,0.0139,0.0142,0.0160,0.0141,0.0155,0.0132,0.0141,0.0129,0.0144,0.0149,0.0183,0.0177,0.0192,0.0154,0.0157,0.0142,0.0138,0.0158,0.0146,0.0139,0.0211,0.0182,0.0185,0.0139,0.0151,0.0338,0.3154,0.0312,1.0000,0.1037,0.0220,0.0280,0.0369,0.0285,0.0211,0.0522,0.0143,0.0229,0.0271,0.0204,0.0350,0.0189,0.1417,0.1906,0.0307,0.2621,0.0146,0.0145,0.0163,0.0177,0.0135,0.0303,0.0377,0.0320,0.0355,0.0131,0.0286,0.0397,0.0382
52,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,1716,0.1236,0.1259,0.1131,0.1490,0.0098,0.1252,0.0906,0.2124,0.0687,0.1761,0.1264,0.1350,0.1709,0.2193,0.1799,0.0369,0.1945,0.1096,0.1095,0.1201,0.1150,0.1105,0.1161,0.1130,0.1195,0.1106,0.1153,0.1133,0.1099,0.1216,0.1077,0.1221,0.1258,0.0753,0.1171,0.1169,0.0634,0.1254,0.1195,0.1201,0.1307,0.1120,0.1129,0.1607,0.1081,0.0981,0.1161,0.1246,0.1595,0.0716,0.1592,0.1037,1.0000,0.1452,0.0291,0.2012,0.1746,0.1537,0.0916,0.0954,0.1799,0.1908,0.0464,0.1870,0.0129,0.1037,0.0504,0.2085,0.0335,0.1095,0.1171,0.1172,0.0911,0.1132,0.0996,0.2217,0.1824,0.2059,0.1068,0.2195,0.1495,0.1218
53,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,5013,0.3966,0.3922,0.3518,0.0878,0.0045,0.3238,0.1825,0.1402,0.0149,0.1494,0.3856,0.3432,0.1409,0.1823,0.2803,0.0212,0.2253,0.3567,0.3549,0.3974,0.3790,0.3648,0.3849,0.3704,0.3945,0.3589,0.3781,0.3587,0.3772,0.3813,0.3408,0.3923,0.3787,0.0808,0.2026,0.1940,0.0504,0.4126,0.3979,0.4115,0.4246,0.3603,0.3596,0.3215,0.1365,0.1136,0.4220,0.4181,0.3947,0.0136,0.4531,0.0220,0.1452,1.0000,0.0201,0.3642,0.3736,0.4640,0.0681,0.2928,0.3135,0.2492,0.0672,0.2307,0.0229,0.0408,0.0107,0.2702,0.0035,0.3549,0.3603,0.3734,0.1419,0.3619,0.2828,0.2181,0.2583,0.2587,0.3379,0.2804,0.2596,0.1763
54,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,185,0.0136,0.0140,0.0129,0.0264,0.0032,0.0163,0.0176,0.0364,0.0142,0.0274,0.0153,0.0170,0.0266,0.0317,0.0256,0.0117,0.0264,0.0124,0.0127,0.0138,0.0126,0.0126,0.0130,0.0125,0.0141,0.0137,0.0133,0.0138,0.0125,0.0152,0.0129,0.0146,0.0155,0.0108,0.0143,0.0140,0.0093,0.0157,0.0149,0.0139,0.0155,0.0135,0.0135,0.0212,0.0123,0.0108,0.0144,0.0157,0.0185,0.0155,0.0205,0.0280,0.0291,0.0201,1.0000,0.0269,0.0220,0.0213,0.0341,0.0116,0.0250,0.0263,0.0099,0.0273,0.0090,0.0278,0.0104,0.0238,0.0091,0.0124,0.0141,0.0134,0.0103,0.0138,0.0160,0.0290,0.0305,0.0321,0.0128,0.0320,0.0242,0.0243
55,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,5885,0.3662,0.3611,0.3678,0.1028,0.0067,0.2664,0.1322,0.2144,0.0312,0.2061,0.3613,0.3160,0.1993,0.2750,0.3991,0.0249,0.2668,0.3710,0.3692,0.4014,0.3871,0.3735,0.3953,0.3764,0.4045,0.3045,0.3456,0.3269,0.3660,0.3951,0.3710,0.4090,0.4041,0.1221,0.2457,0.2400,0.0746,0.3495,0.4033,0.4008,0.3875,0.3740,0.3726,0.3590,0.1810,0.1544,0.3955,0.4131,0.3398,0.0320,0.4038,0.0369,0.2012,0.3642,0.0269,1.0000,0.6637,0.4047,0.0686,0.3203,0.4916,0.4042,0.0741,0.3542,0.0231,0.0669,0.0248,0.4517,0.0112,0.3652,0.4067,0.3718,0.1929,0.3960,0.2143,0.3817,0.2281,0.2836,0.3661,0.3242,0.1949,0.1354
56,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,7855,0.4171,0.4030,0.4657,0.0860,0.0077,0.2952,0.1306,0.1858,0.0247,0.1821,0.4066,0.3416,0.1781,0.2490,0.4151,0.0207,0.2541,0.4710,0.4690,0.4930,0.4814,0.4676,0.4900,0.4708,0.4928,0.3376,0.3955,0.3654,0.4528,0.4927,0.4785,0.5024,0.4880,0.1426,0.2961,0.2845,0.0855,0.3867,0.4913,0.4829,0.4421,0.4651,0.4631,0.3746,0.2163,0.1824,0.4637,0.4843,0.3468,0.0246,0.4226,0.0285,0.1746,0.3736,0.0220,0.6637,1.0000,0.4174,0.0550,0.4178,0.5184,0.3866,0.0617,0.3244,0.0196,0.0536,0.0193,0.4630,0.0085,0.4620,0.5223,0.4397,0.2380,0.5059,0.2180,0.3610,0.2017,0.2609,0.4725,0.3122,0.1858,0.1229
57,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,5711,0.4287,0.4209,0.3973,0.1098,0.0044,0.3419,0.1755,0.1814,0.0126,0.1565,0.4171,0.3661,0.1481,0.1888,0.3021,0.0200,0.2407,0.4012,0.3993,0.4507,0.4315,0.4137,0.4351,0.4205,0.4484,0.3654,0.4162,0.3884,0.4261,0.4226,0.3902,0.4504,0.4324,0.0843,0.2181,0.2021,0.0521,0.4243,0.4650,0.4756,0.4666,0.4143,0.4124,0.3599,0.1411,0.1140,0.4862,0.4831,0.4068,0.0108,0.5817,0.0211,0.1537,0.4640,0.0213,0.4047,0.4174,1.0000,0.0760,0.3334,0.3603,0.2768,0.0672,0.2452,0.0219,0.0409,0.0124,0.3086,0.0033,0.4007,0.4120,0.4181,0.1492,0.4120,0.3082,0.2432,0.2550,0.2916,0.3825,0.3073,0.2342,0.1633
