,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,Act-Cl13_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Gtf2a2,0.16500245,0.16506262,0.1653895,0.17710519,0.17710519,0.12971994,0.2302,0.23032054,0.21035041,0.20840031,0.19474007,0.22306368,0.19513166,0.1978849,0.1811495,0.202567,0.21380389,0.18159145,0.1760089,0.18380886,0.16299175,0.23236302,0.20797707,0.23884147,0.12947877,0.15740778,0.12883376,0.17577384,0.17525686,0.21294472,0.1522195,0.15233672,0.17230502
Hivep3,0.24866402,0.24870391,0.24979793,0.15788676,0.15788676,0.26556605,0.13563716,0.1336352,0.18137908,0.09617075,0.070296206,0.12394537,0.09477291,0.093137115,0.10308018,0.13932873,0.1161778,0.18254381,0.082294546,0.06419153,0.11250621,0.2365337,0.14123255,0.26185182,0.24469808,0.160615,0.24663994,0.098128766,0.09841156,0.08839994,0.24361989,0.24357331,0.2721285
Mbd4,0.047312904,0.047365416,0.0472973,0.02354319,0.02354319,0.08062248,0.22884512,0.22531426,0.22139628,0.1553136,0.1717782,0.13763992,0.168555,0.1675148,0.17383763,0.22264789,0.2221918,0.22349927,0.16538207,0.18559968,0.13164143,0.08251678,0.10210742,0.077312246,0.05244723,0.085631385,0.05168085,0.03501686,0.0345622,0.06790267,0.035463978,0.035424497,0.03619816
Per1,0.21518722,0.21512072,0.21527338,0.30460915,0.30460915,0.27056694,0.13536632,0.13723707,0.1284727,0.19651799,0.21525408,0.17640603,0.1979873,0.20206296,0.17728934,0.172873,0.18309136,0.15379873,0.2130911,0.22280471,0.19688033,0.23808241,0.25308713,0.23409618,0.21504442,0.19268368,0.21556084,0.30267578,0.30401376,0.23156717,0.2360742,0.23610732,0.20528686
Zfp422,0.10112615,0.101238385,0.10117782,0.07294002,0.07294002,0.06464182,0.23106885,0.22763039,0.22633034,0.09533396,0.09483149,0.09587333,0.15081528,0.15327455,0.13832606,0.18223083,0.18349874,0.17986406,0.15974225,0.15565802,0.16655831,0.15938026,0.11554516,0.17102568,0.11863562,0.15571952,0.11777917,0.081827305,0.08113867,0.120107405,0.10118158,0.10110739,0.11044758
Ikbkb,0.38778454,0.38778794,0.38937953,0.2766321,0.2766321,0.40552443,0.14259145,0.14193599,0.17771603,0.14475957,0.15147015,0.13755618,0.13841245,0.13673145,0.14694932,0.12793435,0.119641006,0.14341526,0.1596364,0.15254822,0.17146565,0.1666945,0.15950796,0.16860372,0.14222647,0.12385491,0.14265075,0.22119437,0.22142212,0.20622687,0.18284762,0.18255818,0.3136938
Atp1b3,1.5707928,1.5703754,1.5683782,1.9699951,1.9699951,1.3321824,1.4479457,1.4739646,1.222682,1.3686402,1.4790133,1.2501619,1.5386851,1.5771524,1.3433311,1.4846092,1.5689104,1.3272474,1.5322666,1.5954263,1.4268609,1.2797345,1.5404364,1.2104753,1.4664283,1.0715715,1.4755474,1.5812111,1.5875194,1.2292218,1.884043,1.8856668,1.4830575
Espl1,0.01303508,0.0130495485,0.012938701,0.012507652,0.012507652,0.0,0.09437332,0.09425835,0.076048374,0.1144825,0.09689588,0.13336058,0.07312029,0.07266626,0.07542607,0.1010598,0.0994761,0.10401606,0.015308548,0.018082414,0.010679314,0.017521804,0.021052215,0.0165839,0.017204065,0.020424025,0.017129702,0.0019143546,0.0018645952,0.0048908214,0.0020105455,0.0020147604,0.0
Ecd,0.2266567,0.22677466,0.22584912,0.18110621,0.18110621,0.111120865,0.1682272,0.16758572,0.17092314,0.11129625,0.10936689,0.113367304,0.13206281,0.12889461,0.14815226,0.13479385,0.12808673,0.14731379,0.15469828,0.15143237,0.1601487,0.132344,0.11291004,0.1375069,0.15049489,0.14673606,0.1505817,0.121791035,0.12137874,0.15011553,0.11887242,0.11865284,0.18789612
Cd68,0.0110754715,0.011087764,0.011196149,0.0076423693,0.0076423693,0.0,0.008952776,0.009024356,0.0124202855,0.004763833,0.0071426462,0.002210333,0.008170079,0.008415168,0.00692541,0.0048481845,0.0036960696,0.006998799,0.00993186,0.009625341,0.010443401,0.004484857,0.009045846,0.0032731656,0.0021052174,0.0035316788,0.0020722738,0.004498117,0.0044257133,0.008738977,0.002433909,0.0024390116,0.0
Tnfaip3,1.4957978,1.495774,1.4845599,3.6205127,3.6205127,2.0875096,2.3203714,2.3305652,2.2590415,4.0419984,4.045743,4.0379786,3.4309046,3.4296255,3.4374013,3.0229523,3.037241,2.9962797,3.1183534,3.0007808,3.314567,3.66457,3.8688338,3.6103046,3.9664836,4.3278685,3.9581375,4.588732,4.5946507,4.2330513,4.8085394,4.8095655,4.0262203
Fubp1,0.92420745,0.9243434,0.924058,0.96546954,0.96546954,0.98758364,1.0263027,1.0241193,0.98696136,0.7624452,0.7802314,0.74335295,0.87475485,0.8823653,0.8361057,0.8966002,0.8855014,0.91731787,0.8896314,0.8968278,0.87762153,0.88828975,0.84742445,0.8991462,0.70253974,0.6903373,0.70282155,0.6543975,0.6524102,0.7727846,0.5860403,0.586002,0.58912194
Ets2,0.03930557,0.039284095,0.03918039,0.09627747,0.09627747,0.024412861,0.04303532,0.041928437,0.049228124,0.027726209,0.028828032,0.026543474,0.04052461,0.042216104,0.031934477,0.029761372,0.029641228,0.02998564,0.034754224,0.03629524,0.03218246,0.019252827,0.033258047,0.015532143,0.03237951,0.032134473,0.032385174,0.02623209,0.02614387,0.030307198,0.017282216,0.017318446,0.0
Top2b,1.2033588,1.2037562,1.2068423,0.76954925,0.76954925,0.88245285,0.53718346,0.5480394,0.52931666,0.60253036,0.63334924,0.5694483,0.5941672,0.60295445,0.54954153,0.5485666,0.5755478,0.49820152,0.58730394,0.59269345,0.5783096,0.62134254,0.6797758,0.605819,0.67928565,0.7594048,0.6774353,0.8620108,0.86456543,0.70890146,0.85584915,0.85635406,0.5364074
Zfp143,0.26553404,0.26523292,0.2658572,0.11229601,0.11229601,0.20904633,0.17514913,0.17248732,0.19786698,0.16884749,0.15742193,0.18111205,0.14202477,0.14191218,0.14259659,0.15088543,0.14972386,0.1530537,0.11517724,0.12037744,0.10649875,0.11591709,0.11764685,0.11545755,0.16029356,0.08377512,0.16206072,0.10470654,0.10454975,0.1150653,0.111642644,0.11165853,0.13700353
Fosl2,0.10008818,0.100147985,0.0998518,0.26036265,0.26036265,0.11572932,0.04668618,0.04700289,0.0743845,0.055823497,0.06880606,0.041887578,0.060334522,0.06402185,0.041608687,0.04594231,0.04620683,0.045448545,0.044739094,0.042174943,0.049018342,0.09588818,0.071280204,0.102425635,0.09460566,0.1119244,0.094205685,0.09857304,0.09798961,0.13930745,0.13436878,0.13438682,0.12883604
Kdm3a,0.5284536,0.5283021,0.52690005,0.6837031,0.6837031,0.42995,0.30785507,0.31065032,0.3361683,0.38721558,0.37249506,0.40301713,0.3609013,0.35846367,0.37328064,0.31815025,0.3304331,0.29522222,0.38170937,0.3879074,0.37136567,0.3227748,0.38469818,0.30632398,0.40474117,0.3404436,0.4062261,0.45437172,0.45493773,0.4203467,0.52183306,0.5217008,0.64650404
Il23r,0.023381544,0.023348926,0.023384854,0.013019412,0.013019412,0.0,0.037163142,0.029814726,0.09879732,0.030413853,0.008784151,0.053631913,0.016615093,0.01460646,0.026815793,0.02345805,0.01875427,0.032238442,0.019294297,0.017987892,0.021474522,0.4200279,0.20943633,0.47597456,0.005671836,0.0,0.0058028256,0.01069361,0.010726511,0.00809612,0.0032350027,0.0032417846,0.0
Klra4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092598825,0.0015316189,0.0002758837,0.0030410083,0.003639817,0.0,0.0036176452,0.003877497,0.0031325887,0.004936773,0.0073166005,0.0009651397,0.0,0.0,0.0,0.00037437948,0.002381568,0.00032802406,0.0010050371,0.0010204334,0.0,0.014668919,0.014699671,0.0
Kmt5c,0.022241142,0.022265827,0.022410389,0.008986477,0.008986477,0.071370155,0.035275366,0.03448425,0.044366263,0.024736159,0.024634022,0.024845794,0.031739235,0.032149542,0.029655512,0.023572419,0.022972163,0.024692897,0.019729024,0.025945747,0.009354098,0.017663673,0.016532281,0.017964242,0.017938824,0.006136932,0.018211385,0.016260078,0.01628387,0.013933027,0.0075706053,0.0075864764,0.0
Nfe2l1,0.031279705,0.031260695,0.031504,0.011586428,0.011586428,0.031147502,0.034870047,0.03435412,0.048361987,0.03273495,0.040790793,0.024087533,0.039414253,0.040222812,0.035308044,0.031005358,0.033953473,0.025502214,0.027437784,0.029771017,0.023543911,0.024698783,0.027913213,0.023844823,0.015989047,0.0034478884,0.01627868,0.020571306,0.020828474,0.005951253,0.015444261,0.015476639,0.0
Parp1,0.0893749,0.0894741,0.08896004,0.081918,0.081918,0.11241668,0.3847007,0.38478577,0.34053773,0.14362133,0.14727083,0.13970383,0.21665184,0.2210461,0.19433585,0.24594775,0.25392768,0.2310519,0.1956367,0.2084584,0.17423894,0.12953505,0.10556382,0.13590334,0.11428278,0.11664217,0.11422829,0.06574505,0.065565236,0.07832175,0.078290984,0.07820592,0.10376413
Phf14,1.5630394,1.5634464,1.5655347,0.8721921,0.8721921,1.3955897,0.6635696,0.65572286,0.8888425,0.76006085,0.77271104,0.7464817,0.7214134,0.7114625,0.7719481,0.63192403,0.61767215,0.6585276,0.8359321,0.80959845,0.87987965,0.9024613,0.96111524,0.886879,1.2103637,1.1978096,1.2106537,1.0037355,1.0020341,1.1089654,1.063342,1.0637546,1.0363432
Brd1,0.47209197,0.4721497,0.47243416,0.45992517,0.45992517,0.48625812,0.40394318,0.40472868,0.3874112,0.24783869,0.24031839,0.25591126,0.3056724,0.30695814,0.2991429,0.29476526,0.3081471,0.26978582,0.3069231,0.32713473,0.2731924,0.2827276,0.30151173,0.27773735,0.37602636,0.40367112,0.3753879,0.3712176,0.37203014,0.3300108,0.43539315,0.4356305,0.32325315
Cbx3,0.26599646,0.26607728,0.26652515,0.22644694,0.22644694,0.3859682,1.0648937,1.071273,0.8839459,0.6330604,0.6401486,0.6254517,0.7691171,0.7807378,0.7101022,0.9503904,0.9935657,0.8697965,0.68338865,0.7341164,0.5987304,0.33587983,0.38307515,0.32334173,0.30354893,0.20190522,0.30589634,0.2633177,0.26390108,0.22052547,0.2633257,0.26288044,0.55247784
Ncr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030866277,0.0005105396,9.1961236e-05,1.547621e-05,1.8523648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0248285e-05,1.0405281e-05,0.0,0.0,0.0,0.0
Wbp11,0.11834169,0.11839132,0.11704065,0.3837124,0.3837124,0.19759521,0.38998336,0.38994446,0.3510718,0.32813483,0.32123998,0.33553603,0.3488028,0.35298374,0.32757017,0.30344194,0.30561805,0.29937983,0.28010938,0.28882533,0.26556355,0.26421797,0.2823042,0.25941312,0.18520486,0.23079976,0.18415186,0.24512641,0.24614523,0.18639326,0.19794957,0.19779432,0.23625408
Xpc,0.08975454,0.08977874,0.0900937,0.03045598,0.03045598,0.059316203,0.027814504,0.029268939,0.03804554,0.01862457,0.018827597,0.018406635,0.013797962,0.013219972,0.016733246,0.009393168,0.00747896,0.012966355,0.014326446,0.0152942175,0.012711357,0.015453174,0.01578098,0.015366087,0.025319573,0.0022892226,0.02585145,0.011246742,0.011176035,0.015027437,0.019697113,0.019738408,0.0
Mbd2,1.3655068,1.3655524,1.3653787,1.1353256,1.1353256,1.1184636,1.3466737,1.3422629,1.3220432,0.99670124,0.9227029,1.0761336,1.0340639,1.0348551,1.0300461,1.1573708,1.1746222,1.1251683,1.094121,1.1044399,1.0769001,1.0661879,1.0773703,1.063217,1.349228,1.2707804,1.3510398,1.0453945,1.0460608,1.0195918,1.0437837,1.044339,0.9036381
Tardbp,0.28954816,0.2896544,0.2875026,0.39973477,0.39973477,0.182378,1.1982011,1.198146,1.0099232,0.6318663,0.6767434,0.5836937,0.8429384,0.85961175,0.7582642,0.7970954,0.8304086,0.7349108,0.67801046,0.724536,0.60036516,0.44438833,0.4334391,0.44729716,0.37440446,0.39504862,0.37392768,0.34173256,0.3409106,0.38411707,0.2961691,0.29610872,0.30562076
Nfatc3,2.8023844,2.8024232,2.8068016,2.0357585,2.0357585,2.4242582,2.1349845,2.1233287,2.3663855,2.600176,2.3748672,2.84203,2.324725,2.2765753,2.5692492,2.6034167,2.4480407,2.893452,2.6751432,2.4544091,3.0435207,3.515346,3.1295383,3.6178412,2.896704,2.7000496,2.9012456,2.7667756,2.7626922,3.041806,2.8657095,2.8663313,2.4332924
Tcf7,1.8988715,1.898789,1.9021531,1.5476608,1.5476608,1.5770888,0.17994627,0.18105924,0.38807487,0.2097968,0.109326415,0.31764513,0.12543347,0.12458036,0.12976594,0.11911945,0.086989805,0.17909479,0.090129,0.06587706,0.13060243,1.386098,1.2993302,1.4091492,0.035823144,0.039098002,0.035747513,0.30223778,0.30445912,0.15556948,0.05624573,0.056170054,0.061561946
Brd7,0.25650075,0.25650948,0.25702602,0.1930742,0.1930742,0.34032947,0.48005477,0.48010322,0.44566965,0.39778325,0.40288675,0.39230502,0.40101984,0.39668205,0.42304906,0.3846462,0.38217264,0.38926354,0.41828227,0.42973214,0.39917383,0.320773,0.3101314,0.32360008,0.26038715,0.32337716,0.25893244,0.30108625,0.30106226,0.30377305,0.2594929,0.25954065,0.33247557
Mcm5,0.0068138954,0.006821458,0.0067080497,0.006608257,0.006608257,0.0,0.19317895,0.19652204,0.13106148,0.11245992,0.1242167,0.09983979,0.15190762,0.15338172,0.14442149,0.17611253,0.17954585,0.16970366,0.09621479,0.115020365,0.06483067,0.036284488,0.05003137,0.032632433,0.058015943,0.011529459,0.059089534,0.010253794,0.010140804,0.016701637,0.0061899275,0.0062029045,0.0
Csf1r,0.0018544005,0.0018564587,0.0018794037,0.00017057109,0.00017057109,0.0,0.005162702,0.004517566,0.009135867,0.00016361676,0.00017558224,0.00015077258,0.006536725,0.005899141,0.009774651,0.00013678356,0.00015513216,0.00010253285,0.0017019542,0.00093833916,0.0029763316,0.0017585881,0.0010168335,0.0019556456,0.00089731254,0.0,0.0009180357,0.00062794663,0.00063756626,0.0,0.00024247255,0.00024298088,0.0
Tox2,0.0012889374,0.0012903679,0.0010899563,0.011107529,0.011107529,0.0,0.03797206,0.025883751,0.11489317,0.04931332,0.011138143,0.090291865,0.019920016,0.013346319,0.053304084,0.041162245,0.01673281,0.08676386,0.030111315,0.014232708,0.056610715,0.26155192,0.12391332,0.29811755,0.14915243,0.10052387,0.15027548,0.0024314597,0.0022000105,0.016616805,0.004210909,0.004219737,0.0
Paxip1,0.07168681,0.07176638,0.07177112,0.069838464,0.069838464,0.01902028,0.26280007,0.25752175,0.2511788,0.16088837,0.15075181,0.17176929,0.19077764,0.18776888,0.20605747,0.25463966,0.26106444,0.24264675,0.18718202,0.20458537,0.15813804,0.096080616,0.08088799,0.10011676,0.16460577,0.111001715,0.16584373,0.063585736,0.063571446,0.070088334,0.07171044,0.07162552,0.09178218
Zdhhc16,0.027252669,0.027152712,0.02735005,0.013637024,0.013637024,0.0,0.031037997,0.031159915,0.02620378,0.018289521,0.016962765,0.019713707,0.021157436,0.02166076,0.018601345,0.025119212,0.025045333,0.025257118,0.01963035,0.023232784,0.013618341,0.015566082,0.014317055,0.015897904,0.011725864,0.018485337,0.011569757,0.0065377424,0.006580551,0.003546286,0.0069574225,0.0069720084,0.0
Gata3,0.16376705,0.16388738,0.16319692,0.082485914,0.082485914,0.19427395,0.18286112,0.17573445,0.2174832,0.29627496,0.30537292,0.28650892,0.2431632,0.22741228,0.3231531,0.21510638,0.22870794,0.18971682,0.23614894,0.21895064,0.26485074,0.13988638,0.14473893,0.13859724,0.11332197,0.14097926,0.11268323,0.16596293,0.16566384,0.18555562,0.09391984,0.09372618,0.14649677
Ercc2,0.03781047,0.037787333,0.037727155,0.046529576,0.046529576,0.05614242,0.03717869,0.037606433,0.035158146,0.02508351,0.019270029,0.0313239,0.03273454,0.032183126,0.035534855,0.034931622,0.037395768,0.030331882,0.023091132,0.027517831,0.01570353,0.021364465,0.027363861,0.01977064,0.012068082,0.029389622,0.011668046,0.034458783,0.034716588,0.016701914,0.03174127,0.031757135,0.01611591
Nfic,0.033385325,0.033422377,0.03360975,0.021103853,0.021103853,0.13677019,0.031153252,0.03216756,0.03988397,0.027903078,0.03253933,0.022926366,0.01966659,0.021539727,0.010153994,0.03670899,0.043574482,0.023893407,0.025849909,0.03332075,0.01338201,0.023074027,0.035637114,0.019736465,0.035534207,0.03725547,0.035494454,0.022625178,0.022704901,0.016504101,0.026939273,0.026933558,0.040632766
Sub1,0.3609349,0.36133552,0.3586294,0.7959322,0.7959322,0.52259386,1.018654,1.0370942,0.8011162,1.103079,1.2449465,0.95079356,1.1659799,1.1922977,1.0323266,1.1588067,1.219572,1.0453783,1.2856231,1.3126272,1.2405567,0.92178893,1.0492887,0.8879168,1.4115196,1.797175,1.402613,1.3930924,1.3938054,1.355129,1.1072621,1.1069747,1.0527197
Arid5b,2.8625326,2.8623695,2.861214,3.003642,3.003642,2.4526455,1.2918785,1.283741,1.5478343,2.4156744,2.2351885,2.6094146,1.8457296,1.8188754,1.9821067,1.8420931,1.783062,1.9522846,1.9198669,1.7680582,2.1732166,3.2071245,2.7671115,3.3240201,4.1573796,3.9778538,4.1615257,2.6946769,2.6895554,2.9500005,2.417442,2.4168463,2.6759915
Ciita,0.005778849,0.0057852627,0.005856766,0.0053591905,0.0053591905,0.0,0.0014266751,0.0014514041,0.0025088023,0.0,0.0,0.0,0.0009027904,0.0009688555,0.00056728325,9.59746e-05,0.0,0.00027512718,0.0009006293,0.00030335577,0.0018974037,0.0006083415,0.0019643588,0.00024809627,6.04099e-05,0.0,6.180505e-05,0.0005077668,0.00051554537,0.0,2.799329e-05,2.8051976e-05,0.0
Fus,0.63793766,0.6379903,0.63673764,1.0478306,1.0478306,1.0023326,0.7950845,0.80601126,0.7020465,0.6291541,0.71008587,0.5422792,0.7014115,0.72351015,0.5891852,0.8518692,0.8774137,0.8041863,0.7166417,0.75026345,0.6605313,0.6253418,0.7642012,0.58845174,0.40488276,0.6703567,0.39875174,0.7637596,0.7645982,0.7090511,0.7939286,0.79337233,1.0684328
Crebzf,0.14725766,0.14742109,0.14723304,0.14441895,0.14441895,0.13465711,0.18533587,0.1839096,0.1909586,0.15561508,0.1599064,0.15100862,0.15191661,0.15324941,0.14514808,0.14867255,0.15335873,0.13992503,0.17801763,0.18390226,0.1681969,0.12608968,0.11919261,0.12792198,0.21566208,0.17433251,0.21661657,0.1397369,0.14005907,0.11790286,0.1551355,0.15494779,0.19550568
Tbx21,0.069208115,0.069137685,0.06795631,0.42765906,0.42765906,1.0353725,1.6161666,1.6558595,1.290324,1.7598575,1.9272732,1.580148,1.8779001,1.9623362,1.4490974,1.6354363,1.7988217,1.3304503,1.8400425,1.9982047,1.5760894,1.7486836,2.0469432,1.6694466,2.1547592,1.793146,2.1631105,2.489514,2.4990213,2.0160546,3.8493109,3.850012,3.679672
Lgals9,0.5017006,0.5019095,0.5035772,0.21581578,0.21581578,0.4642337,0.23338553,0.23036985,0.2834406,0.348011,0.34761235,0.3484389,0.28370723,0.2780925,0.31222132,0.22867791,0.22801535,0.22991468,0.30167517,0.29724902,0.30906188,0.34713122,0.3027653,0.35891765,0.32992584,0.3053255,0.33049396,0.28155476,0.28159735,0.27063707,0.34912756,0.34915558,0.30508107
Fmr1,0.37659773,0.37677684,0.3751941,0.6369975,0.6369975,0.36706185,1.1699831,1.1682044,1.0198395,0.8037656,0.8237226,0.78234315,0.8966921,0.9060629,0.84910303,1.127029,1.116732,1.1462498,0.9436542,0.9921558,0.86271113,0.8723005,0.82938784,0.88370085,0.6241467,0.717495,0.62199086,0.7233557,0.7221466,0.8016609,0.77747166,0.777923,0.64437956
E2f3,0.18463637,0.18484129,0.18443324,0.104103126,0.104103126,0.36717856,0.75833714,0.7346425,0.84413344,0.54693496,0.51159966,0.58486515,0.5744853,0.56680304,0.61349916,0.7254767,0.68282276,0.80509734,0.48774433,0.5115836,0.44795957,0.39320648,0.36066794,0.40185082,0.49947506,0.3025694,0.50402254,0.22289817,0.22201322,0.27144077,0.21886158,0.21887301,0.16169682
Cbx1,0.15622766,0.1562592,0.15689048,0.096881084,0.096881084,0.056982104,0.29277045,0.2944757,0.23305535,0.19127427,0.15796104,0.22703382,0.20509803,0.2039555,0.21090034,0.24593452,0.24389519,0.24974126,0.1843479,0.20470262,0.15037845,0.10977019,0.10227553,0.11176126,0.22193111,0.15628055,0.2234473,0.07736077,0.07746122,0.07651894,0.07787242,0.078035675,0.07566379
Phf1,0.0032356083,0.0032391995,0.0032792345,0.0070399675,0.0070399675,0.016195115,0.0019286847,0.0020099424,0.007258403,0.0019651707,0.0018420123,0.0020973734,0.0011297903,0.0012895282,0.0003185724,0.0018311102,0.0023594256,0.0008449215,0.0012543491,0.0014185926,0.0009802472,0.008284033,0.00579949,0.008944088,0.0034082648,0.0074434327,0.003315074,0.0027725226,0.0026812758,0.008269498,0.008543991,0.008561903,0.025549268
Mvp,0.039747305,0.039675314,0.039870746,0.025472255,0.025472255,0.044921078,0.016811347,0.016754027,0.022954747,0.017519556,0.015083379,0.02013463,0.017745174,0.017924905,0.016832422,0.014979424,0.01654889,0.012049753,0.02368922,0.020368792,0.029230595,0.01812499,0.023685908,0.016647654,0.03979626,0.037356514,0.039852604,0.04016576,0.040485602,0.024410846,0.035671003,0.035553414,0.09613451
Stat2,0.32005063,0.3197245,0.31604895,0.46628872,0.46628872,0.09195523,0.13660015,0.13738443,0.1407861,0.25602642,0.24086867,0.27229726,0.19305086,0.1883935,0.21670292,0.194227,0.16669647,0.2456173,0.21913043,0.19195044,0.2644904,0.33571067,0.3397948,0.33462566,0.3991496,0.2909666,0.40164804,0.27171203,0.27151012,0.28549746,0.19324525,0.19317658,0.20633624
Il6st,1.7577928,1.7570767,1.7609131,1.6209832,1.6209832,1.0031714,0.28859872,0.28741193,0.36469847,0.56041205,0.5069335,0.61781776,0.4204962,0.40065086,0.52127945,0.34862632,0.2874636,0.46279672,0.34232086,0.27482036,0.45497075,0.95069546,0.82278955,0.98467547,0.29545927,0.43312848,0.29227984,0.26497862,0.2615204,0.47005108,0.16182782,0.16117543,0.38138428
Nr4a3,0.39966598,0.39972952,0.39628288,1.8517638,1.8517638,0.7460184,0.7863899,0.8037795,0.6791628,0.9898878,0.9226515,1.0620614,1.0101162,1.0158608,0.9809428,0.84378314,0.834582,0.86095864,0.77621484,0.74702746,0.8249249,1.5042905,1.5186132,1.5004855,0.5688214,0.9745421,0.55945134,1.2135962,1.2114717,1.3219066,1.4496778,1.4492328,1.2235886
Mtf2,0.59057075,0.5907779,0.59011626,0.591931,0.591931,0.55492103,0.7992663,0.7918943,0.7873243,0.6530851,0.63525796,0.67222136,0.73176074,0.719011,0.7965093,0.76928437,0.7412026,0.8217036,0.6193807,0.6110276,0.6333209,0.59056044,0.5477937,0.60192204,0.5586984,0.4768671,0.5605883,0.40383202,0.40363032,0.40823,0.37776005,0.3779266,0.39495873
Ets1,3.2613347,3.260058,3.2574534,3.1583016,3.1583016,2.0550368,3.0355139,3.037992,2.9549556,4.147512,3.976656,4.3309145,3.7743542,3.6923535,4.1907897,3.273133,3.10978,3.5780585,3.7450383,3.5434694,4.0814314,4.5821137,4.3446746,4.6451926,3.7471519,3.7337723,3.7474608,4.2381806,4.2416315,3.969512,4.644575,4.645854,4.1490226
Zfp444,0.14043956,0.14039823,0.14078839,0.08473241,0.08473241,0.2292836,0.12690824,0.12773538,0.11198028,0.07220494,0.062793486,0.08230751,0.07759864,0.07617412,0.084832974,0.0739304,0.0688107,0.08348716,0.08884551,0.099856555,0.07046946,0.051968433,0.04883572,0.052800685,0.09657926,0.06992554,0.09719482,0.047431786,0.04668787,0.09603378,0.02784051,0.027898876,0.042521846
Mxd3,0.0024175188,0.002420202,0.0023721738,0.00013592662,0.00013592662,0.0,0.0069189663,0.006771588,0.006548117,0.013587298,0.0066721807,0.02101022,0.0058878995,0.0048731174,0.011041401,0.010338304,0.0075376183,0.015566249,0.002951493,0.0020792587,0.0044071428,0.0024748917,0.00034793728,0.0030399475,0.0030072606,0.0,0.0030767124,0.0009164702,0.00089880615,0.0019606187,0.0001678285,0.00016818034,0.0
Taf1a,0.22160701,0.22164364,0.22036625,0.24660362,0.24660362,0.050363034,0.3164965,0.30934027,0.33236587,0.24891178,0.24390142,0.2542901,0.28771237,0.29213038,0.26527575,0.25205573,0.25917336,0.23876949,0.29684708,0.30381846,0.28521267,0.25740045,0.2705768,0.25389996,0.12735942,0.08674832,0.12829733,0.1513963,0.15182585,0.12185433,0.12865876,0.12855974,0.20550378
Notch2,0.2841272,0.28407034,0.2827696,0.34358105,0.34358105,0.19124866,0.32678536,0.3303187,0.29039496,0.3862137,0.42220852,0.3475756,0.34182325,0.3513321,0.29353327,0.36636746,0.37607113,0.34825397,0.3806099,0.38750362,0.3691051,0.26688802,0.37080562,0.23928083,0.35153374,0.4434838,0.3494102,0.6519793,0.6545671,0.49992716,0.73745215,0.7377101,0.6735344
Smad1,0.27678248,0.27650404,0.27816573,0.107197,0.107197,0.08057923,0.03211186,0.034101058,0.025692444,0.01701453,0.017481651,0.016513104,0.019884726,0.020221246,0.018175738,0.018286237,0.017596,0.019574681,0.011339678,0.012734494,0.009011908,0.049287613,0.03957264,0.05186853,0.02340355,0.0060912697,0.023803372,0.008136324,0.008082952,0.012943334,0.011279547,0.011254685,0.015425585
Fos,0.10124369,0.10129586,0.101143144,0.20671454,0.20671454,0.07358079,0.05764636,0.05957534,0.059797145,0.049475733,0.062047996,0.03598024,0.062496472,0.06925162,0.028190928,0.08304994,0.09515608,0.0604518,0.050028704,0.060574085,0.032429792,0.026493153,0.06102369,0.017319625,0.026695056,0.07611862,0.025553634,0.090737864,0.09168628,0.03182261,0.057946406,0.058067888,0.0
Aatf,1.0271533,1.0270053,1.0293211,0.68815583,0.68815583,0.6192515,0.7466749,0.73814905,0.7814513,0.46516436,0.45185184,0.4794545,0.5712395,0.5712673,0.5710982,0.60599494,0.5784457,0.6574203,0.5877642,0.5908806,0.58256334,0.66800094,0.60669416,0.68428797,0.62051094,0.50668204,0.62313974,0.5266965,0.5279505,0.46371737,0.5369319,0.53704333,0.50766945
Pax5,0.0,0.0,0.0,0.0,0.0,0.0,0.0027782083,0.0025984824,0.0034731384,0.0034096404,0.0025379194,0.004345375,0.0031898392,0.0028620963,0.0048542595,0.0007176431,0.0008999847,0.0003772722,0.001352441,0.0021628323,0.0,0.010829495,0.003319758,0.012824564,0.006555996,0.0,0.0067074047,0.0019428843,0.0017967391,0.010878555,0.0,0.0,0.0
Nfya,0.11770031,0.11762361,0.11775341,0.105056345,0.105056345,0.19370523,0.23453291,0.23924217,0.17835486,0.16198924,0.17258947,0.15061061,0.1783549,0.18203595,0.159661,0.1838029,0.19335784,0.16596703,0.12987961,0.15591142,0.086435825,0.076422036,0.1059002,0.068590745,0.09088371,0.05750975,0.09165447,0.10702282,0.10772613,0.057896234,0.10012927,0.10021515,0.08078354
