gene_name,0_CD25KO,0_CD25WT,0_P14NAV,1_CD25KO,1_CD25WT,1_P14NAV,2_CD25KO,2_CD25WT,2_P14NAV,3_CD25KO,3_CD25WT,3_P14NAV,4_CD25KO,4_CD25WT,4_P14NAV,5_CD25WT,5_P14NAV,6_CD25KO,6_CD25WT,6_P14NAV,7_CD25KO,7_CD25WT,7_P14NAV,8_CD25KO,8_CD25WT,9_CD25KO,9_CD25WT,9_P14NAV
Pptc7,0.7168536,-0.9204084,0.45096925,-0.7337481,0.93250996,-1.506329,0.0700893,-0.1455915,-0.66004354,-0.26102892,-0.023837347,-0.51331013,-0.24011718,-1.0994911,-0.45961234,-0.39960343,0.42330247,0.031207178,-0.9330496,0.81081766,0.22358401,-0.3602612,-0.4704913,2.0848238,-0.9077421,0.590501,1.0066202,0.45922765
Rad9b,-0.34331575,4.33005,0.7302794,0.13919728,-0.36870578,-0.47251123,-0.5222371,-0.5537863,-0.26959428,-0.34374556,-0.17779522,-0.2254134,0.17753801,0.26148793,-0.07698564,-0.34626547,-0.329097,2.1746488,-0.25470474,-0.21465774,0.23061097,-0.36453438,-0.2352799,-0.37442702,0.42393392,0.0650553,0.28665987,-0.20868374
Fam216a,1.405839,-0.7347365,-0.39653277,0.1752941,-1.0932279,-0.38030595,-0.8657931,-0.40826723,-0.40607873,0.53213817,0.84887266,-0.46053082,-0.28166673,-0.25468707,-0.6784103,-0.026176307,2.0869017,0.31919843,1.0539604,-0.27207085,-1.2134457,-0.08414609,-0.36982822,0.02727777,0.0148936305,0.3089176,0.12141944,-0.35184824
Gpn3,-1.2176051,-0.41621745,-0.4892003,0.2511933,0.38252106,0.7932886,-0.5121778,-0.38401878,-0.49611008,-0.2600336,-0.35010976,-0.57670885,0.64822775,1.1680764,-0.9398018,0.4165318,1.0919403,-0.6853065,0.3551171,1.024627,0.47221392,-0.043502778,3.727823,-1.2326611,-0.634198,-0.6261988,-0.040011577,-0.28663877
Atp2a2,-0.4750534,-0.90587306,0.10230466,-0.32916057,-0.06239318,-0.54587626,1.1649184,0.1608502,0.9412377,-1.0278745,-0.6654175,-0.54834706,1.4343786,1.5205268,1.9554583,-0.4590183,0.10539616,-0.31627965,-0.94093305,-0.0370736,-0.06822725,-1.0183823,-0.39531794,-0.5642681,-0.9639685,0.23432991,1.0105648,-0.039687578
Ift81,-0.17445187,-0.08428129,-0.08835369,0.2187737,-0.14861934,-0.2098132,-0.27982643,-0.3081137,-0.19105053,-0.1349099,-0.14373091,-0.17461298,-0.13143396,-0.10984147,-0.02475413,-0.22754295,-0.01301839,-0.19741376,-0.13281879,-0.45324394,-0.19252272,-0.18049435,-0.19073221,0.73815954,-0.173552,0.19105485,0.38821116,-0.08390429
P2rx7,-0.523856,-0.34318513,1.1165314,-0.89219594,-0.6052878,-0.75533396,-0.76847726,-0.6066327,-0.36187577,-0.27976537,-0.31062275,-0.27565587,-0.66664314,-0.5064783,-0.105512865,-0.4560607,1.5377386,-0.6214579,-0.3785659,-0.6844729,-0.55641186,-0.54898953,-0.28394473,1.2330995,2.5483575,0.58508384,0.30268654,1.133825
P2rx4,-0.99418247,-0.6762014,0.5260642,-0.16781065,0.3619832,1.7445966,-1.1257163,-0.61825514,-0.6140807,-0.23465142,-0.7227184,-0.40075946,-0.6141481,-0.8035479,-0.14101961,-0.16866696,1.528077,0.52075034,1.0186709,0.84399164,-0.38892674,-0.6510677,-0.4121949,0.7155515,-0.23556963,0.9264245,1.1848818,0.897919
Orai1,-0.4826474,-1.1284705,0.18607105,-0.64378846,-0.8224619,1.7161245,1.2232912,0.5116823,-0.72683215,0.2985766,-0.34757438,-0.6050655,-1.2376906,-0.7039447,-0.6728931,-0.04501595,0.19519265,-1.0968617,0.6423041,0.74377805,-0.15738706,-0.9108395,-0.5272663,0.47364953,0.23572414,-0.09700607,0.61920136,0.80142933
AI480526,1.056756,-0.5987473,-0.83800006,-0.36864144,-0.24539989,1.3455485,-1.0015637,0.061299603,1.2257627,-0.60683453,-0.5709559,-0.38033167,-0.1515041,-0.34034595,-0.25463712,-0.7143695,0.09543152,0.12268993,-0.6237704,3.7533965,1.1197062,0.94500744,-0.36747214,-0.28569546,-0.48705938,-0.17082465,1.0044405,0.76103985
Setd1b,-1.4532264,-0.25485346,-0.77129567,0.5682011,0.84188586,-0.5491849,-0.46590388,-0.31110665,-0.68267876,1.4366833,0.7046777,-0.60987204,-0.16869986,-0.5192193,-0.75955856,0.88867104,0.6009643,0.3188869,0.17620139,2.0043902,-0.72293,-0.8322838,-0.5152062,-0.5080907,0.21093036,-0.3029961,-0.7563256,1.6215837
Bcl7a,-0.14710258,-0.49050215,0.8185484,0.6704354,0.037195053,-0.42760798,-1.0561192,-0.86236155,-0.40157166,0.4763078,-0.45835966,-0.34175956,0.28492606,0.1251988,-0.27250853,-0.6431857,-0.054891057,-0.7958564,2.7945898,0.9133915,-0.7921204,-0.7780397,3.4618313,-0.2474721,-0.095361464,0.8766478,0.10221436,-0.22394484
Mlxip,-0.68424875,-0.52309424,-0.30646846,-0.15180804,0.1983426,0.7129419,-0.5407098,1.2802553,-0.3525427,-0.17349479,-0.39229658,3.0109997,0.015191195,0.35776818,-0.4311443,0.965272,-0.039370168,-0.76719904,-0.5595421,0.005187367,-0.06620875,-0.3320052,-0.31578088,1.0254343,0.37179613,0.26016003,0.0067800293,-0.7595662
Clip1,1.6381375,0.5372493,0.078400865,0.28925356,-0.7528798,-0.007590797,-0.21587373,-0.24622357,0.5597754,0.81460637,-0.09033716,0.85675365,-0.23185775,0.09522174,1.9547495,0.756324,-0.14139391,-1.2956825,-0.689109,1.3438648,-0.6329933,-1.1784998,1.1573102,-0.5530833,0.35615712,0.5119873,-0.068199016,0.16110614
Vps37b,1.6962638,-1.0169256,-1.0322893,2.6935377,3.4226773,-0.69596547,0.77101064,0.16487065,-0.17181332,-0.078621715,0.17767498,-0.91122144,-0.6376998,-0.07005512,-0.021042801,0.32870802,-0.037711546,0.29582813,1.720423,-0.8782117,-0.5858446,-0.5566827,-0.77946573,-0.89592296,-1.1446373,0.34659493,0.6490536,-0.884124
Pitpnm2,-0.62337637,-0.48610863,0.7730739,-0.031180456,0.33380297,0.5990598,-0.17948064,-0.4569938,-0.31111255,0.042938698,-0.61247206,-0.35315523,0.7864396,0.13419367,-0.45544863,-0.72624904,0.31583226,0.91642225,-0.52579373,-0.98956543,-0.25015098,-0.80128884,-0.29808503,0.013192436,0.62276816,1.4163343,-0.019588614,0.021162879
Sbno1,0.52467173,1.8416034,-0.12438508,0.15893689,1.5364078,-0.67080075,-0.26432395,-0.30646086,-0.33965018,-0.027764782,0.514169,-0.9661974,0.40144598,-0.072945334,-1.2630652,2.0647583,0.072719105,1.1875861,-0.2853953,-0.40257952,0.10841555,0.6039919,-0.80036205,-0.67169756,-0.55134255,-0.107511975,-0.14524274,0.44787726
Rilpl2,-0.7783372,-0.91755927,-2.648491,-2.1132493,-0.7094023,-1.9449608,3.2153027,3.0103462,0.18918444,-0.268158,-0.9236643,-1.1037778,1.7275567,1.4325387,-2.6365583,-0.83066916,-0.9414724,-1.5115517,-1.0935569,-2.2208605,3.0260766,2.8629477,0.6932686,4.1602216,3.1756613,-1.2277583,-3.174298,-1.4171854
Ddx55,1.8361818,-0.3836423,0.47570443,-0.12455377,-0.37966332,-1.016764,-0.45628917,0.14553285,-0.5824187,-0.17174633,0.3626369,1.509696,0.4729467,-0.26383755,-0.70864993,-0.48983923,0.28359988,0.639588,0.20053992,-0.23372127,-0.75330514,-0.5544375,-0.46010557,0.11007764,0.4459525,0.00081881724,0.009293761,0.29116285
Stx2,-0.6902708,-0.511531,0.635656,0.5194104,-0.81283855,-0.99988467,-0.62021464,-0.5152928,-0.37851724,-0.24196112,1.0961286,-0.3554959,0.15262827,-0.9878263,-0.35680252,-0.6984146,0.75001824,0.63561225,-0.54588693,-0.52052224,0.41097614,-0.017006768,-0.32026199,-0.9367438,-0.6285546,0.1312283,0.074062005,1.1502151
Ran,1.8873645,0.004062828,0.48367023,-1.6734437,-1.2116874,-1.9235489,-1.4659531,-1.1378909,0.38607073,2.028627,1.84411,1.0070002,1.941428,3.7154913,0.06677584,-1.7759087,-1.6232423,-0.27789775,-2.5083094,-1.7002966,3.5987499,4.2821894,1.0999745,-2.8366797,-2.0739431,-1.6254343,-3.8573468,-1.7217765
Adgrd1,-0.10066675,-0.036339466,-0.09265809,-0.019988084,-0.05069497,-0.09233043,-0.19169803,-0.21034676,3.0305564,-0.13000806,-0.15177608,-0.1580163,-0.09116279,-0.080791354,-0.039514232,-0.19924438,-0.72619116,-0.102473594,-0.088438846,-0.2777376,-0.13217479,-0.1170156,-0.16984056,-0.09185919,1.1522843,0.13692829,0.2611529,-0.07455812
Sfswap,-0.6528731,-1.1355236,0.2642259,0.041961726,-0.007265631,0.32462558,-0.045201693,0.39345044,-0.57463354,-0.6240584,0.22757614,-0.6313035,0.029508367,0.7262889,-1.0052602,0.18453895,-0.19058645,0.69140583,-1.1553613,-0.7442053,-0.44543037,0.42718768,-0.48945725,0.42047608,0.10136378,-0.032508813,-0.85306096,-0.06277591
Sumf2,0.4843997,-0.5940426,0.5299744,0.68865156,-0.12622,-1.0744367,-0.4918468,0.32749516,-0.3478325,-0.9495748,-0.93312067,-0.40044373,-0.3578351,0.7825239,-0.56172675,-0.34185493,-0.3762655,-0.8234755,1.118593,0.56335795,-0.47450268,-0.04593661,-0.32807082,0.46242514,0.26797658,0.5783929,0.73539454,-0.6099802
Kctd7,-0.19497114,-0.14076756,0.17670918,-0.18611716,-0.16631489,-0.22785121,-0.40088636,0.016563956,-0.14175624,0.3652879,0.6191099,-0.20961915,-0.069809444,-0.6500826,-0.22458722,3.1283119,-0.34120896,-0.18924578,-0.19333714,-0.40063602,-0.31504944,-0.29005742,-0.18880126,0.98551226,-0.4450986,-0.38635617,-0.50670433,-0.33164692
Auts2,-0.52011675,-0.3273983,0.1090487,3.1630347,1.645211,0.6971757,-0.73412573,-0.5817831,-0.3787532,-0.35898012,-0.349423,-0.26540804,-0.52025294,-0.4743374,-0.043136604,-0.41502598,-0.33181083,1.4464608,2.6583633,-0.9117308,-0.52062285,-0.517324,-0.28528202,-0.5016604,-0.4744019,0.1903397,0.584185,-0.23290399
Gatsl2,-0.44318426,-0.28148323,0.0072901607,0.14535697,-0.5002759,-0.6300349,0.23500948,-0.6914062,2.8935106,-0.39807996,-0.27296588,-0.25097087,-0.30140892,-0.29100648,-0.07776869,-0.39759192,-0.3500033,1.1238444,-0.31967756,2.9242752,-0.4676782,-0.45980963,5.5459785,-0.47189605,-0.45687273,0.07800293,0.6504576,0.8990045
Ncf1,0.5960748,2.6934972,-0.32561687,0.7083769,-0.51211256,1.5074574,0.6151673,0.5312314,-0.49230003,0.338345,-1.3253499,-0.4265845,1.0575122,-0.75863373,-0.42376128,-0.8625303,-0.8290315,-0.2899849,-0.7173292,0.51784825,-0.6435455,-0.48173842,-0.38382205,1.2906598,0.08395422,0.124196626,-0.06263853,1.4617712
Gtf2ird1,-0.39437786,-0.27232343,0.91273224,-0.6073068,0.8314122,-0.5446767,-0.643512,-0.6539031,-0.2625309,-0.29044914,-0.5982389,-0.2558748,-0.7393441,-0.24759714,-0.19410938,0.72130764,0.76139456,-0.4442292,-0.31549865,1.9412837,-0.48302174,-0.46585247,-0.24490435,-0.2803043,-0.56621224,1.7131406,0.9001389,-0.36821866
Mettl27,0.85871816,-0.4941914,0.14168872,0.8273757,0.8953136,0.044676382,-0.8918836,-0.98879576,-0.4608189,-0.4429844,-0.26344007,-0.33469284,-0.5221131,-0.7272325,2.5056458,-0.59003043,-0.13541298,4.420798,-0.5219535,1.688716,-0.7689954,-0.49301952,-0.33813336,1.1864889,0.69195104,0.5898115,0.24580859,0.4454228
Stx1a,-0.28654978,-0.19478281,0.7725647,0.4090202,-0.28906673,-0.3755262,-0.49798864,0.09029791,-0.20642376,-0.55133206,-0.25684977,-0.2263534,0.64068663,0.17112568,-0.18033287,-0.38220462,-1.001919,2.253937,-0.24229278,-0.017405886,-0.37650293,-0.35715604,-0.2157154,-0.4525229,-0.46209833,-0.24383312,0.18656293,1.3138279
Baz1b,-0.114495955,-1.2077519,-0.3685777,0.1057004,-1.7581838,-0.30366194,-0.94088,-0.4571543,-0.4725622,1.676109,1.0461017,-0.88742244,0.71974885,2.4629297,0.019225812,0.2263196,0.18703254,-1.340278,-0.46324825,0.56173223,-0.93187517,-0.15964666,-0.5569132,-0.946913,-2.0120273,0.23896262,-0.53185105,-0.754677
Rhbdd2,2.1335485,-0.38573277,-0.33587226,1.1608529,1.6302564,0.12885927,0.3980774,-0.49180827,-0.2936387,-0.066386506,-0.38197485,-0.30668142,-0.23064741,0.21859041,-0.32151312,-0.58924407,-0.33090332,-0.5791249,0.66120243,0.13051154,-0.38087547,-0.3191332,-0.27448842,0.27749205,0.029456403,0.23711215,0.086384974,1.3992038
Rasa4,-0.34046212,-0.23818348,0.6725212,0.09447708,-0.35876676,0.64578885,-0.5811108,-0.33994538,-0.2278203,-0.14365357,-0.061145626,-0.24437542,0.2820657,-0.22103778,-0.20910914,-0.42769983,0.22836171,-0.3741408,-0.28406525,0.21716174,-0.44110996,-0.42136702,-0.2294786,-0.025578517,-0.103212774,-0.31921402,0.52029234,-0.3664552
Alkbh4,-1.0039141,-0.9897649,0.7173795,-0.19099441,0.48426318,0.7415955,0.13089465,-0.57659525,-0.66970503,0.4143154,-0.1629079,-0.54578334,0.20517248,-0.4001984,-0.5572355,-1.1447008,-0.34752008,-1.5422941,-1.0017602,0.96615016,-0.66237533,-0.36744347,-0.48617518,0.5326183,0.91195345,-0.24135937,0.08462226,0.47400713
Orai2,-0.33878013,0.14526604,0.39129132,-0.6767264,1.2812326,0.77211934,-0.65032727,0.55731845,-0.76606005,-0.068342276,-0.35240406,-0.5863951,-0.6283556,-0.20212656,2.0465991,1.148838,0.36602744,-1.2210839,-0.63634354,0.44645348,-0.7908395,-0.7502874,-0.5323778,1.1267916,0.206745,1.1680517,0.09076082,1.0734907
Cux1,-0.37071478,0.7247593,0.071569785,-0.034097515,0.5109526,0.46989354,-0.8363958,-0.042457882,-0.70392895,-0.2960359,0.34626275,1.3130846,-1.1687428,-0.18851843,-0.52079093,-0.39899024,2.2602134,-1.6003172,-1.0199976,0.37574968,-1.2367638,-1.0367137,1.5638127,0.31389666,0.28261676,0.0014942299,1.0850391,-0.47638488
Myl10,-0.44350955,-0.2562396,-0.37437537,-0.7490686,-0.50633305,1.0543232,-0.59478414,-0.6611738,-0.36198494,-0.121713065,-0.07679115,-0.23311764,-0.2473578,-0.18048386,0.042592175,-0.32224977,3.870324,-0.54590565,-0.29145557,-0.70202464,-0.4055694,-0.405875,-0.26742697,-0.3174018,-0.303497,0.7266591,0.9132161,1.92097
Plod3,-0.3263368,3.6820014,-0.2796728,1.232219,-0.3408124,-0.43725288,0.3815783,-0.2349836,-0.224213,-0.60595393,-0.2045767,-0.23867412,0.12754385,0.1843378,-0.19499706,1.0626601,0.46071663,-0.3588368,-0.27156803,-0.71475095,-0.42077464,-0.40158135,-0.22612205,0.52425545,-0.51274455,-0.28036976,0.23617245,-0.344306
Trim56,-1.3242166,-0.971939,0.76027536,-0.20002481,-1.0275074,0.20838833,-0.62090814,-0.42343956,-0.7018751,-0.11603157,-0.1874067,1.4949632,-0.59381413,-1.2501192,-0.45920068,-0.06018707,0.37826255,0.47417235,-0.981337,0.6070621,0.4745672,0.37700453,1.7523578,0.33895293,-0.3024648,1.1335455,0.2660468,2.0979588
Ufsp1,-0.2018923,-0.14727734,-0.074607536,0.19630407,2.0222673,-0.23818874,-0.41365626,-0.3988811,3.0337245,0.18398736,0.3111018,-0.2125934,0.56732136,0.59911656,-0.23271464,-0.37197357,-0.7865095,-0.19653893,-0.19974706,-0.4123687,-0.32564223,-0.30029863,-0.19039987,-0.43812674,-0.461027,-0.40891224,0.01037468,2.1385136
9130604C24Rik,-0.26329008,-0.1916524,0.20447446,0.018152513,-0.25554946,-0.33442822,0.03389192,-0.20031293,-0.17478202,-0.041049093,-0.4694595,-0.22956012,0.5278451,0.42465734,-0.24161325,-0.4088089,-0.46838441,2.2897325,-0.24167986,0.065317646,0.4503816,-0.36266598,-0.2069802,0.4317347,-0.5216556,-0.42540526,-0.055487495,-0.37719482
Agfg2,1.2469562,-1.0421435,-0.9466875,-0.8211103,-1.2738395,-1.5326103,-0.38112882,0.45081303,-0.22688147,3.1620955,2.6759531,-0.63770324,2.2947464,0.72606736,3.0760398,0.94172853,-0.4376837,-1.072832,-0.559564,0.15850246,0.53462267,-0.029059429,-0.38223177,-1.0691483,-2.118005,-1.9124503,-2.8644633,-1.8844092
Zcwpw1,2.931213,-0.43716487,0.24728931,0.88890743,0.49597582,-0.8386706,-0.66517603,-0.81504506,-0.32557425,0.9872899,0.04428935,-0.32705328,0.36145157,-0.6550384,-0.3417648,-0.6366251,-0.09041941,-0.661037,4.7337427,-0.16573983,-0.054359924,-0.51172405,3.8577735,-0.3015789,-0.90959615,0.41583732,0.5918423,0.20171846
Pilra,-0.09375294,-0.05283665,-0.25875703,0.011109082,-0.03688079,-0.07420466,0.057223022,0.9801047,-0.11085132,-0.35745046,-0.4283397,-0.17124273,-0.31421718,-0.1246003,-0.14008959,-0.25882047,-0.6343536,-0.07676306,-0.107712716,-0.21196549,-0.17795253,-0.15577117,-0.16411795,-0.21454152,1.0336359,-0.15630877,-0.20321222,-0.19291653
Pilrb1,-0.09071843,-0.045608655,-0.26084688,0.013425416,-0.034015134,-0.07115542,-0.21501686,0.9904403,-0.116523735,-0.30017608,-0.35960034,-0.16685845,-0.25575715,-0.27089092,-0.11585618,-0.24207315,-0.646764,-0.07706931,-0.10001944,-0.21710034,-0.16259056,-0.1419655,-0.16420162,-0.18044145,1.0646749,-0.0863704,-0.09512953,-0.16267267
Pilrb2,-0.068139456,-0.028349271,-0.19604717,0.059266068,-0.0046214107,-0.03608239,-0.18225673,0.6207662,-0.10624453,-0.27056783,-0.32804525,-0.1599566,-0.215458,-0.23007785,-0.10813904,-0.22573864,-0.60603356,-0.05009051,-0.083548725,-0.16947742,-0.1377801,-0.11702687,-0.15827292,-0.14870687,1.0919607,-0.067392826,-0.078206554,-0.14510694
Zfp113,-0.5821735,-0.4133241,-0.16113324,-0.39033553,-0.6755579,-0.08072151,0.8752054,-0.3886924,-0.35169134,-0.49271894,0.7243059,-0.31148317,-1.0469604,0.2766858,-0.24624154,-0.57403094,1.3163532,-0.6706627,-0.4496428,0.16162059,-0.02410725,-0.36241016,3.9093986,-0.22488432,0.042643644,0.35949552,0.11963412,-0.4998291
Mcm7,-0.56722426,-0.5729204,-0.4084829,-2.046462,-0.7281886,-1.3929623,-1.4354925,-1.9864655,-0.20841298,1.671398,2.5204597,0.4589309,5.9036508,5.255977,1.3170378,-0.6451634,0.47478244,0.4236188,0.37067235,1.1413071,0.17681667,-0.9109884,-0.49493322,-3.9147408,-3.2692735,-1.648163,-2.5844653,-0.9839821
Cnpy4,-0.6854057,-0.5578212,0.13799693,0.6313009,0.11593328,0.25040185,-0.07278541,0.3380016,-0.30443394,0.429091,0.010455096,-0.3892272,-0.34223104,0.8401603,-0.59147424,-0.29449135,-0.318753,-0.74147034,-0.59816766,-0.47390157,-0.5869048,0.41677895,-0.31001407,-0.86722046,-0.9458734,0.089984156,0.068313055,0.596476
Mblac1,-0.2335467,-0.16018172,0.044899784,0.12359014,-0.21875936,-0.2911883,-0.4343188,-0.4315929,-0.17379406,0.25660348,-0.121841915,-0.21431689,-0.033090837,0.62894934,-0.19016816,-0.36139506,-0.008507727,-0.24340786,-0.21023144,-0.5056711,-0.3327544,-0.3112106,-0.20073713,-0.08648011,1.7036526,0.28670087,0.093734965,-0.3044356
Zfp157,-0.79695445,1.4332739,-0.13957642,-0.5296393,-0.95645785,0.014671346,-0.20228295,-0.559517,-0.45788723,-0.586154,-0.356705,-0.37301248,-0.14499108,0.6051706,-0.2919763,4.915431,0.74989235,-0.9319879,-0.59978205,1.2920704,-0.07235915,-0.32351235,-0.35211915,-0.26005882,0.81096673,0.33245116,0.8515168,1.808872
Zfp68,0.4149306,-0.8250073,-0.13174255,-0.113836005,-1.2795839,1.5943342,-0.5714762,0.7291725,-0.49430284,0.40526384,-0.255066,-0.49146926,0.25002944,-0.6915744,1.2868189,1.1317362,-0.05348977,-1.1948733,0.8847704,0.183744,-0.18622407,-0.1796509,-0.40970147,1.0839678,0.6740989,-0.18669753,-0.42949685,1.0740026
Sun1,-0.2916134,-0.81775665,-0.62963617,-0.11712709,0.30072188,-0.08923904,0.7043635,1.3371961,-0.3312218,1.3297906,-0.09734632,-0.51234114,0.0248265,0.8836117,0.97315097,1.6570606,-0.9106663,0.86747235,-0.85643345,-0.30321085,0.090310805,-0.09887243,-0.36637098,0.016334098,-0.95922357,-0.96637183,0.0826739,-1.510946
3110082I17Rik,1.9955211,-0.28073254,0.2095276,0.84607077,-0.41406333,0.6333338,-0.44612098,0.17582607,-0.23502523,-0.16966985,-0.4834547,-0.26410583,-0.5741388,-0.29181436,-0.26630962,-0.48597658,-0.26742882,1.6166105,-0.32611614,-0.30843657,-0.5113117,-0.18505293,-0.23942913,-0.4445057,-0.6504093,1.8426778,1.0841722,1.364543
Gpr146,-1.03772,0.3627055,2.195563,-0.09363674,-1.1657022,0.50099444,-1.3387446,-1.2408787,-0.7638152,-0.5261793,0.17287084,-0.5127563,-1.2429355,-0.69400185,-0.29328525,-0.54466766,0.41647074,-0.30516416,0.48014906,1.1628214,-0.36221784,-1.058438,-0.5030157,-0.109828085,-0.646417,0.15197887,0.33797908,2.3545692
Zfand2a,-0.52888167,-0.39927003,0.105795674,0.21270101,-0.60028505,-0.10762907,0.32786322,-0.14777607,-0.28908473,-0.56983364,0.4980824,-0.31398386,0.5066758,0.35450727,-0.35412288,2.4582853,-0.5979729,-0.5856112,3.7164652,0.67192066,-0.689951,-0.66580904,-0.27589312,-0.28961635,0.117779985,-0.40857157,-0.06404313,0.13024004
Mafk,-0.85021424,-0.63911897,-0.17320895,1.0003095,-0.17720571,0.68184775,-0.8591307,-0.03524564,-0.44367713,0.71953493,-0.43808386,-0.40813813,0.3574969,0.47830412,-0.4366427,0.30574173,0.28927988,0.14251432,-0.668508,-0.9607834,0.08969742,0.3148157,-0.36130378,0.2261102,-0.137101,0.08540126,0.18176189,-0.82710606
Grifin,-0.3649346,3.9346302,0.18395643,1.536006,-0.39547852,-0.50398904,-0.567485,-0.3488316,-0.27052054,-0.43945798,0.1088037,-0.23639089,0.32717237,-0.22787869,-0.11369391,-0.3802986,-0.46610728,-0.42097414,-0.27740124,-0.30127615,-0.4141901,-0.40162605,6.6069903,-0.44252267,0.35915354,-0.03829126,0.13671838,0.8492109
Gm43703,-0.4108001,-0.2624961,0.6860801,-0.43500748,-0.4568431,0.3582803,-0.6172655,-0.42075467,2.9162383,0.060043093,-0.336955,-0.24513347,0.19864903,-0.24826369,4.2460036,-0.39126274,-0.016450075,-0.48178032,-0.30249292,-0.05558747,1.3119498,0.14211895,-0.253231,-0.46143675,-0.45154807,0.026040638,0.5931732,-0.25385836
Lfng,0.70360833,-1.4376979,0.14098357,-2.1036892,-2.2527378,-0.26979128,1.3897955,2.061847,-0.7171726,1.0103455,0.7975351,-0.18328564,0.50712526,0.39859822,0.85977525,0.7256904,-0.07468691,-2.3416405,-0.04943148,0.8637475,-0.29373372,-0.034335934,-0.98713094,-1.6264935,-1.1662385,-2.0155106,-1.1182446,-1.6449934
Ttyh3,0.6363884,-0.7026138,0.462883,0.15632261,-0.13379478,-0.043340273,0.6373489,0.5003175,1.5719981,-0.094899826,-0.070540406,2.1468613,-0.35413164,-0.47602206,-0.35198927,0.54101413,-0.78303933,-0.22761726,-0.7248192,0.48626065,-0.8808022,-0.4973171,-0.39692923,-0.7264522,0.40065157,0.1394097,0.45436475,-0.30704853
Amz1,-0.10684935,-0.04806551,0.13860129,-0.027057573,-0.05719665,-0.09956049,0.3114863,-0.22782509,-0.13805689,-0.21412152,-0.25240016,-0.16483587,-0.17784555,-0.17828962,-0.074708365,-0.22447029,-0.71183854,-0.104253285,-0.10076366,-0.2743271,-0.15612134,-0.13875318,-0.1702083,0.73692197,-0.18306804,0.035627577,0.10562203,-0.11913305
Gna12,0.4447354,-0.30920705,-0.23776087,0.2855378,-0.39028373,-0.49262944,-0.2950421,0.18886577,-0.17563015,-0.5736319,0.20994668,-0.2869248,0.6123536,-0.6570994,-0.4397626,-0.58873916,-0.111493856,-0.37525815,-0.3593779,0.8300429,0.091605775,1.0171413,-0.22956918,0.1549536,0.40326896,-0.653625,-0.14111637,-0.13125035
Card11,-1.4255548,0.10752463,-0.73891634,0.35191005,-1.0612161,-1.8204864,0.9575957,0.9277299,0.8781741,-0.32068402,0.77410835,-0.6100673,-0.5592357,-0.37860316,1.734104,1.7068431,0.06413618,-1.6319964,-0.668141,0.017408712,-0.64291024,0.8723613,-0.5057361,0.32250747,1.4301106,-0.9874828,-0.71068776,0.69486105
Ap5z1,-0.5183165,-0.40082073,-0.010316435,0.45716515,-0.58440363,-0.72574943,-0.06509038,0.7987091,-0.27044028,-0.18621007,-0.47566813,-0.31753385,1.2222272,-0.5797439,-0.3960061,-0.6354803,-0.6781319,-0.5652754,-0.44359592,0.1877174,-0.30102706,0.4074486,-0.27139217,0.49351814,0.077672206,0.42606416,0.319175,0.3541226
Wipi2,-0.7463627,1.2682579,-1.3653537,-0.14137895,-0.6698081,-0.2311939,0.7257179,0.0823818,-0.48580903,0.5285989,-0.4360706,1.7196865,0.293107,0.5806885,-0.7555143,-0.46876994,1.0017724,1.3126214,-0.33269426,0.27483913,1.1377413,-0.48399523,-0.41774353,0.4865555,1.4996473,-0.481435,0.16431274,-0.7170418
Actb,-0.7782786,0.8199417,-0.24493288,-5.4184184,-2.3568301,-3.4810925,2.8856292,2.7421846,1.1697109,1.6257883,1.012145,-0.20352133,2.0502162,2.8810663,-0.9333862,-2.1782959,-0.043397658,-1.9550277,-1.2662177,-3.4079998,2.852297,2.8810654,-0.37402433,0.6033727,-0.66927093,-4.195403,-2.9721003,-2.6490417
Rnf216,-0.5277036,-0.4710918,-0.9481,-0.40382794,1.8418412,-0.7189354,2.0461743,1.62455,-0.18403876,0.49711192,-0.040195443,-0.36483768,0.39950216,0.19700734,-0.69739324,-0.012721944,-0.41859016,-0.52594614,0.38976765,-0.9238588,0.6455997,-0.12253518,-0.2625391,-0.6704407,-0.5360633,0.14188647,-0.13353996,-1.0221388
Olfr718-ps1,-0.073612,-0.02763682,0.0109233465,0.04432105,-0.0128275715,-0.04624325,-0.17924343,0.2167035,-0.11577152,-0.22458732,-0.2713623,-0.15818173,-0.17231913,-0.17959787,-0.08687343,-0.21518344,-0.63374346,-0.060551334,-0.08207532,-0.19252515,0.7968572,-0.112644464,-0.16058806,-0.12664084,-0.17192441,-0.0047795735,0.023225378,-0.12155373
Rbak,-0.3361796,-0.2302211,0.76325613,-0.487283,-0.35422802,0.66523856,-0.279662,0.09175203,-0.2326091,-0.09748023,-0.20274676,-0.23976427,0.62388796,0.10815075,-0.18548667,-0.41070053,-0.6607157,-0.37278003,-0.2757067,-0.23293902,0.5044945,-0.40665057,-0.2291952,0.7444319,-0.50850344,-0.25124067,0.117732964,-0.3364876
Zfp12,-0.5200064,-0.3693714,0.030991292,0.49886256,0.6536161,-0.7394768,-0.3300209,-0.1612864,-0.31826195,-0.6398086,-0.36685094,-0.29499286,0.7835707,-0.027239207,-0.24185511,0.21134976,-0.29075873,-0.5935232,-0.4082769,1.4521799,-0.18169667,0.06611834,-0.2777089,0.2590209,-0.011202801,-0.38697773,0.4800487,0.68354183
