gene_name,P0_CD25KO,P0_CD25WT,P0_P14NAV,P1_CD25KO,P1_CD25WT,P1_P14NAV,P2_CD25KO,P2_CD25WT,P2_P14NAV,P3_CD25KO,P3_CD25WT,P4_CD25KO,P4_CD25WT,P4_P14NAV,P5_CD25KO,P5_CD25WT,P5_P14NAV,P6_CD25KO,P6_CD25WT,P6_P14NAV,P7_CD25KO,P7_CD25WT,P7_P14NAV
9930104L06Rik,0.16523682,-0.14531769,0.020880718,0.11964989,-0.17180955,-0.17232998,-0.04912577,0.06834265,0.3732615,-0.12883998,0.00086974463,-0.06190917,0.048565604,-0.06269694,0.008711836,0.0041606775,-0.14696403,-0.098135754,-0.11155855,2.3452532,-0.14766139,-0.15053643,-0.17738277
Gnl2,-0.4699443,0.13896881,0.06254547,0.119538724,-0.070481025,0.32251957,-0.036337916,-0.071471386,0.1968059,0.08963726,-0.17190589,-0.05622828,0.21006286,-0.40277517,-0.047624033,-0.19825312,1.5519727,-0.1423659,-0.16382352,-0.48941872,-0.31304502,-0.022346977,-0.471846
Zc3h12a,-0.22480533,-0.014042862,0.057979383,-0.1683487,-0.28850412,0.037187703,0.24913736,0.050258156,0.1735583,0.41447976,0.64857584,0.075457774,-0.13990657,-0.3154582,-0.10749931,-0.09541957,-0.29464167,-0.059225302,-0.04579914,-0.27991953,-0.15218107,-0.0737692,-0.28712738
Csf3r,-0.065025434,-0.056157358,-0.0673754,-0.064998075,-0.06428438,-0.064444035,-0.026648138,-0.010655842,-0.04382199,-0.05110242,0.16921043,0.012849815,-0.044929087,-0.030811427,-0.04163587,-0.039239626,-0.056662407,0.23633623,0.11712796,-0.07494514,-0.05687634,0.050971393,-0.065994106
Eva1b,-0.05133393,-0.07222991,-0.15623333,-0.20960248,-0.18207324,-0.38534036,-0.3949945,-0.2042406,-0.34974113,0.7182695,0.6440742,0.058970526,-0.18309198,1.2814908,0.025383482,-0.100624144,1.3459781,0.6484564,0.52103686,-0.12222494,-0.0005289628,0.19429101,1.0911958
Sh3d21,-0.057093985,-0.04535822,-0.008791819,-0.057057776,-0.05611329,-0.056324575,-0.0063065663,0.01485718,-0.02903395,-0.038668662,-0.03680402,-0.032909892,-0.030499049,-0.011816141,0.09696862,-0.02296978,-0.04602659,-0.048997387,-0.05190804,-0.07022143,-0.046309702,-0.04747691,-0.058375884
Adprhl2,0.13509952,-0.10569916,0.02701976,-0.020953229,-0.40803084,-0.25852934,-0.23780079,-0.089861654,0.17932926,0.08998673,-0.11480952,0.12703511,0.21385752,-0.56798345,-0.052733045,0.07699586,-0.44445288,-0.10213045,-0.10787532,0.70878583,-0.26091567,-0.07571139,-0.39986083
Clspn,0.3196387,-0.121316135,-0.039394494,-0.16928434,-0.24969327,-0.07197711,-0.67773235,-0.60271615,-0.6388397,-0.78887856,-0.8392176,0.6023635,0.619013,0.40955234,0.57796615,0.8394342,-0.58116096,-0.40876392,-0.3597859,0.21392658,-0.37180337,-0.3230059,-0.17534016
Zmym4,-0.016227392,0.16932604,0.046480734,-0.13642439,-0.25516713,0.09766464,0.091665834,-0.027420312,0.61360556,-0.06442721,0.02375547,-0.053047843,-0.006267478,-0.18662685,0.1228355,-0.021214359,-0.23956014,-0.0020429213,0.013883601,-0.27699643,-0.23999819,-0.0913665,-0.258668
Zmym6,0.668976,0.49236465,-0.01736616,-0.070113264,-0.124477424,-0.12488453,-0.028507484,0.012271819,-0.07229968,-0.00899458,-0.087271415,-0.079768024,0.007366193,-0.03912359,-0.003925089,-0.03391432,-0.105041906,0.0666482,0.054520395,-0.15166166,-0.105587415,0.0012531087,-0.1288371
Zscan20,-0.1523617,0.6024333,0.06471784,-0.054287117,-0.14987461,0.067584306,-0.02356157,0.030111043,0.48728174,-0.027668092,-0.10090506,-0.031820755,-0.04162631,-0.037534203,0.07526146,-0.065820545,-0.124294095,-0.065055005,-0.13920982,-0.18565376,-0.014638237,-0.12797219,-0.15561269
Tlr12,-0.21406783,0.6375233,0.15188426,-0.10209421,-0.20986128,-0.03779765,0.0037782586,0.151653,-0.09370793,-0.13503478,-0.12703665,-0.003970809,-0.06952153,-0.019854356,-0.08129856,-0.02425251,-0.1665957,-0.17933851,-0.14460623,-0.27037632,-0.16781005,-0.17281663,-0.21956639
Zfp362,-0.113669515,0.13969451,0.10257946,-0.14417963,-0.03499964,-0.28092754,0.350774,0.21483965,-0.098845676,0.15456653,-0.034434408,0.08506356,-0.12281552,-0.17743807,-0.06849096,-0.014757743,-0.25698304,-0.11564449,-0.01863093,-0.31324005,-0.18577054,-0.26035526,-0.2856972
Trim62,-0.09376809,-0.08188012,-0.02811774,-0.028584953,-0.092774674,-0.0929887,-0.042322006,-0.020883787,-0.06534414,0.14622971,-0.073214985,0.088898875,-0.06682824,-0.047903035,-0.062413573,-0.059201326,-0.082557164,0.22610095,0.0008490951,-0.10706579,-0.082843944,-0.08402629,-0.095066614
S100pbp,-0.13585374,-0.044167098,0.039155636,-0.17498577,-0.280912,0.06874764,0.14581938,0.0400311,0.371848,0.027977018,-0.017751133,0.041884523,-0.020311352,-0.35269833,0.098049216,0.02637451,-0.29725814,-0.121452376,0.033870727,-0.25804886,-0.11250358,-0.029291468,3.6667097
Gm12976,-0.054650333,-0.073052734,-0.015559077,-0.05470711,-0.056188118,-0.055856816,-0.13428813,0.030675696,0.37569007,-0.08354238,-0.086466245,0.028970895,0.06932529,-0.12564878,-0.10318668,0.073568545,-0.07200468,-0.0673463,0.026423965,-0.03406568,-0.07156075,-0.0697305,-0.05264023
Dcdc2b,-0.09373604,-0.06539115,-0.015206214,-0.09364858,-0.091367416,0.21362363,0.028928611,0.08004449,-0.025963854,-0.049234156,-0.04473057,-0.035325244,-0.029502442,0.015621575,-0.018976396,-0.011317328,-0.067005455,-0.07418068,0.008206481,-0.1254422,-0.06768923,0.12731582,-0.09683217
Iqcc,0.37457114,-0.19873151,0.013853358,0.0014706395,0.059418075,-0.2330039,0.20244639,0.096429795,0.09507495,0.08519725,0.05012404,-0.021960804,0.032256875,-0.0939048,-0.039981272,-0.05238497,-0.20082034,0.051446304,-0.079058535,-0.27643478,-0.0714185,-0.114821985,-0.2394147
Adgrb2,-0.1688633,0.4216259,0.094802655,-0.042163152,-0.1661433,-0.1667293,-0.028001856,0.11117785,-0.09103739,-0.11775975,-0.11258807,-0.0027569826,-0.027001504,-0.04328294,-0.08301337,-0.030351065,-0.13816735,-0.14640698,-0.010986793,-0.20527294,-0.13895257,-0.04127883,-0.17241873
Fabp3,-0.07392945,-0.06240739,-0.042638257,-0.073893905,-0.07296662,-0.07317405,-0.024066843,-0.003288475,-0.046380375,-0.055839643,-0.054008957,-0.050185736,0.04029465,-0.029476093,-0.043540005,-0.04042663,-0.06306359,-0.06598029,0.10943118,-0.08681786,-0.06334155,0.330117,-0.07518801
Pum1,0.05771355,-0.31030127,0.04027786,0.09832798,-0.32612053,-0.0024241172,0.066105664,0.0031536275,-0.30879748,0.034323063,0.19968167,0.07122383,-0.011742089,0.3228954,-0.04055785,-0.014160267,1.0132985,-0.1078888,-0.10299892,-0.6207149,-0.09939449,-0.17602232,-0.6172067
Sdc3,-0.079692475,-0.08319077,-0.044428363,-0.014673325,-0.07998481,-0.07992183,-0.09483159,-0.101140246,-0.08805683,-0.08518484,0.18563323,0.10081325,-0.030597165,-0.09318925,-0.000908433,0.015717605,-0.082991526,0.03376711,0.097195454,-0.07577935,-0.08290714,-0.08255921,-0.07931036
Snhg12,-0.034531597,0.87632525,0.029845908,0.5147372,0.9326432,-0.18669601,0.5031173,0.2195606,0.32194036,0.044495065,-0.39832056,-0.14243536,-0.1472186,-0.165036,-0.20434554,-0.06550142,-0.52737063,-0.2809057,-0.23488276,-0.7836265,-0.31604096,-0.26887125,-0.6581662
Ptafr,-0.04922975,-0.039048366,-0.051927727,-0.049198337,-0.048378948,-0.048562247,-0.0051690387,0.013191606,-0.024886219,-0.03324483,-0.031627156,-0.028248798,-0.026157267,-0.009948879,-0.02237635,-0.01962524,-0.03962822,0.18852665,0.044260215,-0.06061849,-0.039873827,-0.04088644,-0.050341867
Rpa2,-0.30070516,-0.42475516,-0.23444414,-0.26835245,-0.37707177,-0.49450043,-0.5546567,-0.6504051,-0.88566667,-0.40453488,-0.5235208,0.83730215,0.7605348,1.5491259,0.28149432,0.21613327,-0.9252582,0.20828433,0.25475478,0.5483349,0.60015225,0.42613548,-0.5797521
Fgr,-0.12252578,0.18641329,-0.07277833,-0.12261704,-0.12499766,-0.124465115,-0.045307104,-0.30388197,-0.19325237,0.08855653,0.060093757,-0.04806264,0.007120576,-0.23665065,-0.030141208,0.09098345,5.4533877,0.30196252,0.19396867,2.4320922,-0.14970805,0.043701183,-0.11929469
Ahdc1,-0.23297605,0.1882267,0.003718208,0.14123401,-0.11818568,0.14449286,0.10252724,0.031946998,0.37283927,-0.08123094,-0.1391684,-0.13368227,0.0062487577,-0.379195,0.08528577,-0.12272825,-0.31463224,0.009345115,0.07750767,-0.26897117,-0.23014896,-0.04690359,-0.29132637
Gm26615,0.16807097,-0.14011435,0.07205262,-0.0291216,-0.16581681,-0.16632174,0.32940626,0.0037884428,-0.101102605,-0.026733601,-0.119671516,-0.07822642,-0.012483074,-0.05995547,0.11832372,-0.086610444,-0.14171162,-0.032852594,-0.1102635,-0.19953246,-0.14238821,-0.018415142,-0.17122398
Sytl1,-0.18405636,-0.008921375,0.02849343,-0.20659643,0.052065395,0.11512865,0.0018828101,-0.011430986,-0.33289587,-0.1354063,0.25275847,0.030569203,-0.01710637,-0.34254783,0.012908301,-0.14188403,-0.3233701,0.23287642,0.05977169,-0.30980694,0.0585294,0.13862501,-0.31644732
Wdtc1,-0.3577094,0.120069206,0.017317839,-0.033605967,-0.20352876,0.030479606,-0.10627323,0.036975794,0.037130397,0.12162959,-0.19848613,-0.14856166,0.07892535,1.0734718,0.09043367,0.013279181,-0.35203704,0.02538692,0.16677874,-0.3644376,-0.2794632,-0.1792084,-0.3583664
Trnp1,0.754668,-0.0615925,-0.0756467,0.043840554,1.0370138,-0.08467495,0.02060506,0.0651514,-0.027232494,-0.047512036,-0.043587264,-0.035390735,-0.030316293,0.009008274,-0.021143079,-0.014468374,-0.06299932,-0.06925237,-0.075378835,-0.113925636,-0.06359523,-0.066052005,-0.08899263
Arid1a,0.0809153,0.5663177,0.073644735,-0.23312595,-0.21026994,-0.07966514,-0.066726506,0.13840069,-0.050842162,-0.26656035,-0.20410115,-0.105311066,-0.12689355,1.0003902,0.211303,0.2215631,2.066665,-0.08337904,0.046268478,-0.03604591,-0.18651085,-0.15288681,0.8987204
Hmgn2,0.0051581226,-0.29992947,-0.23660775,-0.4234163,-0.43887368,-0.34790307,-0.6674717,-0.9702258,-0.75963295,-0.5083596,-0.7732493,0.40424114,0.4096803,-1.0190058,0.6250982,0.5600986,2.1010997,-0.08405731,0.06511426,0.120525934,1.440803,1.5304551,3.3512747
Cd52,-0.54641074,-0.63424474,-0.13537331,-1.178351,-0.7516984,-0.62746316,-1.0308255,-0.88274425,-0.56692135,0.41908678,0.5520392,0.41120428,0.33924946,-0.49787837,0.15977395,0.053312846,-0.3100345,0.8532256,0.8703892,0.7666345,0.5902107,0.93832237,-0.554947
Sh3bgrl3,-0.38822842,-0.27683693,-0.21973687,-1.0384862,-1.0614153,-0.61220646,-1.1814364,-1.1151763,-0.8984612,0.026219003,0.084284194,0.5343386,0.38578713,0.5177621,0.43483865,0.21957874,1.2100371,0.6945186,0.9244466,0.8715068,0.86771435,1.1209705,1.2508183
Pdik1l,-0.111002326,-0.1057336,0.012734744,-0.040082507,0.07987168,0.0397765,-0.07454667,-0.1395303,-0.34379214,-0.16684598,0.08239519,0.054180764,0.06778893,1.2837762,0.034892857,0.17532222,-0.29920217,-0.03494943,-0.046847563,-0.23571306,-0.11437739,-0.14351977,-0.26679668
Stmn1,-0.29459015,-0.17993477,-0.28770533,-0.40059236,-0.45023167,-0.47789636,-1.2828038,-1.344365,-1.2781878,-0.9627813,-1.1081969,0.5483407,0.47654405,-0.16437756,1.2506139,1.0392649,2.2985675,-0.17415637,-0.16221392,-0.019712053,1.5100074,1.6725127,3.6180954
Paqr7,-0.29149476,0.07710454,0.09261058,-0.13042802,-0.21946616,-0.2287175,-0.042463746,0.041454352,0.3026628,0.089281656,0.25697407,-0.11804309,-0.085439734,-0.14417104,-0.11956259,-0.058961567,-0.33691335,-0.024023475,0.12848438,-0.4732275,-0.14056548,-0.044454526,-0.4064895
Selenon,-0.1241386,-0.119651616,-0.109689295,-0.07071187,-0.12376365,-0.12384443,0.11911898,-0.09662919,-0.11341028,0.032434348,0.027953787,0.03765926,-0.076066926,-0.10682732,0.19724675,-0.041287493,-0.119907156,0.13492331,0.19992025,4.935574,0.04585067,0.07397032,8.604777
Ldlrap1,0.33837345,0.23783682,0.1112325,-0.054471236,-0.23416854,-0.10576237,0.43485436,0.068196125,-0.017361796,0.008509545,-0.041092638,-0.15407497,-0.1087726,-0.1684935,-0.010451436,0.011691045,-0.33394638,-0.22814496,-0.11785238,0.70969254,-0.038411018,-0.30256367,-0.3936716
Tmem57,-0.18080676,0.19648832,-0.054702833,0.2456822,0.17837332,0.03854811,0.098885514,0.11104818,-0.28205466,0.013524248,-0.1735402,0.15022257,0.10704185,-0.23289426,0.016907645,-0.06961448,-0.33057222,-0.1409117,0.03780133,-0.3996535,-0.13644843,-0.23546802,3.0881827
Rsrp1,-0.5554001,-0.20249301,0.016669162,-0.4721106,-0.22869343,0.06971947,0.00106798,0.040274728,0.037627373,-0.059045557,0.5973943,-0.018391341,0.028468823,-1.2858667,-0.27034512,-0.07196312,0.20951971,0.17377782,0.43411216,0.63946754,0.2823186,0.27975786,0.6767379
Gm16225,0.31894064,0.111032486,0.0692946,-0.09891104,-0.09979945,-0.09960071,-0.0068517514,0.48765627,-0.12527096,0.092551835,0.021020811,-0.121625155,-0.050550044,-0.14146647,-0.073822886,-0.13097508,-0.10928725,-0.10649285,-0.056566894,-0.08652897,-0.10902095,-0.107923046,-0.097671196
Rcan3,0.40345183,-0.22402151,0.015861548,0.01483653,-0.2088961,-0.20859897,0.0116847735,-0.04244533,-0.24697919,0.08797056,-0.14176667,0.026051003,0.08823512,-0.2711935,0.0673011,0.07007522,-0.22308154,-0.028754067,-0.21481016,-0.18905509,-0.12523401,-0.009189872,-0.20571409
Cnr2,0.9051194,0.38697502,-0.05855442,0.2053102,0.29059818,0.3614985,0.32552204,0.084745355,-0.064502634,-0.09726463,0.0726531,-0.077682436,-0.06948457,-0.005954966,-0.054665066,-0.04388195,-0.12228464,-0.055109058,-0.08051437,-0.2045571,-0.12324734,-0.12721631,-0.16427734
Hmgcl,-0.06696025,-0.23241037,-0.038322046,-0.170374,-0.20580705,-0.14458892,0.033828933,-0.14483291,-0.02841422,0.09046139,0.021141082,0.19902223,0.062792026,-0.6582801,0.108481355,-0.013601689,-0.5179456,0.009009631,0.192432,-0.41869605,0.21345727,0.016580071,2.294012
Id3,-0.3666339,-0.40689227,0.44254765,-0.39819527,0.041241195,-0.13484758,0.60482544,0.5196197,0.57218415,0.08955967,0.20017293,-0.24429257,-0.24275489,0.025026917,-0.13204391,-0.09980628,-0.5006628,-0.48552832,-0.5786641,-0.87244916,-0.50501317,-0.47541088,-0.69042635
Hnrnpr,-0.24659313,0.052581858,0.14792405,-0.23724036,0.2838436,0.07164486,-0.1907479,-0.08566396,0.41002008,-0.33493918,-0.25199282,0.035775017,-0.07521493,-0.45145905,0.19433141,0.36375308,-0.931805,-0.38554037,-0.3846349,-0.15409541,-0.16556603,0.115298636,1.7877908
Kdm1a,-0.23415095,0.18980761,0.058284514,0.04655335,0.1484815,0.029897602,0.08786172,-0.16107053,0.28722608,-0.044813454,0.06293459,-0.12494194,-0.13562313,0.55457926,-0.022846187,0.13691641,1.4492028,-0.10573361,-0.012264485,-0.44792885,-0.27833176,-0.21498741,-0.46855277
C1qb,-0.016347408,-0.03687725,-0.010907181,-0.01641075,-0.018062973,-0.017693369,-0.10519187,-0.14221446,-0.06543395,-0.048579562,-0.051841453,0.06268602,-0.062870994,-0.09555375,-0.070494875,-0.032141447,-0.035708036,0.084724694,-0.02541939,0.0066169663,-0.03521278,-0.033170942,-0.014104923
C1qc,-0.027692594,-0.054442536,-0.020604094,-0.027775126,-0.029927937,-0.02944635,-0.14345503,-0.022317367,-0.091651306,-0.0696904,-0.073940575,0.12189245,-0.08831183,-0.13089676,-0.09824558,0.05667069,-0.05291908,-0.046147592,0.048979674,0.0022294947,-0.05227377,-0.049613297,-0.024770683
C1qa,-0.025034307,-0.050079003,-0.018397681,-0.025111578,-0.027127152,-0.026676267,-0.13341716,0.27931154,-0.084915794,-0.06435485,-0.06833408,0.044945255,-0.0817892,-0.12165944,-0.0910897,-0.015768718,-0.04865266,-0.04231284,0.05238377,0.0029803184,-0.04804849,-0.045557614,-0.022298662
2810405F17Rik,0.22839344,-0.18059495,-0.013329208,0.08432808,-0.20957333,-0.21014261,-0.015964923,0.1976692,0.7558537,-0.078604236,0.0021387218,-0.12354766,-0.020507077,-0.09021945,-0.04574931,-0.028382951,-0.1823958,-0.05330806,0.15986148,-0.24758619,0.04166453,-0.043880403,-0.21566965
Hp1bp3,-0.10434647,0.12833929,-0.022690367,-0.21343315,-0.24840313,-0.30960968,-0.11319412,-0.27823243,-0.19450317,-0.12241629,-0.09094794,-0.11369742,-0.0061346544,-0.7249419,0.08352332,0.20446698,2.5890732,-0.13367105,-0.017588485,-0.87735367,0.8656712,0.8157999,3.2279477
Pink1,-0.062606625,-0.17502378,0.04820383,-0.031256944,0.29852703,-0.15630549,0.028941242,0.23495165,0.2396833,0.041343044,0.3412205,-0.12951733,-0.016328929,-0.32884654,-0.14304015,-0.1079125,-0.51341766,0.11231601,-0.035141334,0.45889515,-0.20470636,-0.08902203,-0.58004415
Camk2n1,-0.17278618,-0.18597436,-0.12618095,-0.1382719,-0.17388825,-0.17365082,-0.07899792,-0.11911251,-0.20431891,-0.0655704,0.6151691,0.14054751,0.07852686,2.1345088,-0.005013367,-0.044204254,-0.18522327,0.5399637,0.25730935,2.303823,-0.18490513,0.083575875,-0.17134564
Capzb,-0.2638441,-0.18336713,-0.23981573,-0.66719085,-0.40700066,-0.66183394,-1.0105144,-1.0096791,-0.85873634,0.1877634,0.19980551,0.48412827,0.35107857,-0.07896082,0.2725954,0.16043587,0.71580034,0.6479952,0.77753824,-0.13598567,0.6762118,0.7537664,0.03603597
Iffo2,-0.18847416,-0.014907539,0.008226082,0.080463715,0.2238538,0.2272773,-0.09218303,-0.052057322,0.2234687,0.042614665,0.08490751,0.049955253,-0.10595516,-0.10262899,0.12264664,-0.02752273,-0.1674908,-0.116719015,-0.009706231,-0.21336335,-0.16802755,-0.17024054,-0.1909046
Padi4,-0.058918368,-0.046365622,-0.062244736,-0.05887964,-0.057869405,-0.058095396,-0.004595404,0.18293262,-0.028904947,-0.03921037,0.17342627,-0.03305071,-0.030472036,-0.010488526,-0.025810497,0.05871804,-0.047080524,-0.05025813,0.12485237,-0.07295968,-0.047383346,-0.048631806,-0.06028951
Padi2,0.116182975,-0.35510734,-0.05225563,-0.038261563,0.014810013,-0.12854217,-0.16940153,-0.015406945,-0.40831095,0.073749654,0.27511814,0.051433384,0.017414914,0.9806513,-0.041132692,0.0032969206,-0.352929,0.13478628,0.18125717,-0.27407384,-0.046523858,0.12810539,-0.31268054
Szrd1,0.17371397,0.099541806,-0.023719441,-0.030661466,-0.3039348,-0.19754569,-0.33225468,-0.07899769,0.07547301,0.0425487,0.16133761,-0.04466036,0.105410196,0.2547835,0.11481271,0.0977097,1.4220122,-0.0928728,0.099615194,-0.3181013,-0.19710724,0.037619997,-0.429027
Gm13075,0.37344366,0.15822956,0.009717456,-0.059994806,-0.21399485,-0.10296459,-0.07922434,0.3552212,-0.1720802,-0.1491716,0.1699932,-0.065367654,0.021627247,-0.14542969,0.0149977645,0.071044825,4.823102,-0.12433064,0.0057948297,-0.23583208,-0.12600042,-0.20062706,-0.21749699
Spen,-0.030243274,-0.3904208,0.021678342,0.027784672,-0.3762581,-0.23845275,-0.10462754,-0.016739173,-0.15580925,-0.08542641,-0.0037188872,0.08821116,-0.048598416,0.8734901,0.1776743,-0.102232456,-0.38954064,0.057791423,0.0002409908,1.6681505,0.21093269,-0.15421447,-0.37327862
Dnajc16,-0.14708714,-0.1338415,0.044289116,-0.041294374,0.22170958,-0.14621873,0.02725161,0.10551431,-0.115417,0.068782315,0.3330308,-0.021382822,-0.07990183,-0.09598402,-0.11215174,-0.024565166,-0.13459586,0.043527685,-0.05132209,-0.16190352,-0.010042558,-0.13623276,-0.14853396
Casp9,-0.16532163,0.0067871283,-0.038433872,-0.007925556,0.17681396,-0.16495109,-0.14086203,-0.051867798,-0.15180771,-0.008405474,0.04972732,0.109936185,0.08341623,-0.14351548,-0.0149418255,-0.029500797,-0.15999149,0.016440464,0.052189767,2.3714838,0.07430243,-0.07712774,-0.16593902
Efhd2,-0.24722518,-0.30578843,-0.3813194,-0.36452904,-0.53881025,-0.5928455,-0.8035936,-0.8298562,-0.9178329,-0.034488805,0.0354253,0.5253525,0.32227516,0.44706818,0.25376216,0.09452952,0.027425665,0.9239848,0.7831069,2.1592607,1.0187818,0.93898743,-0.816432
Tmem51,-0.044610977,-0.050571553,-0.04303148,-0.04462937,-0.04510907,-0.04500176,-0.07040582,-0.08115485,-0.058862623,-0.053969167,0.25020516,0.06431721,-0.0581185,-0.067607515,-0.060331997,-0.061942603,-0.050232086,0.06687389,0.13054217,-0.037943568,-0.050088294,-0.049495474,-0.0439599
Dhrs3,-0.058510758,-0.050814275,-0.060550258,-0.05848701,-0.057867605,-0.058006167,-0.025203642,-0.011324153,-0.040108584,-0.046427164,-0.045204308,0.07828868,-0.04106942,-0.028816897,-0.038211282,-0.036131617,-0.051252604,0.17796859,0.03394283,-0.067119926,-0.051438272,0.1447516,-0.059351448
Vps13d,-0.052164204,-0.007848676,0.036599476,-0.101859406,0.35253084,-0.040812165,-0.22954401,-0.054106865,0.5200688,0.032849018,0.04301582,-0.015333268,-0.0797203,-0.28837225,-0.11663776,0.05109477,-0.28416136,0.14457537,-0.012156196,-0.2811833,-0.11519412,-0.06312368,-0.28264135
Tnfrsf1b,-0.13193662,0.13916118,-0.03503827,-0.17137682,-0.116475746,0.052024696,-0.08080906,0.13886264,-0.45531595,0.09431491,0.07382607,0.064089544,-0.043500654,0.92704844,-0.19507115,-0.05072145,-0.36323744,0.08294779,0.11857171,-0.23213218,0.7607093,0.3019888,-0.29632
Zfp990,-0.04791526,-0.032055937,-0.034980413,-0.04786633,-0.046589985,-0.046875507,0.020717174,0.04931716,-0.00999586,-0.02301589,-0.020496076,-0.015233679,-0.011975746,0.013271716,-0.006086288,-0.0018009427,-0.032959156,0.07846619,-0.04090715,-0.06565526,-0.033341743,-0.034919064,-0.049647585
Gm13166,-0.17675251,0.029150393,0.021957453,0.02671695,-0.17458151,-0.17504925,0.10104136,0.12033173,-0.114635095,-0.06487855,0.11801579,-0.022102535,0.02803683,-0.07651947,0.06405071,-0.016741494,-0.15225227,-0.049997833,-0.08997827,-0.20581317,-0.03409821,-0.04206843,-0.17959031
Gm16503,-0.057727974,-0.040026717,-0.028127346,-0.057673357,-0.056248777,-0.056567457,0.01887556,0.0507972,-0.015404543,-0.029936742,-0.027124273,-0.02125069,-0.017614374,0.010565373,-0.0110409055,-0.0062578516,-0.04103484,-0.045515735,0.039059278,-0.07752833,-0.04146186,-0.04322237,-0.05966149
Zfp985,-0.13955815,-0.11130705,0.026320834,-0.029994413,-0.13719736,0.110997744,-0.017299367,0.033647377,-0.072010204,-0.014697005,-0.09071483,0.065317966,-0.0056618326,-0.030562375,0.0030491448,-0.05741214,-0.112916,-0.04206545,0.065429784,-0.1711594,-0.11359752,-0.1164073,-0.14264402
Gm20707,0.12530857,0.23994957,-0.015359218,-0.0023576913,0.17424859,-0.15616328,0.23761353,0.2161239,-0.15281896,0.03749617,0.04568087,0.00046241877,0.11896088,-0.15070903,-0.15246445,0.0030008496,-0.15490133,-0.0054975534,-0.08620908,-0.15786625,-0.15493602,0.044078365,-0.15641464
2510039O18Rik,-0.15166037,0.17666589,-0.034063093,-0.05238064,0.080454774,-0.02776894,-0.2592892,-0.2426246,-0.09599071,-0.010363595,-0.15755087,0.05988834,-0.024483576,0.15557419,0.20077193,-0.03476112,-0.6379029,0.043210518,0.016372098,-0.5323079,0.3465498,0.31996182,2.88065
Agtrap,0.53349215,0.037302796,-0.09685594,-0.1528196,0.43288147,0.28477493,0.17122298,-0.14787541,0.09076277,-0.024329038,0.09837498,0.06902484,0.04073503,-0.44418257,0.09289658,-0.02729615,-0.3695797,-0.061626438,0.20645142,1.250391,0.1904552,0.014345273,3.0825279
Fbxo6,0.0071347444,0.2610704,-0.042540237,-0.11362065,-0.06926028,0.01021262,0.0024616148,-0.15877335,0.04971428,0.3799811,0.16865706,0.043236002,0.042820793,-0.34213594,-0.10855145,-0.09674161,-0.32451773,0.13794702,0.18991768,-0.31205747,-0.15190284,0.058956977,-0.31815788
Srm,-0.19458082,-0.038440436,0.14576127,0.017012306,0.4001965,0.12124429,0.3209888,0.18122745,0.5887904,-0.1878824,-0.28039086,0.18316746,0.28650916,0.5289536,-0.27321327,-0.20675094,-0.4840942,-0.24791406,-0.3967417,-0.4774808,-0.3489554,-0.27152592,-0.48071864
Tardbp,-0.21188395,0.70245904,-0.057047,-0.116013885,0.12463743,-0.2219572,-0.02919136,-0.019093795,0.03578563,-0.28430402,-0.16230409,-0.02312579,0.25880638,-0.30422574,-0.09667598,0.2621994,0.8144017,0.08558457,0.0044367407,-0.40841883,0.19273545,0.09478005,-0.5655678
Casz1,-0.13202013,-0.10527652,0.04235184,-0.07365641,-0.12978531,-0.13026679,-0.016285127,0.03194308,-0.06807657,0.17666169,-0.0857831,-0.03346365,-0.03122137,-0.028840415,0.033141892,0.04449962,-0.10679962,-0.1135695,-0.120202325,-0.16193512,0.14158414,0.04475144,-0.13494134
Pex14,0.020856442,-0.04274262,-0.047115717,-0.12509826,0.032148313,-0.05834722,0.1996543,-0.1872087,0.07756161,0.2673854,-0.046723716,0.17218024,0.07603495,-0.38652185,-0.14151774,-0.0054184617,2.1962998,0.096342504,0.0065166876,0.9032742,-0.22182961,0.35426375,-0.34494975
Kif1b,-0.08277807,-0.059858467,-0.0059967567,0.5138092,0.08768697,0.48970515,0.09102606,0.22047539,0.28286153,0.0033626312,0.043824174,-0.11661909,-0.14947669,-0.15453815,-0.07258246,-0.04526172,-0.39053035,-0.15774521,-0.18942517,-0.55743235,-0.3420464,-0.2944969,-0.47571883
Spsb1,-0.11117322,-0.084472656,0.019696817,0.0011973054,-0.108942,0.1524359,0.0043755043,0.052526087,-0.04733258,-0.06925294,-0.065010615,-0.056150906,0.054807518,4.4064555,-0.040750474,-0.03353572,-0.085993305,-0.092752285,-0.09937444,-0.14104006,-0.08663742,-0.08929298,-0.114089735
Eno1,-0.13367476,-0.26483807,-0.06205567,-0.5783744,0.06497969,-0.31131727,-0.31235605,-0.49123394,-0.2480315,0.06047183,-0.26747742,0.4105047,0.4308002,-0.58167106,-0.14658435,-0.073307596,-0.6350834,0.19583057,0.35082108,0.9447175,0.5155156,0.63577837,-1.4346493
Rere,-0.004736919,0.46677303,0.11272046,-0.15004516,0.080348626,0.37034807,0.17125282,0.010382564,0.4587109,-0.04358066,0.097941324,-0.19616958,-0.110144876,-0.17494461,-0.023983806,0.0356583,-0.31522575,-0.30422905,-0.077038825,-0.41443753,-0.13525526,-0.11161317,-0.36586443
