,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Cd8b1,0.5129444,0.52728844,0.3238521,0.48781794,0.6596546
Polr3d,0.06856104,0.08992041,0.035360362,0.066226855,0.07163374
Klra6,0.0,0.0023198188,0.0,0.0,0.0
Relb,0.7377213,1.1934158,0.5690636,1.3874735,1.3543779
Klra9,0.0,0.00053627085,7.4937976e-05,0.0,0.0
Mxi1,0.7255827,1.3109635,0.9020531,1.6471149,1.8266284
Skil,0.19993009,0.22295445,0.12157168,0.26677027,0.14038226
Mef2d,1.0376563,1.4338487,1.1137617,1.7575706,1.9618633
Mxd4,0.013809369,0.04069006,0.020978024,0.031336475,0.033195168
Mbd1,0.147486,0.14949699,0.14446123,0.122970864,0.0828561
Rnf19a,1.2968446,2.229744,1.85413,2.7800972,2.8208084
Ube2b,0.989871,1.5959138,1.3001201,1.894324,1.9079905
Klra1,0.0026875446,0.008172025,0.00059301686,0.0020205611,0.0
Ythdc1,1.9083712,2.4735749,1.5925891,2.3734899,2.4229517
Zbtb1,0.45575038,0.51402307,0.28931108,0.41329408,0.43263045
Cd5,0.886874,1.6245319,1.1258733,2.0297291,2.2907333
Ikzf2,0.86885935,0.87992835,0.43526167,0.6121502,0.4749064
Stat5a,0.7356955,1.0070632,0.32909685,1.1015155,0.39159435
Rbbp5,0.13741548,0.13041489,0.119722694,0.088548586,0.13809878
Ivns1abp,0.4234544,0.4155212,0.19188936,0.3918394,0.17134455
Csrp2,0.027381161,0.019155728,0.009560597,0.0009779609,0.0
Mxd3,0.008212892,0.0044071428,0.0030767124,0.002069542,0.0
Gtf2b,0.26590312,0.31001177,0.12527956,0.27550095,0.29092395
Fus,0.69915146,0.6605313,0.39875174,0.70901775,1.059281
Max,0.46313408,0.5608197,0.47405118,0.5401545,0.34431362
Eomes,0.01173819,0.010729531,0.008527948,0.0053573744,0.016384985
Tcf7,0.17017475,0.13060243,0.035747513,0.15723448,0.09234292
Cxcr5,0.045945402,0.030387204,0.008834067,0.016661549,0.0
Fos,0.040710587,0.032429792,0.025553634,0.028827462,0.0
Bmi1,0.0034056169,0.005591492,0.001694089,0.0061227637,0.0
Taf4b,0.3906353,0.5693267,0.24758828,0.81734455,0.36835313
Cd68,0.0083243335,0.010443401,0.0020722738,0.009224476,0.0
Smad7,0.19191658,0.4194957,0.19315125,0.4679696,0.27122378
Nfkbib,0.3040636,0.4577446,0.269469,0.44568658,0.40871274
Trim28,0.07963468,0.07082479,0.04655276,0.023426307,0.095475286
Ciita,0.0012095632,0.0018974037,6.180505e-05,0.0,0.0
Ggt1,0.032306828,0.055712473,0.011616079,0.052405898,0.0
Pnn,0.06732513,0.06893336,0.04814214,0.04786154,0.019846143
Hist1h2bp,0.014945308,0.009722296,0.004763093,0.00036060798,0.0
Cxcr6,0.19212529,0.58079934,0.31849667,0.69914216,0.21838352
Irf4,0.91302156,0.9826826,0.39573178,1.0346189,0.38182646
Ptprc,12.964808,17.57854,15.651052,18.31664,17.34243
Icam1,0.3891421,0.6594861,0.228899,0.7439567,0.7307495
Klf3,0.14196034,0.5077849,0.22874972,0.4811719,0.89921135
Il2rb,0.4397,0.72844344,0.7257153,0.72132975,0.9199872
Cd28,2.8106172,4.15048,2.3967636,4.0738926,3.516133
Creb1,1.0662414,1.1090842,1.1094915,0.7831144,1.0812017
Selplg,1.804219,2.859514,2.3567371,2.6096764,2.6663902
Hdac6,0.036864847,0.042745087,0.009723231,0.020780172,0.0
Coil,0.2958027,0.34249133,0.16252756,0.2605018,0.22885881
Polr2a,1.5266253,1.7858216,0.86935735,1.3398591,0.9862013
Ruvbl1,0.019104058,0.021316,0.0110583,0.0036867405,0.0
Ly6e,0.12479163,0.19539061,0.08207412,0.09679538,0.08535166
Il17ra,0.18523575,0.1879672,0.16674682,0.16196604,0.16036348
Notch3,0.0040234136,0.004092954,0.00040648802,0.0,0.0
Snrpb,0.31148905,0.3052603,0.19578415,0.21443827,0.32597372
Eaf1,0.15049107,0.14192988,0.08359749,0.08855899,0.24682131
Polr3b,0.39251482,0.47982338,0.37732595,0.40138736,0.3350932
Klrc1,0.7762218,1.1786214,1.1627688,1.3016073,1.3109863
Cd47,1.6058847,2.3090518,2.032984,2.3250935,1.8221784
Cd53,0.9641318,1.8128114,1.0404627,1.9361825,2.20581
Ets1,3.0137565,4.0814314,3.7474608,4.0129237,4.0345893
Ighd,0.0048369896,0.006281919,0.005465304,0.009961907,0.0
Esr1,0.02897684,0.060114242,0.032565475,0.031918854,0.028916799
Nfatc3,2.2373173,3.0435207,2.9012456,3.0333261,2.5690343
Tgif2,0.09414362,0.13179661,0.05595013,0.13764097,0.124375746
Ankra2,0.11140953,0.15519422,0.11705779,0.07674699,0.17513931
Elf1,2.5897963,3.6463184,2.4877229,3.2694724,2.7916842
Zbtb17,0.24835716,0.25726017,0.13489385,0.2808182,0.1399551
Zkscan14,0.020177523,0.039217833,0.02496948,0.036597382,0.0
S1pr1,0.30935523,0.39974388,0.28275198,0.2260623,0.23996483
Sertad2,0.26289284,0.32188353,0.30263907,0.2009637,0.23537517
Vsir,0.15103239,0.23909715,0.21839374,0.23481497,0.1652238
Klra4,0.0,0.0009651397,0.00032802406,0.0,0.0
Tcf12,3.2293992,2.2869198,3.632097,3.0683293,3.1309059
Irf7,0.028560188,0.036548376,0.046352748,0.06915283,0.050280795
Zfp36l2,0.0032469106,0.004813645,0.01129902,0.005153481,0.0
Cbx4,0.45753002,0.43933687,0.57112706,0.5677812,0.7099296
Ncor1,2.5702064,2.150169,2.635113,2.6457102,3.2094924
Parn,0.29829657,0.22192584,0.2935398,0.22090036,0.28713682
Klf8,0.22028929,0.117860466,0.21844478,0.1303624,0.40103647
Xpc,0.015045048,0.012711357,0.02585145,0.015862295,0.0
Rpa3,0.045074802,0.030311553,0.0331882,0.015926376,0.044125114
Klf10,0.10343449,0.09311204,0.11681593,0.09193489,0.07886402
Maff,0.01251812,0.02989605,0.032768797,0.010587339,0.050018873
Ccr9,0.13132535,0.13135599,0.22291866,0.051411424,0.057626594
Cd200r1,0.012460333,0.020724155,0.029828042,0.015425891,0.0
Papola,1.0395122,0.8118879,1.1940784,0.6806949,0.9062799
Klra3,0.012931345,0.014840821,0.09930853,0.03926762,0.13105036
Hivep2,2.5170584,3.471171,3.712705,3.7443106,4.21878
Kcnip3,0.0,0.00028884408,0.0008590817,0.0,0.0
Itga6,0.1179313,0.17484678,0.3647364,0.28352904,0.12197472
Zmym2,0.2726509,0.30420542,0.3996631,0.32804382,0.567359
Slamf1,0.31683418,0.5051418,0.521997,0.54598445,0.22923125
Il10ra,0.29744196,0.4190787,0.7510329,0.36639115,0.4581346
Sox5,0.28785717,0.18321207,0.6003551,0.41738608,0.69103134
Atad2b,0.98718256,1.0663983,1.4347059,1.3003231,1.029668
Meis3,0.0064897537,0.0071290853,0.011579319,0.0007680089,0.0
Chd9,0.5739473,0.48142183,0.9474748,0.4346623,0.9730991
Kmt5b,0.25899827,0.3247442,0.44888696,0.4535362,0.63966864
Ercc5,0.07481565,0.064181305,0.10541169,0.057482924,0.030707676
Arntl,0.25670207,0.39994496,1.0296457,0.8283209,1.6111722
Btla,0.7051848,0.47678882,0.94251394,0.4590708,0.115958974
Rbl2,0.39035258,0.5028921,0.66021866,0.627959,0.62560713
Cry1,0.2739116,0.4069118,0.46726435,0.38804466,0.617205
Zfhx2,0.018680092,0.026012005,0.10346967,0.04220014,0.028512165
Crebl2,0.022064988,0.009369157,0.031936005,0.024867088,0.019965315
Patz1,0.116979346,0.08586013,0.12399558,0.04570329,0.10457337
Pou6f1,0.07937683,0.1187402,0.22765481,0.28056103,0.13486636
Sub1,0.85675514,1.2405567,1.402613,1.3465488,1.2443383
Itga4,5.7119555,8.584668,15.092885,9.031594,7.928568
L1cam,0.020786453,0.04453432,0.13599244,0.054678176,0.055277906
Ecd,0.17385921,0.1601487,0.1505817,0.14870486,0.223612
Atp1b3,1.2195086,1.4268609,1.4755474,1.1694123,1.1094234
Snai3,0.015948817,0.020878466,0.039073236,0.016664587,0.0
Rarg,0.029189236,0.041435707,0.06490621,0.024828536,0.0
Entpd1,0.12577608,0.28587237,0.8199479,0.2483515,0.48333815
Pml,0.5693969,0.38086772,0.63531333,0.41041934,0.19789612
Zmynd11,0.46665084,0.4762902,0.7750064,0.6881825,0.45562398
Lgals9,0.25986224,0.30906188,0.33049396,0.27877414,0.33576328
Itgax,0.025300074,0.08205457,0.20501205,0.14440972,0.11244686
Atf7ip,0.670859,0.8155518,1.1540594,0.8275648,1.2488086
Ep300,0.3664316,0.34514767,0.60822976,0.3759413,0.34233034
Zfp382,0.09047228,0.06501177,0.102470346,0.070768684,0.0
Ms4a1,0.00021000464,0.0010400141,0.0014000968,0.0,0.0
Arid1a,0.6554795,0.42173004,0.87708914,0.4321378,0.35384548
Pax5,0.00435614,0.0,0.0067074047,0.011482919,0.0
Cd48,0.5013585,0.54061383,0.7740359,0.3388482,0.6473427
Zfp36l1,0.3661417,0.26017353,0.39094222,0.40967703,0.32879552
Bcl11b,1.9043719,1.9155358,2.4279509,1.8563505,2.2048638
Trp73,0.033098817,0.013497732,0.10411453,0.017406799,0.06021576
Tfdp2,0.14518104,0.055317514,0.19040528,0.048603337,0.0
Ncoa5,0.2895013,0.20825513,0.31118074,0.17589387,0.2640693
Trim25,0.21961986,0.26942655,0.4553428,0.33677226,0.6664206
Anks3,0.06050286,0.059862364,0.13287824,0.13013715,0.09780286
Foxk2,0.35377362,0.25687847,0.38425165,0.19849461,0.1083591
Rb1,1.2430282,0.95514613,1.2501619,0.9340252,1.3818576
Arid2,0.72379804,0.46555004,0.6834624,0.54866934,0.32072794
Mllt3,4.78137,3.6298714,5.1741776,3.0357926,2.5780556
Mef2a,1.0320832,1.2886176,1.7317286,1.6012481,1.1401317
Tsc22d3,0.0143707385,0.016932428,0.02688953,0.0010024277,0.036071673
Bbx,0.6210246,0.4950163,0.76834977,0.71531487,0.44765434
Cd226,1.0726562,1.664843,1.9476445,1.4425644,0.79178
Nsd3,2.385447,2.7648032,3.4439116,3.199027,4.1009097
Tox2,0.14410329,0.056610715,0.15027548,0.017539961,0.0
Smad1,0.014647377,0.009011908,0.023803372,0.011620295,0.023138378
L3mbtl3,0.29246002,0.22852755,0.5046196,0.41501704,0.51776457
Baz2b,0.5144432,0.6680172,0.7005188,0.70954615,0.94835865
Nsd1,1.1625427,0.85722405,2.137442,0.8781107,1.251043
Ikzf1,6.215892,5.373969,11.890765,5.5758505,5.9615526
Ssbp3,0.6200872,0.3837746,0.5860165,0.24499016,0.33173656
Adam10,0.52155,0.42186803,0.85054064,0.48495018,0.29363507
Fkbp5,2.2611494,1.5529112,3.6712923,0.9986278,0.98751646
Smurf2,0.80294836,0.73184836,1.2499293,0.8003733,0.82195354
Phf20l1,1.3640417,1.556974,1.8989702,1.7241505,2.3787413
Sp4,0.48140934,0.5932707,0.9989838,0.675403,0.7299167
Lgals3,0.2676467,0.31138954,0.5575012,0.23103675,0.104486935
Nrp1,0.74577105,0.6628571,0.8501207,0.51181066,0.5167371
Zfp236,0.25917462,0.22330512,0.3124802,0.30918375,0.38722646
Stat6,0.06671129,0.08953721,0.11673267,0.11603179,0.106801435
Il7r,0.19112612,0.13724922,0.30416852,0.19178462,0.22290447
Cd84,0.31229967,0.5052482,0.7223695,0.52262104,0.78795993
Zfp354c,0.015168605,0.009834552,0.011643653,0.014456814,0.0
Notch1,0.079821944,0.09983769,0.15621379,0.1322393,0.0756828
Tbc1d2b,0.122281596,0.07995353,0.17720382,0.089140974,0.10899681
Irf8,0.027336312,0.023750734,0.043377146,0.008273183,0.10542094
Rai1,0.3212946,0.16936105,0.32993817,0.21253665,0.25794452
Trps1,3.808592,3.0837293,3.8736887,2.7378156,3.2674735
Pou2f2,0.27670458,0.3128688,0.5189866,0.3017632,0.23004472
Nmi,0.31320912,0.474154,0.5513876,0.54090565,0.4882408
Il18r1,4.160258,7.4955363,11.061729,10.866622,6.532387
Arid5b,1.3633224,2.1732166,4.1615257,3.0289938,2.7016008
Hdac7,0.22688232,0.28020725,0.5791705,0.23356745,0.11882862
Nfkbiz,2.2245483,2.5942879,2.8720295,3.0201797,3.732736
Klf4,0.006167845,0.0025145866,0.003573116,0.0069691604,0.028758781
Vax2,0.062239952,0.048742324,0.22598203,0.03164241,0.028916799
Foxn3,4.779436,4.621166,12.544241,5.4246073,6.222107
Il1rl1,0.103333384,0.09445061,0.27279904,0.073075734,0.0
Lag3,0.06453822,0.07565561,0.34042242,0.08798427,0.0
Jarid2,1.6452699,1.8304302,2.4038343,2.1343696,1.5718068
Trim27,0.10201261,0.07906116,0.084781446,0.017903112,0.047278002
Chd3,0.04519594,0.06243805,0.068984255,0.052395917,0.052655246
Setbp1,1.5774522,1.5189497,4.378958,1.93705,0.6943041
Adam8,0.032356005,0.06095189,0.09349891,0.07654991,0.07889522
Foxp4,0.20995022,0.2778257,0.6201788,0.4815802,0.18240604
Ncoa3,0.46421513,0.60222816,0.67967343,0.51551354,0.3553245
Elk3,0.35238397,0.35211828,0.4558242,0.3699942,0.22245425
Ikzf3,2.8274748,2.8279254,5.1938677,3.283884,3.5667083
Dnmt3a,0.2477245,0.14349447,0.6520441,0.21164623,0.42761257
Cd38,0.02687557,0.043128744,0.14925829,0.037530646,0.0
Ppargc1b,0.1062079,0.03911737,0.12809831,0.061902005,0.08631103
Sirt5,0.019142777,0.011504736,0.036155317,0.003777412,0.0
Il18rap,1.2486892,1.815732,4.2074065,3.535585,6.3217297
Kdm4b,0.102064,0.087662525,0.14005572,0.10784561,0.15302143
Tbx21,1.2676771,1.5760894,2.1631105,1.8688978,3.5148153
Nfia,0.19361018,0.22530009,0.46252495,0.23056789,0.35195655
Calcoco1,0.005891253,0.026846254,0.047890943,0.020543525,0.027169343
Cd96,0.25027052,0.4531045,0.95303816,0.6114832,0.71138716
Id2,0.19629999,0.3187975,0.47204491,0.33351114,0.48549622
Smarca2,0.72756445,0.7282522,1.0128137,1.0173796,0.9719492
Zbtb38,0.20347954,0.20981194,0.33572245,0.24450417,0.09655018
Itga1,0.07559899,0.19700459,0.4742813,0.44615006,0.38978446
Mybbp1a,0.035242222,0.020398937,0.030017832,0.009959503,0.0
Irf2,0.71463203,0.77380997,1.9980459,0.7877422,0.8164505
Cd52,0.025805797,0.04616146,0.053325314,0.069401145,0.027169343
Ssbp2,0.1799264,0.10802419,0.281551,0.23126855,0.0
Itgae,0.020078655,0.01786951,0.030164339,0.011860917,0.0
Ctnnbl1,0.3708022,0.2714793,0.38047957,0.3090155,0.5127946
Ski,0.20408593,0.19161141,0.21734127,0.27335146,0.45490947
Zeb2,1.1131294,1.3118887,2.0096889,1.6075834,8.63395
Cd86,0.19943139,0.18426192,0.43880823,0.36633036,0.15637046
Elp3,0.06298388,0.055081356,0.083721325,0.030263271,0.0
Cd244a,0.047134005,0.054002546,0.10891102,0.02497014,0.043416906
Tnfrsf1a,0.0025970915,0.0029191964,0.004511223,0.0038092323,0.0
Lef1,1.5388474,1.8757645,2.1696837,1.8499864,1.5488687
Klrb1c,0.0008506212,0.0014309678,0.0168785,0.0023794023,0.0
Dpp4,0.6427948,0.81848186,0.8810937,1.0248593,1.0283043
Ncam1,0.008985744,0.01748774,0.027665073,0.0,0.0
Btg2,0.067050755,0.06806164,0.17274928,0.13638005,0.15535188
Zfp606,0.029941922,0.022953175,0.0277163,0.022506386,0.0
Phf14,0.7324619,0.87987965,1.2106537,1.114799,0.8665133
H2-Ab1,0.009475914,0.00039864573,0.005319606,0.0038276399,0.0
Cd44,1.8593835,1.7442181,1.5942891,1.4928569,1.558069
Foxj2,0.038883287,0.058377054,0.07104792,0.09541219,0.0202589
Ly75,0.40034568,0.5431452,0.6287626,0.62110937,0.2891641
Jaml,0.08572781,0.13306034,0.13883607,0.18469006,0.07329509
Med27,0.57077086,0.54333353,0.6248917,0.5943106,0.46209723
Phc2,0.19475253,0.21855149,0.2332902,0.24108614,0.3110011
Ar,0.4058288,0.32198092,0.46748126,0.3219161,0.41834867
Zscan21,0.1253867,0.17006055,0.1850396,0.14101642,0.1570585
Trip11,0.82179224,0.93923724,1.1597476,1.050313,0.8365792
Sp110,0.067691654,0.09051267,0.16923922,0.15670763,0.18624966
Baz2a,0.38732,0.6708627,0.7129893,0.78076553,0.41123545
Top2b,0.4418724,0.5783096,0.6774353,0.6952504,0.6150161
Lamp2,0.1851496,0.21096785,0.32887554,0.28239426,0.37642294
Brd1,0.39704674,0.2731924,0.3753879,0.31817728,0.32217294
Igf2r,0.22330037,0.44410053,0.78168756,0.5285475,0.22504744
Thy1,0.1402571,0.15964906,0.16725494,0.1357955,0.2133161
Cd274,0.98406863,1.4021655,1.3877068,1.5099767,1.0458012
Pecam1,1.2969488,1.6928707,2.4022646,2.286515,0.9230999
Shprh,0.30284247,0.36571118,0.46894723,0.32190034,0.723207
Kdm5b,0.06322421,0.1953938,0.22846884,0.2978107,0.087024465
Mxd1,0.25167352,0.55138713,0.77570236,0.74716324,0.7775905
Stat2,0.12971438,0.2644904,0.40164804,0.284892,0.22599976
Pknox1,0.15158896,0.11318668,0.15023153,0.104560636,0.021757362
Itga2,0.010812499,0.03986191,0.11678493,0.08146142,0.07779573
Zbtb20,0.9141026,0.5533113,1.106519,1.2015824,1.0338606
Jdp2,0.06293485,0.047314372,0.103177905,0.038946833,0.060354855
Pbx4,0.022424508,0.013950366,0.028318347,0.013635664,0.0
Tnfrsf25,0.0027920706,0.0052432017,0.0053801993,0.004103352,0.0
Brpf3,0.105880134,0.08769639,0.1120202,0.09439889,0.14490277
Dnmt3b,0.0364759,0.0156137785,0.061484426,0.030112255,0.016239233
Cd200,0.012181111,0.015819093,0.019813145,0.004816888,0.0
Trim24,0.33540735,0.27045867,0.42048237,0.28362593,0.3806765
Ddit3,0.008932061,0.006480587,0.009781988,0.008001925,0.0202589
Ovol2,0.0010961832,0.0026240104,0.036340564,0.0056281346,0.0
Plrg1,0.05372835,0.047665183,0.053681828,0.03917956,0.105355226
Nfic,0.022247951,0.01338201,0.035494454,0.017420996,0.02966518
Pdcd1,0.552392,0.7888079,0.7715933,0.44183403,0.023138378
Tnfrsf1b,0.64019746,1.1199979,1.0653687,1.1069309,0.7199838
Tox,7.9657507,6.0896964,13.13519,7.117341,2.8121085
Tcf4,0.24020624,0.13609552,0.26059934,0.19578694,0.032398775
Cd160,0.0560829,0.05374998,0.078103594,0.010372629,0.016239233
Kdm4a,0.07893276,0.1059141,0.118179254,0.09585762,0.027740128
Pbx3,0.6833711,0.43912753,0.8414068,0.3742257,0.3974264
Rere,0.61943096,0.4058848,0.7756122,0.46786177,0.48619205
Elf2,0.6631734,0.55136997,0.64347684,0.55066377,0.6526326
Hivep3,0.15321374,0.11250621,0.24663994,0.079668894,0.265839
Baz1a,2.3211153,2.1861112,3.3056293,1.9425603,2.402966
Eif2ak2,0.42946395,0.42406145,0.47021347,0.47000703,0.42457914
Per1,0.11894174,0.19688033,0.21556084,0.21533631,0.22027244
Xrcc5,0.35598376,0.24277546,0.37209854,0.29710814,0.118430786
Zbtb16,0.0068663084,0.014466473,0.0123404525,0.022651352,0.037351716
Hopx,0.1528727,0.23657441,0.2645115,0.34301507,0.027801676
Maf,0.017804673,0.033333313,0.061440766,0.009771127,0.044359352
Zfp277,0.2474106,0.24458525,0.39975443,0.3421743,0.39751375
Rsf1,1.0388712,1.0950732,1.2490519,1.3034607,1.1868844
Nfkb2,0.082543865,0.091168255,0.09307123,0.12511908,0.12678812
Mafk,0.031588495,0.048906296,0.06498275,0.058625795,0.0
Tshz3,0.015452667,0.008570352,0.015506639,0.013631561,0.026538344
Tet3,0.21101047,0.1686548,0.31949294,0.19106217,0.35186931
Ppard,0.10124966,0.11243188,0.31039858,0.18295957,0.11582359
Zdhhc9,0.031581,0.052086275,0.07050985,0.069849014,0.08280712
Smad4,0.4858432,0.55296814,0.58540016,0.64900476,0.98971975
Cbx7,0.03563048,0.03229745,0.03402146,0.017850827,0.0
Itgb3,0.1341159,0.22693245,0.2888029,0.23257934,0.010518561
Smad3,0.37286538,0.59952545,0.80298316,0.7259604,1.5532061
Hdac8,0.67021084,0.7855972,1.8169953,1.4471229,1.4710319
Btg1,0.018390032,0.043116644,0.08504769,0.050309423,0.09486301
Crebbp,1.3293988,1.4015335,1.9148785,1.7204055,1.2374058
Aff4,0.6024497,0.7098275,1.0531547,1.0458982,1.1576972
Itgal,0.531993,0.8399083,1.4164556,1.0731779,1.5988271
Ash1l,1.3232818,0.99612695,1.5434703,1.2068915,1.2062674
Znfx1,0.1060221,0.14417407,0.27903134,0.19701722,0.12069876
Klf9,0.037887983,0.034631528,0.035762243,0.03294695,0.023911208
Apc,0.76731783,0.7931973,1.1868232,0.9276055,1.558629
Mvp,0.017314596,0.029230595,0.039852604,0.019287061,0.09176193
Bst2,0.017545518,0.024673788,0.049673088,0.019310383,0.0
Zfp213,0.07337129,0.06186891,0.06243292,0.050259985,0.20337906
Deaf1,0.18379465,0.15656288,0.18058228,0.18433277,0.17100003
Atm,0.6068314,0.4489238,0.6154244,0.29035902,0.23363225
Zfp512,0.15783128,0.14567178,0.22742057,0.100550435,0.08823583
Cd37,0.0419728,0.07871733,0.13978194,0.110269725,0.20666891
Cx3cr1,0.04334621,0.10541616,0.16782202,0.108559996,0.3261301
Cd46,0.09205061,0.07472276,0.17733832,0.08053421,0.13906816
Nfyb,0.052068524,0.046379644,0.068951115,0.016577886,0.026538344
Padi2,0.04798237,0.12322413,0.2708739,0.16557069,0.2896675
Elf4,1.337681,1.3556834,2.2827516,1.253409,1.6625924
Ehmt2,0.086958155,0.05774982,0.07778058,0.052865192,0.052803557
Nfatc1,0.7802205,0.8520876,1.1110083,0.92723477,0.75207686
Kat2b,0.56946963,0.4894951,0.93095523,0.60783654,0.6904566
Mta3,0.8477074,1.257651,1.9140996,1.228464,1.4011354
Bin1,0.0940444,0.20802306,0.3317598,0.18321913,0.30621544
Klrd1,0.06444078,0.13562125,0.39168385,0.22452196,0.3796965
Crebzf,0.19785811,0.1681969,0.21661657,0.11870627,0.24467877
Fli1,2.3930957,3.7156718,5.3476424,4.259198,4.269824
Sp100,1.4099518,2.3808572,4.293138,3.4325173,3.546597
Itgb1,0.95782346,1.156969,1.6921849,1.4124329,1.559643
Kdm3b,0.47568646,0.5566941,0.81162345,0.8095582,0.6992113
Cd80,0.36317986,0.3682407,0.7594702,0.47339144,0.31088313
Btbd11,0.31743693,0.27528247,0.6379715,0.69529325,0.7509142
Kdm4c,0.9047523,1.2738731,1.6021001,1.6800818,1.7798057
Klrk1,0.5296355,0.50505155,0.6585581,0.62567323,0.68002
Fcgr2b,0.007829363,0.018450668,0.01754773,0.044613272,0.06989987
Tnfaip3,2.230873,3.314567,3.9581375,4.2023406,4.319185
Phf1,0.001215268,0.0009802472,0.003315074,0.008728915,0.0
Trdv1,0.0008369975,0.0033769715,0.003414928,0.018808344,0.0
Spn,0.12078609,0.21464291,0.1939872,0.21868712,0.25063205
Ifi204,0.00649981,0.003514443,0.009699155,0.032984246,0.0
Cd55,0.016501896,0.06617019,0.066726334,0.124334954,0.0
Scml4,0.47882628,0.8399891,1.2231197,1.5831096,1.9333793
Pvr,0.0745966,0.06335385,0.058459274,0.09306351,0.0
Eya2,0.11826339,0.09907945,0.15522519,0.21740216,0.09343946
Stat1,1.3744613,1.9743419,2.0122676,2.4604864,1.9539641
Itgb2,0.15567228,0.1860654,0.21168303,0.25823823,0.19303644
Ifnar1,0.15176821,0.19436409,0.20062712,0.2761911,0.12359954
Rgs14,0.004499679,0.010199702,0.015055887,0.017472163,0.028512165
Tgif1,0.11507673,0.13923253,0.11572907,0.23223488,0.09907483
Hbp1,0.16909738,0.27522665,0.25649124,0.333439,0.32805547
Aff1,0.65426135,0.94418,0.81108195,1.4774637,0.92848
Cd6,0.4740535,1.0099069,0.9323071,1.2710885,1.4147949
Notch2,0.2957637,0.3691051,0.3494102,0.4830509,0.6143818
Abcb1a,0.3743826,1.0365819,0.79075587,1.7035325,1.5755441
Klf6,0.18521611,0.1355909,0.1187149,0.24249466,0.2712623
Slc3a2,0.77405,1.0354817,0.92553747,1.396096,1.4601411
Satb1,3.311275,3.26984,3.6369693,4.501235,4.772973
Ccr2,0.04051021,0.102334045,0.084474504,0.19124098,0.21521077
Klf13,0.6897314,0.9766109,1.0425307,1.1058257,1.4108075
Ddx5,1.1770159,1.242998,1.0992402,1.3441705,1.5518794
Rara,0.08651906,0.10357912,0.06580938,0.14308085,0.17533928
Fosl2,0.043905575,0.049018342,0.094205685,0.1366577,0.12575871
Ikbkb,0.14834614,0.17146565,0.14265075,0.20632775,0.3209126
Ifngr1,2.031236,3.5848095,3.2303388,4.158515,4.3952456
Kdm7a,0.39842537,0.9840247,1.3618245,1.965588,3.4261045
Chd6,0.5209625,0.593076,0.62964827,0.7886336,0.9391339
Kmt2d,0.032951016,0.01611113,0.018327137,0.048203364,0.0202589
Fasl,0.17102234,0.4791778,0.5210423,0.6242099,0.9814998
Nr4a3,0.6337149,0.8249249,0.55945134,1.3522817,1.6619959
Jmy,0.21861166,0.37503132,0.24265544,0.5415607,0.43986034
Foxp1,2.1397126,2.907103,2.3464127,3.4844027,3.9478173
