,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Cd46,0.0044067004,0.007890819,0.035164446,0.015445928,0.0
Kat2b,0.09943916,0.1124737,0.17912447,0.11114224,0.0814967
Ighm,1.0293893,1.5169183,1.7301118,1.4153888,0.2311134
Pax5,0.0,0.00013932894,0.018412579,0.0041486183,0.0
Kdm4b,0.03144656,0.02170494,0.039307207,0.03149287,0.18773353
Irf9,0.23654482,0.5300572,0.96732974,0.7904129,0.8241309
Trgv2,0.02137887,0.023934692,0.027596798,0.047736026,0.0
Ncoa3,0.23403712,0.29545626,0.5294257,0.50153506,0.4308889
Zfp131,0.27758864,0.32240093,0.44194698,0.40458462,0.1988596
Eif2ak2,0.3901278,0.33713093,0.57112646,0.44910032,0.22193253
Pml,0.2228303,0.23403911,0.39500436,0.32396057,0.13191149
Fas,0.07985881,0.12210049,0.20695257,0.2218519,0.20365748
Irf2,0.74217767,1.1675313,1.9018637,1.8129919,1.4937809
Zkscan14,0.040380746,0.0762134,0.096086524,0.06911368,0.17498878
Itgal,1.2872686,2.117472,3.5376132,3.259702,4.972901
Ebf1,0.010014811,0.008665303,0.025018249,0.017504973,0.0
Rbl2,0.2520799,0.34532383,0.5566395,0.62356377,0.522698
Ccr9,0.22493452,0.19101955,0.35238445,0.04120437,0.19802327
Tcf4,0.119699515,0.09202904,0.1684894,0.10957199,0.1035905
Vax2,0.09045185,0.07604637,0.23509683,0.04229433,0.029215807
Phip,0.6406623,0.55380434,0.8069388,0.6554596,0.83344674
Eomes,0.22076645,0.20515612,0.2487806,0.26887286,0.49294612
Tcf7l2,0.00691609,0.002035333,0.0054320907,0.0006651282,0.0
Crebl2,0.0108351,0.008511208,0.027018182,0.032537296,0.0380842
Patz1,0.12887175,0.078961395,0.11844676,0.06407497,0.12019426
Trp73,0.008926555,0.0033663425,0.030928943,0.008956852,0.018939003
Sp3,0.7875023,0.7998962,0.8646312,0.78139925,0.5124759
Mbd2,3.697443,4.0248036,4.396531,4.010681,4.733898
Cebpg,0.44624513,0.44906348,0.43700168,0.41435513,0.45210463
Zmynd11,0.33717024,0.3629492,0.6142733,0.506078,0.40230614
Ly75,0.12269919,0.19748048,0.27957478,0.24989265,0.095139034
Zfp606,0.03616561,0.040373325,0.066098735,0.038186595,0.047073267
Zkscan5,0.015879722,0.02980329,0.052329015,0.013716867,0.10217219
Bmi1,0.2734908,0.17966528,0.23088583,0.1749975,0.2694255
Cbx7,0.097292215,0.11246168,0.18530269,0.1380578,0.23833287
Klrd1,0.6989383,2.8607213,5.5020247,4.9020896,7.8347507
Id2,2.3617055,6.4992657,8.837987,8.943918,8.804609
Entpd1,0.02398871,0.062524065,0.14657955,0.09338222,0.042879023
Klra3,0.0125753665,0.05532101,0.30027607,0.059831053,0.34873253
Klf10,0.098219275,0.0983443,0.18626826,0.13400504,0.24960467
Sema7a,0.14091912,0.20518345,0.30372387,0.19538067,0.07960544
Fiz1,0.10829434,0.10841628,0.17464514,0.11999722,0.024417821
Tshz3,0.0015188042,0.0008412457,0.0019033701,0.004609043,0.023349661
Pbx4,0.036411487,0.03086688,0.035909448,0.013793752,0.0
Zbtb39,0.010994863,0.012093787,0.015568879,0.004310811,0.0
Max,0.6355924,0.61020494,0.8254759,0.74270004,0.7737249
Hmg20b,0.20792267,0.20812389,0.24535714,0.19685248,0.121861525
Trps1,0.28618607,0.23197922,0.3933308,0.22050545,0.3463586
Crtam,0.43118432,0.38652417,0.58877885,0.543417,0.36370432
Tbc1d2b,0.11597856,0.13844688,0.24735352,0.16890383,0.1819348
Cd160,1.5368177,1.4003334,2.6924014,0.8857302,0.701145
Nr4a3,0.08183574,0.103405006,0.129231,0.2191684,0.23446453
Etv6,0.18652359,0.12575036,0.21089938,0.22108486,0.24822347
Cd2,2.635199,4.933522,6.7869673,7.163618,5.6111073
Zfp553,0.050357487,0.06962755,0.076628536,0.058075886,0.0
Cd84,0.17590955,0.27007917,0.44808918,0.43431434,0.77592653
Il1rl1,0.15896313,0.14980553,0.48608768,0.12018429,0.06452065
Hivep3,0.11174311,0.11551092,0.2444614,0.09382576,0.0
Irf8,0.5798016,0.5455327,1.1997185,0.47426733,0.26266584
Tbl1x,0.6864005,0.4307755,0.58867943,0.5065394,0.42081678
Adam10,0.52064157,0.6290356,0.9338524,0.8550628,0.88663054
Maf,0.04847926,0.13680896,0.3095862,0.20921728,0.06661987
Jarid2,0.2011105,0.34447336,0.6122263,0.6592176,0.576103
Setbp1,0.052498743,0.059097923,0.25011998,0.15537022,0.016620418
Btla,0.02033534,0.03272754,0.048369754,0.041287336,0.0
Ankrd10,0.4105764,0.39452308,0.49561346,0.42766848,0.6906745
Nfe2l1,0.2230644,0.18711506,0.235849,0.21550539,0.26334882
Foxn3,0.4282158,0.63194543,1.9858481,1.483771,1.635541
Ikbkb,0.22806297,0.24014808,0.404318,0.31248116,0.5669639
Elk3,0.3151585,0.43004176,0.5794506,0.5013535,0.49893716
Cd274,0.16815107,0.3099223,0.444512,0.4312675,0.6008452
Kmt5b,0.1492746,0.19668493,0.33134612,0.32795233,0.36614746
Cd96,0.26445022,0.54179746,1.0641483,0.96127546,1.1126626
Stat4,0.6357609,0.8633596,0.8493629,0.93336904,1.5468262
Zfp512,0.078758724,0.06890207,0.16804302,0.10937354,0.043724507
Alcam,0.3370462,0.37155077,0.63274217,0.35762373,0.116574004
Chd6,0.13220595,0.15041974,0.29929256,0.24596757,0.19157802
Pknox1,0.2901504,0.2212113,0.2721888,0.2673755,0.43279117
Eya2,0.018416118,0.015601519,0.022393407,0.03205105,0.0
Snai3,0.18475348,0.18651886,0.30255887,0.30481938,0.087279245
Cd52,1.0500497,2.4381807,3.307651,3.0949156,3.1441503
Zfp422,0.05639546,0.04561056,0.047120698,0.035477363,0.05471625
Meis3,0.02951067,0.035722576,0.040544946,0.03389642,0.16162375
Hbp1,0.05461799,0.12207806,0.2724883,0.24027453,0.25636497
Hist1h2bp,0.021391988,0.009103156,0.025613995,0.012688473,0.10494196
Phc2,0.3454369,0.36422145,0.450639,0.45461544,0.7886287
Ercc5,0.0933262,0.08309365,0.17084102,0.059469752,0.11312867
Zdhhc13,0.11216409,0.07618116,0.112288445,0.094077654,0.05183665
Cd86,0.026829518,0.05974608,0.17150594,0.13656864,0.017703066
Creb1,0.5219715,0.548222,0.72748464,0.53283346,0.47204298
Rarg,0.0344516,0.028206838,0.08553259,0.030232986,0.062727205
Stat6,0.30112445,0.33414918,0.38881752,0.39031136,0.4679205
Ciita,0.013173661,0.00039596157,0.0037072327,0.004631835,0.0
Ly86,0.057506442,0.0024851444,0.009583052,0.008352119,0.0
Cry1,0.22572906,0.28123587,0.38113588,0.40769127,0.5565268
H2-Ab1,0.26105818,0.023385918,0.16335626,0.057512455,0.034396637
Lef1,0.7670526,0.93726164,0.9157813,1.0891213,0.76793116
L1cam,0.048985112,0.09265061,0.17337584,0.11221287,0.0676271
Cd74,0.401131,0.040241696,0.1887273,0.06667124,0.0
Lgals3,9.57496,17.600307,18.80659,12.443343,6.451822
H2-Eb1,0.2831865,0.028758772,0.17250665,0.07654395,0.0
Nmi,0.71890706,1.2759292,1.3827846,1.3555232,1.3509326
Xab2,0.18378405,0.20908439,0.288306,0.22709073,0.19876203
Mtf1,0.124817125,0.13303795,0.13857597,0.1588234,0.1484405
Ssbp2,0.030637208,0.021653047,0.06697061,0.02103312,0.0
Cd244a,0.032390423,0.045851488,0.038231056,0.0048847888,0.040652204
Prkcd,0.22171196,0.24310702,0.23800565,0.30132648,0.23611599
Aff1,0.105112776,0.12761176,0.17537497,0.20294145,0.053886253
Med12,0.25399652,0.33201385,0.3673047,0.36586013,0.7010942
Zfp354c,0.008735605,0.0028133572,0.014656356,0.005935101,0.0
Pecam1,0.12771045,0.17043795,0.3515358,0.31354427,0.22957829
Foxp4,0.15620682,0.17010383,0.2949817,0.24793163,0.16647124
Chd7,0.5418132,0.913898,1.0797987,1.1587185,1.9130785
Aff4,0.14934218,0.13110329,0.26889113,0.24312234,0.21451381
Crtc1,0.03473134,0.02384497,0.07340951,0.06602843,0.027637752
Brwd3,0.14987771,0.13458522,0.24110277,0.2346757,0.17239395
Dnmt3b,0.05992827,0.03813543,0.12143175,0.09062269,0.024181891
Fosl2,0.09145466,0.09889489,0.21647874,0.15708195,0.57195467
Zbtb17,0.11790359,0.14478679,0.14229777,0.14471072,0.12058514
Sp140,0.24544147,0.4193531,0.5616993,0.595831,0.4025775
Irf7,0.29812783,0.55453104,1.2637991,1.1840402,1.221361
Cd6,0.6745989,0.82196444,1.0817388,1.012148,1.3344182
Kdm4c,0.10495202,0.10688856,0.19391936,0.19800545,0.30272675
Tnfrsf25,0.06114192,0.04008662,0.10738373,0.123370275,0.07800287
Smurf2,0.109841965,0.10249026,0.15377553,0.14275445,0.17874487
Smarca2,0.16393928,0.20061696,0.4248478,0.31310835,0.40543318
Mef2a,0.1976538,0.23235813,0.3819226,0.3756596,0.53831315
Btbd11,0.013403617,0.012093436,0.039490256,0.048336428,0.021246718
Hdac6,0.05149165,0.030910565,0.04039532,0.02217552,0.04624812
Tcf12,0.21947733,0.17100774,0.2599675,0.2417165,0.1876772
Sox5,0.0042401226,0.0026886156,0.007996062,0.011683023,0.0
Nab1,1.5528715,1.5814298,1.7396678,1.4987178,1.4255731
Rbl1,0.25739333,0.21078622,0.28599164,0.2401321,0.1947524
Pbrm1,1.4153224,1.3602476,1.3973955,1.3832738,1.7621526
Sub1,14.508575,20.233273,22.129156,21.96037,13.555508
Klra9,0.0,0.0011949214,0.0025760098,0.0,0.042892277
Zfp213,0.08085597,0.0723639,0.11081209,0.06189877,0.06790739
Trdv1,0.0065303817,0.022051523,0.02855906,0.011031531,0.0
Ncam1,0.0009040069,0.0042439317,0.00870806,0.0,0.0
Mvp,0.10560199,0.13416071,0.15289496,0.16840051,0.19921434
Ncoa4,0.018316612,0.019365262,0.019721344,0.021236865,0.06261983
Cbx4,0.46827054,0.4561843,0.58470654,0.6561401,0.6383716
Tox,0.529779,0.6099076,1.540683,1.1808949,0.17714909
Pdcd1,0.98135304,0.8883339,1.5670187,0.64722097,0.1751814
Dnmt3a,0.092269994,0.06719243,0.14386088,0.13113588,0.24794094
Tox2,0.08019543,0.028234454,0.13417621,0.04424449,0.0
Ascc3,0.30724883,0.38012275,0.42732376,0.52343893,0.39216414
Tfdp2,0.07666509,0.034652926,0.10863469,0.050758466,0.018939003
Havcr2,0.5912978,0.6927171,1.1037059,0.5936117,0.31357124
Icos,1.5602776,2.3398242,2.3782392,2.946013,1.7031305
Nfia,0.011353116,0.029678376,0.083246306,0.0449998,0.029600458
Ikzf1,1.747781,1.8944551,2.8209562,2.2698731,2.1926036
Mxi1,0.19249214,0.2509109,0.36275727,0.3299048,0.3350662
Zfp1,0.06513932,0.052025337,0.09000445,0.10117297,0.016203001
Prdm1,0.5097604,0.47198164,0.5666426,0.5323204,0.5465853
Phf2,0.21415226,0.15754998,0.27289346,0.26535785,0.25609654
Baz1a,2.426163,2.2411008,2.3505692,2.4451163,1.916703
Abcb1a,0.07217141,0.11614783,0.15782435,0.20101577,0.22404402
Il21r,0.34224626,0.4140628,0.46525544,0.5146344,0.5941418
Nfkb1,0.6149917,0.54282635,0.64838505,0.70943666,0.73492956
Deaf1,0.08470528,0.112659805,0.15586811,0.107289314,0.060615763
Hdac8,0.05225031,0.06695593,0.10702939,0.06587535,0.07497876
Rb1,0.08130117,0.07959303,0.08713661,0.091178045,0.07367393
Nfatc1,0.14993472,0.21590413,0.37952766,0.41788515,0.48545277
Mllt10,0.35586593,0.25899264,0.41311944,0.37950385,0.27752942
Zbtb20,0.08829684,0.0359368,0.16553152,0.17495044,0.12370823
Cd200,0.059745595,0.048948415,0.08954185,0.0586647,0.021122718
Zbtb48,0.01936884,0.022264043,0.025135322,0.03599109,0.0
Sirt1,0.197114,0.17414749,0.20654671,0.1324552,0.08387866
Klf9,0.04812792,0.029562775,0.050813306,0.04743304,0.06837751
Fbxo17,0.038238637,0.01736376,0.042662356,0.02872667,0.0
Zbtb1,0.4757035,0.68276674,0.7242001,0.7667504,0.77020335
Carf,0.012946523,0.010655748,0.014391872,0.019358717,0.0
Zscan22,0.023369959,0.008186467,0.017785765,0.003484821,0.0
Ppard,0.044922963,0.045588568,0.04327942,0.05913125,0.0
Zfp62,0.11657402,0.15040487,0.16010153,0.19751666,0.22974876
Bbx,0.18186021,0.18917358,0.42051667,0.4164094,0.45050713
Cramp1l,0.18150431,0.15614599,0.219658,0.19457294,0.28736582
Ski,0.13182108,0.13644934,0.17071535,0.2120784,0.28900763
Cd80,0.038692877,0.06157687,0.17244406,0.099834576,0.03322259
Zfp275,0.06591934,0.05469322,0.109250806,0.09257008,0.08202079
Rsf1,0.43549457,0.4295629,0.5191576,0.5869315,0.5800634
Ankrd55,0.033150855,0.02428774,0.02412938,0.015099803,0.036933504
Trim25,0.33636302,0.45958978,0.44020155,0.47537416,0.6671349
Calcoco1,0.012015057,0.018891403,0.06988618,0.05361055,0.109309316
Klrb1c,0.017638419,0.058609977,0.5762227,0.118114255,0.30369708
Taf4b,0.07242691,0.03391383,0.062830344,0.053006668,0.016203001
Chd2,0.51283604,0.84076697,1.0676445,1.243059,1.1892169
Il18r1,0.81259,1.5540793,3.0776181,2.2481582,1.5726801
Brd1,0.99279547,0.81171095,1.0121592,1.0207039,1.3898808
Il7r,0.20776169,0.18469317,0.6721913,0.74727255,0.07618
Anks3,0.04854545,0.05045235,0.09517512,0.07404172,0.05512943
Tbx21,0.4027488,0.55176604,0.968222,0.57196075,1.2499585
Ets1,2.4531178,4.139648,4.331032,4.712512,5.7977877
Abcg2,0.019458517,0.008245416,0.01133913,0.015103308,0.020313086
Ubn1,0.83701926,0.89250714,0.92102647,0.8872234,1.0620025
Brpf3,0.054935332,0.032221265,0.071400665,0.048228633,0.050969265
Gatad2a,1.0275389,0.94404566,1.0695292,1.0721687,0.9904072
Arid2,0.2514337,0.15805835,0.26634067,0.20149001,0.19981918
Crebzf,0.19416054,0.2201674,0.37383503,0.26555818,0.1820597
Itgae,0.0073916325,0.007389483,0.037306413,0.014992101,0.076691516
Nfic,0.14817424,0.18920359,0.44077343,0.26834297,0.62378895
Slamf1,0.13775878,0.26806232,0.3416772,0.2528162,0.18310076
Pbx3,0.039212685,0.022323357,0.084713146,0.028725546,0.03332367
Tnfrsf1b,0.42244646,0.5450993,0.6585697,0.61748224,0.46237737
Sla2,0.5050663,0.7115009,0.82124424,0.66942334,0.47276786
Ep300,0.44575256,0.5158089,0.6705552,0.6975463,0.63151157
Tshz2,0.0081991395,0.0032589424,0.0037530705,0.0018535132,0.0
Lair1,0.1982845,0.17738134,0.21852276,0.22693399,0.2833409
Ovol2,0.010261852,0.012066783,0.031111227,0.012160171,0.0
Klrc1,0.9540316,1.7794768,2.8485456,2.4482203,3.7252305
Apc,0.18612777,0.21751998,0.3908067,0.31763577,0.3214556
Zfp382,0.03679527,0.037737735,0.055526484,0.03080484,0.0
Tnfrsf1a,0.10825673,0.10594616,0.20278539,0.14506814,0.10622764
Tsc22d3,0.47750783,0.80112,1.9602774,1.0437094,2.2532446
Setdb2,0.14830226,0.119465284,0.22429687,0.13387972,0.16330051
Sp4,0.19235614,0.30842334,0.4599283,0.39812082,0.44530535
Itga2,0.028177733,0.06132615,0.10850104,0.064917065,0.0380842
Izumo1r,0.00020334989,0.00046381407,0.00039261044,0.003112053,0.0
Tet1,0.0035938616,0.003523989,0.013316687,0.010013098,0.0
Klrk1,1.0340331,1.5501082,2.2451267,2.0233636,2.6484537
Cd44,0.5508722,0.717145,1.3155057,1.1240717,0.7705107
Kdm3b,0.09700777,0.14388117,0.1640277,0.16792288,0.08520491
Notch1,0.34490722,0.340352,0.6134582,0.5598016,0.4424523
L3mbtl3,0.10958005,0.114596434,0.2486923,0.26909134,0.2066672
Zfhx2,0.05141673,0.10247339,0.36541995,0.24692604,0.14950329
Hdac7,0.5355645,0.72795963,1.2106111,1.1130099,0.6458522
Atad2b,0.3229487,0.28134683,0.43796492,0.4396978,0.332626
Itga4,3.8241024,6.5657687,9.142107,8.843707,8.590645
S1pr1,0.6794318,1.2985868,1.5171098,1.6636392,1.646081
Zfp444,0.11564014,0.087440826,0.17735048,0.13017151,0.07012268
Zfp277,0.21057865,0.22044687,0.31929365,0.27849874,0.2544973
Nfxl1,0.06223644,0.06336015,0.057020742,0.0451737,0.0
Arid1a,1.0470058,0.96311355,1.3140079,1.3132833,1.351056
Elf4,0.57789963,0.6863696,0.7987454,0.8147005,1.1409343
Btg1,0.80223083,2.0097513,4.367934,4.383433,6.2504044
Klf13,1.0005989,1.5343459,2.3439293,2.4676738,2.826056
Fli1,0.6654186,0.8830297,1.3915833,1.1812643,1.1320412
Nr2c1,0.031056942,0.0191793,0.039409574,0.036598302,0.0
Zfp36l2,0.80128753,1.602326,2.320211,2.3726385,3.7358685
Spn,0.2954391,0.5013512,0.51926816,0.548474,0.67183685
Atp1b3,3.2886136,4.644325,5.5010405,5.1528687,5.7684836
Nsd3,0.44500223,0.58509666,0.84415394,0.91231966,1.1199567
Ifngr1,1.6541013,3.377191,4.65909,4.6136193,4.117422
Mta3,0.15401296,0.18870558,0.24691743,0.23370296,0.24398996
Klra6,0.0,0.003959308,0.0072326665,0.0063756066,0.0
Cd36,0.0,0.0,3.866345e-05,0.003720283,0.0
Nr3c1,0.39241007,0.4057615,0.50749975,0.53463733,0.83908325
Cd47,6.7452993,9.543471,10.903926,11.287547,10.422065
Gata3,0.26993486,0.3840989,0.38923725,0.43164483,0.47018173
Itga6,0.111552715,0.16839345,0.19980104,0.21730183,0.07960544
Ighd,0.008909154,0.017736692,0.03367803,0.03625425,0.0
Foxj2,0.054966163,0.072424755,0.14484364,0.15838882,0.17545885
Ms4a1,0.006465688,0.00080405106,0.0063607735,0.027791008,0.0
Chd9,0.09790761,0.103090554,0.1835236,0.15855817,0.20911987
Pvr,0.04001445,0.041972667,0.08368031,0.09758958,0.10664706
Eng,0.0046149013,0.00030184558,0.0025300314,0.01102437,0.0
Ube2b,1.8709775,2.4742846,2.6922076,2.9432561,3.0048385
Prdm4,0.12620886,0.11933168,0.11254034,0.14230864,0.07796698
Padi2,0.105064295,0.18525648,0.24853173,0.3514752,0.36264408
Adam8,0.11041217,0.17447978,0.25544688,0.3721638,0.15788329
Itga1,0.057227686,0.2519934,0.48230544,0.55826825,0.27444947
Jaml,0.369298,0.7608629,1.0418711,1.3495837,0.52677894
Lgals9,0.47810054,0.83194524,0.8718794,1.0351709,0.7373455
Esr1,0.00036152868,0.00038043212,0.0,0.0038094856,0.0
Arntl,0.053593177,0.092547506,0.14946596,0.19702137,0.19052741
Ddit3,0.105639756,0.14219582,0.17543346,0.23011276,0.2604326
Cd226,0.64531153,1.3978544,1.4149584,1.9589775,1.1108301
Cd53,2.1773953,3.5818632,4.308704,5.201255,3.8150835
Bst2,2.1893804,2.357817,2.8836067,3.4191,1.6299886
Igf2r,0.2844989,0.5729671,0.74506354,1.0121964,0.82012504
Baz2b,0.080506705,0.10866008,0.14243113,0.19703667,0.13060366
Tet3,0.20074198,0.2596732,0.35305977,0.40752086,0.57537395
Daxx,0.3333538,0.36034787,0.4474221,0.6069651,0.3935331
Sp110,0.4407556,0.72033024,1.3774587,1.700442,1.4329562
Sp100,1.0125301,1.8607332,3.1233091,3.6246567,3.3858323
Hivep2,0.24033539,0.3450334,0.39396742,0.5508409,0.47126442
Pou6f1,0.01820476,0.02046917,0.04038016,0.08199842,0.0
Itgax,0.10897886,0.54669577,1.039581,1.3053166,1.096298
Aff3,0.039860044,0.02738793,0.021090662,0.08991497,0.0
Stat3,0.8380575,0.9570493,1.0780526,1.2539648,0.97762847
Nrp1,0.37412825,0.50493836,0.43887782,0.6434642,0.31812242
Ddb2,0.119678535,0.14677262,0.14831667,0.21155256,0.024175152
Relb,0.09167321,0.13895081,0.18823317,0.32475564,0.13688633
Zeb1,0.13375422,0.1054063,0.16284311,0.2084245,0.07922982
Kdm5b,0.052046817,0.072937645,0.18845084,0.3246757,0.056673333
Top2b,1.3201833,1.2737772,1.4489083,1.8167039,1.4124635
Mef2d,0.42729422,0.5425227,0.7737933,0.8720673,1.0862072
Zhx2,0.024714828,0.023382384,0.031589728,0.06316636,0.07960544
Nt5e,0.015032553,0.019305203,0.01972986,0.059602108,0.0
Elf1,1.1828328,1.811019,1.8550122,2.5724194,2.4569006
Cd28,2.0369964,3.18941,2.5353968,4.4941783,3.893816
Kdm4a,0.20435928,0.33913133,0.35836232,0.34441352,0.48646408
Kcnip3,0.0012857415,0.0,0.00050370366,0.008543889,0.0
Cd5,1.0074055,1.4219314,1.4194189,1.7293656,1.542551
Ifi204,0.06814596,0.026312714,0.09871548,0.20059223,0.12780736
Nfkbiz,1.1474026,2.0922496,2.3001413,2.9598675,2.8315053
Cnot6l,1.3466113,1.4945202,2.3138442,2.714796,2.35277
Jmjd1c,0.27240655,0.38298804,0.39310476,0.48561385,0.6265667
Nr4a2,1.2298595,1.5620533,1.5701592,2.322578,2.1153364
Cxcr6,1.1364007,3.2096336,3.4146163,5.0218534,2.0029526
Smad7,0.49816126,0.96819097,0.87768656,1.6979512,1.9654002
Klf6,2.9017038,3.7860684,2.874542,5.510498,7.612794
Scml4,0.0367135,0.06850914,0.11747702,0.14762813,0.30273494
Tnfaip3,1.1499087,2.4240222,1.7211103,4.1333055,4.9851832
Ptprc,7.1582336,10.283866,12.551309,14.547175,16.859604
Mxd4,0.1288787,0.3345199,0.6941068,0.7693485,1.6970508
Dpp4,0.3916236,0.43138987,0.43142757,0.76829445,0.50031984
Ccr2,0.026859956,0.15276678,0.16663739,0.36538714,0.35898933
Itgb2,1.6344986,2.5634456,2.7432773,3.0058546,4.309513
Kdm6b,0.35723105,0.52630186,0.32390133,0.8624578,2.065101
Notch2,0.16602725,0.19906986,0.19936515,0.27748716,0.5857001
Nfkb2,0.23573521,0.3114343,0.23243853,0.47207138,0.5370367
Selplg,2.139904,4.2089605,4.377818,5.427688,6.922741
Foxp1,0.20468546,0.29935056,0.38095433,0.56571484,0.56727844
Phf20l1,0.69847846,1.0465688,1.0786637,1.1460899,1.759502
Bcl11b,1.1908731,1.728183,2.4224095,2.8200603,3.948128
Vsir,0.35495508,0.85480946,0.9818618,1.4118688,1.3385789
Smad3,0.08652332,0.1867137,0.17231981,0.25892144,0.43549657
Phf1,0.061671678,0.09625915,0.14500651,0.21570791,0.5740919
Fcgr2b,0.019857261,0.023770632,0.056093078,0.10513274,0.2893285
Il17ra,0.3919003,0.48891374,0.48478302,0.6227029,1.1872799
Fasl,0.11992912,0.35876858,0.52666837,0.5997103,0.90439504
Zdhhc9,0.026915852,0.029791355,0.027642442,0.06467648,0.22827303
Rere,0.06856191,0.053440407,0.10893206,0.16746494,0.22534293
Hopx,1.931615,2.881868,3.002553,4.5721574,5.564823
Tgif1,0.2642886,0.39549768,0.22720279,0.67527366,0.57839704
Fhl2,0.3686921,0.49922928,0.44519082,0.749082,0.7557329
Btg2,1.1005585,2.3276806,3.6004117,4.09604,5.903818
Zfp236,0.09929302,0.08049327,0.10329825,0.115059726,0.16163218
Slc3a2,0.95540833,1.018418,1.1865693,1.4853423,1.9781733
Sertad2,0.1638241,0.2895888,0.28615025,0.3786483,0.44479278
Icam1,0.22627781,0.2807423,0.24265729,0.39691895,0.42216507
Cd37,0.4532594,0.8791899,1.3823718,1.8225328,1.7052667
Smad4,0.33992228,0.38394886,0.5411804,0.6460286,0.9271462
Rest,0.6001209,0.541236,0.4971122,0.739932,0.88970155
Polr3b,0.1490563,0.16708992,0.13728566,0.19016007,0.2833667
Ercc2,0.077208385,0.065425366,0.08236445,0.09636701,0.1214104
Per1,0.087333515,0.13135229,0.12531574,0.2299252,0.41203853
Rgs14,0.13833393,0.19886814,0.2413503,0.30545855,0.511552
Satb1,0.81911427,0.93496394,1.3620595,1.6277303,2.285777
Kdm7a,0.19112591,0.37246162,0.49340284,0.73143154,1.3129354
Thy1,1.9260714,3.4792783,3.4615302,4.2546477,4.847882
Klf3,0.2555368,0.59392166,0.5670801,0.80017287,1.9772781
Rara,0.08981706,0.19667144,0.1501186,0.3744617,0.802245
Jmy,0.06472871,0.07037639,0.097963825,0.17965491,0.09344734
Nfatc3,0.7323725,1.0043907,1.035978,1.3096747,1.3306491
Klrg1,0.14233312,0.3220569,0.27780384,0.57901335,4.523037
Bcl6,0.011740694,0.01240418,0.013284457,0.034594063,0.075270146
Klrc2,0.049181882,0.0969452,0.1028949,0.15125939,0.29717028
Zeb2,0.07623699,0.12718733,0.18022057,0.18992719,1.3636602
Cx3cr1,0.039855547,0.20921586,0.2885566,0.26618347,0.9609673
Cd8b1,5.632299,10.586892,12.325276,14.350054,18.823803
Crebbp,0.6091623,0.66658187,0.903198,1.0141226,1.5024148
Itgb1,3.2524002,4.799039,3.6123054,5.7375336,6.931301
Chd3,0.43557912,0.46547624,0.6040847,0.8714352,0.81876445
Ncor1,2.0535412,2.180675,2.7338505,2.9377217,3.875616
Ddx5,8.845066,9.126659,8.956229,11.231205,10.788488
Rora,1.1578176,1.8425428,2.1356568,2.8526242,3.7408595
Mxd1,0.045853164,0.12108519,0.08737858,0.21283177,0.437204
