,Arm_P2,Arm_P5,Arm_P3
Zfp62,0.12762202,0.17021073,0.18390812
Trip13,0.60448295,0.48235112,0.6454686
Ttf2,0.2627032,0.24381985,0.38663584
Rb1,0.090966225,0.110051125,0.13362911
Mllt10,0.3646746,0.3562683,0.4098009
Smarca2,0.18489276,0.22668073,0.23755114
Rora,1.0144926,1.3150122,1.3929155
Dek,5.101871,5.73319,5.877628
Zkscan5,0.014534375,0.015251891,0.020602439
Bard1,0.35773185,0.43923572,0.4430091
Deaf1,0.088840246,0.1120401,0.13652563
E2f2,0.72261685,0.84814066,0.9742767
Pknox1,0.30250442,0.29395747,0.31975275
Hivep2,0.21622047,0.2563141,0.30296078
Nr3c1,0.37592006,0.43159127,0.46674463
Taf15,0.992053,1.2052534,1.2654185
Il18rap,0.4761829,0.5228134,0.94242406
Nfic,0.1872622,0.21063213,0.27902958
Plag1,0.0023891858,0.003639908,0.0045142723
Klrg1,0.3769169,1.0593902,1.3671135
Klrc1,0.92607117,1.5339714,2.3018386
E2f6,0.04360465,0.032651193,0.029115153
Cx3cr1,0.037054297,0.11894023,0.2999806
Brd9,0.66116214,0.6814313,0.9283802
Gata3,0.24709578,0.28926393,0.5137307
Arntl,0.058730442,0.06154141,0.07167563
Mxi1,0.1765485,0.21333802,0.24352719
Zeb2,0.08917434,0.17654817,0.20840332
Ski,0.14635153,0.16143006,0.17414671
Cd274,0.1547971,0.17173897,0.19928092
Cbfb,1.1516206,1.2624301,1.4708899
Brpf3,0.05372804,0.066654645,0.07697532
Cry1,0.22154468,0.20372261,0.20819332
Fcgr2b,0.028639592,0.023486907,0.071890414
Tbx21,0.53911895,0.67586225,0.697741
Relb,0.093961425,0.083687186,0.14703722
Klra6,0.007620938,0.0072384225,0.039627526
Hdac8,0.04967697,0.04882352,0.0717264
Smyd3,0.0716873,0.043533932,0.08790659
Hmmr,1.5753254,0.8983724,3.73775
Ikzf1,1.7956586,1.983115,2.430653
Kdm4a,0.19174692,0.22336319,0.2826289
Smad4,0.3212225,0.29825354,0.40801337
Kmt5c,0.075697124,0.08472634,0.10620232
Ercc5,0.076152146,0.07127112,0.100497566
Cd55,0.072405174,0.101872906,0.12513287
Rgs14,0.1557608,0.17260465,0.28238013
Vsir,0.45082736,0.6248417,0.7707673
Stat6,0.28622177,0.2387435,0.34647942
Med8,0.8451068,0.7756747,0.9359
Mef2d,0.46295327,0.5000399,0.61189556
Kmt5b,0.14350228,0.11823556,0.17633177
Arid5b,0.15963092,0.2335511,0.33803532
Ehmt2,0.49528125,0.5177565,0.7298903
Zfhx2,0.048549563,0.051014226,0.07889533
Phf14,0.5528069,0.6143124,0.7305425
Atf7ip,0.21796353,0.26266164,0.57558703
Slamf1,0.13434362,0.18034777,0.19855706
Smad3,0.13675207,0.18514368,0.2363528
Ncoa3,0.22758499,0.2327253,0.3026597
Jarid2,0.20188327,0.22413772,0.357609
S1pr1,0.9005459,1.126839,1.606715
Zfp36l2,1.039392,1.3758022,1.9377109
Zfp341,0.020210179,0.020417852,0.028521312
Itgb2,1.7719948,2.5048795,3.2202146
Cd47,7.5920258,9.308271,10.936689
Taf6,0.19294478,0.2236129,0.2589061
Nfkb2,0.22580439,0.2301223,0.29928714
Med21,0.08449798,0.080375776,0.09586464
Nfkbib,0.46072456,0.50208586,0.5696547
Ctr9,0.4221066,0.3212077,0.43863788
Ifngr1,1.6688949,2.4224362,4.171449
Itgb7,3.4574454,4.8471985,5.098773
Klra1,0.0036357117,0.03735971,0.06328997
Sp140,0.28021854,0.37984148,0.4965486
Fkbp2,2.0065088,2.419606,2.508038
Id3,0.00030758613,0.00056887296,0.0019158347
Jmjd1c,0.283387,0.2919115,0.3119205
Hdac4,0.09637313,0.092825405,0.11855808
Smurf2,0.09576299,0.09384569,0.13543484
Safb,0.64844495,0.58052546,0.6927659
Cd68,0.09264869,0.16754718,0.20495966
Ddb2,0.12741,0.16742231,0.20884147
Il21r,0.3457623,0.41919452,0.5810347
Klf6,3.5720153,4.473668,5.522857
Cd69,1.9455512,2.398063,2.689338
Tsc22d3,0.54788494,0.6149144,0.92872125
Cd28,2.2220998,3.0682435,3.7656841
Gtf2b,1.0087782,1.0002457,1.0584586
Mxd3,0.41298255,0.5832325,1.2683569
Dpp4,0.4271171,0.44609362,0.4567845
Padi2,0.112505175,0.15161616,0.1805129
Znfx1,0.07576315,0.074848145,0.116693676
Irf7,0.25705752,0.26419988,0.5022213
Trip11,0.5704654,0.61671776,0.69889593
Btg2,1.4539024,2.066316,2.7009182
Stat1,0.80953336,0.81852126,1.0053878
Zbtb1,0.44809195,0.48593026,0.4965126
Stat2,0.044757582,0.043179743,0.09918641
Smad7,0.65445745,0.7260179,1.0423236
Crebbp,0.60510445,0.549249,0.77355814
Irf4,0.35369667,0.31566253,0.34650898
Fiz1,0.112138376,0.110569045,0.12454313
Eya2,0.032222893,0.029933171,0.0411453
Id2,3.135823,4.9051366,7.121594
Zdhhc9,0.02369991,0.017688576,0.036949165
Chd2,0.5716711,0.5478395,0.9426432
Hmgb2,17.693544,20.607508,27.355404
Itga4,4.4744644,5.0199924,6.29522
Rara,0.15267324,0.22290975,0.26753956
Klf3,0.39025775,0.47906944,0.8219345
Elf1,1.3681922,1.5273584,1.9870868
Bin1,0.90452695,1.088372,1.3629433
Selplg,2.548168,3.3983986,4.2025023
Cd48,7.141315,8.541834,10.632794
Baz2a,0.41518956,0.3759838,0.48566145
Polr3b,0.1340471,0.12714195,0.16874361
Sertad2,0.19648719,0.21552707,0.25536102
Fas,0.10956169,0.11540749,0.15429182
Trdv1,0.008779545,0.011801776,0.019153247
Izumo1r,0.0010320455,0.0008316328,0.001889984
Cbx5,1.5465957,1.511784,1.6059138
E2f5,0.07176452,0.055101622,0.08986243
Ep300,0.44728458,0.44694763,0.6055731
Ly75,0.1368772,0.13862847,0.17283535
Cbx3,0.27320114,0.26610973,0.29548982
Mta3,0.14574368,0.15294808,0.20668188
Fhl2,0.37019777,0.60746896,0.80553764
Bcl3,0.15726155,0.15636261,0.2078134
Ebf1,0.0060650064,0.007817986,0.008208861
Ppard,0.039878517,0.045064636,0.04496724
Itga2,0.029486,0.044169668,0.0811045
Hopx,2.5912232,2.6611753,2.9609766
Tob1,0.2724984,0.3183662,0.42000952
Lamp2,0.053449985,0.05906551,0.0638027
Runx3,2.4104912,2.4993804,2.6088827
Klra4,0.0006692034,0.00288979,0.006394571
Zfp512,0.07404909,0.06634057,0.0757794
Kmt5a,1.5187346,1.3149679,1.5762503
Jaml,0.34020394,0.3176656,0.47849748
Klrk1,1.060121,1.569194,2.2278993
Mxd1,0.042418305,0.066952,0.09721658
Elf4,0.5963952,0.69185245,0.89275134
Med12,0.23807205,0.23412074,0.3247473
Hbp1,0.06927205,0.065505564,0.09068662
Gtf2i,0.6872666,0.79573244,0.9255039
Cd86,0.022110913,0.036782496,0.061291534
Il17ra,0.43808365,0.47163618,0.63821316
Itga6,0.14364558,0.16588083,0.20188566
Spn,0.32677808,0.35566497,0.43017793
Chd7,0.62876266,0.7648148,0.94968975
Cd53,2.2255824,2.6779022,3.1819887
Icos,1.352541,1.3841496,1.6140716
Ifnar1,0.14287366,0.15227823,0.2005512
Thy1,2.5205102,3.9260478,4.6820955
Setbp1,0.032726943,0.05590546,0.068147
Klra9,0.0013782808,0.0005125459,0.01040687
Cd5,0.9871951,1.0960319,1.4752405
Klf7,0.23682866,0.21394716,0.27303192
Ccr2,0.08433827,0.1425762,0.22475088
Eomes,0.3225547,0.33134288,0.35836184
Nfatc3,0.7772002,0.9606333,1.0005329
Zfp131,0.30312875,0.26084688,0.29665345
Satb1,0.9778716,0.8876889,1.1445494
Cd6,0.7344087,0.69882405,0.81278723
Zmynd11,0.38808087,0.44536498,0.44755286
Daxx,0.3149032,0.29385966,0.323253
Srebf2,0.36824512,0.37137187,0.43515432
Arid4b,0.8447716,0.7257592,0.93443745
Phf20l1,0.76412,0.91832095,1.2679715
Actb,122.815926,184.04643,196.70079
Lgals9,0.44860384,0.62110597,0.70959604
Fli1,0.6572081,0.8786244,1.108361
Nsd3,0.47324952,0.6125302,0.6667041
Alcam,0.30095482,0.2799964,0.31736195
Nfia,0.012724435,0.012521053,0.0153239025
Stat4,0.5290467,0.69685507,0.7774245
Carf,0.0117485225,0.012703621,0.014495069
Aff1,0.08473246,0.103763565,0.13311464
Dtx1,0.46748802,0.6124888,0.70509374
Klf13,1.1227638,1.2728782,1.5704663
Elk3,0.27650717,0.25856766,0.34962037
Il10ra,0.0914941,0.12776072,0.19043471
Prkcd,0.20987646,0.17815469,0.23950842
Entpd1,0.03013266,0.051129326,0.07872933
Cd38,0.05111625,0.07417806,0.07689318
Nab1,1.3320502,1.3034747,1.4483573
Hmg20b,0.19776213,0.18169172,0.21293105
Ptprc,7.3682227,8.420789,11.880826
Trbc1,7.752996,9.3446665,10.324522
Klra8,0.0016781096,0.0016201257,0.011387888
Lag3,0.33467522,0.4552814,0.54584813
