ChIP,ChIP gene #,sc_P6_cl13_up,sc_d8_cl13_up,d5_KLRG1lo_Runx3_repressed,sc_P5_arm_up,d5_KLRG1hi_all,nascent_Il2_promoted,sc_P4_arm_up,sc_P3_arm_up,sc_P2_arm_up,nascent_48h_up,sc_P7_arm_up,d5_KLRG1lo_all,sc_all,d5_KLRG1hi_Runx3_repressed,nascent_48h_dn,sc_P3_cl13_up,d5_KLRG1hi_Runx3_promoted,sc_P7_cl13_up,d5_KLRG1lo_Runx3_promoted,sc_P9_cl13_up,sc_d8_arm_up,nascent_all,sc_d5_cl13_up,sc_P9_arm_up,sc_P6_arm_up,sc_P2_cl13_up,sc_d5_arm_up,nascent_Il2_repressed,sc_P5_cl13_up,sc_P4_cl13_up
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,174,0.0059,0.0075,0.0116,0.0078,0.0040,0.0064,0.0000,0.0108,0.0024,0.0063,0.0000,0.0040,0.0072,0.0062,0.0068,0.0134,0.0084,0.0111,0.0069,0.0073,0.0110,0.0055,0.0101,0.0048,0.0045,0.0087,0.0066,0.0060,0.0122,0.0184
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,4879,0.0366,0.1762,0.0948,0.0284,0.1212,0.0885,0.0141,0.0513,0.0185,0.1505,0.0070,0.1212,0.2453,0.0820,0.1431,0.0726,0.1108,0.0175,0.0618,0.0075,0.1084,0.1609,0.1387,0.0533,0.0299,0.0071,0.0935,0.1051,0.0417,0.0180
2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,84,0.0024,0.0023,0.0025,0.0024,0.0019,0.0021,0.0000,0.0015,0.0000,0.0022,0.0000,0.0019,0.0025,0.0025,0.0029,0.0025,0.0028,0.0037,0.0016,0.0000,0.0026,0.0024,0.0025,0.0015,0.0017,0.0000,0.0015,0.0021,0.0025,0.0041
2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,13195,0.0228,0.3913,0.0677,0.0231,0.3280,0.1031,0.0092,0.0396,0.0146,0.2685,0.0030,0.3280,0.7090,0.1152,0.2280,0.0504,0.1332,0.0120,0.0693,0.0073,0.0986,0.4260,0.1320,0.0801,0.0345,0.0039,0.1268,0.0846,0.0224,0.0111
2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,13915,0.0217,0.3547,0.0665,0.0229,0.3431,0.0964,0.0095,0.0387,0.0150,0.2400,0.0033,0.3431,0.6631,0.1085,0.2236,0.0479,0.1213,0.0123,0.0666,0.0069,0.0937,0.4228,0.1255,0.0707,0.0328,0.0036,0.1196,0.0830,0.0211,0.0106
2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,9817,0.0247,0.3807,0.0712,0.0252,0.2468,0.1101,0.0077,0.0434,0.0121,0.2501,0.0040,0.2468,0.5500,0.1140,0.2304,0.0570,0.1502,0.0125,0.0749,0.0094,0.1076,0.3344,0.1472,0.0682,0.0388,0.0041,0.1244,0.0766,0.0259,0.0138
2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,7713,0.0102,0.1279,0.0362,0.0121,0.1924,0.0570,0.0073,0.0198,0.0107,0.1067,0.0017,0.1924,0.2695,0.0448,0.1021,0.0251,0.0583,0.0075,0.0356,0.0030,0.0481,0.1975,0.0517,0.0450,0.0151,0.0025,0.0657,0.0507,0.0117,0.0050
2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,14089,0.0223,0.3821,0.0675,0.0230,0.3464,0.0983,0.0099,0.0390,0.0151,0.2583,0.0032,0.3464,0.6985,0.1152,0.2290,0.0493,0.1269,0.0125,0.0690,0.0070,0.0958,0.4365,0.1292,0.0785,0.0336,0.0038,0.1240,0.0862,0.0216,0.0106
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,3096,0.0239,0.1943,0.0533,0.0275,0.0785,0.0818,0.0078,0.0382,0.0112,0.1297,0.0022,0.0785,0.1937,0.0942,0.1219,0.0473,0.1021,0.0142,0.0674,0.0085,0.0844,0.1129,0.1098,0.0570,0.0417,0.0035,0.1032,0.0450,0.0237,0.0134
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,3239,0.0414,0.1316,0.0968,0.0293,0.0805,0.0844,0.0144,0.0565,0.0181,0.1207,0.0092,0.0805,0.1684,0.0686,0.1136,0.0802,0.1071,0.0199,0.0625,0.0088,0.1104,0.1097,0.1309,0.0485,0.0314,0.0079,0.0824,0.0982,0.0483,0.0207
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2104,0.0410,0.0880,0.0991,0.0356,0.0525,0.0647,0.0172,0.0772,0.0226,0.0690,0.0113,0.0525,0.1186,0.0829,0.1161,0.0554,0.0769,0.0110,0.0419,0.0046,0.1357,0.0727,0.1050,0.0483,0.0362,0.0037,0.0854,0.0922,0.0394,0.0217
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2698,0.0409,0.1143,0.1037,0.0383,0.0676,0.0826,0.0182,0.0735,0.0226,0.0933,0.0114,0.0676,0.1502,0.0810,0.1208,0.0649,0.0875,0.0180,0.0574,0.0083,0.1304,0.0927,0.1190,0.0471,0.0410,0.0058,0.1007,0.0972,0.0428,0.0207
2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,15785,0.0197,0.3463,0.0613,0.0207,0.3869,0.0912,0.0089,0.0352,0.0142,0.2358,0.0029,0.3869,0.7026,0.1034,0.2174,0.0437,0.1143,0.0107,0.0610,0.0061,0.0876,0.4612,0.1150,0.0720,0.0304,0.0033,0.1138,0.0782,0.0190,0.0094
2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,3264,0.0411,0.1351,0.1154,0.0374,0.0818,0.0849,0.0170,0.0757,0.0236,0.1069,0.0110,0.0818,0.1828,0.0948,0.1468,0.0707,0.0965,0.0177,0.0565,0.0090,0.1440,0.1114,0.1304,0.0543,0.0418,0.0061,0.1087,0.1055,0.0443,0.0185
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2178,0.0329,0.0993,0.0902,0.0269,0.0551,0.0581,0.0122,0.0584,0.0211,0.0699,0.0114,0.0551,0.1285,0.0782,0.1318,0.0574,0.0908,0.0111,0.0422,0.0066,0.1475,0.0787,0.1119,0.0428,0.0312,0.0036,0.0869,0.0898,0.0382,0.0170
2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT,1271,0.0382,0.0620,0.0799,0.0274,0.0324,0.0426,0.0136,0.0561,0.0229,0.0408,0.0115,0.0324,0.0774,0.0575,0.0919,0.0492,0.0662,0.0090,0.0318,0.0073,0.1197,0.0468,0.0837,0.0344,0.0302,0.0015,0.0748,0.0709,0.0351,0.0156
