gene_name,P9_A,P4_A,P3_A,P10_A,P0_A,P5_A,P6_A,P2_A,P7_A,P8_A,P1_A,P9_C,P4_C,P3_C,P10_C,P0_C,P5_C,P6_C,P2_C,P7_C,P8_C,P1_C
Tanc1,0.0060772994,0.19091603,0.022751337,-0.13545947,0.65907556,-0.00627009,-0.18499246,-0.0015484664,0.035298567,-0.4141059,0.16446018,-0.1929581,-0.052494623,-0.20602383,-0.45278096,0.6559295,-0.15701495,-0.26584613,0.01670605,-0.11576229,-0.26675388,-0.42919677
Wdsub1,-0.014901296,0.023108302,-0.0211935,-0.090968266,-0.0078117917,-0.025652427,-0.022315923,0.013182969,-0.030034604,0.76496494,0.06528646,0.02718279,0.21569936,0.01803453,-0.15404713,-0.0060274135,-0.034452744,0.11579851,0.07249695,0.18910596,-0.056749064,-0.15190814
Baz2b,0.010167959,0.16585709,-0.16301547,0.07377121,0.10749229,-0.0842498,-0.04924197,0.032586202,0.19401543,-0.3877235,-0.00046796378,0.07112053,0.059641615,-0.15135416,-0.6147239,0.104137056,0.0067504155,-0.03917952,0.03323999,0.05379839,0.039757926,-0.5878702
March7,0.051182013,0.20693284,0.06571799,0.19686934,-0.059680924,-0.19018155,-0.19830132,-0.1017851,0.09020235,-0.43013084,0.27333325,-0.03226751,0.23079906,0.00970149,-0.7587269,-0.056571987,-0.09730403,-0.115521915,-0.23351234,-0.06854811,-0.16786735,0.83559394
Cd302,-0.04511415,0.03672,-0.01842233,-0.033627253,-0.032222286,-0.03481405,-0.028829053,0.06526317,-0.05024873,-0.052855656,-0.053908803,-0.051239077,0.15886009,-0.04744967,-0.054812033,-0.043254085,-0.04887405,-0.050210867,0.092689484,-0.050033286,-0.052538626,-0.053619027
Ly75,0.051842924,0.111858964,-0.0115789445,-0.13347177,0.30658448,-0.14058606,-0.0025643336,-0.04703884,0.2427667,0.34383243,-0.06547546,-0.17569344,0.1140175,-0.051739912,-0.5031886,0.3083932,-0.11160927,-0.1051487,0.07565149,0.12531118,0.030604353,0.83510375
Tbr1,-0.042959686,-0.03283849,0.006942894,-0.049305752,-0.026087657,-0.03012228,-0.0110161295,-0.0021964586,-0.052506868,-0.056804027,-0.028422311,-0.05413932,-0.032523997,0.017231356,-0.06002885,-0.025689328,0.055549506,-0.052444454,-0.040841248,-0.052151736,-0.056281447,-0.058062345
Dpp4,0.13117602,0.14596215,-0.093031846,-0.102888286,0.09271569,-0.094735675,-0.09358147,0.0018794885,0.68965435,0.29609323,0.23051873,0.31616026,-0.06629861,-0.15586673,-0.8225237,0.09794406,-0.24243663,-0.19506551,0.043154817,0.32575598,-0.25126797,0.7807373
Ifih1,0.07335147,-0.060882885,-0.12353942,-0.14791174,-0.19156817,-0.18798605,-0.07038666,-0.10760555,0.43567184,1.5157391,-0.18686007,0.41310534,0.40043,0.24481413,-0.48846823,-0.19309911,-0.0027747483,0.2253261,0.2855234,0.69987655,0.30098996,0.9544182
Fastkd1,0.027135763,0.0048387717,-0.047704577,-0.016350433,0.13595246,-0.06075729,-0.067986816,0.10400825,-0.101164795,-0.21275552,-0.11293821,-0.2186839,-0.034069248,-0.039687116,-0.205581,0.1315742,-0.04724438,0.06222594,0.29946056,0.0032769262,0.049550798,-0.20995604
Ccdc173,-0.04585219,-0.05105789,-0.04884014,-0.0821927,0.045507003,-0.03475352,0.06853477,0.025259858,-0.10997486,0.6377714,-0.030783437,-0.13924102,0.06418029,-0.042510327,-0.13284306,0.047734324,-0.027051466,0.043873873,-0.06056166,0.018295921,0.020560935,-0.13497934
Ubr3,0.051202208,0.06980421,-0.031941622,0.017342696,0.06752513,-0.13846767,-0.044235487,0.009955335,0.037311554,0.4352024,0.018625509,0.28033578,0.15195903,0.052539203,-0.47151005,0.06973474,0.04082733,0.011892994,0.028528847,0.028706146,-0.07027259,-0.46941674
Myo3b,-0.021079376,0.052135285,0.0073873485,-0.04122505,-0.05984422,0.014803628,-0.0691516,-0.0061021475,0.01982578,-0.08634379,-0.090781234,-0.079532355,-0.024279997,0.021542057,-0.09458698,-0.05946892,-0.041999627,-0.04182228,0.01665908,0.056098577,-0.018171407,-0.089560255
Mettl8,-0.086281136,0.068048574,-0.041109383,-0.09772799,0.5015087,-0.08906264,-0.016451389,0.023969961,0.019106498,-0.27432537,-0.0041593243,-0.00624457,0.08889108,-0.10741212,-0.2749733,0.48717287,-0.042425375,-0.011851563,0.034668185,-0.02147177,-0.06964807,-0.2745782
Dcaf17,-0.050007086,0.04151554,-0.05641193,-0.056611728,0.3752256,-0.10889095,-0.071021035,0.04809052,0.11078241,1.005048,-0.008432725,-0.25705004,0.099289596,-0.08402549,-0.5111621,0.37583253,-0.08744454,-0.05702393,0.051895637,0.037773963,0.010462361,1.05574
Metap1d,-0.11177426,-0.02773801,-0.05904962,-0.08567871,0.26533288,-0.09027112,-0.06693207,0.05014336,0.11142572,-0.27251187,0.012349419,-0.17134663,0.09091582,-0.0027716898,-0.26573068,0.27194113,-0.06072978,-0.022998568,0.07918284,0.07608718,-0.054384585,1.8893174
Itga6,0.10352628,0.1317679,0.053754147,-0.18787484,-0.019043429,-0.08557975,-0.018501936,-0.020923832,0.19476959,-0.20275459,0.20017575,0.41631362,0.017824464,-0.023461219,-0.5298484,-0.02702004,-0.14161709,-0.10692937,0.15545888,0.008477868,-0.01708251,-0.51918936
Pdk1,-0.18643913,0.11915392,-0.18323697,-0.38282958,1.2559999,-0.12979466,-0.16241683,0.14660405,0.012135191,-0.45556122,0.5376219,-0.16820711,0.07656789,-0.21580645,-0.5060807,1.2608712,-0.17291293,-0.24250281,-0.0177539,-0.1520387,-0.29753178,2.2797718
Rapgef4,-0.27743906,0.14189677,-0.12289047,-0.32869598,1.2773634,-0.15671709,-0.1676751,0.07889223,-0.056841586,-0.3013976,0.47503096,-0.25663263,0.20559466,-0.12287934,-0.35557213,1.2971902,-0.17594856,-0.22816025,0.098687835,-0.13367768,-0.2926187,-0.32253635
Cir1,0.12156918,0.13041101,-0.03126823,0.18471698,-0.17331327,-0.16529031,0.049134146,-0.03097768,0.19569771,0.17021658,-0.13443495,-0.0061466503,0.2880394,-0.058473207,0.80925155,-0.16989334,-0.2728466,0.0019594245,-0.0075164703,0.13531077,0.06496615,-0.8205515
Gpr155,0.058751393,0.0026767682,0.064241946,-0.041088197,-0.020502802,-0.03874944,0.06404384,0.0043820012,-0.114296764,-0.15374821,0.03081587,-0.15077788,-0.12668341,-0.049626797,3.2287602,-0.018835116,-0.052189276,0.0046491455,0.11415866,-0.05836131,-0.078129195,-0.15515086
Wipf1,0.18159963,0.029055748,0.1300938,0.08620766,-0.35218695,-0.18522495,0.0028694186,-0.11807926,0.22445662,0.65651524,-0.34803623,0.17131259,0.03858695,0.09866981,1.0828185,-0.34378654,-0.16785148,0.097613335,0.096422255,0.114933826,0.049352463,1.1829509
Atf2,0.027258055,-0.022286164,-0.04066108,0.065996654,-0.058362573,-0.13997896,-0.019046377,0.016640868,0.14422646,0.36169833,-0.092587546,0.21759968,0.18529055,0.10664866,-0.6429132,-0.062244885,-0.052767254,-0.037090853,-0.031951573,0.05695675,0.015224431,-0.6385597
Nfe2l2,-0.058739584,0.1313279,-0.02178235,0.031932212,0.23210615,-0.13269787,-0.08770181,0.13266726,-0.07422168,-0.5211404,0.010469327,0.3160461,0.058839094,-0.064243324,-0.5470285,0.23137008,-0.17505653,-0.13824855,0.20238134,0.04771918,-0.033667937,0.9597978
Pde11a,-0.07229575,0.042235997,-0.020814814,-0.052864343,0.018738003,-0.028917763,-0.061357882,0.013032793,-0.07241087,-0.091967925,0.17231613,-0.07984042,0.15647344,-0.015504902,-0.10664461,0.020191336,-0.06209807,-0.02169049,-0.019318802,-0.001443019,-0.04295096,-0.097694725
Prkra,0.0219684,0.04904143,-0.040294196,0.12135872,-0.03998819,-0.047468748,-0.040061276,0.05381321,-0.029425254,-0.20128368,-0.08932206,0.24865301,-0.0067893965,-0.0507601,-0.21532767,-0.040375177,-0.04512775,-0.08381775,-0.030529737,0.0994418,0.03740571,-0.2067636
Fkbp7,-0.008101453,-0.012917817,-0.049609978,-0.047593296,-0.019784655,-0.058625598,-0.03637474,-0.0046332544,-0.123550445,-0.128825,0.01846879,-0.1255542,-0.06268696,0.06445608,-0.13278331,-0.018414024,0.09588247,0.005084458,0.030112505,-0.005797616,0.14761867,-0.13036951
Itga4,0.56324285,0.16206776,0.2272526,0.7445769,-1.3998954,-0.10579361,0.24670117,-0.25901952,0.242945,0.19910519,-1.5447224,0.6977282,0.112897046,0.35773262,0.90337247,-1.4077528,0.011476,0.3427921,-0.5852219,0.14605044,0.63465333,-1.4613446
Itprid2,0.020143887,0.019633878,-0.08631436,0.030036137,-0.022787316,-0.047750365,-0.0019104383,0.057376143,0.08169507,-0.23626925,0.02392341,0.45234907,0.11560638,-0.059099037,-0.23391177,-0.020162437,-0.046851538,-0.1322458,0.049134087,0.005720824,0.023478583,-0.23534936
Nckap1,-0.018080996,-0.024604235,-0.04210594,0.15200642,0.045458607,0.02787893,0.039591122,-0.0199063,-0.035220448,0.5999197,-0.11123742,-0.07333672,0.08142845,-0.03812595,-0.22026068,0.0486676,-0.09540463,-0.06076639,0.05075864,0.003325091,0.1977446,-0.21327639
Itgav,0.079357974,0.07270477,-0.037479132,-0.0053644483,-0.21696784,-0.037538867,-0.033465628,-0.031497873,0.12679562,0.97354597,-0.25771707,0.19696939,0.07224611,0.056486394,-0.42573807,-0.22045374,0.050933138,0.16889426,0.17749003,0.10813122,0.29342216,-0.42323416
Calcrl,-0.0025811268,0.051268283,-0.009115244,-0.011941901,0.29655388,-0.024722172,-0.0046249228,0.008020369,0.078732915,0.2560415,-0.059789393,0.08324861,0.034334257,-0.08101119,-0.29947567,0.30378598,-0.087172486,-0.0273481,-0.14239495,0.03141088,-0.047878906,-0.2869771
Selenoh,-0.40648004,-0.58836305,0.38538948,-0.5316559,-0.43357387,0.5356582,0.7480927,-0.34255713,-0.06766577,-0.5590206,-0.43782234,-0.6304569,-0.46671194,0.5069447,0.36884436,-0.43284246,0.5133793,0.9175459,-0.35372937,-0.12681101,-0.31750485,0.38093162
Ube2l6,-0.032569498,0.03902541,-0.05023849,-0.17606229,-0.18136527,-0.06429021,-0.00857482,-0.031762574,0.052329317,0.23405717,0.10074359,0.1201249,0.070191205,0.11956589,-0.26869318,-0.19059223,0.06857559,0.16931604,-0.19478783,0.11647754,0.39574584,-0.26909852
Fnbp4,0.068524055,-0.018436741,0.003837389,-0.07062497,-0.029285226,-0.033525657,-0.0868278,-0.028641652,0.0421421,0.2679605,0.019582637,0.23856923,0.11583003,0.1209934,0.75908464,-0.033103686,-0.036524273,0.004836751,-0.10908527,0.08660525,-0.0075147403,0.02724588
C1qtnf4,0.071952105,0.0241667,-0.07175615,-0.13766444,0.11859536,-0.062237784,-0.096192,0.017173283,0.07943189,0.4332689,0.0027534459,-0.089183964,0.0726037,-0.051797204,-0.21374497,0.113936424,0.060634296,-0.074365325,0.047020547,0.3606453,0.057711,-0.20565283
Celf1,0.21867076,0.10873131,-0.018853415,0.19820909,-0.085472,-0.19091484,-0.13188928,0.07765723,0.26827818,-0.7918775,-0.13220556,0.41346857,0.10675953,-0.009777389,0.0332282,-0.08205005,-0.27098322,-0.15054521,-0.022444293,0.19406413,0.14261545,0.642761
Slc39a13,-0.040210843,0.060797334,0.017124785,0.040046744,0.08680195,-0.026261885,0.00822024,0.06767346,-0.15485463,0.35212392,-0.083247826,-0.17834103,-0.066340916,0.007681806,-0.18126467,0.09010463,-0.06940367,0.010304942,0.18341658,0.10155495,0.01742769,-0.18028848
Spi1,-0.08507105,0.1288433,-0.061498713,-0.096869394,-0.07632233,-0.06800186,-0.059555013,0.09844792,-0.08029924,-0.09544356,-0.08055471,-0.08605244,0.15025818,-0.046270188,-0.10680868,-0.07867778,-0.072313376,-0.05946851,0.23378316,-0.05379299,-0.026301626,-0.09987819
Madd,0.08008761,0.14582159,0.06017295,0.023605635,-0.041858405,-0.087070495,-0.10711397,-0.15439853,0.12952329,-0.3004813,-0.11773337,0.036232855,0.28502956,0.21174708,-0.87680864,-0.031022636,-0.063215174,-0.09149822,-0.12068673,0.13071936,0.16371754,-0.8665283
Acp2,-0.037310947,0.05210222,0.050233986,-0.009176792,-0.0072734556,-0.002719826,-0.042209588,0.033533674,0.09529437,-0.19624664,0.010755274,0.113691874,-0.048406176,0.07893947,-0.1960747,-0.0049388283,0.013718923,0.06760818,0.27178076,0.029552633,0.094709955,-0.19617954
Ckap5,-0.20465812,-0.1526354,1.1379522,-0.13004455,-0.20125203,-0.20876974,0.10191716,-0.5202382,-0.32642022,-0.48423573,-0.2870136,0.028110914,0.3845925,1.3519545,-0.4681086,-0.20728175,-0.1296872,0.049756225,-0.3907143,-0.3573767,-0.2463382,-0.5656223
Zfp408,-0.061914787,-0.028006926,-0.06492394,0.023760164,0.17938654,-0.06753482,-0.028039716,0.045622133,-0.04543904,-0.16668972,-0.05736602,-0.16032307,0.07420874,0.0043118717,-0.17439462,0.18370855,-0.03180533,0.027660672,0.100938946,0.061912157,0.017325144,-0.16969615
Atg13,0.06531525,0.037971165,-0.08564446,-0.047294732,-0.019238107,0.0065710223,0.009214991,-0.018694183,0.19508052,0.022664806,-0.12033079,0.029181892,0.04932883,-0.061333682,-0.3480631,-0.027433477,-0.049483813,-0.08035219,-0.07745979,-0.005533819,0.04465736,-0.3436129
Harbi1,-0.034333237,0.06555974,-0.05687341,-0.114780046,0.10133271,-0.012784641,0.034313783,0.0059604202,-0.00943431,-0.2455128,-0.06474583,0.08464511,0.059720922,0.040850587,-0.24772371,0.09771897,-0.053731367,0.039736558,0.22415733,-0.001997772,0.054451138,-0.24637547
Ambra1,0.05825135,0.04979708,-0.00555118,0.01971833,-0.017085418,-0.068586655,-0.071621574,0.024041384,0.029149545,-0.36971676,0.13256934,-0.09869583,0.049432795,0.032286443,-0.38933554,-0.019229487,-0.083793394,-0.04135561,0.043762747,0.0012231315,-0.017619517,-0.37737197
Phf21a,0.35198116,0.26818636,0.0041669495,0.19618732,0.06849944,-0.22341736,-0.22689778,0.03436301,-0.056121726,-0.4551283,0.118656404,-0.17174964,0.25235775,-0.17338414,0.43268892,0.07554414,-0.27439097,-0.3420399,0.09386763,-0.1181998,-0.29006758,-0.6844854
Mapk8ip1,-0.00873186,0.029365523,-0.0031435906,-0.01882168,-0.060863853,-0.040784918,-0.055821028,-0.0118986,0.03779488,-0.059389323,-0.06031033,-0.05797559,0.04710434,0.01108623,-0.061100226,-0.06087216,0.04350847,-0.028708918,0.05989343,-0.01141419,-0.059112076,-0.060056914
Cry2,-0.026598047,0.0024703543,-0.09101139,-0.028535638,0.14856163,-0.015074745,-0.10414634,0.040927034,-0.03438496,0.6349901,0.057463225,0.04540644,0.028024191,-0.031078639,-0.20143841,0.1528583,-0.036379836,-0.05938088,0.07311216,0.005574573,-0.033999298,-0.19872886
Prdm11,-0.02382931,0.07911977,-0.094652995,-0.02593176,0.18385181,-0.010613289,-0.08211962,0.017968608,0.20560719,-0.19266549,0.12036143,0.23998074,0.08479687,-0.060052242,-0.20557691,0.184194,-0.10905481,-0.03922183,-0.037834026,0.018242555,0.027231451,-0.1977035
Cd82,0.23390236,-0.011425862,0.022108825,0.25868845,-0.43393022,0.08454836,-0.066612065,-0.08592123,0.09475928,0.732407,-0.6020953,0.50628406,0.117154464,0.14693789,0.68297404,-0.43065485,0.12258832,0.03173344,0.14420025,0.21955107,0.30302766,-1.1539032
Accs,0.006697592,0.07300443,-0.07996172,-0.018558007,-0.012626303,0.013629876,-0.07742169,-0.02750899,0.0023771413,0.47173047,-0.03489718,0.11561037,-0.004378761,0.027792484,-0.2725313,-0.011356851,-0.079881094,-0.0025109851,0.0028060875,0.002316166,0.22403911,-0.26858288
Ttc17,0.09587651,0.090513274,0.014196197,0.064322054,0.06981437,-0.056066822,-0.064911984,-0.03447484,0.043397456,-0.009463167,-0.025754316,-0.054592423,0.043253295,-0.014705683,-0.37997678,0.07522091,-0.123493426,-0.105817296,0.05569015,0.0031615354,0.0026219843,1.7427908
Gm10800,-0.033107404,0.008692382,-0.0044764406,-0.012024161,-0.031236107,-0.011395421,-0.031427544,-0.0011918979,-0.037079338,-0.04707958,-0.0511195,-0.040878344,0.009424263,-0.02634206,-0.054584313,-0.030996796,-0.03180603,-0.0036686913,-0.00993142,-0.011062583,-0.04586345,-0.050007906
Prr5l,-0.060801875,0.009831809,0.06354404,-0.062313143,-0.10504644,0.10512333,0.03974539,0.020166915,-0.041461557,-0.10882924,-0.106466465,0.4192965,-0.14187592,-0.050794724,-0.10444005,-0.10502513,-0.022180501,-0.04696223,0.073883966,-0.06370863,-0.004679702,-0.107116595
Trim44,-0.058943167,0.0534198,-0.15933871,-0.0969913,0.2849208,-0.010904484,-0.12673958,0.06264783,-0.07847594,-0.31078163,0.22566088,-0.009323928,-0.043782473,-0.089937,-0.62361467,0.27193895,0.015541037,-0.09025321,0.20861009,0.08099555,0.3322281,0.7113829
Cd44,0.43357185,-0.021788325,0.14436448,-0.14972045,-0.7442261,-0.0992814,-0.05178966,-0.07650486,0.18674932,-0.45023426,-0.49516875,0.48295137,0.10544785,0.36711675,0.13593327,-0.744179,0.13470158,0.047792878,-0.040380564,0.16694938,0.60478026,0.18216187
Abtb2,-0.04289068,0.08449409,-0.038172696,0.19035079,-0.06327492,-0.019767534,-0.0644051,-0.030747069,0.12945758,0.23774593,0.03560924,-0.33552775,0.0892336,-0.012638746,-0.48031455,-0.0627927,0.007793988,-0.041947667,-0.039991125,0.063205406,-0.0532715,-0.468899
Lmo2,-0.07051818,0.090151526,-0.05054025,-0.10551577,-0.093597166,-0.03271723,-0.024258588,0.07525187,-0.08460903,-0.09684289,-0.10178516,-0.08925657,0.2647521,-0.03958568,-0.10602386,-0.10480004,-0.078157894,-0.08443135,-0.0068658204,-0.057721045,-0.08092636,-0.10042528
Qser1,-0.08906141,0.058019485,-0.028955521,-0.09364547,0.1199204,-0.030602839,-0.057141077,0.043238845,-0.021308891,-0.085442424,0.060953267,-0.07826706,0.08648649,-0.022612657,-0.09412604,0.12250892,-0.03519088,-0.07370324,-0.04245883,-0.05027667,-0.084035255,-0.08883074
Prrg4,-0.037646867,0.019159708,-0.04694458,-0.060903836,-0.0024775688,-0.012971648,0.0055071204,-0.008559371,-0.07753623,-0.08637572,0.056005478,0.44907752,-0.036430407,-0.056733098,-0.09300936,-0.0014021808,-0.07287501,0.03937229,-0.05353943,-0.026260385,-0.075491354,-0.08896414
Ccdc73,0.014839562,-0.013397365,-0.021161,0.0074727423,-0.053047217,-0.02690552,-0.0260227,-0.0077655055,0.00477598,-0.13133669,0.034764215,-0.12258131,-0.051560298,0.03782605,-0.14193243,-0.052018188,-0.014462897,-0.09647728,-0.041856796,0.065916,0.02707214,-0.13547112
Ccdc34,-0.37630168,-0.45966285,0.8213443,-0.2611231,-0.23186402,0.4436455,0.19604735,-0.27456847,-0.26691064,-0.5152668,-0.3280677,-0.6219125,-0.41744658,0.95046,-0.42031324,-0.2305207,0.38032675,0.10377984,-0.18553482,-0.41817623,-0.26979434,-0.5456124
Slc12a6,0.10129529,0.2159964,-0.008342002,0.27546036,-0.06603162,-0.17317863,-0.14000101,0.0028569836,-0.10242506,-0.08565562,-0.13312279,0.25864974,0.14139576,0.093062446,-0.6046182,-0.06775679,-0.14150952,-0.15714921,0.07537375,-0.034186356,0.13560547,-0.57244116
Ryr3,-0.035966393,0.014064486,0.025562175,-0.020593546,-0.08319841,-0.051150218,-0.019045146,0.00079814874,-0.061734118,-0.07476827,-0.049861062,-0.06668568,-0.0011221131,-0.026003864,-0.0845498,-0.08324592,0.009934683,-0.028140102,-0.02634998,0.13567092,0.043175664,-0.07858499
Scg5,-0.04013411,0.038892053,-0.029103749,-0.071544304,0.052292608,-0.03528081,-0.02677093,0.004661017,-0.046961565,-0.061346494,-0.067157745,-0.052426275,0.01993192,-0.031516436,-0.07214173,0.053759698,-0.03937613,-0.046752643,-0.007910418,-0.045772746,-0.036342997,-0.06555876
Rasgrp1,0.22557913,0.31211668,0.11275586,-0.05349975,0.35108492,-0.17101987,-0.2338691,0.016560199,0.40728062,-0.73830146,0.047149815,0.29590797,0.13552335,-0.077701196,1.8404511,0.34930348,-0.2817414,-0.32335752,-0.019818187,-0.048680205,-0.12679198,0.12852117
Thbs1,-0.024593705,0.043560725,-0.033473685,-0.033079542,-0.01509889,-0.03341632,-0.03338334,0.01236082,-0.03330784,-0.03317425,-0.03312028,-0.03325709,-0.033929072,-0.033451278,-0.033073995,-0.021814222,-0.033378284,-8.640744e-05,0.101912476,-0.008172664,-0.033190496,-0.03313513
Bmf,-0.061035343,-0.002357748,-0.0075904364,-0.07504317,-0.003376953,-0.047640767,-0.059502427,0.018393995,-0.016350154,-0.11551422,-0.03170033,0.8453084,0.14589974,-0.013968185,-0.12886277,-0.0019136264,0.07497508,-0.034079522,-0.00066175644,0.050564922,0.17696707,-0.120722786
Plcb2,0.041023184,0.17052397,-0.059424795,0.051186,0.2260843,-0.120671764,-0.10703256,0.047352076,0.21888606,-0.3735222,0.16547292,-0.16752742,0.009104736,-0.14774641,-0.41241413,0.22857204,-0.15781021,-0.16887526,-0.082991175,-0.060399264,-0.14769906,1.2704754
Ivd,-0.019596465,0.024023406,-0.068777405,-0.09192055,0.2654621,-0.07986311,0.023720933,0.10937729,0.12445942,0.0069395034,0.23994567,-0.14296305,0.12403986,-0.0596152,-0.30821386,0.25606185,-0.17940108,-0.12427963,0.0144881625,0.13350481,-0.11069178,2.1201396
Bahd1,0.0041260724,0.08412967,-0.06325223,0.05946848,0.10299805,-0.06225668,-0.08840818,0.08699627,-0.007349507,-0.26255023,0.019821411,-0.25469986,-0.086395636,-0.053934876,-0.27205074,0.10757112,-0.03247478,0.054270264,0.023123974,0.018112473,-0.086354114,2.0937927
Knl1,-0.31809813,-0.32014892,1.3716414,-0.23010947,-0.25623938,-0.03263057,0.079467416,-0.47673202,-0.44328123,-0.03670776,-0.3293864,-0.24541064,0.18118677,1.6349659,-0.27558914,-0.2585447,0.094624504,0.042520616,-0.48339966,-0.504003,-0.3104146,-0.4037512
Rhov,-0.014146841,0.04874212,-0.022910142,-0.049171012,-0.049042627,0.008962879,-0.044473294,0.06591263,-0.045640793,-0.047706548,-0.048541076,-0.046425555,-0.03603451,-4.1062973e-05,-0.049256805,-0.049050156,-0.04455148,-0.04561079,-0.040032826,-0.02029349,-0.04745533,-0.048311457
Ino80,0.0077964105,0.04065617,-0.08128683,0.012926936,0.19807512,-0.107237265,-0.07533737,0.0013932488,-0.090703316,-0.2815664,0.02329374,-0.2529966,0.074170515,-0.021625614,0.8093433,0.19979145,-0.13113354,-0.11674085,0.05448873,0.16333683,-0.0094375545,0.63215864
Nusap1,-0.30071616,-0.016434576,1.8930589,-0.1853584,-0.23489493,0.032508772,-0.48644674,-0.7914581,-0.4261693,-0.41834638,-0.257379,-0.46490422,0.47960854,1.9788408,-0.2467971,-0.23621558,0.13391954,-0.48354825,-0.72097695,-0.48560467,-0.31045917,-0.35140836
Mga,-0.052485093,0.14552997,-0.0880765,-0.032053623,0.45547384,-0.117135584,-0.13890235,0.072081834,0.021808496,-0.38225052,0.20210892,0.0062496536,0.1251877,-0.04017515,0.5547567,0.4597073,-0.08694522,-0.16522253,-0.0310451,-0.03501383,-0.15003979,-0.61709046
Mapkbp1,-0.040855974,0.057333823,-0.039237216,0.054913867,0.021333847,-0.05422237,0.010593597,0.024110083,0.035496704,-0.16156183,-0.019378366,0.5272224,0.06725748,-0.0007539738,-0.17382671,0.013374471,-0.009541032,-0.07995178,-0.046174612,0.037756067,-0.011759702,-0.16634755
Ganc,-0.04092034,0.09615052,-0.05431031,-0.08143763,0.06669462,-0.12555088,-0.05208837,-0.040536273,0.04853409,-0.005393967,0.017745746,0.6900517,0.09253568,0.06664177,0.6932487,0.07226805,-0.06819142,0.039574537,0.025291506,0.18021764,0.048556503,-0.38275266
Ttbk2,-0.014326762,0.024095897,-0.0011494412,-0.025385825,0.017934022,-0.06719544,0.0059199175,0.011129353,0.011358955,-0.09300214,-0.066460185,-0.087325394,0.011946231,0.009502833,-0.09987214,0.014514745,-0.064959586,-0.08371474,-0.058995876,0.0049789515,-0.02901111,-0.0956828
Ubr1,0.15313885,0.05299898,-0.06098091,-0.058970224,0.138437,-0.08433447,-0.102274194,0.0526065,0.06028556,1.1507403,0.06385142,-0.21913941,0.076557584,0.03304063,-0.581088,0.1412715,-0.073258236,-0.06858498,0.116221555,-0.023952888,0.035073537,-0.5717376
Ccndbp1,0.16600789,0.115687,0.0279945,0.23202701,-0.33147418,-0.20696215,0.0045632524,-0.10275014,0.24601072,0.34422737,-0.28861582,0.14818107,0.19747698,0.02566468,1.1145704,-0.33412826,-0.073168255,0.15315965,-0.04254499,0.06862166,0.08183996,-0.93252146
Zscan29,0.012569496,0.04955822,-0.024713373,0.050199922,-0.01649146,-0.07246516,0.03218379,-0.026618464,0.07870901,0.89922893,-0.03427805,0.81211936,0.07426617,0.057038352,-0.34691525,-0.013901966,-0.053536817,-0.049414996,0.106472924,0.012960979,0.010445719,-0.345707
Pdia3,-0.20436692,-0.46908414,-0.011349406,-0.39000276,-0.45047194,0.68741834,0.7200383,-0.20262444,0.026466742,0.051730562,-0.53455704,0.38874984,-0.6135398,-0.18375719,-0.3168572,-0.443285,0.43897125,0.63610375,-0.32004604,0.013317618,0.115437046,-1.957756
Frmd5,-0.026210815,0.035198137,0.013063431,-0.010131205,-0.041962463,-0.014101799,0.0054379944,-0.0018334491,-0.04861455,-0.044575088,-0.042943217,-0.04707999,-0.067399055,-0.052951727,3.3064666,-0.04194774,-0.015499825,-0.048673216,0.0016776575,-0.048948385,-0.045066327,-0.043392226
Casc4,-0.012923373,0.03468181,-0.064207494,-0.021406902,0.16974421,-0.0053827055,-0.0511313,0.106069885,-0.020671839,-0.056688495,0.18714918,-0.08425255,0.082502715,-0.0992674,-0.32382843,0.16756503,-0.05107888,-0.08190346,0.07094718,-0.04221213,0.015069797,-0.32637018
Shf,-0.0949005,0.11161011,0.021205435,-0.013988521,-0.02965937,-0.01690549,-0.070141636,-0.008716526,0.20905463,-0.12346799,0.24988487,-0.11704859,-0.064976305,0.00629204,-0.13123673,-0.028454915,-0.06254773,-0.112965584,0.0021082822,0.07426651,-0.057835504,4.5442786
Slc28a2,0.11435884,0.11225539,0.014492454,-0.0072411937,-0.010421244,-0.15983438,-0.102917776,-0.039523996,0.080385,-0.18336706,-0.06360256,0.84151727,0.08628025,0.00056861754,1.1927971,-0.013463398,-0.12756677,-0.04560074,-0.056753572,0.07800925,0.069033995,-0.5214621
Slc28a2b,-0.20158023,0.09565843,-0.07530012,-0.21872136,0.51228464,-0.10532369,-0.11757102,0.03063484,-0.14793004,-0.19397801,0.7221854,-0.16542327,0.06620449,-0.087573774,-0.22853495,0.5139317,-0.12364809,-0.14726126,-0.001964737,-0.029625628,-0.18837811,-0.20746203
Gatm,-0.035192527,-0.051826805,-0.0036682598,-0.01565443,-0.036903746,-0.02569079,-0.06220716,0.02034847,-0.017581545,-0.056282625,-0.051144157,-0.064170115,0.056443404,0.06748468,-0.04673719,-0.036719553,0.032697134,0.019848105,0.22811799,-0.027519997,-0.04638049,-0.05255802
AA467197,0.2584318,0.020290108,0.19386852,-0.107908376,-0.5449065,0.13018408,0.3112876,-0.24971448,-0.48960772,0.82388073,-0.4807245,0.8952274,-0.10510246,0.14407378,0.33806702,-0.5447574,-0.09407591,-0.007447659,-0.303414,-0.47366074,1.0715513,-0.5566201
