gene_name,0_A,0_C,0_N,10_A,10_C,1_A,1_C,2_A,2_C,2_N,3_A,3_C,3_N,4_A,4_C,5_A,5_C,6_A,6_C,6_N,7_A,7_C,8_A,8_C,9_A,9_N
Cnn3,-1.1968298,-0.6348797,-0.20075618,0.0997704,0.77889884,-0.38059688,-0.5036631,-0.7825665,-0.11292364,-0.14330786,2.976497,-0.062248852,1.9324588,-0.21621138,-0.3920093,-0.3451719,-0.43931422,0.53265095,0.7048654,-0.4812872,-0.8270935,-0.34994486,-0.4271004,-0.8132577,0.54307723,-0.23014614
Arhgap29,-0.5381163,-0.36431465,-0.12151144,0.10983643,-0.48289934,-0.25162968,-0.1146111,-0.25693345,0.035610914,-0.05001472,-0.13362768,0.036136575,0.08470044,-0.00092073146,0.186538,-0.0055874432,-0.14521137,0.057553437,-0.124174826,-0.21557808,-0.1190446,-0.13789989,-0.18440717,-0.41141358,-0.16621485,-0.10944776
Pde5a,-0.32481578,-0.39116016,-0.109975934,-0.4145079,-0.9250223,-0.26295832,-0.13805495,-0.13310108,0.052794084,-0.03637511,1.697408,0.048378035,-0.09098577,0.75434196,-0.060500767,0.22021651,-0.037258744,0.45648718,-0.52185893,1.4392897,-0.17377062,-0.06904514,-0.17641157,-0.29259488,-0.029824475,-0.10055766
Usp53,-0.27026677,-0.32963592,-0.32311875,-0.13043857,0.20591295,-0.5182546,-0.28478405,-1.1846116,-0.36383703,-0.28707564,1.3511062,-0.22427131,1.1509014,0.16405563,-0.24098383,-0.44931093,-0.37012511,0.35445634,-0.5280349,0.80641866,0.17597947,0.80860716,-0.93460715,-0.14958112,0.59214497,-0.45867717
Prss12,-0.7365952,-0.46436653,-0.16050048,-0.0659845,-0.14141597,-0.33943576,-0.39150897,-0.37024286,-0.035253093,-0.09594521,-0.23724434,-0.0112311775,0.6064998,-0.07040748,-0.20008133,-0.22476368,-0.27793956,0.4265238,0.14990383,-0.34150904,-0.5790445,-0.25129065,-0.2901673,-0.59952253,0.4600425,-0.16449867
Camk2d,0.3289622,-0.6028213,-0.66054434,0.80132097,0.7714942,-0.6030582,-0.10256122,-0.25154552,-1.0204562,-0.6839979,-1.3652058,-0.65451974,1.4080344,-1.0574341,-0.74279195,-1.7931834,-1.7084848,0.24490932,0.79148924,-0.880346,2.716465,1.3424424,-0.2954668,-1.0295826,0.70729256,-1.0198501
Tifa,-0.3676279,-0.31481224,-0.10906371,0.024859712,0.47988403,-0.29419586,-0.33278444,-0.16530058,0.059411906,-0.035366524,-0.096947275,0.05181084,-0.14734478,-0.0076187016,0.11814265,0.06484938,-0.068198,0.77771103,-0.11319204,-0.17282423,-0.38486508,-0.31662536,-0.14339535,-0.33597016,-0.107188635,-0.08957088
Fam241a,-0.66457415,0.34580287,1.3071843,0.7238121,-0.49307513,-0.62260795,-1.1512371,-1.4856312,1.4930447,-0.6367288,1.5643983,2.4900942,1.1863265,-0.4859514,-0.9924965,-0.6332117,-1.0504909,1.2093654,-0.83104855,-0.45942008,-1.0386702,-1.7693765,-1.2018363,-1.2602972,4.8331947,-0.96350455
Elovl6,-0.80956185,-0.48021564,-0.24243803,-0.5360913,-0.8583051,-0.51842684,-0.6833833,-0.9468631,-0.21349944,-0.19208011,-0.047757965,-0.12451947,0.9444888,0.25758478,-0.46114442,0.065154456,0.19385123,0.9401425,0.22488455,-0.6696685,1.5760603,0.3739867,-0.05946345,-0.8100642,0.9283792,-0.33752906
Egf,-0.76754075,-0.48734248,-0.1497739,-0.42795035,-0.54052883,-0.19449654,-0.27707493,-0.3589523,-0.019141687,-0.08326384,-0.21908993,0.0002142856,0.4990293,0.0066890307,-0.027987951,-0.08957339,0.0670661,-0.10865855,0.061466828,1.3200679,-0.4236798,-0.17975387,-0.28191233,-0.035292562,0.22208773,-0.15597156
Lef1,-1.4112887,-1.3909973,-1.0012274,1.36164,1.5361367,-0.92494184,-1.5637072,-1.5719368,0.9311633,-1.0846885,2.6936815,2.0155666,3.8987756,-1.7303016,-1.3485675,-1.531486,-2.0676317,0.53861755,-0.7069898,-1.4721255,0.8910722,-0.70069045,-0.6751349,-2.3100357,4.7477145,-0.16182308
Tbck,0.3426232,0.5322792,2.8334417,0.21750525,1.048833,0.1897345,0.6577162,0.11192562,-0.49567392,-0.36479282,-0.5335103,-0.31006002,0.19854085,-0.47148323,0.3598083,-0.5673668,-0.76839066,-0.4305015,-0.32133272,-0.6970307,0.18033051,-0.13978672,0.6222932,-0.029619766,-0.0724647,-0.57487357
Tet2,0.5346527,-0.38999343,2.8990188,0.12491902,0.5118832,-0.23167522,0.51137143,0.42231935,-0.78649586,-0.5390296,-0.7210507,-0.5001484,-0.35964298,-0.6226463,0.04311677,-0.614947,-0.762332,-0.073720165,0.3720461,-0.43740517,0.65412945,0.9056739,-0.064881526,0.7995133,-0.033240315,1.9304327
Cenpe,-2.408568,-1.7057287,-0.2678466,-0.70766133,1.7511106,8.056102,7.167287,-1.348256,-0.36388263,-0.22062467,-0.18242522,-0.20422532,-1.0293484,-0.15893997,-0.6726667,1.4664488,1.4661453,-5.8709126,-4.0414467,-0.9774291,-2.1505063,-2.1448152,-1.0131245,-1.7798249,-1.1767809,-0.5771688
Manba,0.08848655,-0.27645236,-0.2981606,0.3835256,0.068764836,-0.17372118,-0.2926371,0.3940054,-0.31083393,-0.2577758,0.34849805,-0.19036865,-0.0030031893,-0.098045565,0.027891101,0.067528516,-0.4796758,0.06191778,-0.2607109,-0.84110636,-0.22847137,0.37641627,0.35197303,0.6657808,-0.023203418,-0.40849605
Nfkb1,0.40719795,-1.1208962,0.9996214,0.10094015,0.12499631,-0.8982192,0.37102205,0.22767188,-0.23516928,1.2808099,1.3745975,-0.8257479,0.2509659,-1.0488553,-0.35124338,-1.735542,-0.36013955,0.20884815,1.3997506,1.5141975,1.39025,1.5554694,1.6445178,-0.3346321,0.014348392,0.4290193
Bank1,-0.7685365,-0.50349146,-0.17094146,0.16038522,0.949982,-0.27695724,-0.34966874,-0.54708123,-0.055056438,-0.10823406,-0.26752004,-0.024303272,-0.22452827,-0.04451315,-0.20185558,-0.24880919,-0.33780912,0.28826436,0.15413532,-0.3770225,-0.0343667,-0.32858035,-0.3235783,-0.4850479,-0.26528367,-0.18085702
Ppp3ca,1.2198197,0.44003478,0.87371635,0.33165857,-0.5666712,0.97107923,-0.5284846,2.2494524,0.18553069,1.1323595,-0.0014247526,-0.8820377,-1.0764793,0.698244,-0.24694395,-0.13459957,-1.1115938,0.2896394,0.22497979,1.3330792,-1.8381914,-1.8829578,0.3818937,-0.38113832,-1.2712636,-0.48233914
H2az1,-2.7134447,-3.3085785,-1.0189594,-3.9625962,-3.9386299,3.7350209,3.333847,1.466147,1.0185016,0.18690808,-2.1873283,-0.8273657,-3.8906338,5.00613,3.9254377,5.787993,5.266759,-3.6282651,-1.8338472,0.88405883,-1.6727778,-2.194231,-1.0967501,-0.44761398,-3.8322732,-0.66801816
Dnajb14,-0.70862055,-0.5589457,-0.23727192,0.27584592,-0.62552994,-0.50902516,-0.36702305,0.063538514,-0.18917528,-0.18619311,0.72408825,-0.111243695,1.3320988,0.2667604,-0.4656311,0.18309438,-0.508283,0.7457676,0.18849112,0.9638082,-0.9249122,-0.6304063,-0.5870093,-0.2523641,0.32092172,-0.3010307
Pdlim5,0.4645913,-0.14427069,-0.41159508,0.26551273,-0.8910537,-0.0060476763,-0.29174057,1.0585594,5.056846,-0.3910335,0.47968003,-0.34127674,-0.3247386,0.102055825,-0.2739429,0.6372531,-0.04492169,-0.15105122,-1.3421999,0.94605154,-0.41674802,-0.50760204,-0.2920302,-0.49244592,-0.55738574,-0.6233045
Gbp5,0.40197343,0.3134173,-0.3188159,0.5093133,0.62980884,0.19377653,0.32539237,-0.48252013,-0.35376194,-0.2820367,1.6810387,4.1109104,0.46440816,-0.8268902,0.038042445,-0.45223132,-0.2759816,0.18532167,-0.017167302,0.23729287,-0.14659832,0.162838,0.1091501,-0.6305107,0.14152469,2.026309
Gbp7,1.7348328,2.6556494,0.7728177,0.6290649,0.426998,0.6524829,0.12623467,0.15588325,0.4471418,-0.9149092,1.2499427,0.86360335,-0.8538727,-0.74746835,-0.94181925,1.5549994,0.16604623,-0.67432773,-0.33478412,-0.1725184,-1.0089946,-0.41073266,1.7883385,1.3045261,-0.9449055,1.2749974
Gbp2,0.98789316,0.30126783,-0.57816815,1.1993154,1.0276424,-0.40855658,-1.1097611,-1.6232252,2.8270345,1.7581825,0.1317837,1.6221423,0.72072524,-1.2881671,-1.5984807,-0.027747907,-1.3225231,0.49309698,-0.17611499,-0.07051852,0.10686736,-0.24939752,-1.7605199,-0.33687773,2.8279989,0.16444504
Pkn2,0.1918057,-0.30990863,-0.7115104,-0.73314387,0.32803193,0.31747636,-0.027828192,0.16379778,-1.1518333,1.5501373,-0.50831896,1.3840636,0.10285652,0.37786862,0.18912622,-0.23871802,-0.47893527,0.23680888,-1.0529785,0.19657941,0.3165266,-0.9025936,0.13196579,-0.31762546,0.12506457,0.043501996
Lmo4,-1.407197,-0.52049345,-0.3584193,-0.20299913,-1.4658343,-0.56497043,-0.2660054,-0.20825584,-0.45590657,3.1326132,1.2836062,-0.28023836,0.7474127,1.40595,0.7955196,-0.17100804,-0.1689192,0.5124732,-1.0363219,0.3743163,-1.4699438,-0.66615856,0.014518097,-1.1306983,0.53423625,-0.5630962
Syde2,-0.5258124,-0.3751353,-0.11827581,-0.5290274,-0.62679625,-0.24081351,-0.35540852,-0.2379589,0.04021014,-0.04618596,-0.1289489,0.039466858,-0.04876476,-0.048640497,-0.16683543,-0.05799551,-0.1719204,0.27561438,-0.25417894,-0.20790324,0.71369946,0.020742701,-0.18352248,-0.29982546,0.888888,-0.1073854
Spata1,-0.11699275,1.4651991,-0.21350764,0.04185507,-0.6877264,0.0035293181,-0.30642128,0.058055036,-0.14462659,-0.15821597,-0.41797376,-0.08173685,0.16118096,0.12315124,-0.018152181,0.07589539,-0.0817682,0.34386346,0.35787964,1.1080691,-0.69679654,-0.13063075,-0.51419586,-0.12937164,0.42781416,-0.26482445
Prkacb,0.7095959,0.8390379,-0.7593979,0.27795774,0.15172212,-0.2214564,-0.528018,0.27660012,1.1977081,2.4189873,0.15503101,-0.7866466,0.4500522,-0.66986334,-0.6577717,0.4292146,-0.2316838,0.2859641,-0.30904016,-0.07082928,0.6909931,0.19809268,0.54387736,0.3584232,-0.47758186,-1.2096199
Ifi44,-0.39776206,0.70910704,-0.18620197,-0.10117403,0.52234626,-0.32576698,-0.35313234,-0.60655236,-0.09028267,-0.12611173,-0.33098507,-0.0463535,0.26026425,-0.14263572,-0.33886993,-0.15718408,-0.3323213,0.7265952,-0.3653933,-0.44253463,0.2927487,1.0414908,-0.41109386,-0.15412806,0.3293331,-0.21705014
Dnajb4,0.074606925,0.44680968,-0.4439266,0.39556053,0.21118452,0.3828052,-0.4571047,0.80468345,0.9863157,-0.4290997,1.5911931,-0.3813134,-0.15769634,-0.03320013,-0.14118455,0.13551839,-0.04873792,-0.17043206,-0.21918856,-0.44159287,-0.6766359,-0.30713934,-0.4738804,-0.5346148,-0.29613537,-0.6721144
Fubp1,-1.2576357,0.9192444,1.2281353,-1.2851311,-0.20981202,-1.0453193,-0.15867874,-1.5880896,-0.29513097,-1.0691338,-0.7319734,-1.1045979,1.2744272,0.551283,1.9318794,-0.8642951,0.34016734,1.0647941,1.4244645,-0.128825,0.20083204,1.0713999,0.57558686,0.6055776,0.89762074,0.49770838
Miga1,-0.60796005,-1.130178,-0.28347084,-0.058535542,-0.26334056,-0.73687565,-0.43252105,-0.11422863,-0.28222921,-0.24049605,0.5829527,-0.17162897,0.79877275,-0.22828934,-0.47104082,-0.483987,-0.11372489,0.94047827,0.628607,-0.78953266,0.8304403,0.19270813,-0.7682757,0.5543871,0.6221393,-0.38402864
Usp33,-0.07717526,-0.23878041,-0.29573762,-0.33209234,-0.49678284,-0.25218874,-0.09533072,-0.29685324,-0.31601107,-0.25479382,1.3781027,-0.19191535,0.6654415,-0.06070387,-0.69462615,-0.045702778,-0.13672228,0.5406312,0.25945973,-0.04856857,-0.03049162,0.3237997,0.8341782,-0.070194885,0.6445893,-0.4238102
Zzz3,-0.23392498,-1.0973028,-0.44960883,-0.08301761,-0.6312784,-0.7148847,0.06129654,-0.39200726,-0.62550014,-0.43566254,0.78646797,-0.3928304,0.84420556,-0.12205659,0.14770441,-0.33280572,-0.39889163,0.4454201,1.1054944,-0.034241803,0.7004105,0.501542,2.478363,0.028894156,0.29509974,-0.69938695
St6galnac3,0.2808519,-1.0710981,-0.30919018,0.02517917,0.476208,-0.61489403,1.1128304,-0.67356485,-0.32059255,-0.27090606,-0.6785574,-0.1989467,-0.59574974,-0.76564586,-0.049402494,-1.0784158,-0.87149465,0.29401696,0.6316208,0.3264763,0.45686868,2.1223104,-0.78642225,6.1809516,-0.20127752,-0.4039514
Fpgt,-0.2560086,-0.9454268,-0.23642881,-0.32821485,-0.24587967,-0.542648,-0.59424305,0.0028334633,-0.1924373,-0.18513608,-0.4977017,6.3211217,0.54947037,-0.22047439,0.017357545,0.23676807,0.4958649,0.5324316,0.34470496,-0.6282965,0.31322023,-0.009515804,-0.6142454,-0.40288165,0.4854842,-0.30921555
Ankrd13c,0.3190393,-0.980091,2.0547144,-0.68439263,0.6084207,-0.5647275,0.00890123,-0.12043154,-0.69726974,-0.48035574,-0.5394829,-0.44025257,-0.12801833,-0.23737775,-0.47161663,0.3164967,0.5927403,0.04832413,-0.11538754,-1.1244168,0.94231415,-0.026037432,0.28650042,0.6174047,0.2973896,-0.75839186
Wls,-1.1235644,-0.6374305,-0.2895568,0.39065698,0.094944224,-0.51573664,-0.22391684,0.3222828,-0.2842896,-0.24778545,-0.36136,-0.17480421,1.4195129,-0.39360517,-0.2049951,-0.6302556,-0.68338823,0.5206176,0.07134719,2.47074,-0.5779099,-0.020026108,0.42637554,0.11215797,0.6159988,2.4956067
Lyn,-0.8846556,0.69493634,-0.18280129,0.8466123,0.33312115,-0.3348157,-0.116969146,-0.41474944,-0.08670567,-0.12207092,0.61279726,-0.043442357,-0.41609916,-0.039627906,0.109781876,-0.10715691,-0.24650402,0.9401022,0.8754242,-0.43719053,-0.7448156,-0.13942242,-0.41790357,0.19526114,-0.44437662,-0.21734029
Rps20,-4.9440975,-1.4714978,-2.1852512,-1.178638,-1.9161758,-1.821291,-1.3852736,-6.6935196,-0.910522,-0.0065900283,3.1592646,2.5765138,5.0929403,0.9388302,0.28068784,-1.4050913,-1.4983373,1.544905,1.0988634,1.9345721,2.9983194,2.872352,-1.7685608,-0.8683682,5.7872596,1.9114816
Plag1,-0.04900556,-0.46609133,-0.14222808,-0.26722938,0.046540726,-0.028484566,-0.22909418,-0.25131896,-0.005300426,-0.07437629,0.6313613,0.009440957,-0.08438246,0.4554106,-0.0031332339,0.10889601,0.16756842,0.21140961,0.005949404,-0.28954765,-0.22692975,-0.3960904,-0.26066497,-0.32782254,-0.060416702,-0.14506985
Nsmaf,1.8737671,-1.1788207,1.4714365,-0.7137499,0.08249726,0.39298433,1.0025464,0.32938007,-0.96554756,1.8379182,-1.7520546,-0.61373323,-1.4271544,-0.13343456,0.38212317,0.37296876,0.71333826,-0.9124692,-0.46919683,-1.0240972,0.6832518,0.56494063,1.1898366,1.5489753,-1.5229203,0.080239974
Tox,-2.0230184,2.6128366,3.7527537,-1.4533753,4.1301746,-1.4705037,4.3020115,-2.395561,-0.67827904,-0.47466558,-0.86742854,2.6763,0.17071965,-1.9465457,3.6097674,-2.5949278,1.2370151,-1.6566209,2.0063145,1.3489896,2.3089888,6.74876,4.93978,4.3330784,-0.43159735,0.475926
Chd7,1.1569531,-1.3607537,1.3542837,1.5814043,0.4633193,0.51147723,-0.33898643,1.8277134,-0.63363075,-1.0069997,0.09276247,-1.0161455,-0.7719686,-0.3516328,-1.147962,0.19662048,-0.41845047,-1.1004114,-1.4147494,-1.312648,-1.101081,-1.546079,0.44195023,-0.4373248,-0.35841915,1.1136465
Asph,-0.3887698,-0.5508147,-0.15158586,-0.22538783,-0.5958611,-0.297918,-0.24725835,0.04918161,-0.026377156,-0.085345894,-0.23596333,-0.0038346574,0.1540638,0.51522523,0.101917185,0.11404221,-0.4632469,1.063861,1.0149244,-0.32858473,-0.22674799,-0.43226987,2.2963927,0.10802438,-0.32998958,-0.16623875
Trp53inp1,0.60789216,0.76334494,-0.57029885,1.16281,0.61953396,-0.23326126,-0.568856,1.3386158,-0.82707745,-0.5780763,-0.47238445,-0.531123,0.21144696,-1.247438,-1.6104373,-0.23275086,-1.0478402,-0.18465282,0.2689855,-0.37484282,1.7075804,0.53938454,-0.75251037,-1.0759197,-0.1731671,-0.8350259
Gem,-0.011536279,-0.2961133,1.5763034,-0.054978367,0.12004397,0.7489207,0.86384076,0.8291831,4.7564445,-0.47143474,-1.2895021,-0.43051505,-1.6644691,0.33756593,0.5402772,-0.13683511,0.45720592,-1.0021542,-0.9974195,2.3190975,-0.86289746,0.15165775,-0.07094854,0.56792045,-0.6827783,-0.74550337
Cdh17,-0.1838721,-0.43276253,-0.10251693,-0.49341482,-0.6961199,-0.15493569,-0.27070242,0.22969604,0.06228019,-0.027533928,-0.10717107,0.05553203,-0.14044267,0.26586092,-0.17007807,-0.16526203,0.0066986354,0.93767715,0.23576526,-0.17123856,-0.6063041,-0.21238038,-0.18124656,-0.21516751,-0.12169489,-0.09798638
Rbm12b2,-0.5957685,-0.3248183,-0.2596323,0.09533697,0.18999222,-0.10008988,-0.2663849,0.15908232,-0.24112543,-0.21238384,2.1531806,-0.14370973,0.16823936,0.25984687,-0.07536139,-0.10257966,0.7999473,0.04770967,0.26736316,1.8240166,0.028753549,-0.22774094,0.17554171,0.4494533,0.23263684,-0.35471776
Tmem64,-0.4214023,0.13832493,-0.23440321,-0.37397707,-1.1621264,-0.7292214,-0.5724028,-0.08180834,-0.19271542,-0.18269709,1.1960123,-0.11186133,0.40674916,0.83532673,0.14565597,-0.16706276,0.092978664,1.0348514,-0.26404786,-0.6303305,0.81174636,-0.03597669,0.39919898,0.045326438,0.07900592,-0.31409863
Mmp16,-0.805853,-0.66391957,-0.251511,-0.6228009,0.09982971,-0.87590873,0.82377434,-0.5209769,-0.22568534,-0.20282573,-0.5556333,-0.13352476,0.6258966,-0.42115045,1.8035395,-1.0649589,1.3771608,0.24809727,0.112531096,0.1872703,0.20297047,1.6867999,-0.6910914,2.266715,-0.8427411,-0.34192225
Cpne3,0.2590929,0.7249326,-0.44905308,0.54752916,0.23630758,-0.5360265,-0.2638967,0.9440688,-0.6144815,-0.4351411,-0.46839535,-0.3874645,-0.08556079,-0.6376107,-0.12680891,-0.31259388,0.6843696,0.34659848,0.5451037,2.2605333,0.896329,0.4387694,-1.4101712,-1.1342696,-0.025176216,-0.6790311
Wwp1,0.30259436,1.7745109,-0.36166528,0.32892907,0.22331902,-0.26384377,-0.6793041,0.58612615,1.5323163,-0.33234346,-0.7127929,-0.27607647,-0.23504883,0.1500415,0.24504086,0.119004235,-0.84792876,0.48579767,0.63352066,0.90037894,-0.3754103,-0.9280395,0.25738898,0.14029567,0.50433993,-0.5338607
Ggh,0.7969275,-0.062212646,-0.427489,-0.13599584,-2.234629,1.4585755,-1.3410347,0.84487796,-0.59601027,-0.40946192,-0.4431246,-0.3709783,-1.309626,1.5225816,-1.188069,2.0957863,-1.5121051,-0.4623458,-2.348856,-1.3673747,-0.05709624,-1.4826193,1.7219604,-0.8392067,-0.90882826,-0.6891049
Usp45,0.7171946,-0.29255974,-0.32140785,-0.45452145,-0.9520698,0.18742414,-0.33681154,0.2528708,-0.36787197,-0.28496498,-0.5707406,-0.2255412,0.022695428,-0.07587754,-0.752283,0.11148524,-0.65029514,0.47441652,-0.14486283,-0.38832584,0.896825,0.107590675,-0.9739611,-0.5569058,0.15437663,-0.4702324
Pnisr,0.9488977,-0.34764025,-1.0777907,1.1771607,2.2080936,-0.806824,-0.3451943,0.6521351,-0.38786596,1.4989208,0.32934776,-1.1943066,0.44123495,-1.510342,-1.0101966,-0.35769007,-0.40647894,0.19120197,0.044110596,0.12752934,-0.23066673,0.9469596,0.8141892,1.498489,-0.6185918,0.58209836
Fbxl4,0.15722962,-0.69335383,-0.19241865,0.14687689,-0.10767805,-0.29080412,-0.20592202,0.023669204,-0.10312256,-0.13341466,1.3763247,-0.054628287,0.29671434,0.08772077,0.46357426,0.21412122,-0.5770248,0.22092956,-0.45064586,1.0957739,-0.32450235,-0.14167237,-0.43744543,0.32798725,0.13306901,-0.22884092
Manea,-0.06566347,0.37101194,-0.26594058,-0.0818215,-0.35994235,-0.33824998,-0.7304366,0.14005041,-0.25542748,-0.21977744,-0.11555657,-0.15270306,0.35960275,0.08543876,0.2535026,-0.20442438,-0.2793498,0.7862823,-0.5694897,0.08329447,0.47406468,-0.20474704,0.96513605,0.00067495945,-0.43514013,-0.36917144
Bach2,-1.2358546,-1.3307178,-0.39197844,0.9112783,0.6359831,-0.66339093,-0.83440584,-1.7087221,-0.47422457,-0.36839145,0.8854623,-0.3010077,2.078137,-0.856711,-0.90156764,-1.3091046,-1.2378358,0.9180085,0.24962968,-0.5195669,-0.10674426,-0.19771287,-1.0304577,-1.4846505,3.3643672,1.49904
Mdn1,-0.9403857,-0.08552354,-0.38467094,-0.5036216,-0.5755772,-1.1112689,-0.8368072,-1.2459329,-0.49999005,-0.35926303,2.5145247,-0.31043026,1.6841043,-0.5770441,0.21035704,-0.9487618,0.029360445,1.69245,1.5320532,1.3472769,1.1743448,0.5265087,-0.73292905,-0.44979516,1.4094296,-0.5930643
Rragd,-0.50015444,-0.34395686,-0.1177607,-0.42489234,-0.45089558,-0.31219175,-0.27776667,-0.22820993,0.04314728,-0.045605805,-0.12145969,0.041030437,-0.04181506,0.1962625,-0.09592301,0.25759095,0.08670045,0.7643241,0.47807968,-0.20190567,-0.42462942,-0.35004106,-0.16980383,-0.3839125,0.4813975,-0.10274533
Gabrr2,-0.47326,-0.35603598,-0.12130362,-0.4100283,-0.43791726,-0.2436336,-0.36009973,-0.25387964,0.036507707,-0.04977682,-0.13148767,0.03663233,-0.021464633,-0.050994538,-0.10947268,0.007284193,-0.12922531,0.4189057,-0.08219469,-0.21378256,0.988354,-0.24440514,-0.18064705,-0.40362373,0.36084393,-0.108139284
Pnrc1,2.5708451,0.61954993,0.6589197,3.357648,2.6845584,-0.16679108,0.24989398,1.4450188,0.5745634,0.40905508,-0.4913883,-0.5457104,-1.3439523,-2.7916555,-0.5401038,-3.5632544,-1.2138833,-0.6594986,-0.99949557,-1.6757842,1.916883,0.6118892,-1.0251663,-1.8591757,2.484756,0.1578044
Spaca1,-0.6739191,-0.4485793,-0.15222095,0.09520737,-0.24692056,-0.35437652,-0.35783166,-0.47525626,-0.02057062,-0.08618676,-0.2163599,-0.0013438602,0.2781525,0.17791303,-0.0003768738,-0.104954325,0.035494704,0.19566275,0.061082162,-0.31555942,-0.56267756,-0.19340838,-0.2699616,-0.5643606,0.54151446,-0.15352376
Zfp292,1.0831939,-0.47650295,1.7914991,1.735454,1.7563568,-0.4313732,-0.58700675,0.46801597,0.46037677,-1.0263819,1.6655926,2.1200972,1.2284219,-1.3022617,-1.2100016,-1.7464999,-1.4734389,0.07960945,0.53158444,1.6428562,1.0562066,-0.13940491,-0.53750265,-0.5461214,0.7919634,-0.49481255
Mob3b,-0.6691053,-0.5815121,-0.18141931,0.6370712,-0.106973775,-0.44543025,-0.44821373,-0.5306841,-0.077527106,-0.12053169,1.5179731,-0.038638856,1.016385,-0.02885113,-0.044891477,-0.412573,-0.21713154,0.41696426,0.1658734,-0.41828716,-0.7592249,-0.1009488,-0.37310192,-0.3553625,0.46949396,-0.20235233
C9orf72,-0.10606789,-0.058958028,-0.17222741,-0.28577492,0.5348703,-0.2936918,-0.38321376,-0.17072552,-0.06497579,-0.10964798,-0.29412907,-0.029419119,0.13560484,-0.008189941,-0.104306534,-0.26085392,-0.07236789,0.3193981,2.0262146,-0.39759824,2.3064442,0.22576158,-0.37375593,-0.10798079,0.26329732,-0.1974993
Aco1,-0.109128274,-0.83429945,-0.26233095,-0.33964002,-0.8364632,-0.012247663,-0.35224473,0.64181376,-0.24706462,-0.21554916,-0.5896299,-0.14747308,-0.44729763,0.18887608,0.0441741,-0.0929285,0.18438257,-0.30809996,1.0993245,-0.7283091,0.4865159,0.12811963,-0.73099387,0.24862202,-0.15915902,-0.36055067
Ddx58,0.6927979,1.8374811,-0.57516754,0.57966185,1.3531778,0.5859291,1.0250757,-1.1564395,0.46277326,-0.5835972,1.144613,-0.5445941,0.029333869,-1.3471112,-0.5956838,-0.59745926,-0.013271531,-0.94202644,-0.9400338,-0.20730889,1.3792545,1.3484255,0.8168357,0.7879078,0.28833213,0.28377685
Smim27,-0.007121484,-1.1024394,-0.4277496,-0.1311623,0.07007291,-0.4395047,0.27473676,0.14474495,-0.57022,-0.4101186,0.24224888,-0.35898563,0.22361633,0.28446376,0.3054893,0.09048876,-0.068286,0.24345507,0.50519186,-1.3113309,-0.51731974,0.12935732,0.17095776,-0.11592639,-0.17881137,-0.63811475
B4galt1,0.6247938,2.8049805,-0.6770716,0.7788513,0.29493913,0.9050566,-0.41536224,0.67776537,1.4696076,-0.70324856,1.0729978,-0.68230766,-0.016289284,-0.020008175,-0.5603465,0.3272353,-0.43737733,-0.20763622,-1.2622055,0.6375939,-0.80819595,-1.4455352,-1.4344202,-0.18209568,0.043662034,-1.0753503
Aqp3,0.26678136,-0.88497543,-0.2421223,-0.20149754,-0.29767925,-0.38676408,-0.20960547,0.17350964,-0.1977549,-0.19191016,-0.4974457,-0.11702576,-0.11475247,-0.057051238,-0.07910067,-0.29519582,0.20658451,0.44222486,-0.1712606,1.5525237,1.065299,0.3570623,-0.59871227,0.032636993,0.3932962,-0.3074175
Ube2r2,-0.5144404,-0.5577085,1.2844056,-0.19174735,0.5314744,-0.4320206,-0.36460435,0.08632117,1.3953897,-0.70954955,-0.6300142,-0.697598,0.4183936,-0.13240075,0.19738303,0.031831264,0.06729485,-0.0036079981,0.1729956,1.4886849,-0.13907653,0.7812144,1.0512764,-0.05534505,-0.48286867,0.1097077
Fam219a,-0.31906778,1.359379,-0.16696586,-0.31384835,-0.10390842,0.11654356,0.17724857,0.25192994,-0.05859317,-0.10340732,-0.28987414,-0.024517447,-0.21438265,0.020835599,-0.26769415,0.47653627,0.4734677,0.23986523,-0.10628931,-0.38749248,0.4758127,-0.14056952,-0.37906834,-0.48889938,-0.14200889,-0.19628945
Il11ra1,-0.30325034,-0.5084581,-0.15074115,-0.13579784,0.031059755,-0.2622003,-0.40149197,0.0091225635,-0.02214847,-0.08438665,1.0914632,-0.0015460917,0.020767648,0.059222158,0.026276695,-0.10698394,0.4637388,0.6446878,-0.306458,-0.32002273,-0.07944542,-0.3855451,-0.29222584,-0.38909253,0.0019248017,-0.15977924
Dnajb5,0.09964023,-0.65654296,-0.1783075,-0.46714973,-0.45516947,-0.012218442,-0.003130392,-0.30830863,-0.07743487,-0.11679178,-0.31459504,-0.037465837,0.14093734,0.28284538,0.355919,-0.0038872894,0.06043864,0.17049232,-0.3135961,-0.4202866,-0.12180602,-0.22698207,-0.3989207,0.05757784,0.080939956,-0.20883802
Fam214b,0.36842582,0.56567717,-0.2239239,0.5724745,0.3457544,-0.31020603,-0.37783203,0.8522864,-0.1606049,7.8467593,-0.43662146,-0.09300727,-0.3662996,-0.12959543,-0.24891625,0.065074034,-0.35523617,0.0098695075,-0.24761933,-0.5681877,-0.22746983,-0.15694068,-0.5242624,0.5303667,0.059248228,-0.27375603
