gene_name,A5P,A5T,A8P,A8T,C5P,C8P,NP14B
Hmgn2,3.2478862,1.725852,-3.0178301,-3.6132455,3.0575426,1.2048062,-1.6591771
Cd52,-4.6215525,-2.7074552,2.720627,2.634688,2.185876,3.6926622,-2.000621
Ubxn11,-0.6969681,0.21815477,0.7569213,0.79924643,-0.2470901,-0.7562447,-0.18506503
Stmn1,3.1973562,1.906712,-2.5318515,-3.4574685,4.0327044,0.43926656,-2.4041846
Paqr7,-0.6865516,-0.85951823,0.25024614,0.7905088,-0.63145584,1.2637054,0.16548342
Mtfr1l,0.14871459,-0.94894147,0.6724831,0.6269242,-0.11916117,0.19421907,0.11498086
Selenon,0.28553918,1.2365003,0.12203596,0.0066569704,-0.42360568,-0.44006926,-0.6076174
Ldlrap1,0.18073276,0.40901148,-0.5767427,-0.36299667,-0.88764584,-0.09199857,1.5869874
Rsrp1,-1.0020013,-0.7630107,2.0427518,0.9796195,-1.4155929,1.7148372,-0.19469447
Runx3,3.0714576,0.28019568,0.35988572,-0.7613386,-0.87846553,0.0417342,0.40063578
Nipal3,0.26467544,-0.6906239,1.7417372,1.4443638,-0.34249535,0.4836089,-1.0249015
Pnrc2,-0.10425592,0.2903887,0.38896248,0.4330482,-0.008949938,-0.3309021,-0.6026356
Cnr2,0.025432117,0.33338797,-0.93669397,-0.6832574,-0.50283635,-0.72870904,0.7625832
Id3,-0.79856193,-1.1388897,-2.2712111,-2.6409714,1.4331781,-0.13605405,3.2346487
Zfp46,0.2606494,0.030702006,-0.18698063,-0.003566598,-0.20911445,-0.036101762,0.13628748
Lactbl1,0.0060049165,-0.07466497,-0.21276245,-0.16015786,-0.10807905,-0.33136126,-0.13140142
C1qb,0.208052,-0.36911854,-0.33971247,0.051439658,-0.30673188,0.30196616,-0.23347819
C1qc,0.07192363,-0.22745278,-0.13493732,-0.21896696,-0.33563334,0.3630701,-0.1886153
C1qa,0.28407738,-0.32280177,-0.22653103,-0.110827856,-0.34778172,0.29440913,-0.20653161
Zbtb40,-0.10274672,0.022452187,-0.16956359,-0.25941843,-0.13655277,-0.13181888,0.3315672
Wnt4,0.5379372,-0.24768993,-0.119184226,-0.53055954,-0.41459304,-0.25138274,0.35816672
Usp48,0.64761084,-0.2539236,2.516889,1.89675,-0.16869676,-0.63716626,-1.6848857
Eif4g3,-0.8266802,-0.5377029,-0.035208438,0.20032288,0.88438296,0.53650665,0.060225524
Hp1bp3,0.265826,-0.025162762,0.00091527513,-0.4216605,0.8299871,0.5179692,-0.16097204
Pink1,-1.1215945,0.46093452,0.6888448,0.8959927,-1.0070577,-0.32821319,0.18530093
Camk2n1,-0.46288458,-1.2703434,1.5435785,2.2789273,-0.7569787,0.9615511,-0.8819982
Otud3,-0.1008775,0.026621727,0.13956244,0.6389832,-0.46098867,-0.25477603,-0.17861335
Pqlc2,-0.5807997,0.21466263,-0.3188733,0.08126984,0.014494814,0.43977973,-0.22947173
Ubr4,-1.0702162,0.036609683,-0.020096704,0.3715413,0.025725396,0.28360555,0.14155911
Iffo2,-0.003953123,0.033860624,0.20977016,0.46252292,-0.33935583,-0.48273635,0.6208605
Aldh4a1,0.21252587,0.3646516,-0.081945054,-0.101756826,0.0065736906,-0.5183095,0.16490532
Padi2,-0.84403026,0.97158647,0.53042907,0.30989435,-0.7636702,-0.23456693,-0.31048012
Cplane2,0.13992648,0.055590756,-0.15268321,-0.21995436,-0.10800632,-0.3682505,-0.10139447
Spen,-0.16513841,-0.39515793,0.26944712,0.58927834,-0.36542246,0.8704298,0.09070802
Plekhm2,-0.060420677,-0.83732015,0.10058317,0.35439572,0.39322895,0.16442506,0.042096246
Dnajc16,0.66382325,-0.046014387,0.25571394,-0.36042002,-0.20780952,-0.05583569,0.19781508
Tmem51,0.38079473,0.5540965,-0.18999265,0.06568195,-0.52025455,-0.40002105,-0.24463369
Prdm2,-0.5603991,0.41161534,-0.023983518,-0.4712713,0.096757695,-0.24095498,0.18185475
Dhrs3,-0.11489096,-0.5024746,-0.33694035,0.5346104,0.21738167,0.15158893,-0.3073191
Vps13d,-0.77712905,-0.11722416,0.83424395,0.6905994,-0.2097842,-0.20166741,0.24732953
Gm13212,-0.015162546,1.4331244,-0.48897082,-0.061120566,-0.6643827,0.19842426,0.30062568
Zfp992,0.8115486,1.0194552,-0.37792706,-0.26105544,-0.5264814,-0.73377496,0.40513024
Zfp984,-0.20134424,0.16844273,-0.04971636,-0.44182724,-0.2120728,0.5783664,-0.07954229
Zfp933,-0.27225664,-0.63936996,0.040783912,-0.33588547,-0.27628493,0.538887,0.5327346
Clcn6,-0.33756748,-0.017750086,-0.32614684,-0.18064514,-0.04768682,0.03189559,0.11416169
Mthfr,0.0980893,0.7744684,-0.10444126,-0.6401298,-0.18021262,-0.22779094,-0.073687196
Srm,-0.09085027,0.07744667,-0.6573754,-0.94092405,-0.68745047,-0.6507582,1.2616197
Casz1,0.072027415,0.0040655034,-0.7032772,-0.5339273,-0.17063227,0.23295648,0.63567024
Kif1b,-0.88093394,1.6596355,-0.07015428,-0.26005852,-1.2999822,-1.2714839,1.1960384
Pik3cd,0.5761634,2.3428369,-0.09259059,0.104941085,-1.4651052,-2.058453,0.8441696
Spsb1,0.2987826,0.1266452,-0.60163236,-0.5846665,-0.31746018,-0.49063006,0.3962832
Rere,-0.3564011,1.0600597,-0.10593648,0.54926944,-1.1235348,-1.0503702,1.0058501
Errfi1,-0.115597494,2.2320752,0.49917415,1.9484934,-0.91783017,-0.8391809,-1.0643115
Tnfrsf9,-1.414313,0.06636162,-1.7661152,-1.6177058,3.9874277,0.5491456,-0.8116923
Per3,0.19033396,-0.00023967885,-0.35174432,-0.23506726,-0.2421779,0.15827248,0.022325905
Thap3,-1.2478454,-0.5756612,0.75200903,0.8346477,1.7969247,-0.101569995,-1.2402295
Plekhg5,0.08619685,-0.42973977,-0.4545553,0.40056127,0.30984885,0.521054,-0.27024344
Tnfrsf25,-0.83824116,-2.0626159,1.7644885,0.8263824,0.73825645,0.19818436,-0.27748933
Espn,-0.22306614,-0.7114752,-0.7555456,-0.52785677,0.79143256,-0.05850961,0.5941669
Cep104,1.276931,-0.33814704,-0.24407066,-0.35219947,0.104298234,0.15444429,0.14214857
Tprgl,-0.11668532,-1.1396769,2.1464455,2.1015472,-0.3890961,-1.0053183,-0.34171897
Tnfrsf14,0.3217213,0.42070162,-0.38476932,0.096604265,-0.39955005,-0.0055166185,-0.07339427
Ski,0.6208124,-0.22939707,0.6844097,0.8991505,-1.1944357,-0.934707,0.71360826
Prkcz,-0.44928697,0.91092473,-0.19330452,1.1467652,0.0018500126,-0.302286,-0.37246093
Cfap74,0.13077122,0.14321661,-0.40791592,-0.2626215,0.049756758,-0.31303495,0.0024611095
Mib2,0.15494584,-0.045241218,0.42296797,0.30109447,-0.29679653,-0.54140675,0.17754954
Fndc10,-0.19067605,-0.12807061,-0.56317544,-0.2717607,-0.42590865,0.516744,0.46860424
Tmem240,0.17146663,-0.26897213,0.0077535296,-0.16906524,0.010443441,0.00943895,0.08290668
Vwa1,0.12890525,-0.3344915,-0.22832343,0.2280581,-0.1521612,-0.4139156,-0.12068048
Dvl1,0.6314537,0.043580674,0.8077566,0.3610747,-0.4410739,-0.20526463,-0.21901704
Tnfrsf4,-1.8629203,-1.6331515,-0.6358526,-0.5146821,1.3884614,3.8561778,-0.028555736
Tnfrsf18,-1.3702083,-0.72101045,-0.5683625,-0.16052532,0.37006158,3.0299065,-0.38459045
Agrn,0.5015967,0.099736944,-0.44663388,0.22102875,-0.094592854,-0.49973977,-0.13392222
Isg15,-1.1074585,0.7924858,-1.0230745,-0.84919226,1.7770222,1.2585952,-0.9589442
Plekhn1,-0.14542632,-0.2365785,-0.27921772,0.4372188,-0.43858105,0.1760823,0.28970066
Cdk6,0.60653293,-1.7792243,0.69920415,0.40510067,0.09186609,2.6126406,-0.72249085
1700109H08Rik,0.6251737,0.31418014,0.07102391,-0.5825152,0.11111811,-0.4249307,0.029508417
Pex1,0.708651,-0.38404348,0.06637545,-0.4079733,0.22486272,0.57271343,0.1894185
Ankib1,-0.7586098,-0.08172783,0.92721486,1.4346921,-0.36147094,0.23775178,-0.58102494
Krit1,-0.11593714,-1.2452374,0.51695526,0.019523272,0.19814907,0.81622344,0.51015687
Lrrd1,0.26977304,-0.41484872,-0.18695429,-0.64766824,-0.31029716,-0.023551112,0.046692636
Mterf1a,0.12219882,0.63681144,-0.22863077,-0.15015006,0.40869713,-0.13586509,-0.023827706
Akap9,-0.33186635,-0.59446406,0.46250138,0.35891283,-0.2955612,-0.6398114,0.835135
Cdk14,-0.5706411,-0.2797932,-0.53672606,-0.1585275,0.055533357,1.2907538,-0.2724849
Slc25a40,-0.11904302,-0.47113493,0.63923424,0.40965813,0.015239259,0.2525117,-0.28987357
Rundc3b,0.010960518,1.8462975,-0.57791334,0.07585343,-0.43847814,-0.64266694,0.17065969
Abcb1a,-0.47965893,2.7036846,0.07903104,0.5395717,-0.2950372,-0.65646255,-0.60166115
Abcb4,0.18487191,0.055233583,-0.18616846,-0.112096235,-0.25139546,-0.30863798,-0.15308422
Crot,-0.8459418,-1.6972741,2.6236198,2.0190606,-0.57751715,2.2050798,-1.3770014
Tmem243,-1.2145219,0.9387044,-1.2260137,-1.232193,-0.020675015,1.205008,0.8178215
Dmtf1,0.7965829,-0.56053096,0.20848906,-0.35414147,-0.31108314,0.3506194,0.569115
Magi2,0.83565253,-0.52222925,-0.41359237,-0.23187983,-0.05441231,0.66855115,0.12936091
Rsbn1l,-0.65365756,0.2022359,0.9495823,0.90194726,-0.2327549,-0.055225473,-0.6025015
Gsap,-0.38008827,0.20407642,1.5273213,1.5498617,-0.24704157,0.34985724,-1.4608223
Ccdc146,-0.22274421,0.081879064,0.438854,0.20447154,-0.41028246,-0.20537327,-0.28234884
Fgl2,-0.4450922,2.799275,-0.28731942,0.15793847,-1.8009851,0.34319726,-1.058741
Kmt2e,-0.73104453,-1.7170829,1.3099661,1.0612952,-0.44046432,1.9437973,-0.26274818
Srpk2,-1.1379466,-0.59573406,-1.2636968,-1.32024,1.5957254,1.5169533,0.5696668
Klhl7,0.10354307,-0.24952228,0.32351366,0.30913967,-0.36096764,0.16377254,0.051998887
Kcnh2,0.19773936,-0.14723305,-0.43333137,-0.5104356,-0.0012607634,-0.5209154,0.13255097
Chpf2,-0.16354705,0.11276209,-0.0049074367,0.5386559,0.0396311,0.072319135,0.07112492
Nub1,0.31990933,0.46628815,0.28895766,0.6394254,0.19373298,-0.93110067,-0.3114057
Galnt11,0.1947407,-0.09871258,-0.40335196,-0.21656159,0.018304268,0.28218058,0.67434376
Kmt2c,-0.33344042,0.62382036,0.47612077,0.13032441,-1.6946062,-0.2135234,1.2503818
Rbm33,-0.22992916,-0.91334736,0.5006202,1.2100307,-0.132737,-0.37501812,0.027730389
Rnf32,0.07530449,0.58413684,-0.5028193,-0.4529518,-0.16679846,-0.5083904,-0.16176529
Tyms,2.3845336,0.92523867,-1.9036252,-1.8790977,1.7791246,0.32677084,-1.5096704
Drc1,0.054944787,-0.068040796,-0.47153953,-0.27404457,0.23094179,-0.08576614,-0.17055716
Kcnk3,0.6017536,-0.3168784,-0.2383685,-0.107630566,0.1769995,-0.2584752,-0.087639056
Slc35f6,0.18120134,-0.30273426,0.17022541,0.52973276,0.022952598,-0.5694158,-0.19262943
Cenpa,2.4989307,1.2009995,-2.0264573,-2.856563,3.5831192,0.5683377,-1.7210381
Mapre3,-0.06480531,-0.35072204,-0.183127,0.23757367,0.040140055,-0.12202797,-0.0765146
Emilin1,0.6511803,-0.0559324,-0.54767096,-0.17566966,-0.34637055,-0.26032725,0.45322278
Khk,0.58871526,-0.18444979,-0.276102,-0.17543006,0.16127278,-0.1709975,0.6376467
Slc5a6,1.4695836,-0.03697596,-0.18667208,-0.28527778,-0.53557914,-0.33159262,0.14707074
Ift172,-0.15736681,-0.05720788,-0.5026915,-0.716442,0.09727509,-0.41591272,0.20124546
Zfp512,-0.077149704,1.0534757,-0.5287723,-0.8645991,-0.94332933,1.3724091,0.44520867
Fosl2,-0.4923658,1.3191807,0.5812769,0.759718,-0.4791875,-0.71850973,-0.40981913
Yes1,0.22014609,0.9697614,0.41785425,0.7748567,-0.6651389,-0.603022,-0.24915281
Prr14l,0.16697837,-0.16974652,0.53737634,-0.2554737,-0.064885594,0.63274753,-0.05253777
Ywhah,2.7871678,0.9390313,-1.7441161,-2.0994756,2.631858,1.0144936,-2.1097717
Uvssa,-0.3855089,-0.5611692,0.058778528,0.66215396,-1.3989083,1.2281873,1.1838274
Fam53a,0.331748,-0.67321146,0.16060492,0.053086046,-0.053857744,0.028428718,0.33968067
Gm9903,-0.0020947983,-0.28501904,-0.28635553,-0.31727368,-0.030792331,-0.37564617,-0.08569919
Slbp,4.236536,0.6277513,-1.472763,-1.0106372,0.84659576,-0.24696381,-1.2823079
Tacc3,1.3060253,1.5382123,-1.2342293,-1.6036595,1.6556581,0.06532008,-0.9751655
Poln,0.3005055,0.32789502,-0.3699013,-0.027056685,-0.22226836,-0.02117788,-0.1346667
Mxd4,-1.4431434,-1.1101301,1.9061847,1.0939972,-0.38073778,0.7023246,-0.5157276
Zfyve28,0.12293691,0.22546521,-0.41905284,-0.034142815,0.09774539,-0.6071858,-0.056013502
Fam193a,-0.4564717,-0.5622364,0.67447436,0.58415097,-0.72542286,0.36143258,0.27365473
Sh3bp2,0.14011526,-0.5069528,0.23418285,-0.45077187,-0.16583905,2.2509718,-0.42359462
Nop14,-0.23627864,0.2993627,-0.28507882,-0.67648035,0.20000346,0.2126684,0.27972123
Grk4,0.24951605,0.19920017,-0.23245865,0.38888523,-0.32186106,-0.1303765,0.016922092
Msantd1,0.13346548,-0.21346864,-0.4559519,-0.25935832,0.11687595,-0.25880793,-0.019669821
Acox3,0.29012284,-0.17977478,0.08995634,0.041959163,0.041394968,0.33113664,-0.07471531
Afap1,0.55530494,-0.2167971,-0.76140183,-0.6132033,-0.3993963,-0.6636668,1.1662912
Sorcs2,0.14432028,-0.16538072,-0.4713513,-0.48113337,-0.23830526,-0.47755778,0.24715565
Tada2b,0.22605215,0.08068129,0.014075878,0.254907,-0.3912751,-0.18779424,0.23288101
Tbc1d14,-0.3915634,-0.22790685,0.21533509,0.40136865,0.37501502,1.1967556,-0.4032578
D5Ertd579e,-0.21631439,0.16316701,-0.043725025,-0.4862988,-0.1374906,1.4906569,0.25903645
Jakmip1,0.07365631,1.0868114,0.26283464,0.09079962,-0.21897404,-1.3640704,0.19761889
Gm1043,0.08656239,-0.47081113,-0.5000543,-0.31128696,-0.39810768,-0.53552485,0.41336283
Zbtb49,-0.0638279,-0.5667436,-0.122364365,-0.053101983,-0.031010857,0.5731142,0.12803045
Lyar,3.402539,-0.44917062,-0.7017552,-1.1445836,0.4078026,-0.94650406,0.008832045
Slc2a9,0.39927462,0.26633558,0.010491509,0.2269795,-0.33306557,0.2736977,-0.04923008
Hs3st1,0.15234812,-0.26703244,-0.3008167,-0.40064028,-0.17334676,-0.32871887,-0.15981017
Bod1l,-0.20620693,-0.6700344,0.8182357,0.67944056,-0.6213536,0.058216926,0.43683112
Cpeb2,-0.10967597,0.42280903,-0.04807299,0.9056046,0.1719547,-0.53952795,-0.29774082
Fbxl5,-0.058127463,-0.42417106,0.3599824,-0.3763559,0.29152048,0.051851526,-0.12464295
Cd38,-1.2926775,0.3898393,-0.8844996,0.21780993,0.3335988,1.4026864,-0.9389956
Tapt1,-0.048066597,0.048196033,-0.21389681,0.15438208,-0.050944306,-0.28629947,0.41691774
Fam184b,0.3449812,-0.4000059,-0.19489639,-0.28171748,-0.109459,-0.29749617,0.024239788
Ncapg,0.45955828,0.5402513,-0.9681386,-1.2468934,1.6915699,0.97005814,-0.8086286
Lcorl,0.5536824,-0.59025776,0.11115727,-0.12192423,-0.6041227,0.4163197,0.42637715
Zcchc4,0.19579114,-0.7873392,-0.25168034,-0.05325322,0.24982272,0.5202133,0.42669582
Rbpj,-0.6985164,-2.2910063,0.19629084,-0.1256748,1.723711,1.967062,-0.21454869
Arap2,-1.944423,-0.8338457,-0.38996795,-0.9170996,1.9324132,4.020917,-1.4660512
Tbc1d1,-1.8039328,-0.4752487,-0.5588621,-0.24575353,1.5262492,0.054694895,0.48783454
Klf3,0.20502383,0.7371636,2.0431032,1.385529,-2.3754508,-3.2272036,1.5765077
Tlr1,-0.37335727,0.99862665,-1.3363862,-1.0103133,0.085424684,-1.0557472,1.8039274
Tlr6,0.31314778,0.4314433,-0.6086294,-0.12450011,-0.22712539,-0.4666267,0.17678836
Tmem156,-0.17916225,-0.53571665,0.036304805,0.17719468,0.5104742,-0.023637718,-0.050306447
Smim14,-1.1255453,-0.3625736,0.7276103,1.1005007,-0.77604395,0.29195547,0.17391682
N4bp2,0.4697918,0.63847363,-0.86694646,-1.2035588,-0.44641286,-0.62704545,1.2620158
Rhoh,-0.0021689334,-1.6276962,0.03432906,-0.41958782,2.2045047,-0.51152307,0.8164863
Rbm47,0.8290045,-1.7590104,2.6340258,1.8977383,-0.8512434,1.2568135,-1.275096
Nsun7,0.47885516,-0.29689613,-0.12273225,-0.40439725,-0.23798877,0.16506207,-0.18310525
Bend4,-1.7179301,1.4848317,-0.7197227,-0.5431308,1.4898493,-0.03970611,-0.5865204
Atp8a1,0.009754995,-0.004591934,-0.016395725,-0.53771794,-0.39397773,-0.7268959,0.9688316
Gnpda2,-0.20204684,-0.84918004,0.49538246,0.09393299,-0.015424585,2.0121136,-0.3037373
Corin,0.1662277,-0.1667333,-0.4929669,-0.43867627,-0.20254682,-0.4901637,0.27183843
Cnga1,0.15343536,0.8593059,-0.92616504,-0.958404,0.5882822,-1.103131,0.7003945
Nipal1,-0.18529378,0.07335401,-0.4353683,-0.75869834,0.09793658,-0.12337492,1.0704485
Txk,-2.567637,3.1384552,1.7062775,2.3060956,-1.3339978,-3.586384,-0.4329282
Tec,-0.5315231,0.17489383,-0.92885196,-0.89632934,-0.12775624,-0.22956501,0.8628587
Fryl,-0.7729528,-1.1468147,2.673113,2.459718,-0.4612164,-0.44196478,-1.0664223
Dcun1d4,0.9185371,0.28587338,0.1305533,0.7037411,-0.65629476,-0.060400993,-0.24074157
Rasl11b,1.1606481,0.9862003,0.15206048,0.081729665,-0.30145317,-0.9903323,-0.15862417
Scfd2,-0.2907284,0.2584203,0.45555305,0.6884201,-0.04103593,0.04590185,-0.63636225
Kit,-0.5558839,-0.37741736,-0.3678103,-0.44517997,-0.027584013,0.67113036,-0.11025133
Clock,0.4818588,-0.85862726,0.8051213,1.0796081,-0.8089532,0.097354405,0.12348075
Aasdh,0.32433608,-0.59535074,-0.5940123,-0.16919309,0.34872606,0.14647673,0.61336666
Hopx,2.1044538,0.12365685,4.73489,4.0691075,-0.95006174,-1.98091,-4.3117537
Rest,0.24553323,-0.9974013,0.30972454,-0.4300694,0.48452497,-0.31023464,0.21977755
Stap1,-1.9155502,-1.6805832,-0.46510956,-0.8181448,1.9005083,1.2384651,0.46384117
Ythdc1,0.17024247,0.7946749,-0.01878147,-0.097911306,0.5251552,-1.3613337,-0.25392312
Jchain,0.16607785,0.26989076,-0.21640873,0.04793021,0.3388728,-0.12360614,-0.23514272
Rufy3,-0.06322684,0.06775389,-0.046627972,-0.26943332,-0.2672027,0.33588347,-0.08460994
Ankrd17,-0.34394225,0.34432298,0.37874418,1.0058949,-0.45784053,-0.0024183672,-0.16145861
Afp,-0.12666067,0.3210436,-0.8720624,-0.06356512,-0.10928113,-0.57065105,0.75151014
Pf4,0.12271549,0.46232635,-0.27159345,-0.29559654,-0.048713665,-0.21914122,-0.10356992
Cxcl2,-0.05980538,0.24936695,-0.33202472,-0.23110738,-0.2360989,-0.42621607,-0.16516383
Mthfd2l,0.12016383,-0.78876644,-0.042058744,-0.35696948,-0.050058592,0.5782926,0.58148813
Areg,-0.77797323,-0.81450045,-0.47806153,-0.37527585,1.5381688,-0.48294505,-0.20228869
Cdkl2,1.0078576,0.1339826,-0.43086225,-0.7129308,0.055459484,0.013669992,0.069158226
Naaa,0.2153811,-0.99798256,0.290718,-0.02657814,0.19702406,0.15321372,-0.38386878
Cxcl9,0.5502471,0.06435746,-0.24659497,-0.33558175,-0.15616207,-0.07115097,-0.16037951
Art3,-0.83822095,-0.9634043,-0.4739053,-0.62853533,1.0647821,1.3122222,-0.041824672
Cxcl10,-0.8240085,-0.7554954,-1.1431237,-0.5729615,3.69259,-0.6880791,-0.70454884
Scarb2,0.081058726,1.563675,-0.28189382,0.019049328,-0.22122492,-0.93965214,-0.03328911
Sept11,1.9281507,-1.9476852,1.129729,0.48093113,1.8825948,0.91968846,-2.5676715
2010109A12Rik,0.4642934,-0.23516756,-0.6528583,0.3102791,-0.21140501,-0.38807696,0.22514509
Ccng2,-0.9397188,0.12134978,0.25988796,1.2578732,0.0869202,0.09253944,-0.64905536
Cnot6l,-0.6449358,-1.6951323,2.0628455,1.6306,0.647916,0.4226974,-1.4561116
Anxa3,-0.10599171,0.28925684,-0.24131908,-0.12966496,-0.035402812,-0.25414142,-0.12026808
Paqr3,0.2398427,-0.30180314,-0.09861732,1.0378357,0.031969856,-0.43866506,-0.4116738
Antxr2,-0.3067628,-0.70887315,0.9273241,1.6345981,-0.55217886,-0.90275383,-0.22347718
Rasgef1b,-0.4011807,0.22715153,-0.7085651,-0.6336225,0.8045029,-0.55156857,-0.22962125
Plac8,2.7530212,5.197863,-1.9569917,-3.0459192,-1.2962676,0.85394317,-1.512008
Gpat3,0.32676432,0.14639194,-0.21935457,-0.38068044,-0.26277414,0.050911605,-0.29361215
Aff1,-0.4753458,0.77693224,-0.33279622,-0.52710927,0.40940273,-0.50603193,0.3289391
Klhl8,0.11285202,-0.3598656,-0.06433175,-0.24240562,-0.07264413,-0.114570744,0.062426075
Hsd17b11,0.61037445,0.502174,0.20994996,-0.4492836,-0.53572714,-0.6970017,0.43191516
Spp1,-0.18190825,-0.29482895,-0.3942905,-0.3580631,-0.35076842,0.14256759,-0.17265409
Thoc2l,0.50163305,-0.5485234,-0.53194845,-1.0211616,-0.6967384,0.52391994,1.3150034
Zfp951,0.1356999,0.22510536,-0.50684613,0.39671716,-0.4304147,-0.24145323,0.34730285
Abcg3,0.1612072,0.6997506,0.2793103,0.83047634,-0.90963745,-0.8779867,0.40046725
Gbp8,-0.44217938,1.4698004,-0.43368194,-0.24244569,-1.4996455,0.78201544,0.7544952
Gbp9,-0.6822093,0.35491207,-0.70483285,-0.74778926,-0.22066137,1.7237064,0.7804728
Gbp4,-0.6679274,1.6363698,-0.95522225,-0.46932402,-0.7694957,1.447441,0.3458938
Gbp10,-0.026123447,0.7983802,-0.8461381,-0.34129742,-0.28406757,0.30515784,-0.08503527
Gbp6,-0.5367269,1.2140317,-0.8309947,-0.31546962,0.108659,1.4632523,-0.21855591
Zfp644,-0.43400648,-0.28378168,-0.039972838,0.7643509,-0.1478596,-0.7149061,0.7441074
Tgfbr3,0.42218322,0.91289836,-0.63184625,-0.10821219,-0.69675565,-0.8743046,1.1670722
Brdt,-0.1686652,-0.26365796,-0.19853115,-0.56361693,-0.16583794,-0.29107144,0.07634775
Evi5,0.17694926,-0.24723974,-0.3086752,-0.49452886,-0.20001104,-0.35959184,0.06242137
Pcgf3,0.2616122,-0.5097733,0.18428198,-0.18618327,-0.018579163,0.42250592,0.330824
Dgkq,-0.20702542,-0.50923824,-0.095876575,0.6847408,-0.3672741,0.29876202,0.35201097
Idua,0.01471683,-0.4423712,-0.1586065,-0.10405912,-0.19881164,0.05907826,0.4719806
Crlf2,-1.5042741,-0.6377834,-0.7802722,-0.62368286,1.4759109,4.3003254,-1.2044281
5430403G16Rik,0.09999254,-0.08777422,-0.25847903,-0.33903292,-0.409801,0.110721685,1.044425
Gm15446,-0.058534633,-0.43397018,-0.12108826,-0.3448944,0.13158314,0.34619266,0.1354138
Plcxd1,-0.072657965,-0.27948052,-0.23603919,-0.25230643,-0.09971226,-0.23359793,-0.081258066
Zfp605,0.30830288,0.06685698,-0.18060659,-0.20041384,-0.037008885,-0.15553376,0.69861037
Golga3,-0.26795122,-0.0953811,0.13446951,0.54166126,0.2641155,-0.3448959,-0.07459592
Fbrsl1,-0.14255555,0.5839324,0.21409568,0.218916,0.4394912,-0.3837562,-0.4553887
Galnt9,-0.0063206437,0.6554175,-0.49296504,-0.22582453,-0.15091476,-0.295678,-0.19241166
Ulk1,-0.12864794,0.21266186,0.23834434,-0.088271074,0.7391163,-0.35124776,-0.3937748
Ttc28,-0.16496944,0.3468343,-1.2128173,-1.3438439,-0.6423767,-0.24707767,2.3486269
Crybb1,1.0056028,0.17637223,0.70668846,0.83366406,-0.72049254,-0.8491858,-0.59132034
Grk3,-0.24304284,-0.026304083,-0.23691444,-0.09024372,-0.10722765,-0.23474038,-0.1186851
Cmklr1,1.1910825,0.15799479,0.6052555,1.5800905,-1.2570509,-0.819325,-0.784357
Ssh1,-0.7777022,-0.55497754,0.31847626,0.5781063,0.39372814,1.7534266,-0.55216074
Usp30,0.06864099,-0.18561621,0.4910769,0.44933605,-0.26766968,0.41003934,-0.18037468
Tchp,-0.2041191,0.7789739,-0.41674575,-0.31714877,0.11638639,-0.12827072,0.30054256
Git2,-0.5880685,-0.53760463,-0.0425828,-0.43443868,-0.54494166,0.37806776,1.2414893
Oasl2,-0.81094426,2.75332,-1.2228736,-1.2402719,-0.4578136,0.11443987,0.20091312
Oasl1,-0.10237169,-0.19736893,-0.26269898,-0.3526675,0.15736398,0.98992914,-0.070113815
Sppl3,-0.20575805,-1.0480024,1.3142933,0.8063562,0.07514473,0.43320984,-0.77016187
Gm10401,0.2852223,0.0456409,-0.3077204,-0.34197086,-0.09450507,-0.21904531,-0.16022201
Dynll1,4.483939,1.3599455,-1.9102348,-2.5339086,2.105779,0.10061907,-1.8312432
Bicdl1,0.25088057,0.55618364,-0.79283834,-0.31138483,0.56766456,-0.88124263,0.4280989
Taok3,-0.26838735,-0.63179535,0.8029541,0.016662793,0.62028724,0.7837671,-0.68413657
Ksr2,0.12930119,-0.061925936,-0.48365688,-0.56899244,-0.24927616,-0.41266775,0.16940533
Tesc,0.7362661,0.913767,0.65695137,1.1535974,-1.688771,-0.59559745,-0.0137769235
Med13l,-0.00093551725,-0.45375675,1.4082314,0.5937415,-0.32650116,-0.2737064,-0.13386652
Tpcn1,0.51791155,0.14553912,-0.5090959,-0.68396086,-0.7311562,-0.29123083,1.5169626
Dtx1,0.027036123,1.5558795,0.18593255,-1.1369962,0.17521517,-2.2116477,0.8080307
Oas2,-0.021342685,1.414745,-0.7018096,-0.8500262,-0.57073855,-0.34618932,0.16475907
Oas3,-1.4931823,0.95978713,-0.6086077,-0.61357564,2.2136028,0.3303217,-0.9063465
Oas1a,-0.6245801,-1.1098098,0.15385997,-0.62627345,2.6813197,0.89657706,-1.159274
Ptpn11,-1.4079117,-2.93829,-0.6790626,-0.49745607,3.9229982,2.48256,-0.8251645
Hectd4,-0.3881054,0.15735151,0.16546528,0.92479897,-0.45075324,-0.11782771,0.105728686
Trafd1,-0.5755016,-0.025179643,-0.08860068,0.32939437,0.8956233,1.1860039,-1.067632
Tmem116,0.12763494,0.0018158776,-0.3275703,-0.37622657,-0.1294699,-0.13625531,-0.020081123
Aldh2,0.124268845,0.107215054,-0.6351028,-0.88746095,-0.18203382,-0.38655776,-0.2702365
Acad12,0.6354367,-0.5993721,-0.4911753,-0.45514098,0.0048180902,-0.44313765,0.14887476
Acad10,-0.083678685,0.2828193,-0.40227717,-0.4618339,0.14601761,-0.30828413,0.112063125
Brap,0.29142436,-0.13789907,0.45092484,0.22627302,0.6529261,-0.6740262,-0.4217184
Atxn2,-0.04500637,0.83590436,-0.22248897,-0.4229314,-0.37971556,-0.44735372,0.97333497
