gene_name,P9_A,P9_C,P9_N,P4_A,P4_C,P3_A,P3_C,P10_A,P10_C,P10_N,P0_A,P0_C,P0_N,P5_A,P5_C,P6_A,P6_C,P2_A,P2_C,P2_N,P7_A,P7_C,P8_A,P8_C,P1_A,P1_N
Bbs12,0.005248738,0.32249975,-0.08706866,-0.06931952,0.08828868,-0.08581393,-0.03291053,-0.027448699,-0.09195599,-0.08695768,-0.09634674,-0.09059377,-0.035185937,-0.0038858259,0.017821455,0.042951476,-0.0444383,0.03716366,0.33691224,0.57984275,0.0070108054,0.03593689,0.5044959,0.101281196,-0.0959987,-0.097844824
Spry1,-0.07001855,0.10044138,-0.11464074,-0.06805183,0.14213711,-0.061596576,0.056247916,-0.09377973,-0.11509918,-0.11463034,0.17229374,-0.11497141,-0.046829294,-0.03396318,0.08879435,-0.040787283,-0.057252586,-0.03178102,0.054841146,-0.11518829,-0.019691447,0.20898229,-0.11610498,0.10623205,0.079227336,-0.11565153
Abhd18,0.061539672,0.2692495,-0.36538082,0.13952608,0.1425648,-0.030513123,-0.032512255,-0.06312281,-0.35664293,-0.36557925,-0.34879282,-0.3590784,0.19028784,-0.10579996,-0.04898203,-0.11790496,-0.00082216715,-0.016769022,-0.07398485,0.07680466,0.23074886,0.11667022,-0.3374715,0.10823467,-0.057680316,1.3820212
Jade1,-0.017705545,-0.38961896,-0.37908235,-0.22581188,-0.25486958,-0.019110732,0.06425266,-0.11043507,-0.3924326,-0.37877917,0.1117313,-0.38871157,0.12739713,0.18588781,0.3446304,-0.093246356,-0.16919282,0.16946052,0.06354314,0.19166818,-0.032162588,-0.17135389,0.06924902,-0.040346354,-0.045875262,-0.4085186
D3Ertd751e,-0.00410127,-0.29817072,-0.2704868,0.0072434284,-0.13945147,-0.0062534898,-0.010403759,-0.046776585,-0.27544582,-0.27037418,-0.279901,-0.27406362,0.028871238,0.009510867,0.06722987,-0.058486238,-0.09305528,-0.012131951,0.036874987,1.6618046,-0.047951903,-0.042276412,-0.28632617,-0.07660745,0.07160408,-0.28142107
Slc7a11,-0.04434835,-0.04949559,-0.0550367,0.018749105,-0.03292202,-0.016033046,-0.044913575,-0.05424239,-0.05404412,-0.055059243,-0.05315239,-0.054320775,-0.054046784,0.0010183151,0.00134275,-0.010315398,-0.02998628,0.05313726,0.13464914,-0.05385115,-0.008431114,-0.022872016,-0.051866345,-0.05145861,-0.022944864,-0.05284814
Elf2,-0.033210363,0.5059508,-0.8332059,0.0149852,0.1347947,0.019495402,0.0070182667,0.06909455,-0.83356035,-0.8331978,0.42730752,-0.8334615,0.10980607,0.07725381,0.10918225,-0.04305668,-0.09779501,-0.03802054,-0.09006442,-0.0099190315,-0.02388964,-0.065075256,-0.49703664,0.009123625,0.10755549,-0.8339875
Rab33b,0.0004549448,-0.18709548,-0.39539906,0.09487587,0.050639275,0.015064435,-0.0026356939,0.21494088,-0.38873643,5.3828454,-0.38275075,-0.39059347,-0.06646884,-0.07270555,-0.06598053,-0.03331793,-0.038536705,-0.008166768,-0.08946925,-0.38744113,0.055914998,0.03465583,0.32190394,-0.05722115,-0.0026865248,-0.3807085
Setd7,0.0013152139,-0.3620505,-0.5235667,0.16155295,0.054480866,-0.074544504,-0.1124366,-0.11813305,-0.50736725,4.1851263,0.66723496,3.41363,0.38303503,-0.09329055,-0.1517232,-0.123447895,-0.16267973,0.08995843,-0.052827444,-0.06453452,0.0749034,0.05088947,0.15731126,-0.005201343,0.09036483,1.1562206
Mgst2,0.1307388,-0.34774527,2.2897735,0.22793996,-0.17174204,0.054126985,-0.30813122,-0.18773235,-0.7358863,2.3083007,0.18059501,-0.7412001,0.11986932,-0.05651514,-0.3535868,0.021494754,-0.26906326,-0.009765174,-0.15971656,-0.11592178,0.61701685,-0.024501078,-0.05318871,-0.18706068,0.3125543,-0.7129146
Maml3,-0.1540864,-0.13079102,-0.18442905,0.08492666,0.21345744,-0.050818585,-0.08643707,-0.16605817,-0.17482086,-0.18464723,1.0242555,-0.17749889,0.50796443,-0.076578654,-0.10417019,-0.08550178,-0.090018354,0.046993,0.0023593733,-0.17295289,-0.013783272,-0.090909235,-0.15373997,-0.078381084,0.15503155,-0.16324374
Foxo1,-0.034396842,-0.511732,2.0616734,0.24124931,0.25018096,0.054495122,0.03193742,-0.29666594,-0.8731635,2.0796504,0.5492535,1.5987263,0.6271015,-0.2530897,-0.17853631,-0.19702655,-0.23955008,-0.050274987,0.0030472062,0.4953497,0.113007456,-0.12939371,0.14799792,-0.27251086,0.3987499,1.5314053
Nhlrc3,0.010490045,0.14202243,-0.34612992,0.030604765,0.13649361,0.0047523943,0.042596143,0.004053707,-0.34070164,-0.3462532,-0.3358249,-0.34221464,-0.020607542,-0.12661879,0.044591084,-0.011592888,0.12544298,-0.027268143,-0.05085919,0.03573214,-0.054107588,0.11296557,0.47555184,0.02826785,-0.020261109,1.554816
Supt20,0.09634876,-0.10048732,-0.8627236,0.052379955,0.1547747,-0.048871584,0.075677566,-0.05212152,-0.8644055,3.5096147,0.16687001,-0.8639367,-0.097428136,-0.14698277,-0.06867324,-0.06062384,0.17678061,-0.017941995,-0.10305237,-0.13766634,0.24346985,0.22871397,0.3521893,0.14736538,-0.17310147,0.022858292
Spg20,-0.059967626,0.19670716,-0.28394425,-0.09035783,-0.0047327513,-0.092298925,-0.07851974,0.06568873,-0.2866546,6.6814823,-0.28908956,-0.28589916,0.15424499,-0.04768819,0.06283062,-0.054346967,0.053850967,0.09260112,0.19816571,0.046491273,-0.040749993,0.081228495,0.038273368,0.094141066,-0.12038707,-0.28992033
Rnf13,0.23043309,0.19539407,-0.5675049,0.12169524,0.17014204,-0.0023847863,-0.11378391,0.2554265,-0.55075943,-0.56788516,-0.15530185,3.1365526,-0.049842075,-0.102671325,-0.14864363,-0.038377322,-0.17518502,0.018231263,0.044992108,-0.1387943,-0.043468054,-0.025452917,-0.27396566,-0.036319073,-0.1444597,0.7502388
Pfn2,-0.06447421,-0.112216786,-0.10237471,-0.037782937,-0.04457419,-0.018086147,-0.04121177,-0.061376233,-0.104137726,-0.10233467,-0.10572161,-0.10364633,0.009526573,-0.041215733,-0.021815116,-0.06448294,-0.07379011,0.019072115,-0.0042878333,-0.104480475,0.24597697,0.16794266,-0.10800587,-0.010488776,-0.0142892515,-0.10626201
Tsc22d2,0.023753917,0.04146117,-0.65408766,0.11422602,-0.017868482,0.05791004,0.13271867,0.008046759,-0.64977396,-0.65418565,-0.35998112,-0.6509763,-0.001451148,-0.04311687,0.025601935,-0.093894936,-0.012355728,-0.01177209,-0.05903899,-0.19703972,0.26734555,0.13776746,-0.21090321,-0.13572815,-0.0653441,0.6350554
Siah2,-0.005279527,0.08220693,-0.5417512,-0.2659472,0.14187922,-0.27943492,0.17642409,-0.12190588,0.42106083,-0.5413236,0.52753615,-0.55533326,-0.335046,-0.009359424,0.4621434,-0.11786193,0.24227674,-0.0881673,0.39908573,-0.2208794,0.53399575,0.77230847,0.09367515,-0.048519544,-0.12489565,-0.58327115
Med12l,0.08541664,0.58758706,-0.35960665,0.033344436,0.18824477,0.13658464,0.097235575,0.48986202,-0.35849234,-0.35963196,-0.17353965,-0.3588029,-0.35849535,0.048562534,-0.034157727,0.026777236,0.09834394,-0.08789272,-0.0741255,-0.3582757,-0.28320217,-0.21318427,-0.3560475,-0.09825932,-0.30608523,-0.35714972
Gpr171,0.2564388,0.20371579,-1.0559028,0.14494376,0.15630493,0.21779555,0.23620942,-0.09397369,0.6191625,-1.0561725,0.4539887,-1.047341,-0.5915518,-0.26024237,-0.13141426,0.060165465,0.065685384,-0.17199881,-0.087373674,-0.7860963,0.15531537,0.10100965,0.41137707,0.34017706,-0.2163503,-1.0297294
P2ry13,-0.0063482905,-0.058221135,-0.07144024,0.03934149,0.0712123,-0.045948528,0.018763846,-0.048415985,-0.0690723,-0.07149401,-0.06694495,-0.0697323,-0.069078654,-0.011584571,0.018883724,-0.03140586,0.040812124,-0.025938103,-0.025406178,-0.06861194,0.039090168,-0.05521722,-0.06387691,-0.03966107,-0.06711358,-0.06621912
Mbnl1,0.3895743,0.19496588,-0.30144647,0.3603998,0.388472,0.013101633,-0.013905538,-0.17506023,-2.0980344,2.342912,-0.598027,0.4419946,0.2714285,-0.33147752,-0.2900463,-0.25231004,-0.2190416,-0.077178486,-0.019121619,0.84506,0.5572397,0.17952232,0.51917267,0.11260857,-0.2786955,1.3683758
Rap2b,0.02680501,0.31250766,2.6303313,0.04373954,0.03644564,0.14962187,0.13529655,0.24892035,1.3950574,2.6511965,-0.12812208,-0.7288917,-0.08455364,-0.12850577,-0.12767893,-0.009743132,-0.104189254,-0.042758018,-0.12333831,0.010379525,-0.17948703,-0.073589765,-0.056712724,-0.009231734,-0.25377107,0.2536113
E130311K13Rik,-0.017582104,0.19166817,-0.23579182,0.063751675,-0.046240676,-0.10026365,-0.040356033,0.032184348,-0.2316141,-0.23588671,-0.22786085,-0.23277853,0.10015109,-0.085862085,-0.042251784,-0.045550045,-0.067312494,-0.015766311,0.38305938,0.211315,0.019578118,0.11867395,0.2222565,0.08660804,-0.06088217,-0.22658029
Kcnab1,-0.039354417,-0.07522076,-0.07271556,-0.029682826,-0.08271387,-0.0239239,-0.0040941155,-0.041365225,-0.07316432,-0.072705366,-0.07356748,-0.07303924,-0.01650987,0.049151704,0.0143465595,-0.019440887,0.001969537,-0.015180857,-0.006691621,-0.07325156,-0.022195684,-0.028736668,-0.074148916,0.033851102,-0.043192096,-0.07370503
Tiparp,0.034603715,-0.016207617,-0.4903187,0.03942161,0.07550605,0.052077144,-0.0022314514,0.08432286,-0.48620045,-0.4904122,0.098851755,-0.4873483,-0.062312968,-0.06470228,-0.07831818,0.06726447,-0.11998298,0.009320693,-0.0512865,-0.104387775,-0.21057872,-0.20789237,-0.47716486,-0.00019195119,0.124397725,-0.48123834
Ccnl1,0.16686219,0.26820937,0.48828173,0.09954097,0.09581525,-0.06607693,-0.033432867,0.2638968,2.0197592,0.5022132,0.30317003,-1.8010631,-0.41562754,-0.0018305812,0.054232117,-0.13846713,-0.18768524,0.008553449,-0.23848991,-0.4177099,-0.025190612,-0.03802929,-0.45617566,-0.3921535,0.22778481,-0.54789466
Rsrc1,0.008782261,-0.08973543,-0.68410367,-0.04385451,0.075613886,0.19520329,0.16943362,0.027190333,-0.68939805,-0.6839834,0.7600364,-0.68792236,0.07974766,-0.07408726,-0.052742172,-0.10348786,-0.13317724,-0.07579067,0.10920008,0.3283365,0.010102295,-0.081718504,0.4890636,0.07729212,0.04165838,-0.6957773
Il12a,-0.06047674,-0.047498886,-0.06854059,0.014505431,0.21269386,-0.0118051525,0.013274033,-0.06552429,-0.064771384,-0.06862618,0.7729074,-0.06582195,-0.064781494,-0.03343105,-0.012622245,-0.036573905,-0.043584663,0.0038880892,0.004734788,-0.064038604,-0.04376958,-0.042717367,-0.05650155,-0.05495321,-0.061653562,-0.060229793
Ift80,-0.25458926,-0.007994101,-0.3926383,0.016207157,0.122527786,0.06280909,0.07593685,-0.3044433,-0.38438413,-0.39282575,-0.3769686,-0.38668475,0.69737303,-0.0685406,-0.08001943,-0.19029498,-0.17994983,-0.02099444,-0.015735097,0.08062216,0.20079084,-0.026574299,0.01188651,-0.23887274,0.4903859,1.4944259
Smc4,-0.5082589,-0.16797428,-1.3152063,-0.10367189,0.082360186,1.1078447,1.081777,-0.39826268,-0.17284971,-1.3140553,0.17398481,-1.3517641,0.6064795,0.1428896,0.19740346,-0.31867173,-0.39368805,-0.4738309,-0.5463793,-0.3793536,-0.39484856,-0.37773305,-0.025890809,-0.45775026,0.21471262,1.4310986
Trim59,-0.08398949,-0.22261293,-0.6094924,-0.057498273,0.02437322,0.45015857,0.52407205,-0.12432972,-0.62489766,-0.60914254,-0.20361665,-0.62060386,0.14428917,0.07527475,-0.011221415,-0.08902835,-0.21803127,-0.081805766,-0.18210743,-0.47372442,0.07636378,-0.11357418,0.3724352,-0.19675548,-0.17287165,2.0950265
Kpna4,0.030457735,-0.34596074,-1.0923567,0.030890679,-0.12735404,0.02287049,-0.08382833,0.33857536,1.3772116,1.5995425,0.37626132,-1.0956385,-0.10023595,-0.14507753,-0.2794357,0.11399983,-0.012720497,0.12132862,-0.055877212,-0.63227415,0.04062668,-0.21796773,-0.5003919,0.10926053,0.0058871526,-1.1023891
Ppm1l,-0.029931337,0.3052082,-0.13010941,0.03679809,-0.017655002,-0.01162875,-0.052021824,-0.083562255,-0.12506208,-0.13022403,0.72350836,-0.1264689,0.09132186,-0.02434436,-0.07282609,-0.06406907,-0.07969898,0.013640014,-0.031986613,-0.124080814,-0.001467832,-0.040253155,-0.113987975,-0.058372088,0.08835176,-0.11898045
Wdr49,-0.03615417,-0.0436959,-0.059241284,0.023230292,0.002800637,-0.00979845,-0.009174052,-0.046461713,-0.056456633,-0.059304524,-0.053954918,-0.057232782,-0.0225242,-0.014427302,-0.03598064,0.0029988182,0.025720678,-0.0057317503,-0.0051062186,-0.055915263,-0.040940728,-0.040163364,-0.05034697,-0.025967225,-0.054153223,-0.053101357
Serpini1,-0.052930478,0.051788103,-0.38369414,0.052563667,-0.06045824,0.102632426,0.03772134,-0.09213506,-0.38107932,-0.3837535,0.070126414,-0.38180813,0.064913645,0.011266942,-0.0073314216,0.09625411,0.029795835,-0.09395771,-0.1825371,0.3444884,0.036152408,-0.12526473,-0.0059899986,-0.06867627,0.09940852,1.3187392
Golim4,-0.04604762,-0.25779995,-0.48619777,0.11267667,-0.064719334,-0.05205175,-0.12635909,0.39813185,0.7955713,-0.48627546,-0.2126796,-0.48372895,-0.09637081,0.11631164,-0.023478441,-0.06242761,-0.04574169,-0.027992263,-0.12549028,0.5015108,0.0038847332,-0.06852618,0.18145178,-0.041849915,-0.1475397,-0.47865072
Rapgef2,0.20798899,0.49632704,-0.56228924,0.17475197,0.086367995,0.0066588637,-0.10240127,0.20196643,-0.5502188,-0.5625633,-0.46402398,-0.55358315,-0.15408587,-0.018812796,-0.13153638,-0.08295538,-0.23074742,-0.013486533,-0.09581227,-0.37366265,0.3519343,-0.17198946,0.30314916,-0.1060381,-0.066487744,-0.5356749
Ctso,0.023947693,0.5789236,-0.60297346,0.082851894,0.15874143,-0.111790076,-0.10070637,-0.099956095,-0.5890117,-0.6032905,0.32048684,-0.5929032,0.19709422,-0.072902285,-0.09764137,0.015775999,0.045614455,-0.045669567,-0.07063731,0.2004744,0.09493064,0.22266173,-0.14724492,0.10159692,-0.008830408,-0.572189
Tlr2,-0.062494446,0.1766715,-0.07880294,0.0022317707,-0.10518624,-0.046154983,-0.06701899,-0.06917384,-0.079987116,-0.078776054,0.7590003,10.0,-0.023289073,-0.06639137,-0.023315499,-0.004062966,-0.062977724,0.07118831,-0.10182385,-0.08021733,0.10117531,-0.04177991,-0.082585245,-0.0597878,-0.026905434,-0.08141395
Tmem131l,-0.00914537,0.18270221,-0.82130414,0.19908291,0.24589811,0.036668666,0.09435509,0.13475804,-0.8087959,2.4074244,-0.18768528,1.8794494,-0.007238036,-0.049694438,-0.09074877,-0.17276205,-0.12971082,-0.10837735,-0.06268473,0.33365315,-0.059834927,0.03038361,-0.18415692,-0.22849207,-0.13783738,0.3336166
Trim2,-0.07654553,-0.09001534,-0.109270774,0.03692135,0.01237057,-0.024923312,-0.05362446,-0.042889446,-0.10582154,-0.1093491,-0.102722764,-0.10678293,0.12149112,-0.049416527,-0.04508149,-0.06180188,-0.013822099,0.03826701,0.078627095,-0.10515097,0.08187643,-0.02864844,-0.09825375,-0.02996614,-0.042126328,-0.1016655
Fbxw7,0.119641885,-0.09182764,-0.710786,0.12878577,0.18904811,0.105129674,0.012599338,0.3133449,0.28971002,2.6987991,-0.35377315,-0.7058382,-0.21507293,-0.028218104,-0.0832187,-0.14606196,-0.1714472,-0.070159115,0.00035059292,-0.0028839628,0.09355108,0.15478694,-0.114397265,-0.048797492,-0.21775858,-0.6956606
Cd1d1,-0.00976996,0.3466242,-0.4780441,0.13703424,0.0789125,-0.08927947,-0.08454254,0.068354756,-0.46921468,-0.4782446,0.32593486,-0.47167566,0.017582223,-0.06505105,-0.065971434,0.04016151,0.09319091,-0.025585948,-0.21983717,-0.21034394,-0.030088821,0.002546253,0.33756697,-0.107334204,0.06100472,-0.4585759
Cd5l,-0.029145388,-0.0422674,-0.048733756,0.01558278,0.17384166,0.01731829,-8.9259986e-05,-0.03726619,-0.047575437,-0.048760056,-0.046534806,-0.04789829,-0.047578543,-0.003741071,-0.03905811,0.05273317,-0.041064516,-0.026475597,-0.026215397,-0.047350243,-0.04112134,-0.040797986,-0.04503402,-0.021357931,-0.046617292,-0.04617975
Fcrl1,-0.11065143,-0.12938336,-0.12803943,-0.054950505,-0.133403,-0.06925757,0.008103134,-0.12823208,-0.12828016,-0.12803397,-0.12849645,-0.12821308,-0.12827952,-0.06813984,0.027155355,-0.0838369,-0.014675403,-0.029931584,0.08827316,-0.12832697,0.18598323,0.43691558,-0.12880835,-0.03517203,-0.1284793,-0.12857023
Etv3,-0.029814769,-0.049329832,3.2532077,0.12938134,0.0531152,0.095998265,0.07407996,-0.29155126,-0.57489884,-0.5753227,0.536391,-0.57501435,0.03924519,-0.03290396,-0.08958203,0.018096713,-0.028759759,-0.13276373,0.06574136,0.010872511,0.29848117,0.23539701,0.31140882,-0.10514789,0.08127893,-0.5743996
Arhgef11,-0.07975474,-0.108577915,-0.12756057,0.045377154,-0.05180041,0.025608793,0.047553305,-0.07171681,-0.12416021,-0.1276378,-0.12110533,-0.12510797,0.092191845,-0.03510923,-0.055044115,-0.045392044,-0.10504672,0.064128846,-0.014776887,-0.12349913,-0.038563192,0.009852197,0.8953534,-0.030024089,0.1226017,-0.12006303
Pear1,0.03921514,-0.09654273,-0.35037103,0.039426643,0.045423046,-0.05006178,0.1282062,0.10132999,-0.34041116,10.0,-0.33146325,-0.3431872,-0.22765107,-0.09400361,-0.017432623,-0.0350179,0.07357013,-0.02327318,0.06914332,0.24529316,0.04910653,0.13351285,0.87972206,0.23109971,-0.26594982,-0.3284103
Sh2d2a,0.25469,0.6805184,0.62678486,0.02898971,0.4119285,0.01417976,0.4870535,-0.0097655775,0.46097097,0.6404949,-1.2508671,-1.5733259,-0.931497,-0.18649659,0.28228408,-0.147198,0.24380746,-0.26490754,0.09513958,-0.6704066,0.12866896,0.41780284,1.3631413,0.90386647,-0.49993995,-0.1612056
Rrnad1,-0.021408867,0.09941639,-0.40319467,-0.005700679,0.022580849,0.037313405,0.06524438,-0.050113615,-0.39932555,-0.40328255,0.026793191,4.204635,0.04552265,-0.046985835,-0.032490935,-0.03746237,-0.076826364,0.034334872,0.022930652,0.54072446,0.10637769,0.018789716,0.17100063,0.06515526,0.080596164,-0.3946636
Gpatch4,-0.17234156,-0.36971337,-0.3551803,-0.35423654,-0.17770912,-0.37111598,-0.36960363,-0.30144727,-0.38212627,-0.3545684,0.39019322,-0.37461576,0.5624528,0.16080664,0.19145073,0.0009937922,0.027161164,0.2535469,0.46250543,0.67511797,-0.011621661,0.22245528,-0.2130988,-0.003975267,0.26607716,-0.41459405
Mef2d,0.21938464,-0.0111375265,-0.9786286,0.22651127,0.1779018,0.0067196805,-0.030716896,0.092625976,0.89283717,-0.9789457,0.07728874,-0.9685572,-0.12025426,-0.16775444,-0.21231744,-0.21047841,-0.1361234,-0.0155528225,-0.13650617,-0.50304234,-0.016651852,-0.043530863,-0.11186986,-0.032220274,0.04574044,-0.09207776
Sema4a,0.30573183,0.35874668,-0.8542277,0.19863777,-0.2445559,0.2814201,-0.14821531,0.44921038,-0.84527576,-0.85443103,0.05556607,-0.8477709,-0.21752696,-0.013150386,-0.29888773,0.14743434,-0.2649962,-0.0090826005,-0.3559835,0.115790114,-0.3078637,-0.5865978,0.50163424,0.049679838,-0.30431235,-0.8344894
Lmna,-0.027817087,-0.07541586,-0.1707471,-0.030615157,-0.18934953,0.13985713,-0.14294362,0.006743647,-0.17594774,-0.170629,0.38767242,-0.1744982,-0.14275289,0.22793809,-0.0970508,0.0015829483,-0.14045413,-0.0045823758,-0.19953096,-0.17695881,0.10677566,-0.12534899,-0.18735823,-0.13483317,0.22144975,-0.18221411
Mex3a,-0.08658854,-0.09938562,-0.119937904,-0.022149298,0.079673514,-0.04032992,0.0025787682,-0.042686753,-0.11625637,-0.120021515,-0.11294889,-0.1172825,0.122714095,-0.027577685,-0.060128637,-0.039656572,-0.02323215,0.035255354,-0.048366863,-0.11554063,0.18744841,-0.06890808,-0.108178884,-0.083306044,0.09743596,-0.111820415
Khdc4,0.14397389,0.30992383,-0.7215746,0.013038324,0.09999163,-0.12007535,0.062392406,-0.033886857,1.4698782,-0.72168994,-0.7119359,-0.7179125,-0.17105506,0.014615781,0.123748936,-0.08777751,0.029157097,0.044787403,-0.043837436,0.272449,0.09283682,0.01566612,0.036438543,0.10370554,0.016186394,-0.71037954
Syt11,-0.037460323,0.24805349,-0.51679236,0.008887776,0.20777895,0.031296425,0.22806461,-0.038176104,0.7523474,-0.5168576,-0.13517709,-0.51471955,-0.20212178,-0.11636894,-0.028169837,-0.017410805,0.13049775,-0.14052577,-0.038550537,0.42937416,0.12515308,0.5453703,0.43437868,0.32453778,-0.19843255,-0.5104557
Ash1l,0.101377934,-0.2271327,-1.0490323,0.19954763,0.115760155,-0.052455522,-0.036973573,0.05715412,-0.23183751,1.6642812,0.26326486,2.2955208,0.25735652,-0.19607429,-0.23975326,-0.26352936,-0.3239808,0.11440957,0.071800455,-0.49092546,0.22942401,0.037447948,-0.20072527,0.21812758,0.08723673,1.2310169
Rusc1,0.054194003,0.36340696,-0.48196113,0.05238658,0.06517238,-0.08678688,-0.09298227,0.026082067,-0.48179698,-0.48196486,0.2469561,-0.48184276,-0.04111521,-0.014372609,0.04360211,-0.01936832,-0.08472328,-0.014220493,0.057649232,-0.14386913,-0.11474855,0.07004091,0.08188188,0.08990532,-0.013993633,-0.48159918
Hcn3,-0.059791233,-0.05066134,-0.06546414,0.027464611,-0.0063859,-0.036918435,-0.038420722,-0.06334218,-0.06281251,-0.06552435,-0.060430296,-0.06355158,0.06168963,-0.0029716284,-0.043314636,-0.026411463,-0.047907695,0.03393025,-0.013915053,-0.062296998,-0.048037782,-0.022112193,-0.056994695,-0.055905443,-0.060619127,-0.05961751
Clk2,0.01351817,-0.01423745,-0.4374457,-0.0041156006,0.23074006,0.056359652,0.1038537,-0.025227062,-0.43615103,-0.43747512,-0.082013756,5.8363223,-0.014529157,-0.031825207,0.037693735,-0.1200126,0.015212874,-0.04955173,0.0017780247,0.08221283,0.00962645,0.05708015,0.5411602,0.0042441464,0.085571565,-0.43459103
Fam189b,0.20044227,0.3034072,1.261139,0.3270429,0.25234842,-0.07732176,-0.3174808,-0.14955512,-0.5007055,-1.2859976,0.5015094,2.5447447,0.59898835,-0.29304942,-0.34241506,-0.07493883,-0.22944725,0.02527319,-0.14818454,0.33979222,0.18838023,-0.007674778,-0.2174646,-0.4190798,0.42323944,1.146372
Trim46,0.058883656,0.90318537,-0.14766356,-0.0081037665,-0.03829384,-0.03819272,-0.057159055,0.0741461,-0.14696795,-0.14767937,-0.146343,-0.14716183,-0.1356395,-0.007458511,-0.08296379,-0.0159083,-0.051914055,0.019465083,0.040003207,-0.1468327,0.025497822,0.014864662,-0.1454417,0.009896873,-0.07079032,-0.14612976
Slc50a1,0.20218283,0.11764176,-1.2513155,0.16727804,0.24834874,0.06699965,0.11460671,0.222939,-1.2268205,-1.2518716,0.25398716,1.0355414,-0.072543226,-0.21812157,-0.21890086,-0.23379694,-0.15915444,-0.07620927,-0.1300549,-0.17550603,0.06318265,0.1310644,-0.014443589,-0.008044684,-0.30931637,-0.4100788
Zbtb7b,0.21859342,0.14936821,-0.34103566,0.0024588557,0.11778859,-0.09843915,0.14301749,0.17172682,-0.3365646,-0.3411372,-0.3325478,-0.3378108,-0.31210914,-0.107838616,-0.007629526,-0.08376907,0.25733095,-0.005253405,0.2203656,-0.33569536,-0.14304148,0.0059468984,0.1079144,0.30910033,-0.3064497,-0.33117732
Cks1b,-0.62640053,-0.55865794,-0.5855607,-0.6430485,-0.5295102,1.0505507,1.1202146,-0.52420366,-0.69626963,-0.5830466,-0.5997886,1.11769,-0.54721886,0.6104135,0.52530104,0.97499835,1.0683029,-0.5769686,-0.5482542,-0.47675794,-0.62737936,-0.551289,-0.68384844,-0.46820948,-0.61373466,-0.82966506
Pbxip1,0.42623082,0.3469012,-0.9239887,0.21568291,0.075638026,-0.1256727,-0.03869159,-0.02887991,-0.89751214,2.1093524,0.066009395,-0.9048918,-0.17175849,-0.20658582,-0.15419458,-0.14281002,-0.11212523,-0.0056091878,0.017593583,0.51775724,0.40369144,0.36013976,-0.24472864,0.06355399,-0.17335458,1.5673141
Adar,0.014527093,0.06277072,-0.6124412,0.08502361,0.23474967,0.00879941,0.18855764,-0.14835234,-0.60526896,-0.612604,0.650063,-0.60726804,0.08183688,-0.16455105,-0.085137196,-0.1179401,-0.053685185,0.0015537227,0.09428468,-0.60387456,0.08812184,0.30971637,-0.5895327,0.15147007,0.011763089,-0.596627
Chrnb2,-0.028445035,-0.087486126,-0.10343333,-0.003955726,0.13819516,-0.061863825,0.004901246,-0.04815985,-0.100576706,-0.10349821,-0.098010324,-0.10137292,-0.021060722,-0.0044979705,-0.05999116,-0.07920624,-0.03515413,-0.0069288076,-0.04789897,-0.10002134,-0.08465974,0.07515477,-0.09430912,-0.060110055,0.05384781,-0.097134694
Il6ra,-0.37571973,-0.31569356,-0.46350557,0.16640444,0.14122717,-0.12545356,-0.1854355,-0.42132542,-0.43702793,-0.4641068,0.682951,-0.44440788,1.4416755,-0.15364853,-0.24233367,-0.19920145,-0.27214113,0.1231791,0.14241163,-0.23991069,-0.05500625,-0.19583966,-0.37893468,-0.3480238,1.1079528,0.9695234
AC163616.1,0.0064592334,-0.043078385,-0.27620363,0.030904379,0.10193125,-0.07713349,-0.08729977,-0.08092419,-0.26987708,-0.2763473,-0.26419333,-0.27164045,0.1208671,-0.034920365,-0.07708897,-0.009842134,-0.072787546,0.07573559,0.050434075,0.066631414,-0.14766638,-0.032506324,-0.2559963,-0.005016345,0.092196144,-0.2622541
1700094D03Rik,-0.030929362,-0.09603928,-0.1041785,-0.017709233,-0.071694724,-0.05280745,-0.03479032,-0.06060816,-0.102720514,-0.104211606,-0.10141067,-0.10312689,0.022280963,-0.04834353,-0.013844591,-0.023521263,0.01616367,0.016674088,-0.02290138,-0.102437064,-0.09459673,0.051905505,-0.09952163,-0.028950777,-0.01022487,-0.10096377
Rps27,0.07708456,-0.20697196,-0.11120266,0.6129848,0.49652532,-0.6221332,-0.4514657,0.08795958,-0.84824044,-0.5512419,1.3411965,2.4467084,1.3935031,-0.72246283,-0.70398366,-0.7506969,-0.8728657,0.43019873,0.35674247,1.3756732,0.27150393,0.09814182,-0.64950675,-0.320672,1.5948408,1.261032
Gatad2b,-0.008546845,-0.038406454,-0.928745,0.15161854,0.08506312,0.047688108,0.086671576,0.16315514,-0.9158999,-0.9290366,-0.32849634,-0.9194801,0.1613388,-0.10056003,-0.13730475,-0.24553543,-0.20400965,0.018098213,-0.026666176,-0.4122697,0.04417166,0.012341673,-0.5102414,0.0104067465,0.17965,0.417992
Snapin,0.05560985,-0.20155211,-0.5462309,0.0021898919,-0.0332746,-0.087250285,0.012164078,0.06494049,-0.5420126,-0.5463267,-0.06912915,-0.54318833,-0.057538696,-0.07874557,-0.047180746,0.0063143293,0.11269365,0.035501093,0.050212756,0.111076586,-0.11461501,0.13688557,0.25967902,0.052964125,-0.13379814,-0.53692985
