gene_name,Ctrl_vs_Chd7,Chd7_vs_Ctrl
Stat6,0.454,0.454
Gm21800,,
Gm6003,,
Gm16968,,
Olfr472,0.218,0.218
Gm11891,,
Gm33866,,
Mrps28,0.646,0.646
Gm32886,,
Cdkn1b,0.188,0.188
Galnt3,0.218,0.218
Gm47876,0.858,0.858
Gm17148,0.368,0.368
Gm11349,,
Gm11245,,
Gm20108,,
Smg9,0.615,0.615
Cib3,0.973,0.973
Cygb,0.4,0.4
4931406C07Rik,0.075,0.075
Vangl2,0.478,0.478
Serinc4,0.951,0.951
Vmn1r-ps47,0.701,0.701
Wbp2,0.287,0.287
Olfr722,,
Gm3678,0.547,0.547
Zfp418,0.707,0.707
Galc,0.5,0.5
Gm29574,,
Trbj1-5,0.411,0.411
Dpep2nb,0.482,0.482
Slco4a1,0.424,0.424
Gm43096,0.427,0.427
Trav15n-3,,
Gm34658,,
Gm36996,0.547,0.547
Gm45856,0.532,0.532
Vmn2r92,0.757,0.757
Gm2040,,
Gm19089,,
Yju2,0.483,0.483
Ighv15-1,,
Nek11,0.708,0.708
Olfr1027-ps1,,
Gm10232,,
Trnau1ap,0.271,0.271
Cenpj,0.137,0.137
Zfp871,0.322,0.322
Gm15554,0.817,0.817
Gm17651,,
Gm8849,,
Gm4981,,
Clptm1l,0.249,0.249
6430531B16Rik,0.611,0.611
B3galnt2,0.915,0.915
Wdr5b,0.538,0.538
Prph2,,
Igsf21,,
Gm27039,,
Dcaf4,0.699,0.699
Gm18029,0.857,0.857
Mageb16-ps1,0.924,0.924
Gm6394,0.744,0.744
Chchd4,0.946,0.946
Gm7890,0.595,0.595
Gm44865,,
Zfp13,0.669,0.669
Vmn1r131,,
Ccdc190,,
Hba-ps3,,
Kri1,0.452,0.452
Pop1,0.304,0.304
Gm6615,0.861,0.861
Gpr176,0.503,0.503
Gm2016,,
Gm7003,,
Gm29704,,
Chrna7,,
Pcdh1,0.699,0.699
Gm12791,0.874,0.874
Trav4-2,0.755,0.755
Olfm3,,
Tcrg-C2,0.592,0.592
Gm13400,0.924,0.924
Ap3m1,0.808,0.808
Dnaja1-ps,,
Gm5560,0.755,0.755
Sly,0.696,0.696
Gm6633,0.924,0.924
Vmn1r171,0.455,0.455
Gm16558,0.86,0.86
Klk1b2-ps,,
Fam83a,0.656,0.656
C8b,,
Gm4462,0.411,0.411
Gm7947,0.485,0.485
Irs4,0.924,0.924
Gm5709,0.817,0.817
Apeh,0.053,0.053
Gm5287,,
Il1f5,,
Pank1,0.014,0.014
Zfp959,0.592,0.592
Twf2,0.655,0.655
Gm44576,0.924,0.924
Gm29149,,
Gm6051,,
N4bp2,0.499,0.499
Gm7903,0.755,0.755
Gm13120,,
Sds,,
Gm28080,,
Gm19026,0.895,0.895
Gm29258,,
Zfp184,0.65,0.65
Sec14l2,0.418,0.418
Tff1,0.83,0.83
Gm49295,,
Olfr1022,,
Hip1,0.977,0.977
Gm11627,,
Sorcs3,0.924,0.924
Lig4,0.025,0.025
Gm4432,0.924,0.924
Polr2j,0.94,0.94
Ppp1r1a,,
Tunar,0.97,0.97
Ssr1,0.824,0.824
Stx2,0.917,0.917
Gm45249,,
Fnbp4,0.84,0.84
Gjc2,0.203,0.203
Pigh,0.812,0.812
Gm8435,0.924,0.924
Sim2,0.817,0.817
Neto2,0.878,0.878
Gm8399,0.365,0.365
Abcf3,0.413,0.413
Gm39404,,
Gm13428,0.863,0.863
Gm19104,0.755,0.755
D3Ertd254e,0.162,0.162
Prdx5,0.789,0.789
Utp6,0.168,0.168
Ttc29,,
Olfr204,0.245,0.245
Prlr,0.604,0.604
Slc44a2,0.489,0.489
Ssu72,0.413,0.413
Gm8969,,
Rgs12,0.932,0.932
Ushbp1,0.362,0.362
Nfatc1,0.232,0.232
B4galt4,0.924,0.924
Tmprss11c,,
Gramd1b,0.787,0.787
Atrip,0.529,0.529
Igkv3-12,,
Vmn1r152,,
Gm5609,,
Gm7463,,
Gm5583,,
Sec23a,0.937,0.937
Gm49074,,
Gstm3,,
Gm14402,0.755,0.755
Tbc1d31,0.416,0.416
Skint7,0.715,0.715
Ephb2,0.863,0.863
Ltb4r1,0.07,0.07
Unc5cl,0.432,0.432
Gm29142,,
Zfp992,0.931,0.931
Trav7-2,0.657,0.657
D5Ertd579e,0.431,0.431
Gm572,0.731,0.731
Yrdc,0.236,0.236
Obp2a,,
Gm8847,0.924,0.924
Hoxc13,0.924,0.924
Gm43442,0.752,0.752
Ubr7,0.379,0.379
Gm17100,,
4930516K23Rik,0.068,0.068
Sf3b6,0.685,0.685
Polr1c,0.346,0.346
Gm49908,,
Gm6815,0.847,0.847
Gnptg,0.411,0.411
Gm15073,,
Gm14028,,
Plekha6,0.532,0.532
Apod,0.907,0.907
Gm47363,,
Gm36965,,
Gmpr2,0.364,0.364
Mcts1,0.456,0.456
Gm21796,,
Gm11388,,
Gm14921,0.962,0.962
Dpm1,0.15,0.15
Acat1,0.918,0.918
Gm16409,0.076,0.076
Lmtk3,0.277,0.277
Dcst1,0.628,0.628
Gimap5,0.454,0.454
Gm13341,0.089,0.089
Gm29799,,
Gm40193,0.857,0.857
Espl1,0.755,0.755
Gm13234,0.955,0.955
Gm48895,,
2210017I01Rik,0.161,0.161
Kat2b,0.535,0.535
Olfr250,0.722,0.722
Gm5046,0.924,0.924
Gm11847,0.613,0.613
Gm29335,0.924,0.924
Gm44163,0.924,0.924
Gm4898,0.563,0.563
Olfr1056,,
Ppara,0.936,0.936
Olfr1049,,
Fgf11,0.246,0.246
Rpl31-ps10,0.192,0.192
Mospd2,0.636,0.636
Naip5,0.656,0.656
Sdc1,0.292,0.292
Hrk,0.106,0.106
Gm11172,0.956,0.956
Gramd4,0.743,0.743
Taar1,,
Nptx1,0.729,0.729
Dtd2,0.047,0.047
Gm11358,,
Pip4p2,0.084,0.084
Gm49450,0.409,0.409
Gm9525,0.858,0.858
Supt16,0.833,0.833
Trim30d,0.909,0.909
Gm17109,,
Actl10,0.708,0.708
Gm4887,,
Gm7665,0.672,0.672
Cnn2,0.709,0.709
Surf1,0.175,0.175
Kbtbd11,0.493,0.493
Dcps,0.883,0.883
Gm19427,0.259,0.259
4933409K07Rik,0.711,0.711
Morf4l2,0.444,0.444
Gm48019,,
AC163660.1,,
Ston1,0.915,0.915
Smim31,0.652,0.652
Gm17987,,
Satl1,,
Utp3,0.035,0.035
Tlr13,0.034,0.034
Exosc4,0.569,0.569
Gm20912,,
Defb33,,
Atmin,0.34,0.34
Tmed5,0.695,0.695
Arxes2,0.819,0.819
Gm5648,0.821,0.821
Elf4,0.358,0.358
Tsnaxip1,0.241,0.241
A830018L16Rik,0.417,0.417
Cyhr1,0.392,0.392
Cfap221,,
Gm45023,,
Ccdc8,0.65,0.65
Ercc6,0.77,0.77
Gm14576,,
Rhox3h,,
Cap2,0.759,0.759
Gm47892,,
Gm18441,,
Ccne1,0.761,0.761
Gm6261,,
AW554918,0.322,0.322
AI182371,0.759,0.759
Gm9593,,
Dph5,0.306,0.306
Crhbp,,
Gbx2,,
Zbp1,0.083,0.083
Pms1,0.224,0.224
Nlrp5,0.543,0.543
Kctd20,0.589,0.589
Nr5a2,,
Tnfrsf19,,
Gm16112,,
Gm44402,,
Gm19908,0.924,0.924
Gata3,0.724,0.724
Gm3259,0.924,0.924
Ighv2-7,,
Fam120a,0.422,0.422
AC115715.1,,
Pex6,0.635,0.635
Gm48037,,
Me1,0.63,0.63
Rtn3,0.483,0.483
Gm48625,,
Rpl18-ps2,0.709,0.709
Gm45660,0.558,0.558
Wdr95,0.786,0.786
Olfr1479-ps1,,
Krtap3-3,,
Mmachc,0.898,0.898
Znrf4,,
Gm14367,,
Gm21915,,
Mien1,0.417,0.417
Tspyl4,0.353,0.353
Mief2,0.425,0.425
Gm14324,0.47,0.47
Olfr1097,0.445,0.445
Wnt6,0.559,0.559
Ropn1,,
Gm48360,0.288,0.288
Tdrd5,0.426,0.426
Ccdc88b,0.45,0.45
Trav4n-3,0.333,0.333
Rps9,0.855,0.855
Sac3d1,0.908,0.908
Plekhb2,0.934,0.934
Tas2r126,0.854,0.854
Gm48347,,
Steap3,0.557,0.557
Rph3a,0.705,0.705
Wbp11,0.914,0.914
Kcnd1,0.683,0.683
Gm11485,0.755,0.755
Olfr600,0.866,0.866
Gm18387,,
Bod1,0.694,0.694
Olfr1283,,
Zzef1,0.551,0.551
Gm15166,,
Gm8515,,
Ighv13-2,,
B3galnt1,0.706,0.706
Mrpl54,0.343,0.343
Krtap19-4,,
Gm48134,,
Ube2i,0.396,0.396
Defa-ps17,,
Gm5292,0.44,0.44
Gm45337,,
Miga1,0.082,0.082
Gm14624,,
Jmy,0.004,0.004
Gm15981,0.372,0.372
Gm5362,0.805,0.805
Olfr738,,
Zfp292,0.689,0.689
Zc3h12b,0.661,0.661
Pla2g4a,0.591,0.591
Olfr1393,0.637,0.637
Gm13910,0.4,0.4
Igkv4-54,,
Sepsecs,0.16,0.16
Igkv2-109,0.924,0.924
Gm18296,,
Gm15111,,
Gm43855,,
LOC665443,0.924,0.924
Crebbp,0.423,0.423
Soga3,,
1700016D06Rik,0.55,0.55
Prrc2c,0.801,0.801
Cx3cl1,,
Gm36984,,
Gm20369,,
Gm44945,,
Tex2,0.013,0.013
Cd46,0.894,0.894
Gm5614,0.826,0.826
Klhl21,0.776,0.776
Rmnd5a,0.288,0.288
Taar7c-ps,,
Gm47852,0.934,0.934
Gm47046,,
Mrm1,0.469,0.469
4932415D10Rik,0.32,0.32
2310057M21Rik,0.361,0.361
Gm12771,,
Gm4263,0.677,0.677
Txndc5,0.542,0.542
Ncoa2,0.664,0.664
Tnip1,0.475,0.475
Gm20806,,
Siglecg,0.568,0.568
Gm45727,,
Arhgap39,0.306,0.306
Atp5l-ps1,0.498,0.498
Ighm,0.0,0.0
Shroom1,0.758,0.758
Hprt,0.383,0.383
Dleu7,0.709,0.709
Gm5801,0.669,0.669
Hras,0.523,0.523
Clec2i,0.779,0.779
Rin2,0.034,0.034
Gm19283,,
Gm14070,0.718,0.718
Sbk3,0.93,0.93
Ankrd24,0.766,0.766
Tex15,0.693,0.693
Ceacam12,0.602,0.602
4930544D05Rik,0.81,0.81
Prrc2b,0.07,0.07
Adig,0.525,0.525
Gm43575,,
Ccna1,,
Trio,0.685,0.685
Gm21232,0.924,0.924
Foxb1,0.589,0.589
Olfr22-ps1,,
Gcnt7,0.841,0.841
Cyp3a25,,
Acad12,0.298,0.298
Gm49826,,
Gm4708,,
Gm21761,0.547,0.547
Gm44501,,
Gm28480,,
Ctc1,0.28,0.28
Tas2r122,,
Pkd1l3,0.774,0.774
Gm15274,,
Gm15084,,
Gm31371,0.817,0.817
Ube2d2a,0.816,0.816
Spib,0.961,0.961
Gm28899,,
Ift88,0.825,0.825
Iqcd,0.905,0.905
Gm29124,0.755,0.755
Defb45,,
Gm48245,,
Eif3j2,0.65,0.65
Adcy9,0.589,0.589
Usp32,0.159,0.159
Gm14804,0.606,0.606
Rhog,0.731,0.731
Gm45878,,
Zbtb44,0.623,0.623
Klk1b4,,
Olfr12,0.714,0.714
Alg2,0.821,0.821
Susd3,0.732,0.732
Olfr1460-ps1,,
Elp3,0.844,0.844
Gm41073,,
Cap1,0.987,0.987
4930564D02Rik,,
Ginm1,0.445,0.445
Gm10042,0.953,0.953
Gm44173,,
Ptpn6,0.101,0.101
D6Ertd527e,0.704,0.704
Gm37201,,
Elk3,0.673,0.673
Nim1k,0.793,0.793
Glipr1l2,0.817,0.817
Rps24,0.768,0.768
Cd59a,0.509,0.509
Gm14894,,
Lrrn4,0.098,0.098
Tnfrsf1a,0.19,0.19
Zfp946,0.552,0.552
Atxn7,0.125,0.125
Slc52a2,0.175,0.175
Cldn3,,
Cux1,0.126,0.126
Btd,0.614,0.614
Bysl,0.799,0.799
Vwc2l,0.924,0.924
Abhd11,0.187,0.187
Gm8451,0.611,0.611
Scgb2b10,,
Gm8498,0.479,0.479
Gm26915,,
Fahd1,0.959,0.959
Gfral,,
Gm8670,0.014,0.014
Gm48216,0.776,0.776
Gm28414,,
AC101593.1,,
Gm14163,0.924,0.924
Gucy2f,0.506,0.506
Josd1,0.298,0.298
Gm14864,,
Gm16215,,
Dennd6a,0.644,0.644
Larp1b,0.685,0.685
Hcn3,0.212,0.212
Ly86,0.344,0.344
Dsc3,,
C4bp-ps1,0.924,0.924
Nol3,0.714,0.714
Rbm46,,
Gm48496,,
Spaca3,,
A530064D06Rik,0.954,0.954
Gm17790,0.924,0.924
Gm13488,,
Gm17797,,
Mrps34,0.13,0.13
Gm10112,,
Epsti1,0.03,0.03
Gm42814,0.86,0.86
Gm49079,,
Gm19156,,
BX001068.1,,
Gm20919,,
Cd200r4,0.118,0.118
Gm11662,0.924,0.924
Gm14878,,
Trav7-5,0.99,0.99
Tspyl1,0.377,0.377
Rfx7,0.71,0.71
Olfr1397-ps1,,
Slc35c1,0.786,0.786
Gm17820,0.478,0.478
Gm48394,,
Gm7712,,
Rpl29-ps2,0.298,0.298
Gm2349,,
Gm10916,,
Igfbp2,0.924,0.924
Gm11472,0.592,0.592
Ccdc70,,
Gm13172,,
D630033A02Rik,0.633,0.633
Nphs1,0.831,0.831
Gm12386,,
Gm16415,0.72,0.72
Sparcl1,0.877,0.877
Gm5862,0.924,0.924
AC148014.1,,
Adamts13,0.774,0.774
Serpinb13,0.2,0.2
4933414I15Rik,,
Lingo1,0.656,0.656
Gm14385,,
Gm12573,0.786,0.786
BC005624,0.041,0.041
Olfr1263,0.95,0.95
Rnf168,0.355,0.355
Cd300e,0.559,0.559
Gm45308,0.694,0.694
Faap100,0.568,0.568
Trim28,0.17,0.17
Gm49816,,
Gm29366,,
Coq8a,0.007,0.007
Kif2c,0.849,0.849
Slco1c1,,
Mcrs1,0.242,0.242
Ghitm,0.93,0.93
Gm17991,,
Gfm2,0.796,0.796
Rrp9,0.295,0.295
Gm20612,0.755,0.755
S1pr4,0.917,0.917
Gm18415,,
Gm6754,0.583,0.583
Gm38015,,
AC113104.2,,
Gm20164,,
Olfr773,,
Nup107,0.842,0.842
Gm6152,,
Gm4880,0.817,0.817
Elmsan1,0.897,0.897
Gm7481,0.668,0.668
Higd2a,0.216,0.216
Erich1,0.219,0.219
Gm45668,,
Gm48494,0.233,0.233
Gm15007,0.962,0.962
Rpl15-ps3,0.757,0.757
Prmt6,0.295,0.295
Atp2b2,0.246,0.246
Gm21960,0.329,0.329
Gm6366,0.924,0.924
Cacybp,0.688,0.688
Med19,0.777,0.777
Gm49174,0.697,0.697
Gm10064,0.966,0.966
Gm5740,0.812,0.812
Slc16a12,0.86,0.86
Tnfrsf9,0.816,0.816
Ighv14-2,0.494,0.494
Gm15975,0.944,0.944
Gm7449,0.924,0.924
Gm8916,,
Nrm,0.426,0.426
Rps8-ps3,0.618,0.618
Gm2231,,
Cox15,0.287,0.287
Vmn1r-ps60,,
Gm5356,0.682,0.682
Olfr830,0.53,0.53
Map6,0.382,0.382
Gspt2,0.181,0.181
Olfr552,0.531,0.531
Trim43b,0.227,0.227
Ltbp4,0.532,0.532
Gm29109,,
Pnpla6,0.723,0.723
Arsb,0.084,0.084
Gm11799,,
Tbc1d1,0.728,0.728
Anapc10,0.864,0.864
Gm7739,,
Zfp939,0.413,0.413
Vmn1r-ps111,,
Ccr5,0.027,0.027
Gm6343,,
Gm16060,0.924,0.924
Rpl35a-ps2,0.612,0.612
Sptlc3,,
Gm12208,0.907,0.907
Olfr1422-ps1,,
Gm20716,0.052,0.052
Hdac8,0.853,0.853
Gm48456,,
Helz2,0.87,0.87
Snapc2,0.353,0.353
Sowahc,0.875,0.875
Olfr406,,
Ceacam-ps1,,
Surf4,0.765,0.765
Nanp,0.94,0.94
Prl6a1,,
Azin1,0.751,0.751
Zswim4,0.404,0.404
Twistnb,0.078,0.078
Gm3809,0.643,0.643
Gm11897,,
Sry,0.64,0.64
Gm49315,,
Gm26913,,
Ehd2,0.849,0.849
Gm14821,,
Kcnq5,0.645,0.645
Mcu,0.251,0.251
Olfr966-ps1,,
Rars,0.626,0.626
Gm12004,,
Skint4,0.815,0.815
Gm45386,,
Igkv5-37,,
Gm381,,
Mia2,0.326,0.326
Zfp148,0.841,0.841
Smc5,0.094,0.094
Proser2,0.753,0.753
Msi1,0.682,0.682
Gm2768,,
Gadd45b,0.627,0.627
Tgfa,0.87,0.87
Dars,0.923,0.923
Rnf125,0.162,0.162
Syde1,0.428,0.428
Tmcc3,0.666,0.666
Lhx4,0.245,0.245
Rbp3,,
LOC102637012,0.924,0.924
Zfand5,0.925,0.925
Gm28918,,
Gm7863,0.739,0.739
Gm29556,,
Ranbp2-ps10,,
Ighv8-8,0.672,0.672
AL731706.1,0.644,0.644
Gm47762,,
Rpa3,0.942,0.942
Gm4857,,
Gm43739,,
Gm11929,,
Gm13458,,
Gm18348,,
Gm6682,0.404,0.404
Trav2,0.879,0.879
Defb30,,
C030006K11Rik,0.599,0.599
Tmem59l,0.345,0.345
Eef1d,0.789,0.789
Gm28145,,
Atp2c1,0.503,0.503
Smim40-ps,,
Clec18a,0.829,0.829
Gm8077,,
Gm12240,0.205,0.205
Gm12804,0.823,0.823
Maip1,0.907,0.907
Gm49061,,
Gm14987,,
Zfp426,0.706,0.706
Gm8907,0.755,0.755
Gm12210,,
Crb3,0.226,0.226
Lrrc66,0.452,0.452
Serpina9,0.5,0.5
AC117805.1,0.924,0.924
Mrpl48,0.605,0.605
Gm14130,0.888,0.888
Alg5,0.5,0.5
Fam222b,0.225,0.225
Gm16464,0.239,0.239
Cpne6,,
Gm14538,0.443,0.443
Gm18320,,
Gm11838,,
Gm8838,,
Gm12643,0.883,0.883
Gm6296,0.872,0.872
4931429L15Rik,0.656,0.656
Vmn2r14,0.665,0.665
4931423N10Rik,0.995,0.995
Gm8839,0.51,0.51
Gm5492,0.458,0.458
1700003H04Rik,,
Galnt1,0.469,0.469
Zdhhc9,0.492,0.492
Gm14735,0.923,0.923
Rhebl1,0.875,0.875
Slc27a4,0.713,0.713
Gm10092,,
Gm272,,
Anp32a,0.241,0.241
Vmn2r37,,
Smyd1,0.323,0.323
Gm2026,0.0,0.0
Olfr364-ps1,0.797,0.797
Nyx,0.978,0.978
Ocstamp,0.786,0.786
Olfr1358,,
Psip1,0.938,0.938
Bcorl1,0.137,0.137
Ecm2,0.892,0.892
Mepe,,
Prdm11,0.981,0.981
AC124181.1,0.856,0.856
Gm49956,,
0610040J01Rik,0.416,0.416
Dyrk1a,0.723,0.723
Igkv4-69,0.755,0.755
Megf9,0.034,0.034
Gm4366,0.16,0.16
Xylb,0.241,0.241
Orm3,0.924,0.924
Cyp20a1,0.709,0.709
Tbc1d4,0.267,0.267
Gm15773,0.755,0.755
Mxi1,0.037,0.037
Hadha,0.893,0.893
Gm14846,0.755,0.755
Gm27248,,
Unc13c,0.388,0.388
Slc32a1,0.899,0.899
Izumo3,,
Gm39115,,
Gm10197,0.493,0.493
1700065I16Rik,0.755,0.755
Smco4,0.061,0.061
Ints6,0.213,0.213
Gm20693,,
Mybphl,,
Zxda,0.677,0.677
C1ql3,0.444,0.444
Prl3b1,,
Gm21242,,
Chfr,0.936,0.936
Gm29241,0.924,0.924
Rpl7a-ps6,0.869,0.869
Gm8089,,
Atp1b3,0.161,0.161
Id3,0.104,0.104
Prelid1,0.524,0.524
Utp4,0.398,0.398
Mrpl33,0.947,0.947
Gm2225,0.409,0.409
Lrat,0.73,0.73
Gm853,0.924,0.924
Gm18363,,
Gm29420,,
Obox4-ps34,,
Mapk6,0.426,0.426
Lrrc61,0.73,0.73
Mrgpra6,,
Gm18952,,
Gm12142,,
Rhox4a2,0.755,0.755
Pcdhga6,,
Gm45173,,
Aldh9a1,0.704,0.704
Gm10061,,
Hnrnpa1,0.51,0.51
Atg14,0.302,0.302
Ccdc155,0.984,0.984
Defb26,,
Pex11g,0.262,0.262
Rps2-ps9,0.694,0.694
Gm18681,,
Pitx1,,
Qdpr,0.998,0.998
Ctxn2,,
Ankra2,0.48,0.48
Bhlhe23,,
Stx1b,0.494,0.494
Gm49776,0.84,0.84
Ctdsp1,0.691,0.691
Magi3,0.947,0.947
Olfr10,0.606,0.606
D430041D05Rik,0.78,0.78
Slco1a1,0.754,0.754
Fam161b,0.844,0.844
Cep192,0.728,0.728
Gm18289,0.95,0.95
Gm6341,0.205,0.205
Actg2,0.57,0.57
Ighv1-5,,
Olfr1264,0.37,0.37
Galt,0.324,0.324
Mex3d,0.587,0.587
Grb14,0.709,0.709
Gcm2,0.54,0.54
Hs3st3b1,0.761,0.761
Itpr2,0.239,0.239
Ndfip2,0.546,0.546
Vapb,0.187,0.187
Calm4,,
Gpx6,,
Gm37658,,
Pcbp3,0.611,0.611
Pclo,0.851,0.851
Ccdc81,0.924,0.924
Nbea,0.96,0.96
Gm5773,,
Rad9b,0.802,0.802
Stx6,0.075,0.075
H2-D1,0.726,0.726
Omp,0.668,0.668
Psma2,0.757,0.757
Retn,0.147,0.147
Olfr24,0.605,0.605
Gm2628,0.988,0.988
Olfr1029,0.19,0.19
Ddx5,0.791,0.791
Depdc1a,0.914,0.914
Gm43624,,
Nfkbil1,0.325,0.325
Dysf,0.767,0.767
Gm10037,0.801,0.801
Gm5655,0.496,0.496
Gm28142,,
Gm648,0.828,0.828
Dact1,0.74,0.74
Lamtor3,0.925,0.925
Gm7329,,
Gm17657,0.575,0.575
Olfr666,,
Zfp831,0.34,0.34
Rdh14,0.614,0.614
Pdgfrl,0.348,0.348
Ttc37,0.42,0.42
Itgbl1,,
Gm11902,,
Akr1a1,0.959,0.959
Cemip2,0.297,0.297
Stk-ps1,,
Gm11370,,
Gm6548,0.564,0.564
Ube2k,0.888,0.888
Cdc42bpg,0.144,0.144
Gm17364,,
Pxylp1,0.717,0.717
Cdh4,0.839,0.839
Gm27160,,
Fbxl3,0.02,0.02
Olfr462,0.66,0.66
Gm15332,,
Ptpn1,0.282,0.282
Zfp42-ps1,,
Gm8607,,
Sys1,0.056,0.056
Sphk1,0.244,0.244
Gm15080,,
Cdk5r1,0.013,0.013
G2e3,0.972,0.972
Gm49909,0.673,0.673
Adgre5,0.506,0.506
Gm7525,0.199,0.199
Ik,0.043,0.043
Olfr745,0.704,0.704
Spen,0.31,0.31
2310022A10Rik,0.972,0.972
Gm10478,0.736,0.736
Gm3142,,
Vmn1r203,0.07,0.07
Ncbp1,0.835,0.835
Gm18759,0.924,0.924
Mup-ps13,,
Gm49354,0.48,0.48
Dstn,0.001,0.001
Apoc1,0.966,0.966
H2al1n,,
Camsap1,0.024,0.024
Gm38655,0.294,0.294
Tafa5,,
Gm6903,,
Gm28143,,
Rflna,0.924,0.924
Tcl1,,
Cops4,0.886,0.886
Olfr3,,
Tom1,0.291,0.291
Gm9121,,
Gm12388,0.683,0.683
Sprr2h,,
Olfr1122,0.741,0.741
Gbp6,0.292,0.292
Carlr,0.755,0.755
Gm34768,,
Gm5507,0.232,0.232
Timm10,0.516,0.516
Hes2,0.672,0.672
Gm49882,0.413,0.413
Gipc3,0.46,0.46
Rtbdn,0.783,0.783
9130401M01Rik,0.816,0.816
Adar,0.333,0.333
Gpr183,0.599,0.599
Gm49940,,
Il17d,,
Ppif,0.622,0.622
Tbpl2,,
Stk39,0.09,0.09
Foxc2,0.755,0.755
Gm13770,0.862,0.862
Agpat4,0.301,0.301
Eefsec,0.25,0.25
Tsga10ip,0.357,0.357
Zfp598,0.864,0.864
Zfp617,0.99,0.99
Gm19611,0.374,0.374
Gm5303,0.627,0.627
Gm19231,,
Defa17,,
Mgmt,0.272,0.272
Fbn2,0.015,0.015
Gm6032,,
Gm17450,0.551,0.551
Gm13901,,
BC024063,0.823,0.823
Olfr1392,0.917,0.917
Tnpo2,0.356,0.356
AC131692.1,0.265,0.265
Gcc1,0.129,0.129
Nupl2,0.053,0.053
Sema3f,0.777,0.777
Vmn2r-ps61,,
AC165962.4,0.786,0.786
Naip3,,
Gm5542,,
Gm11914,0.007,0.007
Osbpl8,0.343,0.343
Abcd4,0.54,0.54
Gm10283,,
Gm14175,0.563,0.563
Gm49111,0.407,0.407
Gm12080,0.754,0.754
Cdk5rap2,0.337,0.337
Gm29608,,
Prr5l,0.129,0.129
Gm48787,,
Rassf2,0.679,0.679
Gm14406,,
Meioc,,
Lrrk2,0.469,0.469
Olfr1005-ps1,,
Srsf3,0.586,0.586
Drd5,,
Mtbp,0.034,0.034
Elobl,0.788,0.788
Aff2,0.855,0.855
Dst,0.724,0.724
Gm11703,0.462,0.462
Olfr1089,,
Gm16458,,
Arhgef18,0.967,0.967
Tonsl,0.102,0.102
Hpd,,
Gm47845,,
Gm26607,,
Vdac2,0.796,0.796
Gm7392,,
Tle7,,
Gm6187,0.29,0.29
Obox4-ps29,,
Ctcf,0.518,0.518
Snx30,0.12,0.12
Gm29148,,
Gm16400,,
Defa-ps18,,
Gm17074,,
Zfand2a,0.877,0.877
Olfr1158,,
Gm3890,,
Ints1,0.771,0.771
Ttll4,0.374,0.374
Defb41,,
Gm16391,,
Gm29719,0.008,0.008
Sbspon,0.718,0.718
Gm3744,0.924,0.924
Gm20914,,
Gm21715,,
Gm37388,,
Vmn1r67,,
Dis3,0.095,0.095
Gm8472,,
Mfsd6,0.369,0.369
Gm14292,0.71,0.71
AC139296.1,,
Gm43867,,
Ankrd27,0.805,0.805
Bcl2l2,0.858,0.858
Impa2,0.644,0.644
Gm16261,,
Ermard,0.929,0.929
Gm32025,,
Myoc,0.53,0.53
Traj20,0.451,0.451
a,0.08,0.08
Btnl2,0.543,0.543
Olfr1297,0.336,0.336
Olfr771,,
Gm5928,0.386,0.386
Gm7485,,
Olfr1374-ps1,,
Gm47255,,
Gm9771,,
Zpld1,,
Prkrip1,0.56,0.56
Gm14870,0.562,0.562
Gm44232,,
Gm12941,0.728,0.728
Gm7648,,
Adgrf4,,
Micall2,0.447,0.447
Trpv4,0.352,0.352
Gm12871,,
Fau-ps2,0.1,0.1
Gpr45,0.968,0.968
Gm6452,,
Senp1,0.747,0.747
Gm6217,,
Ubash3a,0.64,0.64
Fam189b,0.325,0.325
Scml4,0.362,0.362
Ppp1r12a,0.525,0.525
Nmur2,,
Gm11127,0.189,0.189
Gm40020,0.211,0.211
Gm43631,,
Gm11369,,
Mab21l1,,
Ass-ps1,,
Gm16106,0.955,0.955
Orc6,0.541,0.541
Chrna2,0.572,0.572
Pgap3,0.259,0.259
Gm12880,,
Trem3,0.957,0.957
Gm13542,0.745,0.745
Gm16289,,
Gm12852,0.847,0.847
Ncoa4,0.556,0.556
Glt8d2,0.081,0.081
Gm11845,,
Rrp7a,0.715,0.715
Gm37719,0.755,0.755
4930502E18Rik,0.639,0.639
Nrk,0.953,0.953
Olfr669,,
Fam24b,0.716,0.716
Rbbp8,0.41,0.41
Elovl4,0.702,0.702
Gm21818,,
Gm50075,,
Lmf2,0.819,0.819
Naca,0.709,0.709
Acot8,0.497,0.497
Gm47481,0.456,0.456
Gm13114,,
Gabrg3,0.425,0.425
Mx1,0.756,0.756
Fam205a3,0.697,0.697
Gpr162,0.705,0.705
Gm37835,0.924,0.924
Erlin2,0.132,0.132
Gm14427,,
Ptprd,0.781,0.781
Gm27149,0.556,0.556
Gm28484,,
Arhgef17,0.912,0.912
Gm15129,,
Gm9264,0.966,0.966
Gm48446,,
Igkv2-137,,
Mtpap,0.731,0.731
Xrcc5,0.309,0.309
Olfr107,0.782,0.782
Gm29567,,
Gm37722,,
Uba1,0.972,0.972
Vmn2r60,0.847,0.847
Gm29745,,
Ninj2,0.123,0.123
Zfp637,0.07,0.07
Gm13611,0.817,0.817
Gm16506,,
Defb21,,
Gm15448,0.877,0.877
Rpl29-ps1,0.924,0.924
Acadsb,0.01,0.01
Asxl2,0.409,0.409
H2-T24,0.256,0.256
