pathway,comparison,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval,old_names
2019_NAT_IMMUNOL_Nakayama---LungTRreg_vs_LungTRM_up,P0_A,-1.559812296956749,0.004854368932038835,0.0013409961685823756,9,0.319242334668854,0.4666884122750053,0_A
2020_NAT_IMMUNOL_Hayward---Airway_TRM,P0_A,-1.4747261145464003,0.009416498993963785,0.0018309859154929575,4,0.02113084949065957,0.058919410380059316,0_A
2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,P0_A,-1.9982427918211805,0.0007844504488799791,0.00012883277505797475,24,0.2459880045135824,0.312805124188463,0_A
2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,P0_A,-1.9700416276467896,0.0007844504488799791,0.0001374570446735395,11,0.03930574839538569,0.10424655532840033,0_A
2020_NAT_IMMUNOL_Hayward---Parenchyma_TRM,P0_A,-2.5644214566519103,0.0007844504488799791,0.00010043185698503566,12,0.3719107460757704,0.5857905660208514,0_A
2020_NAT_IMMUNOL_Hayward---Spleen_TCM,P0_A,-1.4941239611145554,0.0493429312798192,0.017818280739934713,16,0.0622391977368911,0.09239485465901093,0_A
48h_IL2_promoted,P0_A,-1.6885284388430732,0.0004308951847463105,0.00025374270489723417,11,0.05193348131788306,0.06972958389130766,0_A
48h_IL2_repressed,P0_A,-2.2061998792905566,0.00022254367419606094,0.00011127183709803047,15,0.05193348131788306,0.05193348131788306,0_A
Exp391_CD8---Act48h_dn,P0_A,-2.446598474899411,0.0003405310050688878,0.00010057326762546517,20,0.4426743716863393,0.5376785987642915,0_A
Exp391_CD8---Act48h_up,P0_A,-2.4976018160647664,0.0005477926649664139,0.00018804061677322298,10,0.21809185350757426,0.21809185350757426,0_A
Exp391_CD8---DP_dn,P0_A,-2.215738665769043,0.00110191444085971,0.0004185851820845542,11,0.014093761480433285,0.014093761480433285,0_A
Exp391_CD8---DP_up,P0_A,-2.4647551281385285,0.0003405310050688878,0.00010253255408592227,11,0.6929890022575301,0.8771078098177937,0_A
Exp391_CD8---EE_dn,P0_A,-1.4603365902911687,0.01550321924771264,0.013035793194874062,9,-0.0,-0.0,0_A
Exp391_CD8---EE_up,P0_A,-2.1753097410765205,0.0003482927943359598,0.00012181751735899621,16,0.17446937027361786,0.20392434961189346,0_A
Exp391_CD8---EXH_dn,P0_A,-1.4853930057874871,0.0004177967726911591,0.0001626545217957059,19,-0.0,-0.0,0_A
Exp391_CD8---EXH_up,P0_A,-2.025773909506514,0.0003482927943359598,0.00010879025239338556,11,-0.0,0.01349510891875565,0_A
Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,P0_A,-2.389241286232398,0.0003405310050688878,0.00010165700925078785,22,0.6177662992440852,0.7781512503836436,0_A
Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3pos,P0_A,-3.812149600677122,0.0003405310050688878,9.999000099990003e-05,21,2.1507312815992217,2.463892988985908,0_A
Exp391_CD8---GSE68056_WT_vs_Blimp1KO---Blimp1KO,P0_A,-2.0773095254125358,0.0003405310050688878,0.00014343086632243257,20,-0.0,0.01827642716150948,0_A
Exp391_CD8---GSE68056_WT_vs_Blimp1KO---WT,P0_A,-2.957623119896196,0.0003405310050688878,0.00012158054711246201,20,0.3680006496379101,0.4567189703078151,0_A
Exp391_CD8---GSE68056_WT_vs_Il2raKO---Il2raKO,P0_A,-2.4611902728743016,0.0003405310050688878,0.00012664640324214793,10,0.2749026731629965,0.3359566385729745,0_A
Exp391_CD8---GSE68056_WT_vs_Il2raKO---WT,P0_A,-2.0842254954958674,0.0003405310050688878,0.0001685772083614295,20,0.09685830337285303,0.1442829533009912,0_A
Exp391_CD8---GSE68056_WT_vs_Tbx21KO---Tbx21KO,P0_A,-2.144167180579697,0.0003405310050688878,0.00012307692307692307,13,-0.0,0.003819912824959192,0_A
Exp391_CD8---GSE68056_WT_vs_Tbx21KO---WT,P0_A,-2.6134104345378297,0.0003405310050688878,0.00010585371017254156,16,0.12647186720894504,0.17143901272546822,0_A
Exp391_CD8---JJM_CirculatingSignature,P0_A,-2.125400503897195,0.0003405310050688878,0.00015250876925423213,18,0.2378499613239272,0.3156096202367579,0_A
Exp391_CD8---JJM_TrmSignature,P0_A,-2.1137861297872127,0.0003548450897583563,0.0001545117428924598,14,0.33257066979348643,0.4018971611694543,0_A
Exp391_CD8---MEM_dn,P0_A,-2.614761698217911,0.0003405310050688878,0.00010186411327289395,22,2.0416838431517093,2.235949071135977,0_A
Exp391_CD8---MEM_up,P0_A,-2.126225467092229,0.000482839412360689,0.0001075384449940854,18,0.17417439596072742,0.20413761933817065,0_A
Exp391_CD8---MP_dn,P0_A,-1.2684585586441903,0.01776756529337519,0.015437392795883362,14,0.0002296032207342225,0.0002296032207342225,0_A
Exp391_CD8---MP_up,P0_A,-1.6569346943575474,0.010607339214934152,0.007825086306098964,19,0.16399650649969846,0.17793117659902474,0_A
Exp391_CD8---NAV_dn,P0_A,-2.952949958657685,0.0003482927943359598,0.00010154346060113728,22,2.3223322892660785,2.426420886901258,0_A
Exp391_CD8---NAV_up,P0_A,-2.5339699768534327,0.0003405310050688878,0.00010346611484738747,18,0.3669057749320688,0.41005974999282746,0_A
Exp391_CD8---TE_biased,P0_A,-3.6587545033331024,0.0003405310050688878,0.00010073536818777072,37,2.490442065154165,2.8407332346118066,0_A
Exp391_CD8---TE_dn,P0_A,-2.599077822738268,0.0003405310050688878,0.00012506253126563278,12,0.32670172632077343,0.39602821769674135,0_A
Exp391_CD8---TE_up,P0_A,-2.64137231928948,0.0003405310050688878,0.00014029180695847364,19,0.18328248511470244,0.22042429311926898,0_A
Exp391_CD8---TRM_biased,P0_A,-2.7042375036704858,0.0004390510738757413,0.00011463945890175398,23,0.7148253959873259,0.7677614711751244,0_A
Exp391_CD8---Tcf7_promoted,P0_A,-2.4976319764159176,0.0003405310050688878,0.00011863803535413455,12,0.07240750055813225,0.10344173429810104,0_A
Exp391_CD8---Tcf7_repressed,P0_A,-2.8351493890783592,0.0003405310050688878,0.00010409076714895389,21,0.22260837407560324,0.3047951302629533,0_A
Exp391_CD8---Texint_dn,P0_A,-2.864857001612838,0.0003405310050688878,0.00012357884330202668,16,0.0692901309833566,0.09235543505205,0_A
Exp391_CD8---Texint_up,P0_A,-3.553646928520437,0.0003405310050688878,0.00010453690152623876,19,0.3806102366916437,0.5105697746749944,0_A
Exp391_CD8---Texprog1_dn,P0_A,-3.2067103403460955,0.0003405310050688878,0.00011025358324145537,26,0.6929890022575301,0.9008576521001648,0_A
Exp391_CD8---Texprog1_up,P0_A,-2.718497961808877,0.0003405310050688878,0.00012365524916532706,23,0.1477385337147374,0.20067460890253588,0_A
Exp391_CD8---Texprog2_dn,P0_A,-2.5746936083124434,0.0003405310050688878,0.00013204806549584047,27,0.14807173694408635,0.16997357839191615,0_A
Exp391_CD8---Texprog2_up,P0_A,-3.159948876270877,0.0003405310050688878,0.00010456969570218552,37,2.5083641157349983,3.14674801363064,0_A
Exp391_CD8---Texterm_dn,P0_A,-2.4579807501433617,0.0003548450897583563,0.00010098969905069681,23,2.435872612500453,2.5399612101356324,0_A
Exp391_CD8---Texterm_up,P0_A,-2.3327886553522785,0.0003482927943359598,0.00010399334442595674,19,0.35470860243085445,0.4241683940456401,0_A
Exp391_CD8---Tim3negBlimp1neg,P0_A,-2.6279347463282834,0.0003405310050688878,0.00011719207781553967,30,0.6243394019625448,0.6864873087113892,0_A
Exp391_CD8---Tim3posBlimp1pos,P0_A,-3.848303913726876,0.0003482927943359598,0.00010314595152140278,22,2.4233264654964803,2.53655844257153,0_A
Exp391_CD8---Tox_promoted,P0_A,-2.6331541409310386,0.0003405310050688878,0.00011471836641046232,7,-0.0,0.010941330597752432,0_A
Exp391_CD8---Tox_repressed,P0_A,-2.2034238028935897,0.0003405310050688878,0.0002077274615704196,9,-0.0,0.0011558076865917895,0_A
Exp391_CD8---Yao_EXH,P0_A,-3.847306230331406,0.0003482927943359598,0.00010307153164296021,23,2.5083641157349983,2.780587311826749,0_A
Exp391_CD8---Yao_MP,P0_A,-2.8827144570008687,0.0003405310050688878,0.0001203224642040669,21,0.249609871651794,0.2718862663629462,0_A
Exp391_CD8---Yao_PRO,P0_A,-2.6279347463282834,0.0003405310050688878,0.00011719207781553967,30,0.6243394019625448,0.6864873087113892,0_A
Exp391_CD8---best_cluster_1,P0_A,-1.951954644054354,0.0003548450897583563,0.00018882175226586103,25,0.1477385337147374,0.20626966079649348,0_A
Exp391_CD8---best_cluster_10,P0_A,-2.5283434404081606,0.0003405310050688878,0.00013283740701381508,16,0.0683433220372539,0.07552190666437733,0_A
Exp391_CD8---best_cluster_2,P0_A,-3.2880699697528195,0.0003405310050688878,0.00019286403085824492,24,1.201327349522748,1.2964611045050014,0_A
Exp391_CD8---best_cluster_3,P0_A,-3.5107942678276385,0.0003405310050688878,0.00010908694229300752,46,2.5083641157349983,3.2826221128780624,0_A
Exp391_CD8---best_cluster_4,P0_A,-2.7324231559514613,0.0003405310050688878,0.00013886960144424384,26,1.9367004814746596,2.152401604126013,0_A
Exp391_CD8---best_cluster_5,P0_A,-2.4213420942897748,0.0003405310050688878,0.00014156285390713478,18,0.0321929023081338,0.06164788164640943,0_A
Exp391_CD8---best_cluster_6,P0_A,-2.6718056717138348,0.0003405310050688878,0.00012110936175366355,23,0.3850876624682078,0.4802214174504612,0_A
Exp391_CD8---best_cluster_7,P0_A,-2.3057339012825238,0.0003482927943359598,0.00015337423312883434,11,0.14835432299414844,0.16283214636277127,0_A
Exp391_CD8---best_cluster_8,P0_A,-2.409960906335213,0.0003405310050688878,0.00010515247108307043,16,0.17875728634692142,0.2432152755738399,0_A
Exp391_CD8---best_cluster_9,P0_A,-2.3093255152192853,0.0003482927943359598,0.00012640626975097966,26,0.03431759296124996,0.070401457887968,0_A
Exp391_CD8---d5_KLRG1hi_Runx3_promoted,P0_A,-1.8219485583796768,0.0005143252221716328,0.00018917896329928116,17,0.21318054880072806,0.23508239024855776,0_A
Exp391_CD8---d5_KLRG1hi_Runx3_repressed,P0_A,-1.6077742622919198,0.0003405310050688878,0.00010050251256281407,22,0.04613629216014223,0.053689430050588134,0_A
Exp391_CD8---d5_KLRG1lo_Runx3_promoted,P0_A,-2.5466850086832205,0.0003482927943359598,0.0001233197681588359,21,0.2576908793975785,0.2876541027750217,0_A
Exp391_CD8---d5_KLRG1lo_Runx3_repressed,P0_A,-2.378785360877941,0.0003876855806386008,0.00010228086325048584,19,0.01601759135771756,0.023316830099217003,0_A
Exp391_CD8---klf2_promoted,P0_A,-2.196577494479492,0.0003405310050688878,0.00010146103896103897,24,0.8937905688058005,1.0456519482369808,0_A
Exp391_CD8---klf2_repressed,P0_A,-1.5475099610832783,0.0011795645279808176,0.0006626905235255137,6,0.03198963684832904,0.03198963684832904,0_A
