gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Trbv20,0.0,1.0,0.0,0.042,0.911,0.005,0.0,0.963,0.0,0.001,0.725,0.0,0.675,0.024,0.002,0.579,0.005,0.041,0.0,0.005,0.476,0.174
Pced1a,0.454,0.926,0.056,0.0,0.686,0.0,0.001,0.963,0.0,0.006,0.753,0.0,0.458,0.0,0.0,0.637,0.656,0.001,0.001,0.007,0.671,0.0
Gm3033,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1348,0.449,,0.924,,,0.161,,,0.371,1.0,,0.666,,0.689,0.612,,0.168,0.479,0.478,,,0.951
Usp17la,1.0,1.0,0.074,0.861,0.815,0.042,0.582,1.0,0.011,0.496,0.506,0.002,,0.688,0.018,0.565,0.092,0.369,0.112,0.312,0.915,0.472
Nkx2-1,,,,,,,,,,1.0,,,,,,,,,,,,
Epha1,0.0,1.0,0.0,0.107,0.879,0.034,0.827,1.0,0.525,0.382,0.653,0.077,,0.245,0.093,0.583,0.0,0.211,0.11,0.908,0.977,0.84
Zfp352,,,,,,,,,,1.0,,,,,,,,,,,,
Gm2383,,,,,,,,,,1.0,,,,,,,,,,,,
Ahrr,0.697,1.0,0.146,0.039,0.993,0.317,0.547,1.0,0.833,0.154,0.619,0.468,0.459,0.361,0.974,0.963,0.178,0.296,0.677,0.448,0.794,0.877
Gm15303,,,,,,,,,,0.251,,,,,,,,,,,,
Vmn1r26,,,,,,,,,,,,,,,,,,,,,,
Shtn1,0.446,,0.706,0.513,,0.274,0.442,,0.687,0.83,,0.243,,0.451,0.695,,0.72,0.087,0.957,0.155,,0.401
Cebpd,0.0,1.0,0.008,0.0,0.813,0.0,0.0,1.0,0.111,0.0,0.978,0.0,,0.0,0.005,0.888,0.002,0.0,0.084,0.001,0.574,0.028
Tyro3,0.603,1.0,0.121,0.213,0.965,0.02,0.642,1.0,0.14,1.0,0.715,0.422,,0.587,0.117,0.988,0.142,0.05,0.249,0.021,0.824,0.096
Chl1,0.567,1.0,0.157,0.238,,0.679,0.414,0.904,0.09,0.545,,0.763,,0.217,0.629,,0.187,0.889,0.769,0.932,,0.693
Traf4,0.598,1.0,0.203,0.001,0.747,0.015,0.0,1.0,0.0,0.003,0.594,0.016,0.629,0.0,0.0,0.652,0.557,0.0,0.0,0.0,0.66,0.0
Gm47344,,,,,,,,,,1.0,,,,,,,,,,,,
Gm20689,0.739,1.0,0.958,0.929,0.354,0.698,0.071,0.958,0.223,0.056,0.947,0.116,0.696,0.012,0.056,0.993,0.761,0.095,0.011,0.034,0.978,0.047
Olfr1303,0.285,1.0,0.096,0.65,,0.33,0.417,0.976,0.162,0.96,,0.262,,0.242,0.075,,0.072,0.257,0.769,0.229,,0.263
Rpain,0.021,0.647,0.929,0.107,0.991,0.702,0.242,1.0,0.452,0.744,0.981,0.253,0.074,0.32,0.355,0.987,0.098,0.664,0.575,0.388,0.945,0.306
Vps29,0.015,0.668,0.789,0.061,0.967,0.0,0.142,1.0,0.0,0.17,0.993,0.0,0.022,0.093,0.0,0.913,0.025,0.0,0.0,0.0,0.578,0.0
Gm26712,1.0,1.0,0.156,0.211,0.953,0.898,0.198,1.0,0.933,1.0,0.954,0.267,0.218,0.237,0.871,0.958,0.029,0.652,0.696,0.551,0.936,0.687
Fsd2,0.058,1.0,0.082,0.009,0.743,0.013,0.173,1.0,0.208,0.4,0.963,0.262,,0.026,0.033,0.781,0.428,0.322,0.737,0.509,0.875,0.268
Gm8463,,,,,,,,,,1.0,,,,,,,,,,,,
Ppp1r37,0.085,1.0,0.221,0.698,0.912,0.989,0.234,1.0,0.437,0.735,0.71,0.673,,0.558,0.83,0.869,0.775,0.599,0.554,0.05,0.561,0.408
Olfr1245,0.359,,0.244,0.51,,0.37,,,0.42,0.546,,0.191,,0.401,0.264,,0.877,0.046,0.099,0.348,,0.191
Gatad2b,0.019,1.0,0.69,0.225,0.803,0.001,0.398,0.989,0.004,0.165,0.909,0.0,0.144,0.341,0.003,0.518,0.984,0.049,0.0,0.003,0.113,0.243
Olfr306-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Rai2,,,,,,,,,,1.0,,,,,,,,,,,,
Msx1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11516,,,,,,,,,,1.0,,,,,,,,,,,,
Pitrm1,0.876,0.768,0.861,0.013,0.821,0.011,0.001,1.0,0.001,0.007,0.823,0.003,1.0,0.001,0.001,0.525,0.183,0.0,0.015,0.087,0.939,0.155
Gm14523,,,,,,,,,,1.0,,,,,,,,,,,,
B4gat1,0.017,1.0,0.053,0.003,0.898,0.009,0.018,1.0,0.049,0.006,0.98,0.01,0.794,0.067,0.148,0.953,0.144,0.072,0.068,0.024,0.618,0.28
Mafb,0.508,1.0,0.34,0.377,,0.528,0.471,1.0,0.622,1.0,,0.885,,0.753,0.915,,0.887,0.568,0.923,0.385,,0.96
E130308A19Rik,0.579,1.0,0.032,0.024,0.598,0.435,0.21,1.0,0.992,0.08,0.958,0.555,0.264,0.085,0.723,0.851,0.026,0.488,0.995,0.309,0.38,0.825
Klra10,1.0,,1.0,0.288,,0.267,,,0.711,1.0,,0.574,,0.633,0.586,,1.0,0.309,0.209,0.264,,0.055
Dhx36,0.774,1.0,0.024,0.478,0.988,0.0,0.865,1.0,0.013,1.0,0.849,0.013,0.027,0.869,0.013,0.754,0.106,0.0,0.002,0.0,0.992,0.0
Gm15808,,,,,,,,,,1.0,,,,,,,,,,,,
Samd7,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1094,,,,,,,,,,1.0,,,,,,,,,,,,
Gm12307,,,,,,,,,,1.0,,,,,,,,,,,,
Mapk14,0.0,1.0,0.0,0.5,0.971,0.481,0.037,1.0,0.032,0.074,0.946,0.033,1.0,0.228,0.203,0.941,0.0,0.67,0.108,0.007,0.171,0.394
Mrps35,0.001,1.0,0.58,0.106,0.983,0.443,0.111,1.0,0.446,0.264,0.971,0.366,0.033,0.122,0.421,0.974,0.94,0.373,0.411,0.594,0.988,0.573
Mmp28,,,,,,0.382,,,,0.412,,0.435,,,0.53,,0.739,0.556,,,,
Pkd1l2,0.685,1.0,0.267,0.544,0.983,0.307,0.231,1.0,0.677,0.492,0.971,0.6,,0.179,0.77,,0.03,0.395,0.648,0.407,,0.852
Epha10,0.665,1.0,0.241,0.882,0.95,0.417,0.935,0.938,0.459,0.792,0.778,0.127,,0.654,0.229,,0.056,0.688,0.035,0.799,0.76,0.317
Rpl9-ps3,0.667,1.0,0.831,0.45,0.814,0.606,0.241,1.0,0.347,0.278,0.961,0.232,,0.399,0.531,,0.849,0.119,0.199,0.102,0.649,0.487
Gm48059,,,,,,,,,,1.0,,,,,,,,,,,,
Gm21893,,,,,,,,,,1.0,,,,,,,,,,,,
Gm38107,,,,,,,,,,,,,,,,,,,,,,
Gm10241,,,,,,,,,,,,,,,,,,,,,,
Ptrh2,0.0,0.005,0.0,0.0,1.0,0.0,0.0,0.71,0.0,0.0,0.981,0.0,0.016,0.0,0.0,0.918,0.0,0.0,0.0,0.0,0.688,0.0
Zfp9,0.0,1.0,0.0,0.202,0.875,0.837,0.402,0.988,0.916,0.927,0.904,0.738,0.395,0.742,0.13,0.734,0.0,0.67,0.274,0.772,0.619,0.691
Tpsb2,,,,,,,,,,1.0,,,,,,,,,,,,
Zswim5,0.478,,0.432,,,0.538,,,0.525,0.881,,0.537,,0.544,0.473,,0.471,0.953,0.951,,,0.828
Nyap1,0.016,,0.288,0.206,,0.888,0.504,,0.763,0.471,,0.96,,0.171,0.804,,0.971,0.654,0.906,0.951,,0.723
Defa-ps11,,,,,,,,,,1.0,,,,,,,,,,,,
Gm3605,,,,,,,,,,,,,,,,,,,,,,
Nfkb2,0.0,1.0,0.0,0.981,0.983,0.598,0.581,1.0,0.241,1.0,0.97,0.302,0.704,0.168,0.038,0.944,0.0,0.519,0.098,0.165,0.58,0.015
Gm18857,,,,,,,,,,1.0,,,,,,,,,,,,
Epb41,0.478,0.789,0.448,0.02,0.83,0.016,0.581,1.0,0.534,0.672,0.99,0.337,0.995,0.921,0.934,0.954,0.008,0.192,0.679,0.43,0.452,0.74
Gm18227,,,,,,,,,,1.0,,,,,,,,,,,,
Gm36079,,,,,,,,,,1.0,,,,,,,,,,,,
Gm45195,,,,,,,,,,1.0,,,,,,,,,,,,
Tmem69,0.0,1.0,0.0,0.741,1.0,0.646,0.743,0.963,0.815,1.0,0.422,0.99,0.95,0.11,0.131,0.464,0.0,0.653,0.43,0.044,0.053,0.927
Birc3,0.565,1.0,0.991,0.009,0.984,0.0,0.036,1.0,0.002,0.013,0.971,0.0,0.574,0.003,0.0,0.941,0.943,0.001,0.0,0.0,0.762,0.0
Gm21156,,,,,,,,,,1.0,,,,,,,,,,,,
Rpl7a-ps5,,,,,,0.812,,,,0.848,,0.947,,,0.794,,0.78,0.818,,,,
Cstf2t,0.0,1.0,0.0,0.0,0.819,0.0,0.0,1.0,0.0,0.0,0.909,0.0,0.15,0.0,0.001,1.0,0.002,0.004,0.001,0.006,0.842,0.001
Gm12692,,,,,,,,,,1.0,,,,,,,,,,,,
Arf4,0.147,1.0,0.898,0.575,0.799,0.044,0.639,1.0,0.055,0.974,0.76,0.044,0.292,0.567,0.04,0.84,0.813,0.43,0.063,0.546,0.726,0.227
Olfr332,,,,,,,,,,1.0,,,,,,,,,,,,
Gm7572,,,,,,,,,,1.0,,,,,,,,,,,,
Rpl48-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Dpysl5,0.74,,0.292,0.181,,0.545,,,0.993,1.0,,0.603,,0.938,0.605,,0.527,0.607,0.964,0.898,,0.928
Gstt3,0.001,1.0,0.0,0.007,0.952,0.002,0.021,1.0,0.008,0.003,0.997,0.0,0.903,0.03,0.011,0.996,0.008,0.001,0.001,0.0,0.299,0.015
Mrpl20,0.327,0.286,0.0,0.026,0.989,0.0,0.359,1.0,0.0,0.076,0.984,0.0,0.043,0.293,0.0,0.987,0.0,0.0,0.0,0.0,0.392,0.0
Phf8-ps,,,,,,,,,,1.0,,,,,,,,,,,,
Gm47201,,,,,,0.25,,,,1.0,,,,,,,,,,,,
Hoxc5,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8602,,,,,,,,,,,,,,,,,,,,,,
Gm19001,0.764,1.0,0.972,0.214,0.991,0.467,0.983,1.0,0.633,0.131,0.718,0.195,,0.688,1.0,0.429,1.0,0.527,0.895,0.985,0.212,0.091
Eif1,0.0,1.0,0.004,0.0,0.989,0.466,0.0,1.0,0.073,0.0,0.976,0.159,0.008,0.0,0.206,0.833,0.067,0.544,0.209,0.088,0.097,0.648
Gm7849,,,,,,,,,,1.0,,,,,,,,,,,,
Zfp804b,,,,,,,,,,1.0,,,,,,,,,,,,
Emc3,0.404,1.0,0.0,0.0,0.773,0.496,0.0,0.938,0.322,0.014,0.804,0.97,0.025,0.0,0.544,0.729,0.0,0.708,0.882,0.273,0.596,0.767
Gm17043,,,,,,,,,,1.0,,,,,,,,,,,,
Snai3,0.089,1.0,0.155,0.01,0.942,0.004,0.0,1.0,0.0,0.0,0.877,0.0,0.887,0.001,0.0,0.058,0.016,0.02,0.001,0.002,0.08,0.59
Gp1bb,0.811,1.0,1.0,0.103,0.8,0.21,0.046,1.0,0.1,0.054,0.996,0.068,,0.078,0.155,,0.954,0.014,0.066,0.062,,0.179
Gm5725,,,,,,,,,,1.0,,,,,,,,,,,,
Ppp3cb,0.084,1.0,0.664,0.03,0.635,0.883,0.041,1.0,0.826,0.171,0.841,0.596,0.046,0.095,0.599,0.63,0.466,0.196,0.485,0.751,0.865,0.558
Gm8809,,,,,,,,,,1.0,,,,,,,,,,,,
Gm38574,0.74,1.0,0.754,0.202,0.973,0.207,0.543,1.0,0.543,0.444,0.988,0.242,,0.259,0.253,,0.76,0.322,0.118,0.337,,0.268
Ninj2,0.832,1.0,0.656,0.81,0.712,0.63,0.54,1.0,0.362,0.77,0.997,0.281,0.885,0.373,0.492,0.676,0.737,0.45,0.702,0.284,0.006,0.052
Cds1,,,,,,0.932,,,,1.0,,,,,,,,,,,,
Sptssb,,,,,,,,,,1.0,,,,,,,,,,,,
Ambn,,,,,,,,,,1.0,,,,,,,,,,,,
Dcaf15,0.048,0.89,0.764,0.027,0.788,0.581,0.825,1.0,0.226,0.946,0.773,0.422,0.201,0.379,0.626,0.569,0.382,0.08,0.706,0.786,0.799,0.429
Fggy,0.312,1.0,0.133,0.283,0.989,0.439,0.055,1.0,0.095,0.925,0.988,0.747,,0.224,0.339,0.658,0.161,0.404,0.295,0.657,0.251,0.022
Ankrd40,0.086,0.573,0.05,0.2,0.98,0.129,0.792,1.0,0.645,1.0,0.971,0.707,0.919,0.357,0.238,0.913,1.0,0.09,0.973,0.937,0.216,0.094
A030005K14Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Zranb3,0.004,0.783,0.003,0.002,0.967,0.001,0.005,1.0,0.003,0.001,0.632,0.0,0.967,0.392,0.387,0.265,0.263,0.0,0.007,0.061,0.535,0.002
Csnk2a1-ps,,,,,,,,,,1.0,,,,,,,,,,,,
Hlf,0.476,1.0,0.719,0.004,0.983,0.013,0.005,1.0,0.014,0.054,0.984,0.068,,0.008,0.02,,0.52,0.027,0.022,0.112,0.941,0.182
Olfr1232,,,,,,,,,,1.0,,,,,,,,,,,,
Mzb1,0.827,1.0,0.217,0.0,0.79,0.0,0.0,0.967,0.0,0.0,0.849,0.0,0.451,0.0,0.0,0.941,0.369,0.0,0.0,0.0,0.488,0.0
Brcc3,0.0,0.509,0.137,0.847,0.926,0.006,0.868,1.0,0.031,1.0,0.939,0.002,0.046,0.93,0.023,0.972,0.702,0.038,0.01,0.015,0.855,0.047
Upf2,0.157,1.0,0.002,0.0,0.813,0.0,0.0,1.0,0.0,0.0,0.937,0.0,0.24,0.0,0.0,0.893,0.0,0.0,0.0,0.0,0.847,0.0
Mttp,0.002,1.0,0.005,0.0,0.991,0.0,0.0,1.0,0.0,0.0,0.934,0.0,0.874,0.0,0.0,0.962,0.005,0.0,0.0,0.0,0.303,0.0
Gm13377,,,,,,,,,,,,,,,,,,,,,,
Api5-ps,,,,,,,,,,1.0,,,,,,,,,,,,
Atat1,0.05,1.0,0.119,0.02,0.992,0.049,0.112,0.866,0.212,0.159,0.914,0.168,0.819,0.235,0.388,0.866,0.339,0.044,0.943,0.535,0.865,0.828
Il20rb,0.338,1.0,0.247,0.15,0.684,0.099,0.688,1.0,0.553,1.0,0.921,0.508,0.933,0.833,0.925,0.178,0.185,0.879,0.844,0.959,0.128,0.027
Cebpz,0.309,1.0,0.164,0.0,0.925,0.0,0.0,1.0,0.0,0.0,0.934,0.0,0.848,0.0,0.0,1.0,0.376,0.0,0.0,0.0,0.904,0.0
Stmn1,0.0,1.0,0.0,0.0,0.955,0.0,0.0,1.0,0.0,0.0,0.934,0.0,0.09,0.0,0.0,0.943,0.0,0.0,0.0,0.0,0.285,0.0
Ubl7,0.0,1.0,0.043,0.004,0.828,0.0,0.001,1.0,0.0,0.002,0.807,0.0,0.305,0.0,0.0,0.754,0.113,0.001,0.0,0.001,0.802,0.0
Chmp2b,0.099,1.0,0.847,0.003,0.98,0.428,0.168,1.0,0.656,0.027,0.996,0.73,0.093,0.076,0.904,0.939,0.219,0.345,0.976,0.686,0.862,0.872
Gm15501,0.572,0.985,0.969,0.011,0.189,0.0,0.21,0.041,0.027,0.174,0.956,0.398,0.559,0.811,0.68,0.934,0.325,0.489,0.429,0.194,0.141,0.433
Sgsm2,0.003,1.0,0.84,0.566,0.811,0.001,0.973,0.678,0.012,0.165,0.509,0.0,0.035,0.154,0.0,0.429,0.508,0.033,0.0,0.013,0.97,0.022
Gm4935,,,,,,,,,,1.0,,,,,,,,,,,,
Tnc,,,,,,0.202,,,,1.0,,0.562,,,0.2,,0.99,0.425,,,,
Thbd,0.302,,0.451,0.485,,0.321,,,0.978,1.0,,0.423,,0.611,0.773,,0.637,0.726,0.769,0.956,,0.631
Prl7c1,,,,,,,,,,1.0,,,,,,,,,,,,
F7,,,,,,0.665,,,,1.0,,,,,,,,,,,,
Gm6419,,,,,,0.263,,,,1.0,,0.724,,,0.174,,0.246,1.0,,,,
Nppb,,,,,,,,,,1.0,,,,,,,,,,,,
Hist1h2ap,0.0,0.359,0.0,0.0,0.958,0.0,0.0,0.927,0.0,0.0,0.947,0.0,0.452,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.963,0.0
Gm13131,,,,,,,,,,1.0,,,,,,,,,,,,
Fbn1,0.455,,0.181,,,0.244,,,0.238,0.915,,0.231,,0.558,0.239,,0.863,0.248,0.166,,,0.257
Tmem86a,0.832,1.0,0.686,0.904,0.842,0.761,0.427,1.0,0.291,1.0,0.984,0.706,,0.831,0.954,0.861,0.539,0.232,0.865,0.854,0.897,0.627
Fam151b,0.797,1.0,0.995,0.198,0.773,0.09,0.084,1.0,0.03,0.324,0.909,0.074,0.84,0.275,0.129,0.989,0.896,0.702,0.057,0.336,0.786,0.109
Gm20049,,,,,,,,,,1.0,,,,,,,,,,,,
Eid1,0.188,1.0,0.784,0.186,0.905,0.732,0.579,1.0,0.288,0.537,0.974,0.56,0.132,0.633,0.25,0.892,0.943,0.339,0.081,0.397,0.889,0.584
Tusc2,0.004,1.0,0.965,0.0,0.907,0.195,0.0,1.0,0.562,0.002,0.996,0.783,0.019,0.005,0.941,0.787,0.957,0.536,0.875,0.761,0.795,0.494
AA413626,0.521,1.0,0.53,0.87,0.983,0.197,0.226,1.0,0.849,0.848,0.971,0.491,,0.924,0.171,0.697,0.495,0.267,0.863,0.319,0.658,0.84
9130409I23Rik,,,,,,,,,,0.599,,,,,,,,,,,,
Rangrf,0.017,1.0,0.0,0.0,1.0,0.046,0.0,0.954,0.001,0.027,0.681,0.385,0.231,0.0,0.0,0.84,0.0,0.05,0.061,0.651,0.0,0.0
Rhox13,,,,,,,,,,1.0,,,,,,,,,,,,
Gm17061,,,,,,,,,,1.0,,,,,,,,,,,,
AC124542.1,,,,,,,,,,,,,,,,,,,,,,
Gnat3,,,,,,,,,,1.0,,,,,,,,,,,,
Kcnq4,,,,,,,,,,0.51,,,,,,,,,,,,
Gm45497,,,,,,,,,,1.0,,,,,,,,,,,,
Pnma1,0.286,,0.292,,,0.097,,,0.097,0.302,,0.16,,0.312,0.301,,0.239,0.102,0.373,,,0.249
Gm8539,,,,,,,,,,1.0,,,,,,,,,,,,
Mrap2,0.949,0.935,0.685,0.149,0.981,0.027,0.455,1.0,0.136,0.163,0.949,0.012,,0.267,0.06,0.988,0.07,0.046,0.104,0.052,0.953,0.086
Mageb16-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Prss42,,,,,,,,,,1.0,,,,,,,,,,,,
Gm15297,,,,,,,,,,,,,,,,,,,,,,
Gm14638,,,,,,,,,,1.0,,,,,,,,,,,,
Cttnbp2,,,,,,,,,,1.0,,,,,,,,,,,,
Sprr2f,,,,,,,,,,,,,,,,,,,,,,
Tcf12,0.027,0.996,0.0,0.0,0.637,0.0,0.0,0.229,0.0,0.0,0.775,0.0,0.271,0.0,0.0,0.157,0.013,0.0,0.0,0.0,0.997,0.0
2610021A01Rik,1.0,1.0,0.957,0.0,0.417,0.0,0.378,1.0,0.417,0.065,0.997,0.042,0.957,0.259,0.288,0.963,1.0,0.26,0.194,0.038,0.736,0.185
Panx1,0.0,1.0,0.053,0.0,0.843,0.0,0.001,0.951,0.0,0.002,0.878,0.0,0.29,0.0,0.0,0.497,0.126,0.0,0.0,0.0,0.857,0.001
Gm12317,,,,,,,,,,,,,,,,,,,,,,
Setx,0.338,1.0,0.047,0.069,0.967,0.004,0.135,1.0,0.011,0.477,0.988,0.032,0.518,0.163,0.014,0.941,0.03,0.012,0.009,0.02,0.926,0.044
Wdr4,0.398,0.896,0.281,0.261,0.913,0.35,0.303,1.0,0.382,1.0,0.715,0.646,0.914,0.039,0.057,0.652,0.006,0.118,0.286,0.449,0.057,0.001
Olfr1150-ps1,0.805,1.0,0.435,0.459,0.978,0.182,0.659,1.0,0.303,1.0,0.914,0.302,,0.447,0.166,,0.827,0.265,0.28,0.755,0.895,0.492
Togaram2,,,,,,,,,,1.0,,,,,,,,,,,,
Gm18560,,,,,,,,,,1.0,,,,,,,,,,,,
Serpina4-ps1,,,,,,,,,,0.937,,,,,,,,,,,,
Olfr392,0.652,1.0,0.771,0.841,0.998,0.228,0.849,1.0,0.228,0.91,0.964,0.085,,0.1,0.005,0.469,0.634,0.224,0.053,0.209,0.927,0.334
Gm5276,,,,,,,,,,1.0,,,,,,,,,,,,
Nr2c1,0.921,1.0,0.644,0.0,0.849,0.0,0.0,1.0,0.0,0.121,0.922,0.017,0.792,0.0,0.0,0.843,0.613,0.0,0.0,0.002,0.209,0.0
Pcbd1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28060,,,,,,,,,,,,,,,,,,,,,,
Dnhd1,0.041,1.0,0.006,0.236,0.891,0.063,0.398,1.0,0.128,0.613,0.907,0.104,,0.171,0.038,0.974,0.011,0.293,0.083,0.012,0.971,0.022
Cd46,0.201,1.0,0.257,0.954,0.852,0.857,0.533,1.0,0.603,0.304,0.856,0.199,,0.787,0.657,0.856,0.145,0.595,0.439,0.749,0.937,0.907
Gm47362,,,,,,,,,,1.0,,,,,,,,,,,,
Hcfc2,0.09,1.0,0.673,0.499,0.908,0.726,0.51,1.0,0.731,0.792,0.971,0.783,0.355,0.251,0.964,0.96,0.976,0.346,0.928,0.57,0.615,0.786
Gm12825,,,,,,,,,,,,,,,,,,,,,,
Mok,1.0,,0.987,0.8,,0.775,,,0.544,1.0,,0.94,,0.844,0.854,,0.852,0.94,0.768,0.6,,0.961
AC125178.2,,,,,,,,,,1.0,,,,,,,,,,,,
Gpr176,,,,,,0.962,,,,0.838,,,,,,,,,,,,
Gm16378,0.259,1.0,0.631,0.279,0.946,0.651,0.448,1.0,0.851,0.854,0.981,0.91,,0.329,0.702,,0.597,0.938,0.617,0.952,,0.923
Srsf6,0.0,0.043,0.0,0.0,0.946,0.0,0.0,1.0,0.0,0.0,0.952,0.001,0.654,0.0,0.0,0.941,0.0,0.0,0.0,0.0,0.736,0.0
Gm9409,,,,,,,,,,1.0,,,,,,,,,,,,
Gm37616,,,,,,,,,,1.0,,,,,,,,,,,,
Gm15129,,,,,,,,,,1.0,,,,,,,,,,,,
Mrps31,0.778,1.0,0.058,0.129,0.793,0.0,0.4,0.992,0.0,0.171,0.992,0.0,0.049,0.162,0.0,0.834,0.004,0.004,0.0,0.0,0.451,0.001
Rcn2,0.781,1.0,0.913,0.155,0.992,0.089,0.397,1.0,0.257,0.377,0.958,0.119,0.902,0.334,0.207,0.97,0.474,0.109,0.171,0.299,0.882,0.139
Ubtf,0.044,1.0,0.093,0.015,0.412,0.034,0.028,0.926,0.054,0.016,0.569,0.019,0.865,0.132,0.212,0.561,0.232,0.984,0.603,0.672,0.725,0.9
Gm43551,,,,,,,,,,1.0,,,,,,,,,,,,
Lce3a,,,,,,,,,,,,,,,,,,,,,,
Cts3,,,,,,,,,,1.0,,,,,,,,,,,,
Slc25a40,0.0,1.0,0.0,0.09,0.973,0.864,0.017,1.0,0.435,0.264,0.896,0.985,0.221,0.082,0.81,0.992,0.0,0.998,0.933,0.509,0.428,0.755
Gm5322,,,,,,,,,,1.0,,,,,,,,,,,,
Lmnb1,0.0,1.0,0.0,0.0,0.837,0.0,0.0,1.0,0.0,0.0,0.893,0.0,0.645,0.0,0.0,0.913,0.0,0.0,0.0,0.0,0.548,0.0
Fam205c,,,,,,,,,,1.0,,,,,,,,,,,,
Acta1,0.213,1.0,0.362,0.67,0.724,0.454,0.886,1.0,0.932,0.488,0.914,0.415,,0.312,0.46,,0.168,0.646,0.93,0.892,0.868,0.582
Gm15740,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1024,,,,,,,,,,,,,,,,,,,,,,
Fam135b,,,,,,,,,,1.0,,,,,,,,,,,,
Hes5,0.022,1.0,0.019,0.001,0.94,0.001,0.0,1.0,0.0,0.0,0.966,0.0,,0.0,0.0,0.945,0.002,0.0,0.0,0.0,1.0,0.0
Rnf39,,,,,,0.402,,,,0.211,,0.072,,,0.638,,0.613,1.0,,,,
Serpinb9e,,,,,,,,,,1.0,,,,,,,,,,,,
Gm13065,,,,,,,,,,1.0,,,,,,,,,,,,
Csnk1g2,0.0,0.88,0.0,0.027,0.989,0.085,0.008,1.0,0.029,0.001,0.969,0.004,0.775,0.177,0.353,0.837,0.0,0.109,0.006,0.001,0.25,0.088
Trip4,0.0,1.0,0.0,0.0,0.989,0.0,0.0,0.841,0.0,0.001,0.91,0.0,0.298,0.0,0.0,0.522,0.0,0.0,0.0,0.0,0.941,0.0
Mcts1,0.014,0.8,0.832,0.954,1.0,0.006,0.878,1.0,0.01,1.0,0.993,0.004,0.023,0.719,0.021,0.955,0.053,0.006,0.004,0.006,0.945,0.009
Ckb-ps2,,,,,,,,,,1.0,,,,,,,,,,,,
Gm3138,,,,,,,,,,1.0,,,,,,,,,,,,
Traj30,0.35,1.0,0.506,0.347,0.711,0.21,0.117,0.653,0.054,0.676,0.731,0.228,,0.062,0.025,0.344,0.814,0.944,0.934,0.955,0.885,0.825
Gm16129,,,,,,,,,,1.0,,,,,,,,,,,,
Gm48455,,,,,,,,,,1.0,,,,,,,,,,,,
Cip2a,0.0,1.0,0.0,0.0,0.988,0.0,0.0,1.0,0.0,0.0,0.845,0.0,0.379,0.0,0.0,0.562,0.0,0.0,0.0,0.0,0.547,0.0
Gm15352,,,,,,,,,,1.0,,,,,,,,,,,,
Gm6578,,,,,,0.483,,,,1.0,,,,,,,,,,,,
Gm5368,,,,,,,,,,1.0,,,,,,,,,,,,
Slc25a41,,,,,,0.718,,,,0.614,,,,,,,,,,,,
Pld3,0.0,1.0,0.0,0.68,0.788,0.228,0.057,1.0,0.889,1.0,0.764,0.169,0.146,0.023,0.667,0.852,0.0,0.93,0.522,0.005,0.001,0.889
Ssxb5,,,,,,,,,,,,,,,,,,,,,,
Olfr1374-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Atp6v1c2,,,,,,0.615,,,,0.951,,0.501,,,0.503,,0.629,0.174,,,,
Gm11340,,,,,,,,,,,,,,,,,,,,,,
Gm27178,,,,,,0.512,,,,0.926,,,,,,,,,,,,
Rpl24,0.377,1.0,0.0,0.052,0.857,0.676,0.051,1.0,0.706,0.165,0.898,0.543,0.039,0.034,0.812,0.766,0.0,0.215,0.183,0.16,0.887,0.25
Tas1r2,,,,,,,,,,1.0,,,,,,,,,,,,
Lins1,0.326,1.0,0.024,0.009,0.976,0.146,0.003,1.0,0.075,0.537,0.796,0.947,0.411,0.362,0.995,0.94,0.003,0.095,0.239,0.236,0.326,0.749
B3gntl1,0.532,0.818,0.061,0.269,0.892,0.16,0.011,0.904,0.917,1.0,0.862,0.031,0.026,0.012,0.912,1.0,0.0,0.517,0.143,0.263,0.605,0.909
Mup-ps4,,,,,,,,,,,,,,,,,,,,,,
Speer4e,0.88,,0.861,,,0.658,,,0.627,1.0,,0.657,,0.666,0.626,,0.807,0.708,0.632,,,0.641
