gene_name,WT_0h_rep1,WT_0h_rep2,WT_0h_rep3,KO_0h_rep1,KO_0h_rep2,KO_0h_rep3,WT_6h_rep1,WT_6h_rep2,WT_6h_rep3,KO_6h_rep1,KO_6h_rep2,WT_24h_rep1,WT_24h_rep2,WT_24h_rep3,KO_24h_rep1,KO_24h_rep2,KO_24h_rep3,WT_48h_rep1,WT_48h_rep2,WT_48h_rep3,KO_48h_rep1,KO_48h_rep2,KO_48h_rep3
Ptk2b,314.094,231.487,243.068,244.068,211.547,215.991,53.63,58.207,64.1,100.707,52.219,121.89,110.664,120.277,150.717,121.095,119.402,136.867,110.344,125.472,192.898,148.314,151.436
Trim35,79.021,101.499,89.045,71.516,92.237,91.499,158.165,232.357,237.012,147.209,120.488,220.229,249.558,278.094,162.133,206.889,186.885,184.468,204.355,228.993,118.622,165.432,157.008
Stmn4,1.844,1.382,1.976,2.916,1.324,0.815,2.282,0.752,0.492,1.099,1.684,1.422,0.324,0.557,0.337,0.0,0.221,0.972,1.31,0.619,1.096,1.32,1.106
Adra1a,0.372,0.177,0.35,0.989,0.113,0.156,1.54,0.321,0.273,1.109,0.646,0.591,0.166,0.071,0.561,0.088,0.17,0.348,0.056,0.0,0.641,0.084,0.071
Dpysl2,38.967,43.365,34.445,28.864,51.295,22.481,9.876,15.368,11.916,17.997,9.449,40.927,37.034,45.422,49.347,47.183,59.428,106.073,78.909,83.743,109.956,104.466,95.689
Pnma2,0.856,0.0,0.0,0.895,0.0,0.0,0.447,0.443,0.289,1.724,2.228,0.0,0.0,0.492,1.19,0.0,0.0,0.0,0.514,0.0,1.382,0.291,0.0
Bnip3l,269.203,117.506,277.913,272.649,133.913,271.974,10.162,12.912,11.222,22.813,11.763,16.207,15.005,12.3,27.533,20.786,24.709,119.324,141.028,107.419,117.039,150.246,95.194
Ppp2r2a,439.467,127.982,287.931,367.493,169.41,297.155,131.686,158.838,196.085,202.675,95.996,157.572,140.198,178.6,148.018,167.227,163.74,308.299,278.189,267.13,274.549,262.515,192.282
Ebf2,0.453,0.122,0.201,0.881,0.291,0.161,1.483,0.353,0.13,0.935,1.333,0.063,0.114,0.025,0.801,0.121,0.039,0.188,0.013,0.018,0.51,0.029,0.049
Cdca2,3.374,1.703,3.21,5.523,3.205,3.763,3.458,4.856,3.898,6.018,7.223,31.277,33.343,40.964,39.771,60.068,91.324,127.388,126.593,133.797,149.693,157.051,148.71
Kctd9,35.511,16.217,15.43,30.003,17.313,17.853,23.313,30.09,29.309,42.182,16.092,36.315,42.908,45.568,37.795,58.261,64.546,79.283,110.854,82.136,77.437,112.474,75.842
Gnrh1,30.119,21.443,13.033,26.4,30.637,24.942,16.562,14.336,21.436,37.395,24.059,26.12,30.411,33.003,28.917,39.862,34.293,42.839,54.691,65.697,56.276,69.394,45.168
Dock5,12.714,7.051,10.159,9.106,9.248,10.642,9.226,9.332,10.273,9.251,4.843,13.837,12.235,14.941,12.872,12.811,12.208,20.7,14.45,16.023,12.016,11.124,10.741
Nefm,0.479,0.341,0.438,0.991,0.363,0.0,1.825,0.722,0.067,0.904,1.385,0.439,0.266,0.459,1.388,0.0,0.091,0.56,0.12,0.17,0.451,0.068,0.114
Nefl,1.29,0.0,0.0,1.264,0.0,0.0,2.948,0.0,0.0,1.623,2.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam7,0.232,0.529,0.291,1.091,0.106,0.292,1.819,0.12,0.314,0.818,1.006,0.0,0.155,0.133,0.645,0.082,0.106,0.093,0.0,0.099,0.3,0.0,0.0
Adamdec1,0.27,0.257,0.0,0.471,0.205,0.0,1.766,0.0,0.0,1.134,0.391,0.33,0.301,0.0,0.94,0.477,0.0,0.0,0.0,0.0,0.145,0.0,0.0
Adam28,0.339,0.193,0.477,0.929,0.077,0.071,2.079,0.088,0.115,0.98,0.734,0.124,0.0,0.0,0.706,0.0,0.077,0.136,0.102,0.0,0.383,0.0,0.0
Stc1,0.403,0.0,0.631,0.526,0.305,0.0,1.578,0.0,0.0,1.183,0.0,0.0,0.0,0.0,1.866,0.237,0.0,2.419,2.216,3.996,6.934,14.154,7.653
Slc25a37,32.49,34.322,42.022,30.007,33.434,36.004,96.017,109.147,114.054,108.252,73.741,141.532,124.013,160.727,109.367,113.634,138.201,104.858,90.744,107.018,68.667,80.365,83.573
Synb,0.681,0.0,0.0,0.445,0.774,0.0,1.779,0.0,0.0,0.0,0.0,0.0,1.136,0.0,0.0,0.0,0.776,0.682,0.0,0.0,0.0,1.158,0.0
Entpd4,37.23,31.296,46.097,39.255,40.159,44.581,24.823,28.251,32.317,32.379,16.533,45.372,45.083,50.557,37.6,50.361,40.729,59.823,53.491,51.598,46.686,47.946,43.455
Gm16867,25.326,26.423,28.153,24.144,25.514,24.705,62.445,73.514,73.704,68.993,45.047,91.717,77.168,103.32,78.606,75.201,92.261,74.003,59.96,67.98,49.784,54.582,55.659
Gm27179,0.0,0.0,2.024,0.563,0.0,0.0,0.563,0.0,0.0,0.542,1.868,0.0,1.437,0.0,0.0,0.0,0.981,0.862,0.0,0.916,0.0,0.732,1.228
Entpd4b,35.38,34.489,41.18,40.28,37.991,45.64,25.921,32.163,34.213,32.59,22.368,39.419,47.702,48.142,39.159,45.711,38.176,58.364,54.332,48.381,48.496,45.086,45.052
Loxl2,0.408,0.388,0.335,0.533,0.177,0.122,1.295,0.302,0.427,1.101,0.928,0.142,0.195,0.056,1.352,0.069,0.221,0.584,0.35,0.248,0.471,0.298,0.166
R3hcc1,28.242,48.163,33.684,28.525,38.081,29.625,33.881,48.791,49.402,40.903,31.328,41.485,44.921,56.582,41.078,50.706,42.625,30.897,33.004,33.152,27.821,36.568,32.75
Chmp7,46.168,40.526,51.034,48.952,48.906,64.951,27.096,40.7,42.231,39.908,23.552,32.617,40.954,35.562,33.215,43.898,39.826,32.401,41.226,37.632,27.17,43.029,39.309
Tnfrsf10b,82.187,44.824,85.957,73.128,63.197,63.743,38.379,42.215,34.687,49.883,19.007,44.137,59.826,42.911,24.922,50.628,38.791,29.314,49.611,59.494,21.059,34.888,37.468
Rhobtb2,85.329,100.319,104.313,103.982,105.744,107.34,13.449,10.348,17.683,15.322,7.443,40.103,40.085,36.614,32.943,38.942,34.06,25.033,27.463,29.878,27.169,39.323,33.768
Pebp4,0.346,0.263,0.157,0.823,0.192,0.081,0.984,0.258,0.169,0.909,1.067,0.366,0.103,0.11,1.122,0.081,0.123,0.385,0.127,0.049,0.955,0.144,0.088
Egr3,65.958,118.633,59.305,70.489,74.628,48.332,178.871,259.315,235.244,468.917,331.172,219.559,248.487,208.44,437.524,279.008,348.545,99.815,122.135,112.012,99.815,110.522,133.984
Bin3,53.457,73.532,58.467,58.775,72.405,53.612,44.826,66.146,64.23,65.472,42.827,62.274,56.15,63.591,70.327,65.337,68.58,60.553,49.228,59.96,69.396,71.905,70.038
Ccar2,53.074,105.37,86.322,63.688,85.602,66.988,43.954,58.256,80.41,56.187,50.051,126.002,164.474,141.876,104.949,160.471,155.984,114.879,109.709,132.744,106.184,119.019,120.18
9930012K11Rik,23.175,56.569,27.478,14.703,39.897,19.448,2.594,0.0,0.0,1.666,4.307,4.849,4.418,4.754,3.451,2.337,6.785,9.941,9.436,11.258,5.342,10.131,7.547
Pdlim2,28.828,54.255,42.004,32.743,49.019,35.499,5.074,4.858,8.686,8.831,3.805,39.011,42.236,35.633,44.857,38.264,34.821,44.661,32.15,35.43,49.756,53.058,41.428
Sorbs3,19.701,51.53,29.677,23.495,40.778,16.622,3.775,1.937,2.986,6.735,2.089,3.136,3.036,2.152,7.44,2.362,4.389,6.001,4.015,6.144,8.898,10.648,9.762
Ppp3cc,54.178,70.6,42.661,79.354,95.86,31.938,16.127,14.431,19.16,33.266,10.525,48.15,39.626,47.506,62.394,42.625,59.566,209.122,142.953,182.009,223.298,203.84,175.791
Slc39a14,23.576,21.144,20.664,25.187,19.522,22.884,46.643,52.916,54.183,51.929,32.348,53.599,47.429,55.373,40.225,48.06,42.788,55.364,49.774,56.612,25.268,29.551,29.878
Piwil2,2.55,1.182,1.625,2.75,1.281,0.995,3.059,3.218,3.258,3.358,2.829,1.737,1.484,1.959,1.546,2.25,1.486,2.315,1.868,1.702,1.531,1.109,0.76
Polr3d,132.407,152.67,180.864,112.321,132.532,151.721,222.254,408.134,391.046,246.253,271.472,233.189,258.088,215.942,106.264,212.697,217.12,77.786,89.591,103.998,49.351,50.157,69.713
Phyhip,0.594,0.0,0.233,1.165,0.338,0.312,1.552,0.384,0.502,1.309,1.289,0.0,0.496,0.0,0.516,0.0,0.338,0.0,0.0,0.0,0.719,0.505,0.0
Bmp1,0.517,0.736,0.463,0.917,0.168,0.233,2.461,1.909,1.436,2.278,3.364,2.57,1.849,1.167,1.54,2.477,1.683,2.145,1.995,1.413,2.087,1.382,1.684
Sftpc,0.539,1.536,0.0,0.705,0.0,0.0,2.114,0.0,0.0,0.679,2.339,0.0,0.0,0.0,1.874,0.952,0.0,0.0,0.0,0.0,2.612,0.0,0.0
Lgi3,0.225,0.0,0.0,0.882,1.024,0.0,1.764,0.0,1.522,1.983,0.0,0.0,0.751,0.0,4.693,0.794,0.513,0.0,0.0,0.0,0.727,0.0,0.641
Reep4,77.453,96.58,97.605,77.222,90.66,126.915,49.677,111.315,97.606,80.147,83.467,77.194,107.033,96.073,71.659,90.578,117.929,79.815,94.182,128.572,69.517,107.519,137.114
Hr,1.02,1.452,1.464,1.443,0.773,1.782,0.777,0.439,0.718,1.71,1.105,0.622,0.85,0.488,0.295,0.45,1.161,0.68,0.637,1.445,0.137,1.156,0.726
Nudt18,11.025,20.931,13.079,17.891,25.827,11.915,9.599,12.949,10.164,9.667,20.281,14.68,13.375,14.391,22.055,16.507,12.933,18.057,18.041,23.431,14.556,25.558,36.173
Fam160b2,33.466,80.775,48.731,37.182,73.309,41.311,30.646,44.554,55.531,36.327,42.473,53.05,59.23,59.184,55.658,56.174,58.781,49.426,41.782,53.777,51.697,49.434,54.364
Dmtn,0.873,0.553,0.76,1.267,0.772,0.814,1.077,0.627,0.0,1.526,2.104,0.533,0.647,0.139,1.854,0.514,0.331,0.971,0.946,0.412,1.018,1.155,0.829
Fgf17,5.008,6.339,13.071,3.271,1.265,4.086,1.817,1.438,0.0,2.1,0.0,0.0,0.0,0.0,1.933,0.0,0.634,1.671,0.417,0.591,0.898,1.892,2.378
Npm2,41.402,35.009,50.894,23.625,31.808,39.724,7.751,12.414,13.614,7.111,7.353,7.761,10.372,12.579,8.838,12.717,14.802,10.466,7.419,13.214,10.717,11.531,13.689
Xpo7,93.846,42.547,57.185,75.156,50.427,50.969,43.592,51.33,52.207,65.477,32.881,76.753,65.476,87.186,78.207,86.141,81.515,128.977,104.418,111.63,110.682,98.839,79.621
Dok2,99.452,210.98,124.844,88.88,144.65,119.103,21.033,27.05,34.709,23.302,33.173,76.664,103.437,67.062,71.35,82.419,62.347,81.406,74.892,82.151,81.216,101.306,126.198
Gfra2,0.32,0.268,0.295,0.958,0.171,0.158,1.326,0.389,0.318,1.23,2.855,0.413,0.0,0.162,1.307,0.133,0.128,0.264,0.113,0.04,0.971,0.128,0.322
Gm9195,0.333,0.146,0.08,1.205,0.233,0.108,1.44,0.397,0.433,1.161,0.667,0.188,0.0,0.074,1.069,0.136,0.0,0.308,0.038,0.109,0.496,0.044,0.0
Fndc3a,150.723,44.855,66.871,134.113,61.86,65.389,67.973,66.928,86.485,57.55,25.559,91.719,70.874,88.237,57.557,62.564,60.3,188.905,159.326,152.704,107.681,97.272,68.018
Cysltr2,37.657,23.804,35.435,113.702,61.625,68.196,3.198,2.618,4.139,10.198,5.858,1.855,0.845,3.394,7.334,4.172,3.269,16.056,17.478,17.047,55.043,45.071,44.506
Rcbtb2,28.454,25.386,18.852,39.817,37.28,18.284,3.586,2.468,3.498,7.61,3.02,8.087,6.639,7.714,14.657,9.34,8.79,12.945,11.372,12.264,32.526,32.034,19.277
Rb1,57.233,20.023,37.959,50.587,28.029,33.359,12.869,14.22,12.716,22.498,10.051,25.081,21.255,27.107,26.275,27.397,24.532,80.949,70.856,74.386,80.048,78.212,59.954
Lpar6,54.696,37.383,24.962,30.619,46.904,39.342,5.714,12.922,5.811,13.37,9.487,20.6,10.428,11.668,30.408,17.649,26.334,13.764,12.19,23.914,51.948,56.854,57.886
Itm2b,245.624,130.645,188.023,281.453,179.841,230.556,15.957,17.015,18.551,44.186,22.844,48.224,37.105,44.754,68.896,60.684,57.982,122.006,121.935,134.977,187.374,209.219,174.705
Med4,122.797,59.787,98.009,112.535,48.186,97.645,37.505,44.012,60.594,62.794,38.647,58.017,67.4,75.075,39.914,67.454,78.927,52.334,68.628,71.98,39.631,70.708,57.562
Nudt15,14.021,11.783,9.449,11.409,11.89,10.488,2.627,1.93,3.205,1.663,3.738,1.894,0.767,0.66,4.592,1.217,1.701,0.805,1.293,1.588,2.596,1.368,1.801
Sucla2,28.282,12.485,21.865,29.254,14.465,22.044,15.745,15.145,18.365,21.403,7.852,18.059,20.43,19.432,18.379,26.068,21.757,30.382,33.524,32.763,27.875,33.458,24.712
Gm21750,2.256,3.212,1.766,5.893,2.565,2.366,1.473,5.829,0.0,4.257,0.0,0.0,0.0,0.0,7.839,1.99,0.0,2.258,0.0,4.795,3.64,1.918,0.0
Htr2a,0.369,0.07,0.115,0.963,0.168,0.103,1.252,0.381,0.083,0.835,0.853,0.18,0.0,0.141,0.769,0.13,0.112,0.246,0.0,0.261,0.714,0.084,0.0
Esd,37.28,20.296,23.609,35.685,21.607,24.728,18.376,17.943,24.711,25.176,9.113,35.13,30.79,30.437,35.876,40.632,35.164,31.643,38.788,32.625,45.265,42.096,38.532
Lrch1,120.611,82.629,83.926,122.687,112.921,86.744,59.838,74.205,59.835,133.194,66.658,68.345,58.63,77.678,114.412,100.09,120.449,107.474,87.728,93.929,190.088,159.458,146.508
Rubcnl,0.74,0.79,0.29,0.725,0.21,0.873,1.087,0.597,0.156,0.582,1.203,0.339,0.154,0.0,1.285,0.163,0.211,0.555,0.139,0.196,1.343,0.236,0.659
Lrrc63,0.761,0.825,0.794,1.467,0.165,0.684,1.656,0.468,0.367,1.231,1.414,0.398,0.0,0.104,0.881,0.384,0.082,0.58,0.38,0.231,1.228,0.308,0.206
Lcp1,59.621,91.349,26.414,45.258,77.476,20.196,115.688,144.305,141.983,210.13,95.591,151.899,143.936,167.954,159.542,177.965,196.482,220.847,205.308,188.343,196.265,199.464,204.732
Cpb2,2.045,0.0,1.217,1.816,1.209,0.429,2.029,0.211,0.415,1.235,1.418,0.299,0.0,0.0,0.71,0.216,0.186,0.655,0.859,0.261,0.66,0.209,0.117
Zc3h13,153.086,56.015,117.885,113.669,58.844,109.589,36.256,45.452,45.548,56.175,33.264,52.577,50.437,57.775,48.622,63.271,56.948,88.592,92.055,83.609,77.809,75.859,67.254
Siah3,4.12,1.564,3.584,2.601,2.394,1.777,1.315,0.177,0.309,1.353,1.985,0.335,0.305,0.131,1.272,0.242,0.261,2.108,1.442,1.849,3.804,1.518,3.456
Cby2,0.165,0.47,0.258,1.292,0.375,0.346,1.077,0.0,0.279,1.037,1.43,0.0,0.0,0.0,1.146,0.0,0.0,0.66,0.247,0.0,1.597,0.0,0.47
Erich6b,0.372,0.176,0.146,0.728,0.423,0.065,1.092,0.32,0.052,0.585,1.075,0.34,0.0,0.089,0.754,0.055,0.0,0.62,0.139,0.0,0.35,0.0,0.088
Cog3,68.937,40.147,60.508,66.984,46.318,57.524,37.962,45.868,50.937,60.126,26.079,62.158,70.336,70.382,51.456,76.629,73.557,109.128,119.218,110.365,86.927,100.264,72.876
Slc25a30,50.649,45.877,57.032,50.927,44.612,45.633,16.536,21.542,22.78,26.183,16.309,51.644,59.604,64.802,52.926,63.604,59.523,58.976,59.896,56.354,38.943,40.921,39.651
Tpt1,576.747,589.49,421.171,470.753,864.193,441.488,419.944,862.648,745.479,609.938,590.582,576.118,575.787,673.495,567.192,683.704,674.025,336.612,404.908,404.409,198.354,285.871,355.847
Gtf2f2,96.38,35.769,53.487,85.744,41.256,59.724,66.773,78.381,86.999,101.374,46.5,83.684,61.128,82.856,87.284,84.763,83.579,111.068,106.356,111.091,84.992,82.617,67.567
Kctd4,0.151,0.0,0.236,1.378,0.0,0.632,2.165,0.0,0.255,0.569,0.654,0.0,0.0,0.0,0.524,0.266,0.0,0.905,0.904,0.32,0.243,0.0,0.0
Gpalpp1,85.048,24.102,59.372,83.495,42.399,55.721,18.781,17.068,22.912,26.923,17.604,25.699,29.385,32.405,31.798,36.548,32.434,36.501,46.859,34.805,46.523,50.768,43.721
Nufip1,108.174,37.01,79.312,102.434,50.409,91.551,74.379,82.471,104.882,99.307,46.133,104.505,95.008,107.57,80.795,104.999,91.539,95.518,118.114,119.42,76.073,115.127,78.417
Tsc22d1,13.801,8.181,10.621,14.06,8.021,7.439,17.525,17.525,21.545,21.275,8.358,28.363,25.054,34.775,26.662,22.268,28.943,46.517,44.404,50.238,35.709,35.61,42.484
Serp2,23.901,13.174,20.306,13.092,7.969,26.321,1.465,1.449,1.185,5.467,2.735,7.7,8.185,10.466,15.83,11.998,11.013,4.35,6.624,4.916,13.912,12.75,12.981
Lacc1,3.255,0.386,3.398,4.606,2.467,4.553,4.428,3.154,4.356,3.072,3.529,7.45,9.503,5.453,5.184,9.574,8.031,9.232,9.969,12.396,14.665,23.52,14.686
Ccdc122,2.528,1.72,1.857,5.26,2.696,1.596,2.951,1.792,2.08,3.49,3.88,5.406,3.583,4.561,8.861,6.474,6.928,10.927,10.067,13.74,16.389,16.049,13.641
Enox1,0.564,0.374,0.388,0.921,0.401,0.213,1.447,0.617,0.318,1.154,1.321,0.492,0.269,0.3,1.059,0.39,0.442,0.526,0.367,0.267,0.954,0.452,0.357
Dnajc15,300.275,89.678,155.365,184.001,123.964,168.477,27.929,30.353,35.363,57.127,21.101,64.122,55.22,66.309,112.001,95.058,114.48,129.982,96.146,98.941,397.568,281.321,214.337
Epsti1,444.901,226.121,233.783,326.147,279.839,256.542,3.292,2.082,2.695,14.388,4.164,15.758,11.441,17.774,31.337,17.942,44.12,133.239,80.269,96.093,320.808,411.724,315.842
Fam216b,0.423,0.0,0.993,1.38,0.0,0.443,0.828,0.546,0.0,0.0,1.833,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341,0.0,0.0
Tnfsf11,55.756,18.689,38.259,8.356,13.417,24.875,122.366,175.846,128.174,104.008,83.221,151.049,257.963,236.762,173.035,482.116,477.219,51.114,133.022,83.219,148.707,235.984,175.21
Akap11,77.25,30.842,37.774,65.488,38.746,38.053,30.513,40.019,34.628,45.355,26.108,45.618,47.251,52.414,44.473,63.014,59.844,84.823,92.19,82.251,89.093,120.963,79.413
Dgkh,7.098,2.458,4.889,5.193,4.167,6.082,5.914,5.011,6.458,9.577,5.971,17.682,13.684,20.327,6.705,7.272,11.482,60.095,54.559,58.239,15.71,11.918,15.721
Vwa8,12.721,8.298,11.774,13.402,8.287,14.822,6.556,5.986,7.129,6.737,4.743,29.28,23.603,30.741,25.926,26.738,28.815,38.239,37.059,39.604,25.931,25.516,25.656
Zfp957,0.916,0.824,0.453,1.7,1.425,0.404,1.574,1.121,0.326,1.334,0.418,0.0,0.482,0.415,1.172,0.595,0.22,1.254,1.157,1.946,1.244,1.229,1.236
Rgcc,697.949,370.23,448.792,450.607,391.16,277.137,16.072,19.959,11.507,53.862,30.089,33.557,34.507,24.814,69.146,78.781,61.713,55.036,66.771,54.816,65.07,87.249,51.48
Naa16,47.217,24.721,31.787,44.11,28.992,33.83,49.384,51.983,59.65,71.136,31.164,104.224,116.364,114.212,79.479,139.731,118.371,146.546,155.678,136.592,120.877,118.719,86.094
Mtrf1,3.464,3.537,3.685,3.928,4.905,1.508,2.049,2.027,2.431,2.467,2.834,8.138,6.325,8.072,10.902,10.266,9.824,10.206,10.982,7.919,13.924,14.002,12.665
Kbtbd7,37.292,35.046,11.68,24.355,31.373,22.688,4.87,12.527,15.128,13.137,8.085,9.558,7.465,13.922,12.957,6.581,15.286,10.451,15.103,15.059,12.035,18.385,20.189
Kbtbd6,7.354,12.888,4.429,5.172,7.718,10.681,4.433,5.847,7.649,3.559,2.453,12.428,5.662,16.245,19.656,13.975,20.611,16.986,31.396,22.843,14.605,12.502,38.684
Wbp4,28.459,17.144,28.405,32.679,22.755,27.392,31.346,34.546,37.928,44.068,17.969,32.064,38.606,32.331,31.241,46.357,38.456,45.075,50.195,44.367,39.363,46.122,40.545
Elf1,328.297,147.06,248.157,372.156,192.526,258.61,36.504,42.053,44.375,71.655,33.011,83.137,65.025,80.46,101.696,93.477,103.861,174.532,144.177,147.279,280.257,231.255,191.139
Sugt1,75.626,46.432,58.964,114.463,69.46,70.87,29.365,30.84,35.364,47.461,18.022,51.767,47.168,64.468,53.319,70.769,63.093,78.502,89.729,92.028,90.452,98.191,73.582
Cnmd,0.345,0.393,0.108,0.99,0.157,0.0,1.71,0.178,0.0,1.214,0.897,0.252,0.0,0.0,0.719,0.0,0.0,0.276,0.103,0.0,0.667,0.117,0.0
Pcdh8,0.372,0.0,0.0,0.0,0.846,0.0,0.486,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfm4,0.369,0.21,0.462,1.059,0.335,0.155,1.829,0.0,0.249,1.577,1.918,0.0,0.0,0.0,1.281,0.26,0.0,0.0,0.0,0.0,0.595,0.0,0.0
Pcdh17,0.283,0.101,0.166,0.6,0.121,0.148,1.432,0.365,0.12,0.823,0.767,0.194,0.059,0.0,0.676,0.125,0.081,0.142,0.0,0.038,0.371,0.03,0.0
Diaph3,8.509,2.245,4.454,8.565,4.328,7.184,3.397,2.638,1.873,5.029,2.952,18.605,16.57,22.031,25.463,29.455,34.261,79.903,77.708,71.194,96.161,94.718,71.389
Tdrd3,36.783,12.679,14.518,34.037,16.584,11.813,16.845,18.237,18.216,23.987,12.606,24.262,19.616,26.285,24.706,26.735,25.108,42.386,39.462,40.744,35.753,36.643,24.29
Pcdh20,0.507,0.0,0.0,0.0,0.0,0.0,1.325,0.655,0.0,0.638,0.0,0.0,0.0,0.0,0.881,0.0,0.0,0.0,0.0,0.0,0.409,0.0,0.0
Tpm3,1.423,0.791,0.929,1.817,0.929,0.831,2.053,0.816,0.632,1.584,1.537,0.84,0.728,0.805,1.411,0.892,0.869,1.532,1.299,1.313,1.848,1.482,1.226
Pcdh9,0.437,0.471,0.31,0.889,0.28,0.157,1.716,0.403,0.208,0.927,1.068,0.373,0.257,0.348,0.849,0.241,0.254,0.936,0.554,0.392,0.745,0.445,0.301
Spertl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klhl1,0.608,0.3,0.273,0.995,0.369,0.23,1.514,0.325,0.192,0.974,1.248,0.297,0.176,0.186,0.62,0.265,0.138,0.389,0.207,0.224,0.536,0.207,0.185
Dach1,0.313,0.213,0.242,0.703,0.16,0.102,1.532,0.228,0.149,0.893,0.841,0.065,0.118,0.089,0.643,0.054,0.07,0.3,0.112,0.037,0.569,0.075,0.0
Rpl36a,4.121,2.444,3.32,4.011,2.854,3.136,2.54,1.8,1.816,2.652,1.972,2.211,2.093,2.396,2.572,2.571,2.508,3.319,3.23,3.002,3.627,3.588,2.898
Mzt1,192.857,65.59,129.661,184.502,95.79,122.327,62.823,78.722,79.832,106.005,43.615,93.943,97.269,94.605,81.04,131.962,111.866,128.102,203.574,167.608,178.539,259.466,155.342
Bora,39.965,22.012,33.31,41.01,24.523,39.973,17.763,23.378,24.813,29.701,21.305,69.329,92.956,82.246,58.085,124.871,120.615,151.247,181.463,159.307,147.738,207.595,161.165
Dis3,57.499,25.628,39.696,53.569,33.739,43.092,83.973,101.888,125.753,116.678,63.152,106.654,156.31,136.315,73.756,178.685,147.985,122.939,178.27,142.79,79.593,131.385,79.47
Pibf1,35.106,17.284,25.282,42.133,27.377,20.519,18.019,21.013,20.185,30.42,13.68,26.86,23.199,29.184,27.84,28.702,27.144,47.877,45.275,46.91,47.948,45.652,38.848
Klf5,0.619,0.0,0.97,1.079,0.235,0.217,1.483,0.0,0.0,1.299,0.0,0.0,0.0,0.0,1.435,0.0,0.0,0.413,0.155,1.097,1.0,0.0,0.0
Klf12,0.73,0.313,0.396,1.129,0.612,0.368,1.458,0.284,0.303,1.061,1.043,0.298,0.15,0.199,0.878,0.575,0.362,1.542,1.339,1.23,1.861,2.64,1.405
Prr30,0.0,0.0,1.001,0.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,0.0,0.0,0.0,2.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tbc1d4,12.138,3.025,14.192,5.443,3.151,8.191,1.479,1.019,0.581,2.023,1.272,1.37,1.451,2.237,7.134,2.802,3.363,4.05,4.324,3.805,17.644,10.541,14.698
Commd6,43.894,20.833,19.857,41.726,24.396,23.021,28.98,35.285,28.852,39.884,13.746,32.144,31.729,42.015,27.961,46.043,38.87,24.407,45.357,44.052,33.841,44.772,31.962
Uchl3,34.726,17.451,14.05,26.315,20.491,18.906,27.88,35.291,36.896,41.673,23.62,43.558,52.383,51.988,39.524,54.281,41.499,57.006,70.534,64.95,45.113,61.078,40.514
Lmo7,0.527,0.399,0.361,0.926,0.225,0.277,1.507,0.362,0.251,1.016,1.358,0.211,0.275,0.189,0.83,0.189,0.131,0.627,0.284,0.28,0.758,0.336,0.258
Kctd12,59.63,48.404,46.689,54.23,55.12,53.196,8.37,6.48,5.181,11.569,10.874,1.02,2.789,3.201,5.809,2.95,5.076,3.904,10.449,10.067,5.845,10.421,10.321
Acod1,0.528,1.002,0.275,1.148,0.4,0.0,0.919,0.909,0.594,1.327,3.05,0.644,0.0,0.505,1.833,0.31,0.0,0.0,0.0,1.121,1.135,0.0,0.501
Cln5,48.948,33.714,49.913,46.985,35.201,47.285,23.488,38.826,34.634,32.08,25.668,40.014,32.661,49.687,37.179,44.192,30.587,20.508,37.565,30.967,28.655,47.219,31.137
Fbxl3,285.158,122.084,245.425,249.414,158.423,222.737,76.168,101.071,93.123,115.011,65.877,70.974,81.855,96.028,68.865,94.754,90.066,106.44,150.221,136.389,121.307,177.525,136.828
Mycbp2,163.729,53.246,87.216,148.186,81.903,96.32,43.926,56.832,59.932,74.855,37.372,72.037,74.466,80.933,64.74,101.585,87.969,125.195,130.482,113.774,129.915,162.939,102.718
Scel,0.271,0.242,0.159,0.621,0.27,0.249,1.44,0.395,0.086,1.003,0.589,0.062,0.113,0.0,0.707,0.0,0.0,0.306,0.127,0.072,0.657,0.173,0.097
Slain1,47.65,31.639,43.833,71.107,44.699,67.723,6.287,5.343,7.72,16.967,5.219,30.059,21.622,29.511,36.351,31.913,40.198,82.226,70.318,79.036,105.277,115.581,95.232
Ednrb,0.283,0.323,0.177,1.184,0.515,0.0,0.962,0.732,0.192,0.499,1.229,0.0,0.0,0.0,0.394,0.0,0.0,0.0,0.0,0.0,0.366,0.0,0.161
Pou4f1,1.334,3.8,1.672,3.137,3.034,1.68,3.137,1.379,4.06,3.693,4.629,5.863,5.342,3.832,1.855,6.122,4.254,3.205,4.404,2.269,1.292,1.815,0.0
Rnf219,25.999,25.248,12.126,20.131,26.963,11.85,46.069,62.249,54.062,62.455,36.498,84.925,71.015,95.07,76.038,93.738,89.104,92.257,98.816,100.415,68.997,85.536,81.328
Rbm26,183.293,37.654,100.195,151.468,60.78,97.513,72.13,84.084,107.017,113.317,49.04,105.234,129.389,132.446,78.093,164.423,129.419,210.115,256.401,199.707,161.623,208.156,115.475
