gene_name,WT_0h,KO_0h,WT_6h,KO_6h,WT_24h,KO_24h,WT_48h,KO_48h
Gm11937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krtap2,0.0,0.0,0.888,1.284,0.0,1.2,0.0,0.0
Gm11562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krtap4,0.414,0.517,0.751,1.143,0.312,0.423,0.324,0.396
Gm11555,0.0,0.0,0.0,1.666,0.0,0.0,0.0,0.0
Gm11563,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0
Gm14190,0.0,0.0,6.255,0.0,0.0,0.0,0.0,0.0
Gm14180,0.0,16.61,0.0,0.0,0.0,0.0,0.0,0.0
Gm11595,0.0,0.0,0.0,0.885,0.0,0.0,0.0,0.0
Gm11596,0.0,0.0,0.681,0.985,0.0,0.0,0.0,0.0
Gm11569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm11554,0.0,0.0,2.479,0.0,0.0,0.0,0.0,0.0
Gm11564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300003K06Rik,0.0,0.934,0.0,0.0,0.0,0.0,0.0,0.0
Gm11568,0.0,0.0,0.642,3.198,0.0,0.0,0.0,0.0
Gm11559,0.0,0.0,0.0,3.341,0.0,0.0,0.0,0.0
Gm11567,0.0,0.705,3.012,0.0,1.55,0.0,0.0,0.0
Krtap31,4.185,4.398,6.988,9.369,11.522,9.089,11.996,8.086
Gm11565,0.611,0.0,0.0,1.154,0.0,0.0,0.0,0.0
Krtap29,0.0,0.0,0.715,0.0,0.0,0.0,0.0,0.0
Krtap17,0.0,0.0,0.0,1.397,0.0,0.0,0.0,0.0
Krt33a,0.0,0.146,0.922,1.576,0.0,0.0,0.0,0.181
Krt33b,0.528,0.471,0.704,0.341,0.0,0.314,0.181,0.291
Krt34,0.134,0.0,0.349,0.505,0.49,0.929,0.0,0.216
Krt31,0.554,0.753,0.62,0.544,0.0,0.5,0.288,0.465
Krt32,0.272,0.958,0.297,2.354,0.0,0.0,0.0,0.246
Krt35,0.0,0.547,0.182,3.131,0.931,0.0,0.0,0.0
Krt36,0.243,0.0,0.0,2.902,0.0,1.629,0.0,0.251
Krt13,0.0,0.475,0.52,0.25,0.0,0.461,0.0,0.214
Krt15,0.135,0.659,0.352,0.255,0.0,0.937,0.0,0.769
Krt19,0.0,0.692,0.138,2.178,0.0,0.0,0.0,0.171
Krt9,0.681,0.227,0.227,0.328,0.0,0.0,0.0,0.429
Krt14,0.128,0.269,0.167,3.713,0.428,0.446,0.0,0.218
Krt16,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.57
Krt17,0.534,0.305,0.305,1.765,0.0,0.679,0.0,1.108
Krt42,0.126,0.421,0.105,0.0,0.0,0.56,0.322,0.0
Eif1,1659.993,1648.198,961.696,828.049,718.089,664.364,505.44,365.327
Gast,0.775,0.778,0.367,0.41,0.0,0.0,5.433,3.805
Hap1,0.192,0.613,0.525,1.73,0.397,1.623,1.838,0.812
Jup,0.89,1.469,0.591,1.205,0.624,0.612,0.713,0.995
P3h4,3.807,2.669,0.607,0.906,0.506,0.613,1.003,1.12
Fkbp10,0.484,0.161,0.805,1.616,0.588,0.0,0.47,0.204
Nt5c3b,79.639,63.195,44.746,37.049,62.606,51.297,44.831,57.065
Klhl10,1.676,1.834,1.481,1.812,1.382,2.29,2.184,1.942
Klhl11,86.614,89.328,73.515,64.097,55.98,53.849,56.058,52.205
Acly,85.198,88.093,75.685,72.738,131.125,130.871,163.114,112.015
Ttc25,0.307,0.364,0.986,0.98,0.359,1.084,1.662,0.764
Cnp,79.69,72.964,7.408,12.067,21.411,24.627,40.252,70.794
Dnajc7,132.73,146.246,130.417,113.073,156.66,152.572,157.226,138.742
Nkiras2,22.547,17.98,31.283,28.963,40.5,40.287,29.621,34.091
Zfp385c,1.058,0.879,0.84,1.071,0.34,0.636,0.756,1.132
Dhx58,65.649,36.971,21.095,16.616,30.03,23.893,28.795,61.843
Kat2a,89.807,63.751,221.547,174.943,202.037,170.061,97.052,90.557
Hspb9,1.552,5.419,0.0,1.464,5.069,2.696,3.881,5.673
Rab5c,63.166,77.249,92.642,86.109,117.65,115.601,103.023,107.876
Kcnh4,1.782,1.141,32.168,24.293,3.025,4.426,1.859,2.58
Hcrt,0.604,0.0,0.789,0.57,1.008,0.0,0.605,1.001
Ghdc,9.895,8.198,5.246,3.953,20.575,12.427,13.167,10.431
Stat5b,233.739,238.076,171.99,147.28,154.348,122.013,213.931,184.304
Stat5a,360.029,370.573,908.131,639.782,329.517,248.786,165.833,143.017
Stat3,254.473,349.24,156.808,122.976,154.174,151.487,312.497,337.125
Cavin1,0.266,0.558,0.481,1.45,0.291,0.969,0.437,0.434
Atp6v0a1,0.817,0.977,1.017,1.157,10.596,9.592,7.446,3.846
Naglu,10.86,9.364,11.316,9.518,22.412,16.984,16.84,14.767
Hsd17b1,1.023,2.688,4.68,7.695,4.484,5.843,2.725,3.153
Coasy,27.714,27.315,50.571,38.646,92.016,89.105,63.236,63.385
Mlx,36.736,33.91,52.639,38.074,68.868,54.197,43.582,46.422
Psmc3ip,9.183,4.852,22.488,17.24,75.904,71.594,50.983,37.41
Retreg3,132.213,135.484,60.477,64.392,69.583,74.679,80.357,101.297
Tubg1,31.517,24.598,23.409,26.125,79.238,94.415,51.449,57.938
Tubg2,2.521,2.407,1.908,2.328,5.178,5.823,7.955,9.185
Plekhh3,0.231,0.685,1.677,2.177,1.301,3.003,3.658,2.947
Ccr10,1.67,1.488,0.0,0.868,1.684,0.0,0.0,0.371
Cntnap1,0.153,0.742,1.237,1.897,2.182,2.347,4.8,4.605
Ezh1,61.251,61.294,54.156,48.597,39.767,41.557,43.968,61.309
Ramp2,26.373,27.394,24.663,22.709,40.023,37.398,25.427,27.047
Vps25,60.585,62.382,54.7,47.88,92.013,85.643,58.692,61.844
Wnk4,6.375,6.196,4.294,5.675,5.327,3.823,3.679,2.555
Coa3,88.832,69.492,88.639,90.91,84.875,83.054,52.969,57.162
Cntd1,0.735,0.935,0.765,0.774,2.255,2.511,4.913,10.648
Becn1,183.146,186.611,148.073,129.218,135.179,117.864,105.316,96.551
Psme3,173.831,163.517,492.132,394.054,512.589,460.368,242.85,159.251
Aoc2,163.583,149.44,490.789,411.282,407.353,321.78,193.214,116.702
Aoc3,9.489,9.959,28.17,26.393,30.619,19.48,9.092,6.336
G6pc,0.248,0.337,0.964,1.026,0.0,1.044,0.354,0.243
Gm27029,19.861,22.762,39.386,34.909,108.668,90.653,53.984,36.849
Aarsd1,23.696,28.069,61.255,53.406,172.182,142.676,77.872,53.928
Ptges3l,17.664,17.716,8.696,11.706,16.403,13.49,20.375,13.183
Rundc1,83.34,83.352,63.123,70.636,71.754,64.643,53.967,47.335
Rpl27,201.564,199.009,420.186,341.443,447.4,424.519,276.298,173.709
Ifi35,121.443,116.713,50.295,37.888,81.058,52.277,86.923,101.392
Vat1,20.054,12.031,19.228,16.251,18.926,10.111,29.224,22.354
Rnd2,8.865,6.491,1.453,7.571,0.0,2.134,3.576,4.25
Brca1,3.638,5.45,1.326,1.904,41.231,51.893,81.801,87.502
Nbr1,89.086,94.563,41.682,40.171,50.421,52.749,70.86,99.959
Tmem106a,17.663,19.962,8.432,6.759,10.213,12.954,16.298,21.061
Gm11634,0.291,0.267,0.666,1.905,0.0,0.709,0.204,0.503
Rdm1,16.01,11.914,8.136,11.323,17.803,22.998,36.859,39.787
Arl4d,16.089,16.016,1.691,4.84,2.934,4.389,9.946,38.43
Dhx8,123.003,123.221,62.729,54.266,59.579,62.276,57.755,69.671
Etv4,0.349,0.684,1.623,1.985,7.092,5.842,5.923,2.114
Meox1,0.133,0.379,0.273,1.315,0.096,0.407,0.267,0.38
Sost,0.44,0.0,0.803,0.699,0.0,0.218,0.0,0.0
Dusp3,0.516,0.652,1.012,0.899,1.491,1.78,3.213,2.31
Cfap97d1,0.0,0.276,1.248,0.857,0.235,0.405,0.255,0.114
Mpp3,0.128,0.398,0.531,1.355,0.186,0.745,0.254,0.47
Cd300lg,0.08,0.292,0.794,1.564,0.229,0.139,0.539,0.193
Mpp2,0.384,0.543,0.682,1.105,1.211,3.078,12.78,12.744
Ppy,0.0,1.45,0.529,7.561,0.0,1.407,0.0,0.0
Pyy,0.487,1.742,0.0,0.0,0.0,0.0,0.0,1.57
Nags,0.0,0.187,0.187,0.811,0.0,0.498,0.304,0.231
Tmem101,11.739,9.397,12.857,16.942,18.895,23.843,21.258,20.23
Lsm12,57.489,74.696,115.742,94.326,149.418,135.612,128.925,104.064
G6pc3,46.558,40.349,86.011,65.142,135.097,97.415,72.463,63.089
Hdac5,149.356,139.618,30.195,33.115,39.487,37.474,43.647,53.184
Hrob,0.713,1.022,0.924,0.999,55.118,60.689,78.568,61.307
Asb16,0.149,0.325,0.547,1.277,0.326,0.365,0.473,0.343
Tmub2,73.273,77.874,72.978,68.111,92.35,87.108,66.723,88.517
Atxn7l3,168.782,155.809,281.418,233.576,235.617,203.029,140.89,138.238
Ubtf,205.616,173.836,236.15,170.215,285.322,225.03,140.304,127.109
Slc4a1,0.068,0.713,0.529,0.803,0.0,0.417,0.068,0.431
Rundc3a,8.019,5.368,0.76,0.4,0.675,0.71,1.222,3.232
Slc25a39,18.275,21.834,138.769,132.74,76.759,67.293,36.325,34.585
Grn,8.439,10.102,1.803,2.891,6.078,11.293,20.684,28.305
Fam171a2,1.123,1.569,0.615,0.441,0.175,0.368,0.289,0.264
Itga2b,67.533,58.836,13.772,10.308,15.254,11.547,10.382,10.015
Gpatch8,106.376,110.553,55.332,55.097,68.911,73.3,107.02,111.923
Gm11627,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.296
Fzd2,0.0,0.201,0.401,0.29,0.0,0.534,0.307,0.0
Meioc,0.156,0.307,0.566,0.879,0.222,0.386,0.061,0.283
Ccdc43,34.731,32.932,29.835,21.44,29.56,30.488,26.724,23.513
Adam11,0.06,0.36,0.58,0.558,0.295,0.415,0.12,0.241
Gjc1,0.136,0.314,1.057,1.466,0.378,1.196,1.032,0.435
Higd1b,0.0,0.335,0.0,0.0,0.0,0.892,0.0,0.0
Eftud2,61.309,61.502,140.339,124.949,157.028,143.503,96.264,75.473
Ccdc103,0.421,1.099,0.183,0.529,1.208,0.0,0.508,0.452
Fam187a,0.36,0.0,0.0,0.0,1.034,0.0,0.0,0.0
Gfap,0.089,0.577,0.74,1.914,0.373,0.497,0.749,0.531
Kif18b,0.262,1.961,0.93,1.692,53.303,74.782,107.237,113.882
C1ql1,0.367,0.469,3.07,0.779,1.991,1.363,1.137,1.178
Dcakd,21.969,22.986,49.263,47.25,69.368,70.513,42.765,53.187
Nmt1,80.159,86.227,97.638,88.103,109.43,102.772,90.227,74.182
Plcd3,2.009,2.001,2.462,2.856,2.741,3.485,3.284,2.708
Acbd4,36.72,36.693,22.195,25.688,23.672,27.629,31.872,36.996
Hexim1,484.504,414.355,138.773,111.605,76.979,92.169,69.166,96.823
Hexim2,7.824,6.465,9.127,9.316,9.551,10.531,13.166,14.585
Fmnl1,424.875,341.112,172.409,247.936,308.811,341.195,185.452,256.94
Efcab15,2.743,1.255,0.906,1.424,1.779,3.325,0.776,1.121
Spata32,16.529,14.475,3.712,5.725,4.744,6.617,2.109,2.266
Map3k14,163.517,178.72,91.001,109.734,138.802,117.055,102.331,101.497
Arhgap27,43.619,32.369,25.195,20.882,43.269,41.277,33.306,43.618
Plekhm1,88.377,89.881,38.807,35.587,46.789,47.027,56.344,55.719
Lrrc37a,0.103,0.292,0.412,0.985,0.095,0.537,0.144,0.254
Gm884,0.344,0.495,0.661,1.337,0.207,0.639,0.295,0.557
Lyzl6,0.072,0.188,0.564,1.011,0.0,0.25,0.288,0.354
Rprml,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0
Gosr2,108.976,120.997,89.82,81.027,83.956,86.228,82.959,76.61
Wnt9b,0.265,0.294,0.598,1.713,0.0,0.044,0.05,0.437
Wnt3,0.322,0.61,14.593,26.718,0.578,5.054,0.596,6.843
Nsf,60.794,53.971,28.733,28.182,42.889,44.034,54.411,53.474
Arf2,11.811,13.454,12.386,13.112,17.54,15.984,21.639,14.792
Crhr1,0.316,0.43,0.444,1.383,0.082,0.551,0.231,0.234
Sppl2c,0.116,0.152,0.604,5.954,0.388,0.205,0.0,0.188
Mapt,0.5,0.52,0.569,0.911,0.253,0.586,0.606,0.596
Kansl1,134.024,126.102,70.021,75.53,94.673,106.89,211.055,220.966
Cdc27,96.415,106.799,46.822,47.575,78.341,89.391,141.866,151.478
Myl4,3.302,3.466,1.529,3.362,1.321,2.275,1.909,4.609
Itgb3,26.387,38.969,1.345,3.803,1.235,5.34,13.426,73.754
Gm11639,0.467,0.673,0.667,1.018,0.199,0.394,0.276,0.47
Efcab3,0.529,0.48,0.642,0.86,0.196,0.271,0.288,0.406
Mettl2,68.078,83.214,137.171,110.097,97.42,98.93,62.816,46.277
Tlk2,89.812,92.022,45.15,42.07,62.597,65.037,112.887,109.686
Mrc2,2.992,2.973,0.816,1.799,0.381,0.905,0.922,1.796
Marchf10,0.764,0.851,0.589,0.967,0.37,0.771,0.438,0.668
Tanc2,2.486,2.359,4.865,4.77,2.193,2.189,7.229,4.711
Cyb561,0.441,0.615,0.756,1.232,0.283,1.475,0.842,1.025
Ace,0.193,0.486,0.409,1.291,0.094,0.799,0.102,0.206
Ace3,0.239,0.409,0.429,0.975,0.15,0.455,0.0,0.421
Kcnh6,4.498,4.442,1.964,2.714,2.514,3.045,3.705,4.157
Dcaf7,117.166,111.546,80.855,81.624,101.786,100.393,105.525,104.103
Taco1,12.342,12.52,13.622,20.282,26.055,30.61,24.971,21.165
Map3k3,130.825,131.84,24.231,27.826,56.546,67.635,80.216,106.276
Limd2,782.578,817.634,298.59,290.781,308.696,359.689,178.096,382.944
Strada,40.99,46.812,26.84,31.345,41.475,44.295,49.223,50.97
Ccdc47,31.484,34.96,59.519,52.782,99.539,98.857,118.878,99.719
Ddx42,112.678,118.719,72.4,63.342,113.034,113.737,148.046,125.299
Ftsj3,220.745,223.605,591.71,463.078,429.679,347.691,181.587,131.575
Psmc5,69.731,58.233,119.7,88.446,135.646,115.149,68.556,50.472
Smarcd2,185.093,181.913,132.606,105.969,168.026,135.267,112.79,126.357
Tcam1,0.332,0.167,4.368,2.228,7.094,7.791,11.005,9.698
Gh,0.553,0.74,0.0,0.0,0.0,0.0,0.0,0.0
Cd79b,3.96,7.382,1.195,1.69,4.609,7.134,4.996,13.747
Scn4a,0.81,1.023,0.779,1.302,0.285,0.741,0.185,0.683
Prr29,0.425,0.122,0.521,1.22,0.0,0.535,0.384,0.53
Icam2,73.884,63.727,57.347,43.186,58.653,53.819,35.068,46.634
Ern1,23.529,21.703,15.158,13.285,16.675,13.812,25.164,16.034
Tex2,70.54,73.805,49.441,27.393,100.398,53.17,124.75,66.617
Pecam1,260.878,301.035,27.508,35.057,23.901,50.728,38.075,196.367
Milr1,12.748,15.274,3.54,5.621,8.182,16.455,16.86,46.42
Polg2,217.341,205.332,36.67,37.73,60.998,66.404,69.312,76.663
Ddx5,3791.025,3471.948,1179.572,1022.358,1370.015,1399.059,1221.951,1180.949
Cep95,33.334,32.117,31.398,29.365,53.505,57.144,50.254,67.558
Smurf2,56.506,70.273,28.405,32.625,44.657,47.375,75.036,69.062
Kpna2,29.969,30.498,69.674,55.365,146.197,180.245,250.823,195.036
1810010H24Rik,0.976,0.269,1.63,2.106,3.065,2.253,1.891,3.127
Bptf,188.963,189.188,71.579,62.414,117.742,109.12,184.376,153.627
Nol11,80.088,81.831,101.13,81.175,114.678,98.397,83.214,54.393
Pitpnc1,324.83,334.113,37.465,57.252,92.318,123.773,134.573,254.916
Psmd12,64.994,67.48,78.944,77.036,89.351,83.391,72.428,65.974
Helz,91.761,95.715,27.196,25.109,56.372,59.711,89.008,97.763
Cacng1,0.217,0.387,0.639,2.679,0.0,0.096,0.0,0.136
Cacng4,0.304,0.572,0.668,1.371,0.13,0.821,0.418,0.802
Cacng5,0.923,1.044,0.717,1.199,0.08,0.489,0.289,0.315
Prkca,114.853,116.53,162.529,50.475,572.031,377.952,439.369,277.068
Apoh,0.72,1.097,1.239,1.426,0.588,1.58,0.831,1.096
Cep112,0.493,0.543,0.665,1.246,0.235,0.667,0.461,0.873
Axin2,93.114,83.272,6.496,9.768,15.302,17.508,15.201,20.415
E030025P04Rik,0.395,0.579,2.005,0.93,0.0,0.0,0.0,0.188
Rgs9,1.14,1.171,0.638,1.381,0.357,0.907,0.981,2.21
Gna13,269.091,344.809,129.359,177.638,127.929,154.644,196.231,207.2
9930022D16Rik,5.004,2.904,1.305,1.546,0.815,2.261,4.716,3.533
Amz2,29.378,26.689,8.046,9.023,16.272,19.982,19.06,23.183
Slc16a6,180.221,177.689,70.914,90.09,108.572,93.029,120.288,60.868
Arsg,8.689,8.721,4.305,4.877,7.668,8.485,9.891,5.879
Wipi1,3.021,3.105,0.682,1.025,0.108,0.451,2.886,3.39
Prkar1a,416.056,416.356,102.601,116.033,116.248,124.548,159.404,158.169
Fam20a,0.671,0.905,1.275,1.66,3.167,0.625,12.974,0.389
1700012B07Rik,0.169,0.365,0.788,0.981,0.235,0.461,0.085,0.517
Abca8b,0.239,0.387,0.47,1.503,0.155,0.247,0.183,0.216
Abca8a,0.35,0.371,0.644,1.374,0.059,0.347,0.081,0.279
Abca9,0.386,0.245,0.878,1.552,0.141,0.444,0.217,0.203
Abca6,0.318,0.516,0.649,1.341,0.123,0.33,0.212,0.459
Abca5,0.532,0.955,0.639,0.594,0.369,0.534,1.901,0.863
Map2k6,16.931,13.035,0.616,1.814,2.818,4.901,9.413,23.655
Kcnj16,0.652,0.507,0.603,1.126,0.317,0.381,0.25,0.247
Kcnj2,0.106,0.62,1.208,2.115,0.387,0.183,0.238,0.511
Sox9,0.203,0.346,0.398,2.174,0.0,1.238,0.203,0.501
Slc39a11,20.629,17.675,29.462,23.188,38.137,35.016,20.82,14.335
Sstr2,0.647,0.521,0.547,2.435,0.0,0.0,0.0,0.272
Cog1,72.587,72.013,57.695,51.23,60.013,54.437,43.762,55.333
Fam104a,64.198,69.676,45.017,38.114,62.84,65.48,58.552,52.035
D11Wsu47e,24.015,16.947,97.783,85.948,82.603,74.674,49.619,48.581
Cpsf4l,0.392,0.418,0.433,1.115,0.348,0.876,0.386,0.161
Cdc42ep4,9.83,12.789,4.889,5.363,5.108,9.162,10.357,9.877
Sdk2,0.338,0.403,0.652,1.319,0.2,0.576,0.237,0.454
Rpl38,342.772,339.369,683.725,548.762,579.888,449.63,274.446,189.843
Ttyh2,2.498,2.656,1.688,1.977,1.32,1.448,3.118,2.318
Dnaic2,0.282,0.349,0.407,1.246,0.27,0.299,0.335,0.464
Kif19a,0.158,0.462,0.826,1.224,0.145,0.449,0.311,0.566
Btbd17,2.687,2.56,0.942,0.782,0.0,0.418,0.18,0.603
Gpr142,0.614,0.715,0.401,3.018,0.0,0.627,0.0,0.58
Gprc5c,0.157,0.469,0.556,1.424,0.075,0.41,0.105,0.276
Cd300a,0.23,0.352,1.062,2.519,0.282,0.603,0.154,0.497
Cd300lb,0.249,0.11,0.567,1.82,0.177,0.505,0.0,0.313
Cd300c,0.136,0.531,1.409,0.768,0.389,0.471,0.0,0.875
Cd300ld,0.472,0.359,0.574,3.564,0.269,1.064,0.0,0.356
Cd300c2,0.0,0.142,0.469,0.412,0.399,0.95,0.0,0.176
Cd300ld2,0.48,0.855,0.376,0.725,0.0,0.0,0.192,0.155
Cd300ld4,0.664,0.351,0.736,0.751,0.0,0.311,0.0,0.289
Cd300ld5,1.314,0.351,0.816,1.69,0.0,0.311,0.0,0.0
Cd300ld3,0.281,0.117,0.468,1.09,0.299,0.158,0.37,0.289
Cd300e,0.11,0.554,0.501,1.484,0.201,0.699,0.336,0.177
Rab37,8.233,7.014,1.118,1.786,2.076,4.073,3.022,7.876
Cd300lf,0.442,0.422,0.496,1.128,0.312,1.115,0.653,0.606
Slc9a3r1,158.837,144.28,68.212,74.92,93.32,84.019,92.58,105.56
Nat9,7.13,7.814,5.592,7.368,20.026,16.896,13.513,17.026
Tmem104,39.66,36.576,42.522,43.749,48.072,47.514,34.33,34.129
Grin2c,0.532,0.567,1.286,2.063,0.293,1.458,0.72,0.543
Fdxr,35.782,31.87,66.346,64.967,109.779,112.816,49.956,55.856
Fads6,1.842,2.662,27.137,25.221,32.54,24.983,16.357,9.068
Otop2,0.271,0.54,0.794,1.525,0.082,0.468,0.034,0.473
Ush1g,0.375,0.429,0.215,1.758,0.601,0.43,0.0,0.398
Otop3,0.572,0.346,0.337,1.509,0.301,0.746,0.092,0.149
Hid1,113.576,84.807,4.833,8.709,15.241,11.816,19.549,20.166
Cdr2l,4.668,4.568,1.772,1.709,10.781,9.596,9.124,6.529
Mrpl58,25.327,28.808,53.429,48.949,75.384,70.933,57.904,73.271
Atp5h,55.617,55.972,120.374,88.791,145.624,162.275,101.177,111.426
Kctd2,72.521,66.123,39.657,43.113,48.297,46.022,54.119,78.194
Trim80,0.799,0.699,0.569,2.307,0.0,1.397,0.264,0.677
Slc16a5,45.655,32.082,1.467,3.256,7.157,3.865,8.749,10.959
Armc7,101.735,95.701,58.584,69.574,124.306,116.035,76.165,115.868
Nt5c,146.388,157.231,234.784,217.733,296.828,237.9,153.346,130.069
Jpt1,118.528,114.02,79.128,70.469,137.651,139.39,150.386,160.457
Sumo2,140.922,170.821,179.86,160.567,259.326,266.707,221.772,213.223
Nup85,39.685,35.91,104.31,80.934,266.117,240.842,179.587,136.323
Gga3,158.228,155.511,235.201,181.542,225.966,189.703,162.262,141.508
Mrps7,96.222,105.309,176.391,155.813,142.725,139.117,76.319,76.815
Mif4gd,84.232,73.314,81.544,68.322,93.446,88.634,67.258,61.487
Slc25a19,38.518,40.358,76.564,65.628,114.284,111.039,68.191,78.304
Grb2,67.559,80.036,85.269,80.965,109.988,115.357,126.566,130.983
Tmem94,46.666,38.056,40.59,33.996,56.842,54.819,45.83,51.274
Caskin2,3.11,2.829,3.276,3.126,13.48,11.015,10.32,9.688
Tsen54,25.669,24.369,121.127,82.29,94.859,82.304,45.645,37.455
Llgl2,44.881,37.994,24.884,25.772,28.796,25.38,19.534,21.395
Myo15b,0.785,0.751,0.569,1.277,0.264,0.689,0.594,0.965
Recql5,40.689,40.135,36.91,36.056,64.495,66.351,51.312,54.875
Smim5,0.089,0.491,0.35,1.516,0.554,0.823,0.134,0.144
Smim6,0.0,0.772,1.158,0.558,0.0,0.522,0.0,0.502
Sap30bp,135.506,140.165,121.607,108.961,102.56,100.267,65.636,64.001
Itgb4,0.509,0.345,0.476,1.327,0.0,0.454,0.384,0.641
Galk1,70.564,60.072,145.715,139.774,187.55,152.184,186.703,150.339
H3f3b,693.315,619.178,284.588,267.664,189.494,199.847,224.53,273.829
Unk,112.929,126.19,111.739,87.018,205.23,183.783,144.205,123.949
Unc13d,175.549,129.231,82.376,49.739,164.675,124.003,106.36,106.017
Wbp2,153.335,159.886,68.684,61.874,43.627,50.021,61.441,84.555
Trim47,5.546,5.141,1.237,1.417,1.954,1.005,1.049,0.973
Trim65,73.435,64.865,42.889,40.273,66.883,53.93,27.545,34.459
Mrpl38,41.697,45.231,123.988,102.456,104.038,91.443,43.301,30.275
Fbf1,31.845,27.798,53.076,47.199,79.91,61.531,45.169,44.987
Acox1,89.815,100.293,11.928,13.445,40.908,35.289,48.693,49.153
Ten1,62.977,59.072,21.655,21.125,24.574,22.229,22.214,30.149
Cdk3,16.795,11.881,8.1,4.753,9.182,7.521,4.791,6.178
Evpl,6.568,4.058,3.18,3.731,1.37,0.987,3.228,2.261
Srp68,70.598,72.065,96.269,87.365,100.566,87.564,90.407,75.62
Galr2,0.0,0.0,0.49,0.708,0.0,0.0,0.751,0.837
Exoc7,55.44,51.403,68.002,61.359,94.117,85.064,74.343,81.299
Foxj1,5.837,24.449,15.254,26.818,3.053,5.293,3.866,4.39
Rnf157,13.95,49.926,104.884,135.552,53.232,80.231,98.817,102.167
Ubald2,610.547,815.164,253.499,261.552,95.585,132.472,132.754,165.328
Qrich2,1.508,1.611,0.72,0.933,0.148,1.007,1.304,1.071
Prpsap1,38.041,45.78,67.259,55.561,69.601,62.606,56.419,50.935
Sphk1,0.098,0.511,3.412,5.295,0.0,0.863,0.636,0.474
Ube2o,35.682,40.077,107.212,92.303,90.665,70.929,65.277,44.411
Aanat,1.203,1.513,2.889,5.911,0.516,0.0,0.705,0.921
Rhbdf2,31.937,30.572,31.845,34.021,27.028,17.917,21.494,15.332
Cygb,0.0,0.535,0.302,2.111,0.0,0.448,0.0,0.532
Prcd,0.448,0.215,0.344,0.357,0.139,0.792,0.0,0.428
St6galnac2,0.418,0.336,0.594,1.164,0.376,0.165,0.608,0.412
St6galnac1,0.153,0.402,0.42,1.948,0.0,0.682,0.195,0.087
Mxra7,0.975,0.955,1.131,1.516,0.233,0.456,2.373,1.015
Jmjd6,118.752,121.784,193.709,152.884,206.493,162.958,165.613,136.402
Mettl23,23.497,24.001,62.205,60.84,60.33,60.689,40.413,41.057
Srsf2,931.893,875.204,1161.812,886.672,1347.458,1161.926,1123.665,931.311
Mfsd11,9.004,9.494,11.107,11.108,22.853,20.424,18.659,22.021
Mgat5b,0.173,0.393,0.39,1.345,0.193,0.387,0.096,0.254
Sec14l1,13.968,11.881,19.557,29.206,24.781,23.928,18.418,18.873
Septin9,90.203,40.575,13.368,14.627,99.773,66.51,92.625,73.059
Gm11733,0.121,0.75,0.474,1.016,0.443,0.0,0.0,0.0
Tnrc6c,215.607,221.915,66.541,68.511,104.293,101.939,122.092,132.807
Tmc6,277.643,221.241,46.435,65.436,150.978,187.894,79.764,152.075
Tmc8,172.028,123.684,61.668,117.924,131.552,142.231,80.78,119.238
6030468B19Rik,1.264,0.473,0.152,0.551,0.214,0.405,0.117,0.094
Syngr2,78.454,70.737,210.467,204.574,255.77,199.459,130.52,120.724
Gm20708,54.421,49.878,143.406,129.092,103.602,83.96,59.381,65.998
Tk1,2.313,8.295,1.275,2.992,310.164,382.454,247.023,251.772
Afmid,37.734,32.659,75.817,57.743,37.914,41.461,36.828,56.334
Birc5,2.236,3.784,2.566,3.235,85.896,97.615,120.626,135.292
Tmem235,0.72,0.267,0.505,0.764,2.116,1.912,5.918,5.194
Tha1,49.168,43.3,15.261,15.125,50.404,37.843,60.34,111.996
Socs3,483.619,739.169,50.678,37.137,72.444,25.227,123.664,101.855
Pgs1,219.098,204.561,325.216,277.212,389.982,292.623,262.247,155.888
Dnah17,40.976,37.412,4.778,3.738,2.594,2.589,2.882,4.661
Cyth1,580.254,574.831,77.946,71.622,153.991,124.473,259.744,286.419
Usp36,228.805,228.588,473.473,360.52,396.949,259.541,169.392,102.409
Timp2,90.36,71.782,4.718,9.669,14.14,24.501,8.011,20.0
Cep295nl,117.913,90.37,6.004,11.716,18.107,27.469,9.115,26.741
Lgals3bp,117.834,103.352,44.038,24.248,40.946,38.376,68.035,111.128
Cant1,67.65,75.306,70.412,73.065,96.749,88.736,58.715,76.103
C1qtnf1,0.38,0.345,0.617,1.572,0.7,0.539,1.985,0.595
Engase,17.721,14.438,19.296,15.029,40.926,30.281,16.453,18.396
Rbfox3,0.26,0.458,0.479,1.344,0.121,0.351,0.138,0.224
Enpp7,0.112,0.292,0.912,1.36,0.0,1.031,0.224,0.731
Cbx2,16.311,11.969,8.367,9.925,53.472,47.84,35.31,42.859
Cbx8,17.397,17.732,3.264,5.21,12.517,13.252,13.874,14.789
Cbx4,270.306,304.049,24.786,23.682,46.96,41.731,76.255,89.343
Tbc1d16,1.442,1.562,1.838,2.485,6.591,4.392,7.279,2.881
