name,337-10_r,337-11_r,337-12_r,337-13_r,337-14_r,337-15_r,337-16_r,337-17_r,337-18_r,337-19_r,337-1_r,337-20_r,337-21_r,337-22_r,337-23_r,337-24_r,337-2_r,337-3_r,337-4_r,337-5_r,337-6_r,337-7_r,337-8_r,337-9_r
ENSMUSE00000824901,11,17,58,21,9,34,77,59,27,22,79,43,51,0,36,37,30,13,56,79,31,13,73,15
ENSMUSE00001080643,0,0,0,4,3,2,0,0,0,0,8,0,0,0,0,0,16,0,1,13,9,3,5,0
ENSMUSE00001033216,0,0,0,2,3,2,0,0,0,0,7,0,0,0,0,0,16,0,1,13,8,3,5,0
ENSMUSE00000349324,115,126,250,79,33,242,225,145,207,137,301,178,149,0,188,93,182,93,209,179,245,117,184,40
ENSMUSE00000407840,115,125,250,79,33,239,225,143,204,136,300,177,149,0,188,93,182,92,209,179,243,116,181,40
ENSMUSE00001354311,75,91,194,41,19,183,169,102,135,101,228,124,108,0,145,69,122,62,160,123,179,71,120,31
ENSMUSE00000426844,19,5,7,20,49,15,3,31,22,2,71,7,14,0,9,4,197,8,13,113,135,26,63,17
ENSMUSE00000823045,1,3,2,2,3,1,0,3,0,0,2,1,3,0,3,1,16,0,2,5,17,2,10,0
ENSMUSE00001340135,32,20,111,57,11,60,103,53,51,29,185,55,37,0,48,56,53,24,44,107,108,18,76,29
ENSMUSE00001340909,21,15,72,30,5,42,70,28,40,22,120,42,26,0,37,36,37,15,32,73,74,13,56,18
ENSMUSE00001338396,4,2,24,10,0,17,14,7,4,4,28,14,3,0,5,7,7,1,12,17,18,2,16,4
ENSMUSE00000428981,12,7,26,13,5,17,35,14,24,13,67,15,14,0,24,21,21,8,14,37,37,7,28,8
ENSMUSE00001345326,10,6,14,7,2,10,17,6,16,9,40,11,9,0,18,12,10,5,9,17,22,6,11,4
ENSMUSE00001344899,11,7,14,10,4,14,26,9,22,13,60,13,11,0,21,19,18,7,10,28,34,7,19,8
ENSMUSE00000745334,1,0,0,1,4,0,0,3,1,0,3,0,1,0,1,0,12,1,3,11,12,4,4,0
ENSMUSE00001354598,3,3,16,3,5,5,2,12,5,7,19,3,6,0,5,6,3,3,8,13,9,0,7,6
ENSMUSE00001356033,4,5,6,13,8,7,7,5,7,5,23,13,4,0,4,10,2,5,12,29,8,6,12,10
ENSMUSE00000711332,444,528,1388,0,117,867,419,6,723,585,10,711,0,0,405,141,497,358,448,15,496,124,173,1
ENSMUSE00000822428,33,43,107,0,9,85,43,2,63,61,1,66,0,0,43,21,52,30,54,0,38,11,20,0
ENSMUSE00001347825,23,29,69,0,6,63,33,1,46,42,1,48,0,0,26,11,40,19,38,0,30,8,13,0
ENSMUSE00001356262,116,102,286,0,29,192,80,0,172,130,1,136,0,0,106,29,125,90,74,2,134,32,45,0
ENSMUSE00000725299,132,144,350,0,30,243,107,1,216,148,3,184,0,0,80,37,110,78,97,4,107,32,36,0
ENSMUSE00000712890,1082,1115,3493,1305,444,2581,2857,2654,1874,1260,6911,1875,1687,0,1452,1172,1666,768,1977,3879,2453,677,2151,738
ENSMUSE00000728713,648,541,1498,711,265,1201,1165,1553,991,613,3142,781,941,0,696,558,849,405,845,1705,1204,335,913,421
ENSMUSE00001246028,1068,1111,3468,1298,437,2571,2838,2635,1856,1250,6870,1864,1674,0,1443,1163,1636,763,1960,3857,2436,669,2145,735
ENSMUSE00001289810,598,531,1456,656,243,1181,1112,1442,955,595,3062,776,891,0,660,535,829,378,807,1697,1172,313,884,383
ENSMUSE00001247344,951,1023,3280,1174,384,2404,2661,2364,1712,1157,6406,1764,1541,0,1343,1070,1518,694,1838,3696,2300,618,1998,640
ENSMUSE00000745662,144,111,263,170,80,242,209,369,217,109,530,151,229,0,124,150,176,69,142,209,231,56,183,131
ENSMUSE00000763790,89,55,160,91,55,130,118,205,123,71,319,87,122,0,74,79,117,42,88,145,143,28,106,70
ENSMUSE00001227917,367,299,910,393,154,702,690,819,562,359,1842,473,537,0,396,309,501,241,487,1131,777,204,510,210
ENSMUSE00001269327,88,62,158,75,35,131,143,164,114,80,357,89,130,0,85,52,90,47,102,243,172,33,93,42
ENSMUSE00001223309,442,592,2069,620,182,1420,1755,1166,918,671,3903,1125,774,0,790,627,848,376,1187,2245,1278,346,1292,327
ENSMUSE00001281624,372,471,1687,530,144,1134,1409,911,737,526,3146,915,629,0,613,497,673,304,938,1852,1060,296,1023,283
ENSMUSE00001351959,128,168,609,193,44,368,500,337,228,189,1310,342,233,0,194,172,207,120,384,761,380,104,379,92
ENSMUSE00001349277,42,49,154,73,16,105,131,98,61,60,374,107,68,0,43,52,57,37,108,259,107,38,106,33
ENSMUSE00001350269,143,126,416,239,72,316,336,266,249,175,851,260,189,0,160,143,257,103,289,581,356,102,305,116
ENSMUSE00001349412,50,53,174,114,29,138,144,117,113,79,359,87,70,0,74,52,107,50,125,224,158,45,127,48
ENSMUSE00001346506,19,9,15,18,48,16,22,45,21,10,89,11,20,0,8,10,210,8,26,119,147,37,68,14
ENSMUSE00000440996,38,12,25,37,75,24,32,63,38,14,169,15,33,0,16,12,371,15,46,212,237,67,101,26
ENSMUSE00000560759,17,3,4,14,21,5,10,13,13,3,62,3,12,0,6,2,123,6,14,68,60,20,27,11
ENSMUSE00001357550,10,2,2,7,13,1,3,8,7,2,38,1,4,0,2,2,82,2,6,41,43,14,11,5
ENSMUSE00000721253,1,0,2,1,3,1,2,7,4,0,8,0,0,0,1,3,11,1,0,8,14,3,5,0
ENSMUSE00000472684,163,153,697,141,55,418,500,276,249,195,1054,406,187,0,220,188,277,161,421,705,452,123,418,79
ENSMUSE00000738649,163,153,697,141,55,418,500,276,249,195,1054,406,187,0,220,188,277,161,420,705,452,123,418,79
ENSMUSE00000735920,15,15,50,16,4,39,35,29,21,23,68,32,19,0,25,10,27,15,30,51,33,14,18,15
ENSMUSE00000453243,0,1,8,5,2,1,6,6,4,1,18,9,3,0,1,4,6,1,6,16,5,0,6,0
ENSMUSE00000661008,437,375,722,456,194,712,481,395,830,498,895,463,376,0,638,272,666,441,472,893,979,329,351,244
ENSMUSE00000737073,200,147,284,217,102,272,183,110,265,187,338,182,110,0,227,131,228,153,199,296,376,129,145,116
ENSMUSE00000817869,210,161,299,230,112,279,191,115,279,197,358,190,122,0,242,140,242,159,212,324,403,137,151,121
ENSMUSE00000846861,20,23,35,14,5,45,27,17,37,30,47,29,17,0,37,14,40,20,28,33,59,15,19,16
ENSMUSE00000502725,18,18,202,67,7,80,237,98,14,31,254,121,101,0,80,112,44,13,131,164,48,38,206,43
ENSMUSE00000477208,12,15,180,57,7,72,213,86,12,30,240,110,88,0,60,100,43,13,105,145,43,34,186,31
ENSMUSE00000729565,11,12,147,49,7,63,180,77,10,25,218,92,81,0,50,73,36,12,95,121,33,32,159,27
ENSMUSE00000558134,83,20,107,84,31,33,44,11,53,52,92,45,27,0,43,65,25,48,93,67,55,38,59,57
ENSMUSE00000425926,2,1,1,0,2,5,0,0,1,2,10,0,0,0,3,1,16,3,6,9,16,1,3,0
ENSMUSE00000605542,0,0,0,0,2,0,0,1,2,0,3,0,0,0,3,0,14,0,2,10,5,2,0,2
ENSMUSE00000676557,0,0,0,0,2,0,0,1,2,0,3,0,0,0,3,0,14,0,2,10,5,2,0,2
ENSMUSE00000454388,2,1,20,0,1,13,18,0,1,1,2,4,1,0,8,16,2,1,1,4,4,2,4,0
ENSMUSE00000755298,2,1,18,0,1,13,16,0,1,1,3,5,1,0,5,14,2,1,1,3,4,2,4,0
ENSMUSE00000529242,263,258,1117,443,129,590,1113,787,415,346,1712,712,665,0,469,516,483,263,723,1176,768,252,1027,256
ENSMUSE00001245976,201,555,2555,998,81,1388,3111,1557,479,585,3115,1662,1060,0,1069,1757,419,387,1798,2265,840,519,3592,688
ENSMUSE00001206513,7,40,127,93,3,76,132,138,27,37,198,73,71,0,55,104,25,22,73,120,43,24,139,70
ENSMUSE00001313427,198,546,2522,962,80,1363,3076,1507,469,570,3047,1635,1026,0,1054,1733,412,377,1761,2215,820,514,3551,659
ENSMUSE00001292425,180,440,1983,783,74,1088,2456,1118,390,458,2042,1319,791,0,863,1369,342,316,1438,1580,692,439,2829,560
ENSMUSE00001267037,45,155,579,280,20,380,771,352,114,152,677,390,247,0,261,415,93,109,418,531,189,118,844,191
ENSMUSE00001217699,43,105,489,162,25,262,641,251,92,114,393,291,176,0,219,313,73,65,327,321,141,88,603,126
ENSMUSE00001305786,78,137,738,255,24,343,840,353,158,150,721,533,310,0,297,510,148,103,572,520,304,200,1142,199
ENSMUSE00000347131,3619,3068,20967,10560,989,7386,19693,10821,6501,4995,50172,13666,7818,0,5760,8192,5963,4028,15876,29612,5624,4968,21600,6331
ENSMUSE00000768714,7,6,43,45,6,15,35,58,22,10,202,16,48,0,11,17,6,14,29,97,8,18,47,15
ENSMUSE00000843392,3325,2829,19706,9348,909,6777,18333,9068,5971,4638,44140,12828,6712,0,5327,7665,5479,3690,14790,26172,5172,4597,19998,5610
ENSMUSE00001247612,2652,2272,16050,7135,696,5473,14702,6685,4806,3764,32823,10502,5112,0,4328,6201,4343,2966,11890,19997,4059,3742,16052,4395
ENSMUSE00000381337,9,3,9,9,27,9,6,22,9,1,33,4,4,0,4,2,59,5,13,44,58,11,24,2
ENSMUSE00001345492,1,2,7,3,4,5,4,4,2,4,15,4,4,0,3,2,15,4,6,9,10,5,9,2
ENSMUSE00000713512,7,4,8,0,3,0,8,1,4,6,7,3,6,0,8,4,8,7,12,4,5,5,18,3
ENSMUSE00000760006,1,1,2,1,7,1,1,1,3,1,5,0,1,0,1,1,13,3,2,4,4,6,8,0
ENSMUSE00000842980,1,1,51,2,5,5,18,3,2,1,9,38,2,0,5,16,15,1,60,7,9,3,16,2
ENSMUSE00000633527,29,26,1160,39,51,52,255,50,31,37,133,795,21,0,48,150,151,42,878,127,116,41,226,16
ENSMUSE00001247081,29,26,1160,39,51,52,255,50,31,37,133,795,21,0,48,150,151,42,879,127,116,41,227,16
ENSMUSE00000825889,3,2,95,3,6,4,19,8,2,9,14,80,5,0,8,21,18,1,61,23,9,3,19,2
ENSMUSE00001213173,6,14,619,17,14,23,138,24,12,18,73,469,8,0,24,83,56,22,461,61,31,14,114,9
ENSMUSE00000760301,3,11,460,13,7,17,98,12,10,8,49,332,3,0,14,57,28,17,340,35,16,9,83,7
ENSMUSE00001277643,0,2,110,1,3,4,20,1,1,0,6,83,0,0,8,12,11,5,96,6,4,2,29,0
ENSMUSE00000709124,4,9,40,6,1,13,21,1,4,10,3,20,2,0,13,19,4,7,58,7,8,12,18,8
ENSMUSE00001051989,28,8,37,59,43,15,27,87,46,14,192,35,49,0,16,14,242,14,51,178,157,63,91,26
ENSMUSE00000729884,31,4,37,60,45,11,24,84,50,10,201,27,56,0,15,13,249,15,56,209,174,71,103,26
ENSMUSE00000819971,5,0,2,4,6,2,2,8,7,0,19,2,8,0,3,1,35,2,10,49,33,12,21,2
ENSMUSE00000355951,101,88,398,153,41,189,363,361,195,151,734,293,265,0,173,180,199,135,308,460,279,78,346,109
ENSMUSE00000724901,88,75,336,136,35,163,323,309,178,137,632,262,226,0,160,155,187,113,268,413,241,67,314,89
ENSMUSE00000784444,205,293,559,133,73,509,410,194,370,355,245,455,85,0,412,263,361,257,464,195,467,221,382,134
ENSMUSE00000814425,116,131,205,85,50,181,128,95,180,145,94,145,45,0,172,105,190,111,162,66,204,101,131,90
ENSMUSE00000776333,205,292,558,133,73,509,409,194,370,355,245,454,85,0,407,262,359,257,463,195,465,221,381,133
ENSMUSE00001252131,77,145,307,41,18,273,240,80,154,186,130,254,33,0,192,140,142,112,260,116,237,102,229,40
ENSMUSE00000792319,27,53,135,16,8,111,89,31,64,71,51,116,12,0,76,67,55,43,103,52,98,56,104,17
ENSMUSE00000750895,14,22,62,5,2,43,43,11,23,35,16,57,4,0,22,33,17,20,41,18,33,21,43,6
ENSMUSE00000676297,323,500,1582,506,116,1138,1469,1022,670,635,1924,1178,672,0,773,742,696,451,1207,1483,1045,375,1494,360
ENSMUSE00000811832,37,69,278,68,12,171,246,132,91,112,250,202,97,0,107,113,98,88,184,197,158,67,236,74
ENSMUSE00001223210,164,274,862,243,54,605,806,510,356,360,944,686,369,0,401,376,363,251,689,650,579,213,848,208
ENSMUSE00000830345,21,35,93,24,7,72,112,65,39,46,120,67,38,0,52,31,48,19,82,98,58,20,122,19
ENSMUSE00000347499,123,191,794,233,53,506,809,448,187,238,769,570,255,0,312,392,216,171,647,641,385,166,964,122
ENSMUSE00000733707,72,126,504,151,37,331,521,258,118,150,466,358,132,0,191,247,138,117,395,355,256,114,594,86
ENSMUSE00000847695,0,1,3,1,0,3,7,5,3,0,12,4,1,0,5,5,1,2,5,8,9,1,7,1
ENSMUSE00000792278,53,65,290,86,20,181,292,191,70,92,308,217,124,0,121,148,79,55,258,289,132,52,375,36
ENSMUSE00000809878,28,32,119,37,8,66,115,79,31,35,140,97,44,0,55,59,31,18,107,122,49,19,126,20
ENSMUSE00000438654,5,0,1,5,8,1,2,4,4,1,13,0,2,0,1,0,39,2,2,30,35,6,20,4
ENSMUSE00000676268,5,0,1,5,8,1,2,4,4,1,13,0,2,0,1,0,39,2,2,30,35,6,20,4
ENSMUSE00000633440,0,0,0,0,3,0,0,4,3,1,8,0,1,0,1,0,19,1,0,22,21,4,14,1
ENSMUSE00000676237,27,9,82,62,10,31,61,62,53,11,179,55,61,0,20,23,56,6,35,153,73,18,40,43
ENSMUSE00000605423,27,9,76,59,10,27,53,60,50,11,156,45,56,0,18,17,47,6,34,132,63,16,35,43
ENSMUSE00000605424,26,9,74,55,10,27,53,58,48,11,155,45,54,0,18,16,47,6,34,128,62,15,35,42
ENSMUSE00000605422,27,9,76,59,10,27,53,60,50,11,154,45,56,0,18,17,47,6,34,132,63,16,35,43
ENSMUSE00001256235,4,17,216,31,22,79,285,30,16,27,51,116,33,0,60,120,37,22,124,101,41,30,296,11
ENSMUSE00000808567,4,17,216,30,20,78,284,30,15,27,48,116,33,0,60,119,36,21,124,97,36,30,295,9
ENSMUSE00001310533,4,10,148,14,9,50,198,21,11,15,35,79,25,0,34,69,23,16,81,69,19,18,196,8
ENSMUSE00001247263,2,6,49,7,2,14,55,8,2,0,13,24,4,0,14,25,8,4,21,17,7,3,49,3
ENSMUSE00000942524,18,46,212,45,16,143,218,46,46,70,109,125,34,0,79,119,33,52,112,102,61,55,178,24
ENSMUSE00001241174,18,46,211,45,16,143,215,42,46,67,109,125,34,0,79,117,32,51,112,102,61,55,178,24
ENSMUSE00001231904,2,8,52,12,6,43,67,13,12,23,32,37,7,0,19,37,8,12,32,24,24,15,49,8
ENSMUSE00001279084,18,38,193,40,14,132,202,38,45,60,99,113,30,0,71,108,29,46,105,98,57,52,161,21
ENSMUSE00001306812,13,25,101,26,6,67,101,20,26,29,51,56,23,0,39,60,17,22,44,54,24,25,87,13
ENSMUSE00000712084,9,4,8,14,10,5,5,4,7,4,10,5,4,0,3,6,5,5,9,13,9,11,7,4
ENSMUSE00000793149,17,0,8,9,16,8,6,14,4,3,29,3,5,0,2,4,51,6,6,35,33,8,27,14
ENSMUSE00000823444,63,25,51,16,43,51,17,14,70,33,34,31,13,0,37,16,107,23,34,26,117,24,17,19
ENSMUSE00000378419,6,0,6,9,15,11,2,25,7,0,53,3,10,0,4,1,72,3,7,38,52,13,24,6
ENSMUSE00000792964,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,9,1,2,8,11,2,1,0
ENSMUSE00000242321,3,0,5,2,6,9,1,14,4,0,32,1,6,0,4,1,35,1,4,17,24,4,13,5
ENSMUSE00000337926,1,0,2,0,1,0,0,5,3,0,12,0,1,0,1,0,12,1,2,7,13,2,5,2
ENSMUSE00000242162,42,22,71,90,40,40,43,104,59,31,203,43,67,0,39,23,169,27,54,152,143,44,78,55
ENSMUSE00000242154,32,13,65,76,36,35,35,88,50,28,172,35,61,0,33,20,142,23,42,131,117,39,62,50
ENSMUSE00000791622,7,4,13,19,17,8,12,32,12,7,48,13,21,0,5,7,83,5,13,42,49,21,35,18
ENSMUSE00000712943,178,184,502,160,60,458,381,383,291,261,959,328,232,0,283,145,282,184,303,641,493,110,329,111
ENSMUSE00000355505,176,178,489,157,59,447,368,379,282,258,924,318,223,0,269,139,278,177,294,623,475,105,319,111
ENSMUSE00000487285,21,4,23,18,43,9,16,29,24,6,65,17,12,0,4,6,148,8,29,91,99,42,47,20
ENSMUSE00001285243,21,4,23,18,42,9,16,29,24,6,66,17,12,0,4,6,145,8,29,91,98,42,47,20
ENSMUSE00000764409,1,2,1,3,11,0,1,3,3,2,8,2,2,0,1,0,35,0,4,9,25,5,13,3
ENSMUSE00000342131,32,77,298,55,17,205,400,38,59,79,129,198,25,0,120,186,86,63,159,87,121,90,269,33
ENSMUSE00000843397,21,36,172,35,13,93,203,21,27,39,63,111,11,0,54,86,39,36,87,52,65,49,168,15
ENSMUSE00000810986,3,4,16,4,0,16,21,4,4,3,10,11,1,0,4,11,5,4,6,4,14,3,24,5
ENSMUSE00000416496,89,130,575,76,43,264,362,129,168,189,313,369,101,0,208,163,153,117,347,205,267,96,281,34
ENSMUSE00000723707,23,31,144,21,10,60,91,29,35,56,75,96,33,0,59,42,44,33,80,38,77,21,54,5
ENSMUSE00001292797,67,102,447,55,31,207,276,101,135,137,244,273,67,0,155,122,108,85,270,166,191,75,230,30
ENSMUSE00000793965,66,96,420,54,31,201,263,95,131,131,232,262,63,0,148,117,102,81,263,162,183,75,224,29
ENSMUSE00000814908,5,9,34,4,3,26,30,12,10,14,20,26,6,0,18,19,7,6,34,11,15,12,20,3
ENSMUSE00000715539,21,31,74,10,11,38,56,25,34,27,39,53,7,0,24,18,22,16,47,27,41,16,37,13
ENSMUSE00000716043,0,1,10,5,1,2,2,4,0,2,8,1,14,0,5,6,1,2,5,9,5,2,7,3
ENSMUSE00000837534,175,298,1767,530,76,649,1422,1127,291,388,1615,1206,1224,0,674,780,298,269,1059,1651,936,297,1556,294
ENSMUSE00001274626,175,298,1766,530,76,649,1422,1125,290,388,1615,1206,1224,0,674,780,298,269,1059,1651,936,297,1556,294
ENSMUSE00000719017,29,9,55,53,12,25,32,57,21,19,114,30,48,0,25,31,24,18,25,57,53,18,38,44
ENSMUSE00000791061,20,7,8,20,48,8,20,33,21,15,94,13,22,0,17,9,196,11,21,121,133,40,84,9
ENSMUSE00000390913,90,84,801,190,40,194,747,164,120,100,413,556,117,0,196,407,189,86,494,337,267,115,845,103
ENSMUSE00000743251,1,3,38,9,1,7,29,5,4,5,7,19,4,0,10,28,4,2,18,5,6,6,35,4
ENSMUSE00000676118,30,32,318,44,16,86,290,69,59,45,157,244,42,0,65,148,68,34,199,106,105,46,310,25
ENSMUSE00000676077,271,331,2259,583,113,827,1327,1549,486,482,4073,1474,868,0,484,536,563,324,1980,1742,778,269,1308,385
ENSMUSE00001049729,183,263,1675,409,83,627,999,971,357,352,2314,1043,566,0,352,379,396,232,1383,1091,542,194,957,240
ENSMUSE00000388803,8,0,3,3,4,2,1,0,2,1,13,1,3,0,3,2,40,2,5,14,25,6,12,1
ENSMUSE00000748487,4,0,3,2,3,2,0,0,1,0,8,1,1,0,2,1,20,2,4,12,14,3,5,1
ENSMUSE00000715002,60,21,41,69,107,31,41,105,61,34,228,39,33,0,39,32,498,22,75,303,338,105,158,59
ENSMUSE00000436868,54,15,33,57,96,25,24,87,40,24,164,28,23,0,30,25,392,20,57,231,270,83,114,46
ENSMUSE00000240815,8,19,56,8,5,44,74,0,13,22,14,60,2,0,34,43,15,15,59,9,17,16,86,11
ENSMUSE00000716673,240,137,552,245,117,224,411,484,204,129,801,259,366,0,154,230,215,91,272,421,236,78,288,228
ENSMUSE00001289337,17,7,47,13,57,10,7,38,14,5,68,49,11,0,10,9,163,4,74,76,114,29,45,9
ENSMUSE00001266204,12,3,24,6,28,7,5,21,6,4,29,25,7,0,3,5,85,3,43,35,65,18,27,7
ENSMUSE00001243412,15,7,42,13,49,9,6,35,12,5,61,48,8,0,9,8,139,2,65,67,102,25,40,6
ENSMUSE00000811158,6,1,1,2,6,1,2,7,1,3,8,6,1,0,0,2,15,1,12,5,13,6,8,0
ENSMUSE00000239024,6,2,3,10,7,1,7,19,10,2,28,1,6,0,3,0,33,1,3,31,19,6,5,11
ENSMUSE00000806967,72,155,661,204,30,332,559,218,157,138,559,350,170,0,234,204,178,102,385,422,326,109,441,89
ENSMUSE00000844942,72,155,661,204,30,332,559,218,157,138,559,350,170,0,234,204,178,102,385,422,326,109,441,89
ENSMUSE00001282494,70,153,645,191,30,323,537,211,152,131,552,337,165,0,226,192,173,99,378,411,318,105,430,84
ENSMUSE00001287026,31,74,317,83,19,163,268,118,79,61,291,167,95,0,113,95,76,36,160,228,164,53,180,36
ENSMUSE00000981606,10,3,12,18,25,13,14,17,18,0,58,5,4,0,4,4,128,9,19,83,74,32,45,9
ENSMUSE00000675909,10,3,11,17,25,13,14,17,17,0,53,5,4,0,4,4,125,9,19,81,70,27,44,9
ENSMUSE00000845489,27,41,258,78,15,131,254,108,56,78,317,189,64,0,84,81,64,49,146,223,105,61,183,35
ENSMUSE00000748025,9,26,128,33,7,63,151,48,27,47,178,105,39,0,53,44,29,26,77,135,49,23,100,8
ENSMUSE00000513950,8,16,93,25,8,58,76,43,26,15,88,65,14,0,23,13,25,14,43,55,39,23,52,19
ENSMUSE00000837345,8,15,84,23,8,54,69,41,23,13,81,56,14,0,21,13,24,13,40,51,36,23,49,17
ENSMUSE00000826705,17,0,9,11,16,8,3,9,6,1,18,3,7,0,5,6,52,4,6,25,28,7,15,6
ENSMUSE00000708549,1,2,7,2,0,2,7,7,0,4,11,9,2,0,3,11,3,1,17,2,0,5,7,6
ENSMUSE00000727279,458,105,400,49,121,122,236,105,673,165,178,280,53,0,147,173,707,105,213,118,408,52,213,57
ENSMUSE00001295814,632,157,564,75,166,173,317,159,928,232,261,393,99,0,201,227,979,151,284,179,598,78,293,85
ENSMUSE00001305607,149,37,149,18,40,45,69,43,228,56,73,114,11,0,42,58,234,40,56,50,121,18,76,17
ENSMUSE00000528122,394,95,361,40,108,100,213,83,582,145,147,252,42,0,134,149,619,90,197,95,373,45,192,47
ENSMUSE00001218659,88,20,103,10,29,24,42,22,133,37,38,80,5,0,25,33,152,26,39,29,76,14,50,9
ENSMUSE00000789327,134,189,426,98,35,435,360,109,270,204,330,231,72,0,255,145,197,137,247,215,389,130,283,45
ENSMUSE00001271611,130,184,417,89,30,419,349,98,255,194,311,225,69,0,249,137,192,130,232,205,370,124,275,38
ENSMUSE00001222241,72,119,274,61,15,258,211,62,156,131,190,153,48,0,164,87,113,83,149,135,240,90,176,24
ENSMUSE00000803911,24,30,68,7,3,62,51,11,38,28,35,33,7,0,28,26,45,21,27,24,67,18,44,6
ENSMUSE00000817697,4,1,3,1,13,4,4,6,1,2,9,1,2,0,3,1,24,0,3,7,12,9,13,1
ENSMUSE00000830264,1,0,2,0,10,3,4,5,1,2,8,1,0,0,3,1,12,0,3,6,10,5,12,0
ENSMUSE00001275733,3,1,1,1,6,1,1,2,0,1,4,0,2,0,2,0,15,0,1,4,2,5,2,1
ENSMUSE00000605123,1,0,1,0,3,0,1,3,2,0,4,2,0,0,0,0,9,0,2,12,8,3,5,0
ENSMUSE00000177967,47,19,54,39,8,57,75,37,45,31,68,53,33,0,31,50,56,39,40,77,70,22,73,19
ENSMUSE00000675683,47,19,54,39,8,57,75,37,45,31,67,53,33,0,31,50,56,39,39,77,70,22,73,19
ENSMUSE00000836054,47,19,54,39,8,57,75,37,45,31,67,53,33,0,31,49,56,39,39,77,70,22,73,19
ENSMUSE00000675682,41,17,41,36,7,47,65,29,40,25,57,43,26,0,25,42,46,28,29,67,58,19,64,16
ENSMUSE00000844551,41,17,41,36,7,47,65,29,39,24,55,42,26,0,24,42,46,28,29,66,57,19,61,16
ENSMUSE00000234026,1093,1262,8000,4350,430,3228,9484,4331,1554,1958,11520,5219,3892,0,2778,4249,1698,1468,7258,8808,2768,1604,10255,2521
ENSMUSE00000675671,1093,1262,8000,4350,430,3228,9484,4331,1554,1958,11520,5219,3892,0,2778,4249,1698,1468,7258,8808,2768,1604,10255,2521
ENSMUSE00000660911,299,258,1053,913,164,628,1121,1161,315,445,2743,887,681,0,506,614,441,290,987,2098,563,335,1095,650
ENSMUSE00000527983,696,277,1092,362,220,632,473,677,849,370,2234,526,658,0,407,193,1002,225,509,1509,1079,151,308,181
ENSMUSE00001275031,696,277,1092,354,220,632,473,670,849,370,2218,526,648,0,407,193,1002,225,509,1489,1079,151,308,172
ENSMUSE00001286977,696,277,1092,354,220,632,473,670,849,370,2218,526,648,0,407,193,1002,225,509,1489,1079,151,308,172
ENSMUSE00000773823,284,79,295,111,73,178,125,152,274,106,511,155,158,0,128,69,314,77,173,365,305,58,86,56
ENSMUSE00000720720,61,17,62,49,25,37,30,36,48,39,74,40,36,0,31,31,49,30,46,69,65,24,24,28
ENSMUSE00000756263,242,106,423,197,95,276,200,345,310,149,1215,213,355,0,164,68,378,83,196,814,437,55,117,98
ENSMUSE00000427792,9,4,5,13,21,5,10,11,12,6,30,5,3,0,4,1,94,6,11,69,71,11,20,8
ENSMUSE00000633027,80,27,64,73,186,49,63,126,69,21,325,28,36,0,48,26,913,42,106,533,524,144,262,56
ENSMUSE00000633028,22,10,20,26,56,15,25,28,21,9,85,6,10,0,18,10,257,9,29,166,146,32,74,13
ENSMUSE00000675629,56,17,44,47,130,34,38,98,48,12,239,22,26,0,30,16,656,33,77,366,377,112,188,43
ENSMUSE00000823059,21,5,9,9,30,13,14,24,13,3,58,6,7,0,9,4,194,12,23,84,101,26,46,7
ENSMUSE00000799276,19,5,9,9,30,13,14,24,13,3,56,6,7,0,9,4,191,11,23,82,100,25,46,7
ENSMUSE00000759435,19,5,9,9,30,13,14,24,13,3,56,6,7,0,9,4,190,11,23,83,100,25,46,7
ENSMUSE00000715022,5,8,9,3,0,2,7,6,4,2,4,8,2,0,5,5,9,2,4,5,15,3,7,1
ENSMUSE00000845697,37,7,10,13,59,20,17,17,13,10,82,11,15,0,11,9,217,8,25,117,134,44,65,12
ENSMUSE00000875634,5,0,2,3,12,0,0,9,6,1,10,0,1,0,2,2,31,2,5,26,24,5,14,4
ENSMUSE00000709502,0,1,7,0,2,2,10,0,0,0,0,1,0,0,3,5,1,0,12,1,3,1,6,0
ENSMUSE00000745987,2,3,37,185,5,8,70,187,10,3,366,14,158,0,12,43,6,0,26,222,24,9,65,206
ENSMUSE00000803309,6,8,109,431,6,31,226,352,18,15,730,53,327,0,35,147,21,4,69,481,74,19,229,420
ENSMUSE00000730435,14,16,221,785,11,64,512,774,32,40,1424,138,791,0,64,301,57,14,161,1094,144,48,556,714
ENSMUSE00000751810,0,1,2,25,1,1,10,20,2,0,38,4,21,0,0,8,1,0,2,26,2,1,15,32
ENSMUSE00001253311,0,4,32,100,0,10,71,90,0,4,159,12,87,0,9,48,9,1,16,110,21,5,55,102
ENSMUSE00001299001,12,13,188,633,8,57,454,616,22,37,1116,125,650,0,53,265,54,14,137,917,131,39,501,549
ENSMUSE00001252015,5,6,93,230,6,28,229,305,11,21,517,71,351,0,25,126,31,8,77,472,59,25,265,236
ENSMUSE00000805383,0,1,26,75,1,9,46,81,1,3,146,7,80,0,5,29,4,5,11,125,12,0,46,81
ENSMUSE00001008752,3,4,68,134,4,15,167,183,10,15,310,54,236,0,22,91,21,7,62,307,48,21,202,145
ENSMUSE00000675605,257,179,583,243,90,393,528,441,252,258,817,351,453,0,313,254,268,194,280,597,428,203,355,235
ENSMUSE00000767917,47,47,116,32,21,111,88,77,103,67,183,63,68,0,66,47,106,34,67,155,144,36,52,16
