gene_name,KO_48h-WT_48h,KO_EE-WT_EE,KO_DP-WT_DP,KO_MP-WT_MP,KO_TE-WT_TE
Sell,-0.212,-1.075,-0.382,-0.36,0.05
P3h4,-0.59,-1.2670000000000001,-0.467,-0.506,-0.24
Bambi-ps1,-0.578,-1.219,-0.532,-0.42100000000000004,0.175
Plk2,-0.47100000000000003,-0.8,-1.271,-2.077,0.18899999999999997
Dag1,0.21100000000000002,-0.42100000000000004,-1.122,-1.5019999999999998,0.044000000000000004
Oasl2,0.479,-0.6,-1.025,-1.446,-0.061
Ocrl,1.064,0.019,-1.002,-1.314,-0.8059999999999999
Ahrr,0.085,0.65,0.054000000000000006,-1.42,-0.226
Cep85l,-0.085,0.184,0.7759999999999999,-1.151,-0.456
Bpifc,0.426,0.259,0.526,-1.176,0.09699999999999999
Gabra2,0.888,-0.49700000000000005,-0.22699999999999998,-1.053,-0.395
Fhl3,0.588,-0.616,-0.336,-1.163,0.028999999999999998
Lrrc17,0.436,-0.16,0.37799999999999995,-1.036,-0.35
Zfp773,0.32899999999999996,-0.36,0.419,-1.0170000000000001,0.075
Trim32,-0.141,-0.381,0.281,-1.156,-0.19
Fbxl18,0.249,-0.251,-0.249,-1.023,-0.278
Cep290,0.139,-0.132,0.002,-1.022,0.046
Lypd1,0.32799999999999996,-0.132,0.255,-1.6869999999999998,-0.335
Nrip2,0.423,-0.6970000000000001,0.038,-1.4409999999999998,-0.461
Slc6a20b,0.7170000000000001,0.025,-0.125,-0.965,-1.198
Rnf207,0.27899999999999997,-0.015,-0.174,-1.089,-1.04
Olfr907,0.475,-0.129,-0.28800000000000003,-1.057,-1.038
Adam22,0.419,-0.375,-0.57,-1.2890000000000001,-1.003
Ccdc50-ps,0.494,-0.37799999999999995,-0.5589999999999999,-1.351,-1.001
Myo1c,0.578,-0.502,-0.782,-1.011,-0.7759999999999999
Klkb1,0.517,-0.36,-0.525,-1.17,-0.491
Stox2,0.6,-0.34,-0.358,-1.09,-0.8270000000000001
Slc6a1,0.537,-0.188,-0.517,-1.013,-0.6729999999999999
Olfr847,-0.035,-0.763,-0.38299999999999995,-1.35,-0.7559999999999999
Siglec1,0.129,-0.6559999999999999,-0.075,-1.051,-0.46799999999999997
Teddm1b,-0.032,-0.59,-0.106,-1.137,-0.696
AW822252,0.036000000000000004,-0.32,-0.452,-1.101,-1.001
Mrpl23,-0.075,-0.439,-0.247,-0.9420000000000001,-1.048
Gnaz,0.113,-0.38299999999999995,-0.509,-1.197,-0.657
Olfr796,0.092,-0.557,-0.521,-1.099,-0.7709999999999999
Sgpl1,0.095,-0.46,-0.456,-1.103,-0.732
Cpne5,0.009000000000000001,-0.33299999999999996,-0.466,-1.071,-0.38299999999999995
Efcc1,-0.172,-0.299,-0.237,-1.0170000000000001,-0.604
Irak1bp1,-0.139,-0.28600000000000003,-0.48200000000000004,-1.136,-0.649
Cemip2,-0.131,-0.43799999999999994,-0.833,-1.383,-0.207
Nanog,-0.002,-0.27,-0.775,-1.2209999999999999,-0.365
Mdm4-ps,-0.042,-0.174,-0.779,-1.013,-0.46299999999999997
Car12,-0.221,-0.561,-0.436,-1.131,-0.33399999999999996
Arhgef40,-0.29600000000000004,-0.616,-0.626,-1.052,-0.245
Tm4sf5,-0.44299999999999995,-0.321,-0.446,-1.4869999999999999,-0.132
Hirip3,-0.536,-0.217,-0.245,-1.315,-0.29600000000000004
Spata7,-0.402,-0.34600000000000003,-0.319,-1.14,-0.48700000000000004
Gys1,-0.245,-0.212,-0.636,-1.177,0.10099999999999999
Ipo4,-0.248,0.009000000000000001,-0.322,-1.084,0.10800000000000001
Camsap2,-0.154,0.293,-0.312,-1.033,-0.005
Olfr90,0.158,-0.005,-0.063,-1.146,-0.675
Idua,-0.337,0.059000000000000004,-0.21899999999999997,-1.111,-0.446
Tmem30c,-0.037000000000000005,0.126,-0.20199999999999999,-1.015,-0.528
Zfp532,0.268,0.257,-0.49700000000000005,-1.077,-0.589
Il1rl1,0.12,-0.025,-0.5379999999999999,-1.5130000000000001,-0.5479999999999999
Vwa7,0.33399999999999996,-0.053,-0.653,-1.2990000000000002,-0.33
Dpp10,0.289,0.09300000000000001,-0.57,-1.369,-0.073
Cxcr4,0.871,-0.96,-1.104,-0.736,-1.87
Igkv16-104,0.0,-0.52,-2.574,0.067,-1.0390000000000001
Trav16,-0.24100000000000002,-0.397,-1.479,-0.251,-1.7309999999999999
Trav3d-3,-0.408,-0.306,-1.9080000000000001,-0.7440000000000001,-1.215
Trav3n-3,-0.408,-0.306,-1.9080000000000001,-0.7440000000000001,-1.215
Cd200,-0.165,-1.719,-1.6269999999999998,-1.439,-0.35
Cxcl10,-1.3530000000000002,-0.381,-1.1059999999999999,-0.377,0.043
Tlr7,-1.399,-1.8,-0.992,-0.519,-0.542
Ica1,-1.271,-0.951,-1.472,-0.843,-0.823
Tspan6,-1.127,-1.082,-1.395,-1.05,-0.455
Klre1,-0.040999999999999995,-1.239,-1.057,-0.348,-1.625
Crybb1,0.0,-1.117,-1.002,-0.032,-1.085
Zfp82,-0.35100000000000003,-1.473,-0.8690000000000001,-0.648,-1.053
Tppp3,-0.466,-1.6269999999999998,-0.5429999999999999,-0.612,-1.492
Ly6k,-0.21100000000000002,-1.9669999999999999,-0.873,-1.111,-1.14
Zfp974,-0.217,-1.8869999999999998,-1.235,-0.7979999999999999,-1.655
Xaf1,0.122,-1.254,-1.213,-1.064,-1.2890000000000001
Ano8,0.309,-0.58,-1.579,-0.953,-1.054
Tsc22d3,-0.034,-0.9470000000000001,-1.357,-0.83,-0.887
BC049715,0.11,-1.045,-1.5759999999999998,-1.251,-0.747
BC030867,0.04,-0.425,-0.5329999999999999,-0.7709999999999999,-1.67
Ncf1,0.5589999999999999,-0.737,-0.498,-0.565,-1.452
Scd1,0.298,-0.8740000000000001,-0.716,-0.39799999999999996,-1.735
Usp6nl,-0.14300000000000002,-0.997,-0.606,-1.028,-1.469
Atp6v0e2,0.055,-0.725,-0.516,-1.034,-1.169
Fgfr1,0.319,-0.555,-0.687,-1.077,-1.2429999999999999
Zfp36l2,0.02,-0.6940000000000001,-0.9690000000000001,-0.779,-1.294
Atg2a,0.159,-0.267,-0.733,-0.685,-1.095
Olfr373,0.11900000000000001,-0.5429999999999999,-0.708,-0.8109999999999999,-1.172
Nucb2,0.321,-1.04,-0.914,-0.9420000000000001,-0.991
Pde3b,0.153,-0.618,-1.06,-0.945,-0.9890000000000001
Treml2,0.018000000000000002,-0.698,-0.987,-1.183,-0.912
Hmgn3,-0.7509999999999999,-1.679,-0.381,-0.992,-0.789
Pop1,-0.608,-1.127,-0.16699999999999998,-1.037,-1.147
Timp2,-0.731,-0.636,-1.1909999999999998,-0.20800000000000002,-0.7759999999999999
Sos2,-0.927,-0.203,-1.274,-0.888,-0.8140000000000001
Iigp1,-0.983,-0.544,-0.501,-1.278,-0.83
Nebl,-1.171,-1.16,-0.49,-0.35,-1.135
Mios,-1.1320000000000001,-0.868,-0.735,-0.764,-0.731
Chd9,-1.0759999999999998,-0.8220000000000001,-0.695,-0.552,-0.8270000000000001
Trbv5,-0.48100000000000004,-1.161,-0.747,-0.7390000000000001,-0.7190000000000001
Acadl,-0.24,-1.01,-0.865,-0.815,-0.634
Ptprk,-0.184,-1.127,-0.9009999999999999,-1.002,-1.028
Abcb10,-0.11900000000000001,-1.002,-0.9540000000000001,-1.117,-0.89
Aldh1a3,-0.28300000000000003,-0.9179999999999999,-0.609,-1.103,-0.991
Ar,-0.5870000000000001,-0.992,-0.633,-1.185,-1.013
Nnt,-0.6659999999999999,-0.5489999999999999,-0.493,-0.7390000000000001,-1.126
Abcb1b,-0.639,-0.57,-0.978,-0.5660000000000001,-1.121
Hist1h4i,-0.488,-0.787,-0.7829999999999999,-0.5379999999999999,-1.046
Cep85,-0.551,-0.792,-0.773,-0.792,-1.038
Dynlt1b,-0.748,-0.893,-0.6759999999999999,-0.7040000000000001,-1.045
Umad1,-0.737,-1.19,-1.102,-0.591,-1.025
Zfp992,-0.858,-0.981,-0.935,-0.856,-1.1520000000000001
Irak3,-0.547,-0.843,-1.033,-1.109,-0.708
St3gal4,-0.534,-0.821,-1.182,-0.853,-1.1079999999999999
Nab1,-0.41100000000000003,-0.757,-1.1540000000000001,-0.81,-1.0390000000000001
Ccdc15,-0.22,-1.149,-2.249,-0.861,-1.6219999999999999
Med12l,0.152,-1.736,-1.7930000000000001,-0.968,-2.234
Ikzf2,-0.249,-1.351,-1.5290000000000001,-1.1320000000000001,-1.784
P2ry14,0.1,-1.3530000000000002,-1.42,-0.856,-1.933
Mgst2,-0.635,-1.705,-1.281,-1.349,-1.646
Apobec3,-0.841,-1.601,-1.381,-1.6680000000000001,-1.423
Miga1,-0.7509999999999999,-1.094,-1.2209999999999999,-1.262,-1.359
Tnfsf8,-0.732,-1.3619999999999999,-1.0070000000000001,-1.43,-1.445
Serhl,-0.5329999999999999,-1.238,-1.476,-1.023,-1.062
Dhrs3,-0.65,-1.444,-1.466,-1.3559999999999999,-1.159
Cbx6,-0.249,-1.276,-1.501,-1.692,-1.205
Sdhaf3,-0.405,-1.179,-1.063,-1.6669999999999998,-1.7209999999999999
Zfp991,-1.383,-1.0759999999999998,-0.997,-1.014,-1.274
Zfp985,-1.026,-0.8759999999999999,-0.922,-1.6840000000000002,-1.419
Lif,0.075,-1.104,0.462,-2.043,0.67
Tmie,1.122,-1.415,-0.95,-0.865,1.054
Nsg2,0.868,-1.5830000000000002,0.28800000000000003,-0.787,1.156
Trav14-1,0.857,-1.41,0.028999999999999998,-1.079,0.8
Aff3,-0.025,-0.6970000000000001,-0.033,-1.042,1.38
Tcf7,0.251,-1.034,-0.15,-0.9009999999999999,0.74
Iglv3,0.0,-1.879,0.361,0.88,0.542
Igkv15-103,0.0,-2.7760000000000002,0.387,-0.365,1.855
Igkv17-121,0.0,-3.674,-1.838,0.579,0.196
Fam166a,0.254,-0.698,-1.077,-2.701,-1.8840000000000001
Trim30d,-0.287,-2.582,-3.48,-3.114,-3.3280000000000003
Trim12a,-0.28800000000000003,-2.51,-2.4330000000000003,-2.267,-2.7319999999999998
Trim5,0.38799999999999996,-2.27,-2.166,-2.406,-3.013
Igkv10-94,0.043,-2.903,-2.787,-1.505,-0.74
Zfp987,-0.951,-1.633,-2.006,-2.838,-1.141
Trat1,-1.337,-2.414,-1.3659999999999999,-0.9329999999999999,-1.767
Ggh,-1.85,-1.6909999999999998,-1.7180000000000002,-1.364,-1.7930000000000001
Tcrg-C2,-1.676,-1.944,-1.247,-1.304,-2.083
Zfp993,-1.314,-1.63,-1.308,-1.167,-1.71
Trav12-2,-0.364,-2.41,-2.044,-1.29,-1.053
Dnajb13,-0.428,-2.188,-1.659,-1.555,-1.5759999999999998
Trim13,-0.289,-2.5540000000000003,-1.307,-1.929,-1.6569999999999998
Camk2b,-0.397,-0.978,-2.198,-1.705,-2.114
Gvin1,-0.504,-2.22,-1.9609999999999999,-1.6909999999999998,-2.444
Trim34a,-0.5760000000000001,-1.831,-1.825,-1.733,-2.0380000000000003
Me3,-0.997,-1.775,-1.9569999999999999,-1.94,-2.1069999999999998
Cnbd2,-0.861,-1.8019999999999998,-1.9980000000000002,-1.949,-2.021
Igkv6-15,0.0,-2.136,4.461,3.1889999999999996,-1.7309999999999999
Ighv9-3,0.0,-4.172,2.279,0.067,-3.6839999999999997
Igkv6-25,-0.07400000000000001,-4.425,0.867,-1.899,-2.96
