ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.1951,0.2745,0.3395,0.3686,0.2581,0.2881,0.2152,0.2033,0.3591,0.189,0.3519,0.1959,0.5806,0.1729,0.1944,0.1944,0.3135,0.2759,0.1064,0.3333,0.2376,0.3099,0.2013,0.2491,0.2374,0.1828,0.2676,0.215,0.2744,0.3442,0.1818
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.2052,0.2735,0.3601,0.3814,0.3061,0.2899,0.2265,0.2177,0.3739,0.1948,0.3717,0.18,0.5455,0.1941,0.2036,0.2036,0.3069,0.301,0.1489,0.3593,0.2881,0.3379,0.2117,0.2553,0.2629,0.1877,0.2881,0.2172,0.2722,0.3465,0.1818
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.2104,0.2648,0.3977,0.436,0.3471,0.4096,0.2188,0.2264,0.3832,0.2076,0.3772,0.1626,0.6667,0.207,0.2098,0.2098,0.3321,0.3169,0.1636,0.3333,0.287,0.3829,0.2231,0.2565,0.3014,0.1892,0.2896,0.2372,0.2716,0.3516,0.1778
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.1011,0.2167,0.3056,0.3489,0.2419,0.2879,0.1343,0.1343,0.3006,0.1204,0.3151,0.131,0.5349,0.1288,0.1023,0.1023,0.2443,0.1948,0.1053,0.2959,0.2,0.2611,0.1186,0.163,0.1762,0.1169,0.1897,0.1606,0.2134,0.303,0.1538
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.1284,0.1829,0.2085,0.2344,0.2459,0.186,0.1364,0.1289,0.21,0.1155,0.2,0.0667,0.2308,0.1242,0.1276,0.1276,0.2045,0.1632,0.25,0.2019,0.217,0.2292,0.1281,0.1278,0.1826,0.1088,0.1676,0.1196,0.1729,0.2264,0.2
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2574,0.3134,0.3971,0.4593,0.3545,0.3902,0.2391,0.2557,0.4538,0.228,0.4167,0.2444,0.6053,0.2078,0.2557,0.2557,0.4227,0.33,0.1429,0.3821,0.2753,0.3654,0.255,0.2707,0.2833,0.2169,0.3194,0.2333,0.3083,0.4093,0.2162
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.197,0.2523,0.3738,0.4024,0.3358,0.31,0.2007,0.207,0.3681,0.1716,0.379,0.1567,0.5581,0.1773,0.1955,0.1955,0.3181,0.297,0.1212,0.3308,0.2475,0.3628,0.2017,0.2183,0.2583,0.1679,0.2683,0.2058,0.2683,0.3673,0.1628
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.2246,0.2746,0.3945,0.4086,0.3559,0.3295,0.2242,0.2326,0.37,0.1994,0.4112,0.1982,0.6154,0.1877,0.2236,0.2236,0.3428,0.3245,0.1207,0.3595,0.2575,0.3579,0.2281,0.2418,0.265,0.1957,0.2806,0.2293,0.2848,0.3799,0.175
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0274,0.0245,0.0406,0.0457,0.0189,0.0526,0.0366,0.0279,0.0292,0.0283,0.0392,0.0345,0.0833,0.0352,0.0277,0.0277,0.0228,0.0317,0.0,0.03,0.0312,0.0227,0.0305,0.0476,0.0442,0.0214,0.0246,0.0556,0.027,0.0388,0.0
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2601,0.2989,0.4141,0.4738,0.4082,0.4375,0.2246,0.2567,0.4014,0.2224,0.3882,0.25,0.6053,0.2241,0.2571,0.2571,0.4279,0.3328,0.1778,0.3657,0.2815,0.4023,0.2583,0.2746,0.2897,0.1984,0.2922,0.265,0.3247,0.4235,0.3182
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1725,0.2199,0.2934,0.2707,0.3333,0.2885,0.1356,0.178,0.3044,0.181,0.25,0.2045,0.5185,0.1724,0.1712,0.1712,0.2622,0.2271,0.1111,0.219,0.296,0.3269,0.1824,0.2262,0.233,0.1479,0.2077,0.1914,0.2283,0.2558,0.1176
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0304,0.0482,0.0549,0.0515,0.1132,0.0256,0.0309,0.0314,0.0719,0.0285,0.04,0.0345,0.0,0.0432,0.0303,0.0303,0.0408,0.0402,0.0,0.0303,0.0526,0.0698,0.032,0.0385,0.0327,0.0268,0.0488,0.0351,0.0565,0.0297,0.0
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2513,0.3153,0.399,0.455,0.422,0.3953,0.2621,0.2538,0.4375,0.2199,0.45,0.2333,0.5897,0.2161,0.2506,0.2506,0.4142,0.3241,0.1552,0.3839,0.3058,0.398,0.2488,0.2671,0.2883,0.2139,0.3154,0.2359,0.3113,0.3935,0.2667
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2413,0.3032,0.3908,0.4574,0.4118,0.3472,0.2399,0.2557,0.4248,0.23,0.4699,0.25,0.6857,0.2316,0.2411,0.2411,0.4105,0.3136,0.1042,0.3789,0.3198,0.3636,0.2444,0.2807,0.2812,0.2184,0.3104,0.2271,0.3235,0.3989,0.1429
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.1884,0.2687,0.307,0.32,0.3649,0.3704,0.179,0.2008,0.3203,0.1896,0.3049,0.1875,0.5161,0.1853,0.1879,0.1879,0.2644,0.2429,0.1481,0.3064,0.291,0.3415,0.1953,0.2333,0.2779,0.1834,0.2396,0.2238,0.2434,0.3434,0.1538
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.208,0.321,0.314,0.3362,0.2609,0.3725,0.2579,0.2117,0.3949,0.2013,0.32,0.1754,0.4375,0.2133,0.2034,0.2034,0.2971,0.2561,0.2273,0.381,0.2619,0.3246,0.2133,0.2602,0.2477,0.191,0.2519,0.2333,0.2625,0.3521,0.3
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1326,0.1662,0.2807,0.3112,0.2566,0.25,0.1202,0.141,0.2607,0.1186,0.2308,0.1081,0.4062,0.129,0.1336,0.1336,0.209,0.2041,0.0465,0.1558,0.1807,0.2446,0.1371,0.1402,0.1783,0.1116,0.1446,0.1528,0.1771,0.1771,0.0741
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1507,0.2527,0.2236,0.2419,0.2373,0.2,0.1421,0.1543,0.2485,0.1642,0.2459,0.2051,0.2963,0.1786,0.1488,0.1488,0.208,0.1722,0.3333,0.2857,0.1982,0.2673,0.1541,0.1615,0.1649,0.1324,0.1949,0.1629,0.1987,0.3217,0.2857
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2231,0.2734,0.3717,0.419,0.3485,0.3646,0.2253,0.2192,0.3906,0.188,0.4196,0.2323,0.5714,0.182,0.2215,0.2215,0.3806,0.2908,0.1169,0.3563,0.2685,0.3493,0.2209,0.24,0.2643,0.1737,0.2777,0.2014,0.2732,0.3808,0.2051
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.2261,0.2735,0.3781,0.4381,0.3793,0.3488,0.2294,0.2209,0.3934,0.1869,0.4412,0.1959,0.6154,0.1875,0.2241,0.2241,0.3753,0.2815,0.1,0.3644,0.2619,0.3486,0.2214,0.2326,0.262,0.1713,0.2641,0.2115,0.2732,0.3937,0.1892
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2019,0.2591,0.3527,0.403,0.3478,0.3301,0.1942,0.198,0.3648,0.1723,0.378,0.1811,0.5349,0.1593,0.2008,0.2008,0.3493,0.2665,0.1047,0.3372,0.2521,0.3231,0.2,0.2156,0.2357,0.1591,0.2386,0.1947,0.2497,0.355,0.1905
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,0.1258,0.1939,0.1603,0.1376,0.2375,0.1406,0.1015,0.13,0.2,0.1477,0.2308,0.2283,0.1212,0.1491,0.1264,0.1264,0.1545,0.1411,0.1429,0.2335,0.1121,0.1412,0.1313,0.1592,0.1202,0.1245,0.1414,0.1304,0.1774,0.2472,0.1212
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,0.5651,0.7132,0.6606,0.6726,0.6316,0.662,0.5836,0.5698,0.6673,0.5907,0.7174,0.6559,0.7778,0.6187,0.5657,0.5657,0.6431,0.5922,0.65,0.7383,0.5882,0.5974,0.5736,0.5963,0.5491,0.5552,0.5539,0.6423,0.6516,0.7527,0.7429
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,0.0393,0.0337,0.034,0.0341,0.0161,0.0,0.0335,0.033,0.0335,0.034,0.0714,0.0597,0.0,0.031,0.0368,0.0368,0.0175,0.0313,0.069,0.0303,0.0263,0.0392,0.0368,0.0302,0.0276,0.0332,0.039,0.0288,0.03,0.0211,0.0769
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.1093,0.152,0.1158,0.0976,0.0806,0.0625,0.1085,0.1045,0.1637,0.113,0.2464,0.1176,0.1,0.0843,0.1053,0.1053,0.107,0.1156,0.1379,0.1646,0.1186,0.1226,0.1104,0.1244,0.0995,0.1064,0.1268,0.1052,0.1325,0.169,0.1538
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.3222,0.5346,0.4119,0.4228,0.3656,0.3438,0.3084,0.331,0.4952,0.3658,0.5905,0.58,0.4865,0.3763,0.3231,0.3231,0.4129,0.3516,0.42,0.5789,0.3497,0.3784,0.3355,0.3993,0.2977,0.338,0.3558,0.3705,0.473,0.5438,0.5909
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.3349,0.5355,0.4318,0.4227,0.3663,0.3562,0.3277,0.3465,0.5156,0.3774,0.5714,0.5534,0.6286,0.3846,0.3362,0.3362,0.4422,0.3679,0.4038,0.582,0.3641,0.3766,0.3516,0.4255,0.312,0.3531,0.3692,0.3896,0.4666,0.5415,0.5556
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.3278,0.5292,0.4633,0.4839,0.4065,0.4598,0.3319,0.3432,0.5194,0.372,0.6036,0.5417,0.6098,0.4172,0.3277,0.3277,0.4598,0.3725,0.431,0.6092,0.375,0.4286,0.345,0.3953,0.3468,0.3306,0.3435,0.4111,0.4546,0.5433,0.5778
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.151,0.4164,0.3326,0.3536,0.2648,0.3433,0.1744,0.1916,0.3788,0.2275,0.4589,0.3647,0.6364,0.255,0.1531,0.1531,0.3352,0.2206,0.2784,0.5408,0.2346,0.2938,0.1784,0.2686,0.2143,0.1887,0.2014,0.2742,0.3231,0.4482,0.5
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0796,0.1003,0.1622,0.1842,0.1467,0.1296,0.0952,0.0835,0.1736,0.0668,0.16,0.0882,0.1875,0.0912,0.0807,0.0807,0.1402,0.1198,0.1333,0.1387,0.1176,0.1724,0.0806,0.0909,0.1069,0.0674,0.1237,0.0759,0.1274,0.1503,0.0714
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2362,0.4389,0.374,0.3753,0.325,0.3933,0.2144,0.2375,0.4223,0.2573,0.5,0.4,0.675,0.2958,0.2382,0.2382,0.3555,0.2765,0.3382,0.5336,0.2671,0.3304,0.2432,0.2886,0.2348,0.2213,0.2459,0.2962,0.3731,0.4726,0.5
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.3546,0.5212,0.4595,0.4898,0.4296,0.4688,0.3508,0.3556,0.5262,0.3781,0.561,0.5154,0.6977,0.409,0.3548,0.3548,0.4959,0.3851,0.4308,0.6169,0.375,0.4332,0.361,0.3994,0.3436,0.3302,0.3529,0.4102,0.4656,0.5679,0.619
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.377,0.5547,0.4964,0.4889,0.4167,0.4598,0.3676,0.38,0.5614,0.4067,0.6381,0.5487,0.725,0.4094,0.376,0.376,0.5163,0.4064,0.4483,0.6301,0.3793,0.4526,0.3817,0.3964,0.3403,0.3461,0.3804,0.4363,0.4995,0.5877,0.6667
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0267,0.0399,0.0415,0.0332,0.0159,0.0,0.0136,0.0265,0.0538,0.0247,0.0571,0.0588,0.0323,0.0148,0.0285,0.0285,0.039,0.0371,0.0,0.0542,0.0083,0.0093,0.029,0.0244,0.0312,0.0225,0.0379,0.0372,0.0411,0.0479,0.1154
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2101,0.3488,0.3674,0.3452,0.3578,0.36,0.1921,0.2182,0.4038,0.222,0.3365,0.3656,0.7179,0.2282,0.2105,0.2105,0.3189,0.2725,0.3091,0.4136,0.2285,0.31,0.2181,0.2625,0.2237,0.1919,0.2528,0.2671,0.3094,0.378,0.2703
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.2145,0.3213,0.3667,0.3117,0.3418,0.3509,0.1801,0.2226,0.4091,0.2226,0.4133,0.2667,0.4688,0.25,0.2145,0.2145,0.2937,0.265,0.2188,0.3503,0.2937,0.2893,0.2217,0.2651,0.2346,0.196,0.2917,0.2419,0.3295,0.3082,0.3214
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0409,0.0631,0.0546,0.0435,0.0781,0.0204,0.0329,0.0384,0.0876,0.0366,0.0282,0.0746,0.0,0.0226,0.0391,0.0391,0.0391,0.0392,0.0,0.0482,0.0336,0.0577,0.0377,0.0365,0.0342,0.0399,0.0826,0.0247,0.0556,0.0417,0.037
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2304,0.4329,0.3766,0.3861,0.32,0.383,0.1953,0.2386,0.4362,0.2592,0.5091,0.3661,0.7,0.2674,0.233,0.233,0.3572,0.2716,0.3438,0.5424,0.2781,0.3529,0.2396,0.2947,0.2428,0.2164,0.2489,0.2968,0.3667,0.4703,0.4737
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2053,0.359,0.3434,0.3315,0.2727,0.2892,0.18,0.2238,0.4091,0.2374,0.43,0.2828,0.6667,0.2244,0.2081,0.2081,0.3186,0.2682,0.2632,0.4397,0.2392,0.3135,0.2179,0.2723,0.2319,0.2059,0.2399,0.2737,0.3217,0.3853,0.3158
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.269,0.4298,0.3621,0.3256,0.3537,0.377,0.2361,0.2778,0.4493,0.3201,0.4884,0.475,0.4722,0.3191,0.2678,0.2678,0.312,0.29,0.4286,0.5127,0.3425,0.3358,0.2785,0.3956,0.2813,0.2847,0.3103,0.3231,0.4042,0.5371,0.5484
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.3065,0.4238,0.4118,0.4174,0.3662,0.4545,0.3455,0.3129,0.4977,0.3158,0.5385,0.3974,0.5758,0.3514,0.3054,0.3054,0.3669,0.3521,0.4375,0.4946,0.4,0.4444,0.3133,0.3618,0.2979,0.3068,0.3588,0.3339,0.4056,0.4783,0.4667
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1712,0.3268,0.3021,0.3003,0.216,0.2353,0.1461,0.1885,0.3432,0.2044,0.3854,0.3053,0.4571,0.1985,0.1744,0.1744,0.2555,0.2209,0.2075,0.3917,0.1784,0.2289,0.1829,0.2307,0.18,0.1841,0.1766,0.2593,0.2927,0.3333,0.3056
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.129,0.1807,0.1988,0.213,0.1216,0.1228,0.1293,0.1358,0.2257,0.1262,0.2597,0.2192,0.2424,0.1324,0.1293,0.1293,0.1811,0.1562,0.2188,0.2135,0.1642,0.2269,0.1292,0.1462,0.1351,0.1237,0.1957,0.129,0.1901,0.2611,0.2
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2296,0.4149,0.3804,0.4239,0.3623,0.3824,0.2216,0.2336,0.428,0.2584,0.4634,0.3554,0.7143,0.2829,0.2309,0.2309,0.3675,0.2712,0.3125,0.5301,0.2878,0.3625,0.2365,0.2981,0.2435,0.2093,0.2505,0.2959,0.3495,0.4574,0.413
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.2106,0.3721,0.3574,0.3669,0.3077,0.3404,0.2075,0.2171,0.4096,0.2232,0.3884,0.3167,0.6829,0.2117,0.2115,0.2115,0.3403,0.2681,0.3151,0.504,0.2086,0.3054,0.2194,0.2558,0.2123,0.1914,0.2351,0.2735,0.3225,0.4332,0.4419
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2199,0.423,0.3588,0.3958,0.3425,0.4,0.1983,0.2218,0.4219,0.2469,0.4737,0.3913,0.6744,0.2601,0.2205,0.2205,0.3558,0.2556,0.3103,0.5365,0.2633,0.3507,0.2276,0.2823,0.2249,0.2036,0.2231,0.2873,0.337,0.4529,0.4468
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,0.1385,0.2022,0.1912,0.176,0.2037,0.1585,0.1299,0.1494,0.1971,0.1577,0.2453,0.2315,0.1389,0.162,0.1408,0.1408,0.1486,0.1702,0.1228,0.2371,0.1719,0.18,0.1463,0.1849,0.1566,0.1445,0.1669,0.1573,0.1871,0.2453,0.15
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,0.0267,0.0278,0.0136,0.0214,0.027,0.0,0.0083,0.0172,0.0315,0.019,0.0652,0.0638,0.0,0.0185,0.0231,0.0231,0.0136,0.0225,0.0741,0.0494,0.0,0.0105,0.0236,0.0184,0.0062,0.0139,0.0136,0.0204,0.0237,0.0247,0.0833
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.0559,0.1173,0.0611,0.0759,0.0769,0.0,0.0438,0.0466,0.1098,0.0537,0.1538,0.1224,0.0,0.0578,0.0526,0.0526,0.064,0.0523,0.1071,0.1522,0.0519,0.09,0.0518,0.0723,0.0464,0.042,0.0455,0.0544,0.0796,0.1304,0.0714
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.1316,0.193,0.1946,0.1778,0.1461,0.1667,0.1119,0.1386,0.214,0.1513,0.2155,0.2124,0.1852,0.1624,0.1337,0.1337,0.1595,0.1559,0.15,0.2061,0.1737,0.2357,0.1373,0.1868,0.1673,0.1393,0.1555,0.1533,0.1759,0.2242,0.1957
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.1429,0.2033,0.2062,0.2063,0.1771,0.2258,0.1399,0.1538,0.2429,0.1636,0.25,0.2193,0.1333,0.172,0.1451,0.1451,0.1544,0.1725,0.1833,0.2336,0.1708,0.2317,0.1512,0.2145,0.1779,0.1541,0.1806,0.1795,0.1961,0.2489,0.1702
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.1617,0.2073,0.2017,0.1907,0.1654,0.1556,0.1505,0.1824,0.2332,0.1996,0.2459,0.2615,0.1026,0.2,0.1637,0.1637,0.1566,0.1943,0.125,0.25,0.2118,0.2136,0.175,0.2267,0.2086,0.1964,0.1928,0.2147,0.2208,0.2548,0.1915
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.1507,0.2568,0.2558,0.2425,0.1613,0.1716,0.2016,0.2175,0.228,0.2395,0.2897,0.256,0.1667,0.2748,0.1545,0.1545,0.1619,0.2316,0.2842,0.269,0.3119,0.2866,0.1859,0.2576,0.2562,0.2617,0.2638,0.2584,0.2774,0.2662,0.2115
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0527,0.0955,0.0973,0.1044,0.0517,0.0556,0.0448,0.0472,0.1159,0.0413,0.1296,0.1042,0.0,0.0582,0.0517,0.0517,0.0896,0.0664,0.1852,0.1313,0.0833,0.0678,0.0499,0.0769,0.0649,0.0374,0.056,0.048,0.0864,0.14,0.0714
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2982,0.3172,0.2836,0.273,0.2294,0.2317,0.2745,0.3114,0.2577,0.3235,0.3214,0.4,0.1282,0.3236,0.3006,0.3006,0.2372,0.3186,0.3692,0.327,0.3473,0.3273,0.3082,0.3241,0.332,0.3321,0.3082,0.3045,0.3253,0.3287,0.2973
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.2042,0.2329,0.2572,0.2188,0.2174,0.18,0.1657,0.2245,0.234,0.2243,0.2969,0.2847,0.1111,0.2522,0.2067,0.2067,0.1714,0.2413,0.1818,0.2528,0.2566,0.2438,0.218,0.2474,0.2389,0.2362,0.2367,0.2376,0.2442,0.2659,0.2045
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.2039,0.2519,0.2394,0.2193,0.1983,0.2093,0.1636,0.2178,0.2302,0.2153,0.2807,0.2833,0.0952,0.2451,0.2062,0.2062,0.1745,0.2354,0.1714,0.254,0.254,0.2488,0.2143,0.2648,0.2383,0.2227,0.2181,0.2254,0.2353,0.2821,0.1628
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0148,0.0106,0.0157,0.0347,0.0,0.0,0.0,0.0142,0.0214,0.0176,0.0213,0.0408,0.0,0.0327,0.0156,0.0156,0.0084,0.0179,0.0,0.0227,0.0411,0.0208,0.016,0.0179,0.0263,0.0118,0.0111,0.0195,0.0133,0.0111,0.0
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.273,0.311,0.287,0.2945,0.2424,0.2344,0.251,0.2861,0.2809,0.2893,0.314,0.359,0.1282,0.2952,0.2759,0.2759,0.2083,0.291,0.3725,0.3064,0.3309,0.3333,0.2828,0.2983,0.305,0.3013,0.2711,0.2941,0.3131,0.2989,0.1852
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1016,0.1439,0.1263,0.0986,0.0946,0.08,0.0943,0.0979,0.1514,0.1018,0.2121,0.1385,0.0909,0.087,0.1007,0.1007,0.125,0.1136,0.1562,0.1938,0.1257,0.1231,0.0996,0.1166,0.094,0.0867,0.0965,0.1019,0.133,0.168,0.1
